Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-05-15,315.0,343.7,292.0,329.45,71401006,843099.0,84.69,37507780.0
2024-05-16,342.5,362.35,341.0,361.1,26767907,356941.0,74.99,11017493.0
2024-05-17,365.0,371.3,345.2,351.15,11970918,125713.0,95.22,4225111.0
2024-05-18,351.5,354.6,347.25,348.3,812114,13484.0,60.23,448671.0
2024-05-21,345.1,349.7,337.0,342.7,3451610,77088.0,44.77,2192835.0
2024-05-22,342.05,348.75,336.0,343.35,2578275,37662.0,68.46,1759130.0
2024-05-23,342.0,346.0,330.6,333.35,1932691,27820.0,69.47,1402143.0
2024-05-24,331.35,344.05,330.75,341.9,1967592,33499.0,58.74,1271595.0
2024-05-27,342.7,343.7,334.05,340.35,1155410,17216.0,67.11,683860.0
2024-05-28,340.0,343.7,329.2,331.4,1531935,24949.0,61.4,1068588.0
2024-05-29,330.0,340.5,330.0,338.8,1311578,21193.0,61.89,608099.0
2024-05-30,340.0,347.2,338.6,340.05,2451103,27235.0,90.0,1504219.0
2024-05-31,344.0,345.0,338.45,343.5,1070427,12238.0,87.47,845642.0
2024-06-03,352.0,352.0,342.3,347.9,1412802,22263.0,63.46,900859.0
2024-06-04,345.0,345.9,315.0,334.9,2827855,27978.0,101.07,2046665.0
2024-06-05,335.0,341.8,316.0,339.2,899800,15558.0,57.84,489854.0
2024-06-06,345.0,354.2,342.0,346.1,1353606,33121.0,40.87,688964.0
2024-06-07,346.1,369.0,343.05,366.2,3637561,64436.0,56.45,2254915.0
2024-06-10,365.0,398.0,365.0,385.55,3766316,61975.0,60.77,1819489.0
2024-06-11,397.3,404.0,376.05,380.1,3261149,60265.0,54.11,1659798.0
2024-06-12,383.0,392.9,377.8,390.75,1980788,71193.0,27.82,1233799.0
2024-06-13,395.0,397.75,386.1,395.5,1523716,66435.0,22.94,893095.0
2024-06-14,398.0,431.85,396.5,420.15,4444304,72859.0,61.0,2392984.0
2024-06-18,425.4,432.45,409.5,413.85,1689479,32647.0,51.75,697200.0
2024-06-19,418.0,419.2,400.4,402.75,1546366,57837.0,26.74,892616.0
2024-06-20,404.0,424.2,393.5,397.25,2661359,86859.0,30.64,1445286.0
2024-06-21,399.0,408.5,386.7,396.2,1422794,37128.0,38.32,690383.0
2024-06-24,394.0,400.65,385.55,388.2,1187350,31371.0,37.85,724131.0
2024-06-25,390.1,394.0,385.0,390.3,893183,27883.0,32.03,456731.0
2024-06-26,392.4,412.5,389.2,407.75,2187950,43576.0,50.21,1274092.0
2024-06-27,410.2,428.6,405.15,413.15,2066538,42285.0,48.87,1005118.0
2024-06-28,416.05,417.3,402.15,408.75,757998,28395.0,26.69,368555.0
2024-07-01,408.55,430.0,406.2,418.85,1283257,25209.0,50.9,611760.0
2024-07-02,417.95,426.0,411.65,422.6,1118761,23105.0,48.42,611808.0
2024-07-03,428.0,445.95,421.85,440.05,2692765,48211.0,55.85,1198757.0
2024-07-04,441.9,445.45,430.0,438.1,1483252,30524.0,48.59,844374.0
2024-07-05,436.8,447.55,420.3,435.35,1568529,44325.0,35.39,765808.0
2024-07-08,437.2,443.0,430.05,431.8,510741,16897.0,30.23,249834.0
2024-07-09,432.3,438.45,425.1,429.55,409922,15166.0,27.03,198534.0
2024-07-10,427.0,432.4,414.05,419.9,739036,22894.0,32.28,400122.0
2024-07-11,422.85,429.55,422.85,426.25,391995,11316.0,34.64,198233.0
2024-07-12,428.85,444.9,425.0,438.8,1378258,37045.0,37.2,730661.0
2024-07-15,440.4,449.0,424.4,445.85,3518244,29723.0,118.37,2725223.0
2024-07-16,448.5,472.4,447.85,457.05,2490403,44947.0,55.41,1220381.0
2024-07-18,473.0,484.0,462.1,465.9,2092007,38765.0,53.97,799709.0
2024-07-19,465.9,470.0,444.65,450.4,1500766,28056.0,53.49,845501.0
2024-07-22,447.9,481.5,442.55,476.85,1660095,34164.0,48.59,762640.0
2024-07-23,480.2,486.95,429.2,460.05,2633081,56356.0,46.72,1108906.0
2024-07-24,459.45,480.05,453.05,461.85,1195222,20401.0,58.59,708588.0
2024-07-25,454.3,464.5,444.0,447.15,567289,14362.0,39.5,260576.0
2024-07-26,449.7,455.95,441.1,443.65,1322078,17284.0,76.49,1001360.0
2024-07-29,445.1,462.4,445.1,459.15,794542,22152.0,35.87,387094.0
2024-07-30,459.0,465.75,445.2,452.5,746458,18431.0,40.5,374615.0
2024-07-31,452.5,459.95,437.9,446.45,744074,15296.0,48.65,406946.0
2024-08-01,447.9,453.85,437.1,439.7,344318,11900.0,28.93,178793.0
2024-08-02,434.1,438.0,425.65,427.15,436277,14184.0,30.76,225095.0
2024-08-05,415.1,420.0,401.25,406.9,703432,22961.0,30.64,330239.0
2024-08-06,418.0,423.85,400.6,402.4,421429,21361.0,19.73,189326.0
2024-08-07,410.15,424.45,407.25,412.7,451245,18633.0,24.22,247246.0
2024-08-08,415.0,431.9,410.05,418.45,955736,35785.0,26.71,381433.0
2024-08-09,431.75,432.9,423.15,427.3,598058,24538.0,24.37,412824.0
2024-08-12,440.0,440.0,420.25,421.75,698916,25322.0,27.6,386163.0
2024-08-13,415.0,420.2,396.05,400.25,1578326,37863.0,41.69,1049504.0
2024-08-14,402.9,402.9,383.5,385.5,750852,31665.0,23.71,433589.0
2024-08-16,388.5,401.7,381.85,394.4,1371483,47392.0,28.94,908213.0
2024-08-19,396.85,398.05,390.05,393.95,1195049,23105.0,51.72,930688.0
2024-08-20,396.0,399.0,389.3,391.2,342003,11720.0,29.18,186218.0
2024-08-21,391.05,408.3,388.8,405.15,986821,28091.0,35.13,511028.0
2024-08-22,408.0,412.85,405.05,407.45,464512,18514.0,25.09,259861.0
2024-08-23,408.95,410.35,399.4,400.65,318688,11676.0,27.29,165249.0
2024-08-26,403.9,403.9,390.05,397.6,620650,17614.0,35.24,310838.0
2024-08-27,398.65,405.85,394.8,397.25,701604,22866.0,30.68,517625.0
2024-08-28,400.0,401.0,385.2,386.7,998237,46154.0,21.63,693495.0
2024-08-29,387.0,395.1,376.1,383.9,1253683,45865.0,27.33,671762.0
2024-08-30,388.7,389.4,381.4,384.45,558284,30285.0,18.43,341856.0
2024-09-02,385.05,391.75,384.45,389.8,821886,28976.0,28.36,507254.0
2024-09-03,404.45,428.45,403.0,418.95,5274081,79250.0,66.55,2201485.0
2024-09-04,415.0,420.65,411.25,416.5,1366308,22886.0,59.7,838235.0
2024-09-05,419.0,435.9,413.2,433.65,1657070,37322.0,44.4,751735.0
2024-09-06,434.7,451.45,433.05,443.45,2383466,52387.0,45.5,1308682.0
2024-09-09,444.45,444.5,422.0,428.4,975765,30651.0,31.83,441010.0
2024-09-10,430.0,439.95,428.4,437.2,521744,17158.0,30.41,271528.0
2024-09-11,435.05,442.5,433.0,436.7,1007520,17049.0,59.1,693962.0
2024-09-12,439.8,462.0,439.0,457.8,1644626,42585.0,38.62,901542.0
2024-09-13,458.7,476.0,457.4,462.8,1793954,33108.0,54.18,873370.0
2024-09-16,469.0,477.0,458.0,466.6,1404325,28440.0,49.38,719990.0
2024-09-17,467.75,470.15,453.75,455.5,842245,22334.0,37.71,433401.0
2024-09-18,455.9,464.0,451.8,457.55,807540,21179.0,38.13,393358.0
2024-09-19,462.0,466.85,454.7,459.7,1222907,20993.0,58.25,689345.0
2024-09-20,460.7,466.0,452.05,464.25,981248,26354.0,37.23,573561.0
2024-09-23,489.0,503.15,469.4,498.9,3692511,72489.0,50.94,1774024.0
2024-09-24,500.8,516.8,494.4,510.45,3160160,80737.0,39.14,1454639.0
2024-09-25,508.2,512.05,496.0,506.95,1104931,24047.0,45.95,637833.0
2024-09-26,506.45,506.45,476.0,479.65,1175115,31627.0,37.16,684725.0
2024-09-27,474.0,497.5,473.45,488.35,1228488,28112.0,43.7,628029.0
2024-09-30,482.0,494.45,463.4,469.25,1185222,53466.0,22.17,485761.0
2024-10-01,479.9,479.9,453.65,458.05,1540248,64518.0,23.87,695280.0
2024-10-03,450.0,463.65,442.0,443.4,728469,27697.0,26.3,346397.0
2024-10-04,443.7,449.4,428.5,435.5,847770,35311.0,24.01,406599.0
2024-10-07,444.4,447.95,421.95,428.15,1020494,28148.0,36.25,413584.0
2024-10-08,430.0,470.95,425.2,449.05,2878166,61948.0,46.46,582874.0
2024-10-09,453.3,464.9,437.0,439.4,1299224,41477.0,31.32,585436.0
2024-10-10,449.9,449.9,437.95,440.7,584569,15819.0,36.95,250572.0
2024-10-11,440.7,444.0,439.0,440.9,221260,7231.0,30.6,94845.0
2024-10-14,443.3,460.5,441.0,444.95,1291764,24727.0,52.24,519337.0
2024-10-15,447.7,463.7,445.05,458.5,1317273,34367.0,38.33,533094.0
2024-10-16,453.3,455.4,445.5,446.75,618054,14608.0,42.31,349190.0
2024-10-17,447.8,453.45,435.25,437.7,548081,12478.0,43.92,326198.0
2024-10-18,432.65,439.95,425.35,439.05,359586,12351.0,29.11,133653.0
2024-10-21,439.05,449.15,420.45,430.05,615050,15874.0,38.75,347830.0
2024-10-22,435.0,440.0,415.2,419.25,557834,20370.0,27.39,184503.0
2024-10-23,417.65,426.9,410.0,420.0,417947,18747.0,22.29,167012.0
2024-10-24,424.9,424.9,412.3,414.7,247185,11944.0,20.7,84823.0
2024-10-25,416.0,431.0,410.3,419.6,1505479,35628.0,42.26,639585.0
2024-10-28,415.0,434.0,408.0,431.05,534345,17430.0,30.66,209130.0
2024-10-29,425.5,455.0,425.5,450.4,567618,22010.0,25.79,210201.0
2024-10-30,445.3,463.2,445.3,452.6,738542,27595.0,26.76,366745.0
2024-10-31,452.4,454.0,437.15,439.5,308749,12736.0,24.24,122971.0
2024-11-01,446.35,447.8,442.15,444.65,49297,2175.0,22.67,31036.0
2024-11-04,440.7,454.0,439.35,451.4,613766,22657.0,27.09,279362.0
2024-11-05,450.4,455.7,442.35,449.65,429474,15574.0,27.58,180446.0
2024-11-06,450.0,460.0,443.15,457.2,595293,16730.0,35.58,243403.0
2024-11-07,462.0,471.85,458.15,464.1,1429876,35164.0,40.66,492132.0
2024-11-08,469.0,477.5,456.0,459.85,769062,30458.0,25.25,279449.0
2024-11-11,458.65,458.8,432.0,435.85,873304,35497.0,24.6,364265.0
2024-11-12,436.75,439.9,427.75,428.95,535823,22633.0,23.67,238886.0
2024-11-13,428.9,429.6,415.75,423.9,410688,13239.0,31.02,192485.0
2024-11-14,424.75,451.0,424.0,434.85,1857926,40205.0,46.21,382350.0
2024-11-18,434.05,434.7,419.05,422.4,448369,21082.0,21.27,186704.0
2024-11-19,426.0,432.8,419.0,424.25,449073,17107.0,26.25,213545.0
2024-11-21,423.7,433.0,410.35,422.95,1096990,23024.0,47.65,407812.0
2024-11-22,424.0,424.45,413.05,416.8,422079,15042.0,28.06,170652.0
2024-11-25,425.5,428.65,393.1,400.25,4134336,38930.0,106.2,2580833.0
2024-11-26,402.9,409.7,400.05,406.2,603462,24689.0,24.44,271838.0
2024-11-27,406.0,428.0,406.0,423.9,1654793,62124.0,26.64,815602.0
2024-11-28,423.5,434.7,416.15,418.05,828000,38223.0,21.66,456330.0
2024-11-29,419.4,435.0,418.15,432.75,1426164,35699,39.95,666616
2024-12-02,431.1,437.0,425.8,433.35,416903,17283,24.12,199180
2024-12-03,435.7,444.0,433.35,435.45,501369,16619,30.17,217685
2024-12-04,437.55,442.05,432.05,440.55,322512,10400,31.01,136241
2024-12-05,441.7,444.25,432.25,434.15,277481,9044,30.68,115166
2024-12-06,435.1,435.75,426.75,430.15,424497,11461,37.04,194078
2024-12-09,430.3,431.95,423.0,426.5,289458,10063,28.76,130005
2024-12-10,428.0,434.45,420.2,422.2,442610,11601,38.15,237955
2024-12-11,423.0,426.45,417.7,418.5,332386,9667,34.38,195690
2024-12-12,419.4,438.6,418.05,435.7,2341591,55354,42.3,712063
2024-12-13,434.4,440.0,432.35,438.75,646357,17321,37.32,305696
2024-12-16,438.0,440.0,429.4,437.05,529020,17973,29.43,262439
2024-12-17,436.95,438.65,427.95,429.95,372420,11735,31.74,247126
