Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2021-09-13,129.05,129.05,122.6,122.6,652,BE,31.0,21.03,652.0
2021-09-14,116.5,116.5,116.5,116.5,567,BE,17.0,33.35,567.0
2021-09-15,110.7,110.7,110.7,110.7,593,BE,26.0,22.81,593.0
2021-09-16,105.2,105.2,105.2,105.2,763,BE,21.0,36.33,763.0
2021-09-17,99.95,99.95,99.95,99.95,544,BE,18.0,30.22,544.0
2021-09-20,95.0,95.0,95.0,95.0,331,BE,25.0,13.24,331.0
2021-09-21,90.25,90.25,90.25,90.25,504,BE,20.0,25.2,504.0
2021-09-22,85.75,85.75,85.75,85.75,1606,BE,57.0,28.18,1606.0
2021-09-23,81.5,81.5,81.5,81.5,441,BE,36.0,12.25,441.0
2021-09-24,79.9,85.55,77.45,85.55,2870,BE,65.0,44.15,2870.0
2021-09-27,85.55,94.1,85.55,94.1,2911,EQ,67.0,43.45,2906.0
2021-09-28,103.0,103.5,103.0,103.5,2107,EQ,56.0,37.62,1798.0
2021-09-29,113.85,113.85,113.85,113.85,2604,EQ,48.0,54.25,2494.0
2021-09-30,119.5,119.5,119.5,119.5,2708,EQ,14.0,193.43,2708.0
2021-10-01,125.45,125.45,125.45,125.45,3825,EQ,68.0,56.25,3799.0
2021-10-04,131.7,131.7,131.7,131.7,1063,EQ,26.0,40.88,1063.0
2021-10-05,138.25,138.25,138.25,138.25,1947,EQ,38.0,51.24,1946.0
2021-10-06,145.15,145.15,145.15,145.15,971,EQ,26.0,37.35,971.0
2021-10-07,152.4,152.4,152.4,152.4,2025,EQ,32.0,63.28,2025.0
2021-10-08,160.0,160.0,144.8,144.8,13332,EQ,273.0,48.84,10013.0
2021-10-11,137.6,137.6,137.6,137.6,2107,EQ,107.0,19.69,2106.0
2021-10-12,130.75,130.75,130.75,130.75,2036,EQ,61.0,33.38,2036.0
2021-10-13,124.3,124.3,124.25,124.25,1006,EQ,66.0,15.24,1006.0
2021-10-14,118.05,130.45,118.05,130.45,12476,EQ,248.0,50.31,5636.0
2021-10-18,136.95,136.95,124.0,131.2,11926,EQ,385.0,30.98,6329.0
2021-10-19,136.8,137.0,124.65,124.85,17408,EQ,408.0,42.67,7065.0
2021-10-20,124.85,129.7,119.6,121.4,2701,EQ,143.0,18.89,1132.0
2021-10-21,126.5,126.5,115.75,119.35,2851,EQ,151.0,18.88,1468.0
2021-10-22,124.0,124.0,115.6,116.8,1550,EQ,80.0,19.38,831.0
2021-10-25,116.8,119.8,111.15,111.85,3122,EQ,103.0,30.31,431.0
2021-10-26,111.25,115.3,106.3,109.0,2876,EQ,137.0,20.99,1632.0
2021-10-27,109.0,113.7,105.65,112.7,2590,EQ,106.0,24.43,1638.0
2021-10-28,111.0,115.8,107.8,109.55,2066,EQ,88.0,23.48,985.0
2021-10-29,104.5,113.1,104.5,106.85,1293,EQ,69.0,18.74,438.0
2021-11-01,109.0,111.7,106.45,111.35,2803,EQ,97.0,28.9,657.0
2021-11-02,111.35,116.0,106.5,108.4,1121,EQ,82.0,13.67,609.0
2021-11-03,108.0,109.95,105.05,107.85,1123,EQ,55.0,20.42,513.0
2021-11-04,111.9,111.9,107.0,108.2,792,EQ,55.0,14.4,513.0
2021-11-08,108.2,110.2,105.4,107.3,1347,EQ,57.0,23.63,540.0
2021-11-09,107.3,111.85,105.05,106.75,1978,EQ,80.0,24.72,526.0
2021-11-10,104.75,111.8,101.75,109.85,7015,EQ,132.0,53.14,2413.0
2021-11-11,109.9,113.7,104.75,109.2,3732,EQ,116.0,32.17,2313.0
2021-11-12,106.05,109.95,106.0,108.3,3103,EQ,110.0,28.21,1031.0
2021-11-15,113.4,113.4,105.85,108.6,1816,EQ,68.0,26.71,623.0
2021-11-16,107.45,110.6,104.7,105.05,1215,EQ,95.0,12.79,687.0
2021-11-17,108.7,110.0,105.0,108.35,1163,EQ,50.0,23.26,933.0
2021-11-18,109.95,110.0,104.0,105.25,1756,EQ,71.0,24.73,473.0
2021-11-22,105.25,107.9,102.35,107.0,1041,EQ,66.0,15.77,641.0
2021-11-23,106.85,107.0,102.1,103.9,1215,EQ,70.0,17.36,725.0
2021-11-24,107.0,108.95,101.0,105.5,356,EQ,26.0,13.69,161.0
2021-11-25,104.0,110.4,103.4,107.25,922,EQ,59.0,15.63,622.0
2021-11-26,103.4,111.4,103.4,106.1,3240,EQ,95.0,34.11,1199.0
2021-11-29,103.15,107.4,101.05,105.5,1777,EQ,73.0,24.34,802.0
2021-11-30,109.35,109.35,100.25,100.25,3745,EQ,153.0,24.48,1681.0
2021-12-01,104.35,105.25,98.25,102.65,2538,EQ,83.0,30.58,1125.0
2021-12-02,100.05,107.0,100.05,105.4,1680,EQ,57.0,29.47,537.0
2021-12-03,103.0,107.95,100.6,101.55,4679,EQ,96.0,48.74,1451.0
2021-12-06,106.4,106.4,98.0,105.25,3731,EQ,141.0,26.46,2718.0
2021-12-07,107.95,107.95,104.0,104.45,1266,EQ,55.0,23.02,861.0
2021-12-08,108.3,114.85,104.0,105.25,6482,EQ,152.0,42.64,3540.0
2021-12-09,103.2,109.0,103.2,106.5,2035,EQ,84.0,24.23,710.0
2021-12-10,107.0,108.6,102.05,104.1,2910,EQ,138.0,21.09,1816.0
2021-12-13,104.1,112.6,104.1,108.7,2323,EQ,88.0,26.4,1457.0
2021-12-14,108.65,114.0,98.35,105.4,5457,EQ,218.0,25.03,1893.0
2021-12-15,105.0,109.0,102.0,103.9,2569,EQ,107.0,24.01,1508.0
2021-12-16,106.85,108.05,102.75,106.55,1359,EQ,60.0,22.65,825.0
2021-12-17,107.95,107.95,101.25,104.4,912,EQ,70.0,13.03,485.0
2021-12-20,102.35,102.35,95.15,98.75,1951,EQ,132.0,14.78,1405.0
2021-12-21,98.7,103.45,97.55,99.85,1522,EQ,70.0,21.74,816.0
2021-12-22,96.8,103.4,96.8,98.4,330,EQ,52.0,6.35,134.0
2021-12-23,99.15,103.0,98.0,101.3,683,EQ,37.0,18.46,285.0
2021-12-24,98.6,102.1,97.0,98.35,627,EQ,42.0,14.93,211.0
2021-12-27,101.4,101.4,97.25,99.9,1342,EQ,45.0,29.82,848.0
2021-12-28,101.35,102.0,98.7,99.25,3346,EQ,92.0,36.37,2587.0
