Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2019-10-30,330.0,330.0,330.0,330.0,1,1,1.0,1
2019-11-04,330.0,330.0,330.0,330.0,91,3,30.33,91
2019-11-05,275.19,329.9,275.19,329.9,94,10,9.4,84
2019-11-06,323.0,324.85,300.0,305.01,255,12,21.25,212
2019-11-07,307.0,315.0,306.6,308.0,85,5,17.0,75
2019-11-08,308.0,308.0,308.0,308.0,49,2,24.5,49
2019-11-11,308.0,311.0,308.0,311.0,36,3,12.0,23
2019-11-13,320.0,320.0,309.0,309.0,3,3,1.0,0
2019-11-14,324.9,324.9,324.9,324.9,5,1,5.0,5
2019-11-15,320.0,320.0,309.2,309.7,13,3,4.33,13
2019-11-18,310.0,329.97,308.27,329.84,79,8,9.88,70
2019-11-19,330.0,330.0,314.5,314.5,52,5,10.4,31
2019-11-20,315.0,316.2,315.0,315.72,120,3,40.0,120
2019-11-21,315.75,315.75,315.75,315.75,10,1,10.0,10
2019-11-22,310.66,314.14,310.66,314.06,116,3,38.67,100
2019-11-26,314.0,320.07,314.0,320.07,324,10,32.4,279
2019-11-27,317.5,317.69,317.08,317.69,76,5,15.2,66
2019-11-28,318.45,319.51,318.31,319.51,52,5,10.4,42
2019-11-29,320.0,325.0,320.0,323.33,50,5,10.0,25
2019-12-02,320.7,320.7,316.16,318.49,4,4,1.0,0
2019-12-03,316.75,317.07,314.0,314.73,54,14,3.86,37
2019-12-04,315.98,320.59,315.98,318.16,88,5,17.6,85
2019-12-05,319.49,319.49,314.99,316.15,5,3,1.67,3
2019-12-10,313.84,313.84,309.78,309.78,3,3,1.0,1
2019-12-11,312.67,312.67,311.31,311.31,2,2,1.0,0
2019-12-12,316.48,316.48,316.48,316.48,1,1,1.0,1
2019-12-13,318.69,318.97,318.05,318.05,33,3,11.0,33
2019-12-16,320.86,320.86,318.32,318.32,2,2,1.0,0
2019-12-17,319.52,319.52,319.52,319.52,1,1,1.0,1
2019-12-18,319.52,320.12,319.52,320.12,25,2,12.5,25
2019-12-19,322.39,322.39,321.11,321.11,25,2,12.5,16
2019-12-20,324.02,324.02,322.12,322.12,16,2,8.0,15
2019-12-24,323.76,323.76,323.76,323.76,1,1,1.0,1
2019-12-26,323.53,323.53,323.53,323.53,2,1,2.0,2
2019-12-27,323.53,324.84,323.53,323.61,17,5,3.4,16
2019-12-30,324.16,324.16,324.16,324.16,1,1,1.0,1
2019-12-31,322.97,322.97,322.97,322.97,1,1,1.0,1
2020-01-01,321.57,321.57,321.57,321.57,1,1,1.0,1
2020-01-02,323.17,323.17,323.17,323.17,300,1,300.0,300
2020-01-03,318.41,318.41,318.41,318.41,1,1,1.0,1
2020-01-06,316.7,316.7,310.75,311.26,6,4,1.5,0
2020-01-07,317.6,317.6,315.0,315.22,18,3,6.0,18
2020-01-08,310.06,310.06,309.45,309.45,341,6,56.83,339
2020-01-09,317.39,317.39,317.39,317.39,1,1,1.0,1
2020-01-10,318.4,318.4,318.4,318.4,1,1,1.0,1
2020-01-13,312.7,328.79,310.25,328.79,308,51,6.04,153
2020-01-14,321.21,321.21,319.01,319.01,3,3,1.0,1
2020-01-15,319.0,319.0,315.51,315.51,103,5,20.6,101
2020-01-16,320.0,320.0,317.65,317.65,2,2,1.0,0
2020-01-17,317.33,317.33,316.56,316.56,2,2,1.0,2
2020-01-20,312.7,312.7,310.25,311.49,18,4,4.5,17
2020-01-21,310.25,310.25,309.9,309.9,10,3,3.33,10
2020-01-22,308.7,308.7,305.13,305.13,2,2,1.0,0
2020-01-23,308.33,308.33,308.33,308.33,1,1,1.0,1
2020-01-24,311.4,311.4,311.4,311.4,1,1,1.0,1
2020-01-27,311.4,311.4,309.0,309.0,5,3,1.67,5
2020-01-28,305.95,305.95,305.95,305.95,1,1,1.0,1
2020-01-29,308.0,308.0,308.0,308.0,1,1,1.0,1
2020-01-30,306.82,306.82,306.82,306.82,1,1,1.0,1
2020-01-31,325.0,325.0,304.7,306.61,4,4,1.0,1
2020-02-01,307.45,307.45,296.47,299.67,34,6,5.67,32
2020-02-03,300.73,300.73,300.73,300.73,1,1,1.0,1
2020-02-04,305.01,305.01,305.01,305.01,5,1,5.0,5
2020-02-05,309.02,309.02,308.0,308.0,2,2,1.0,2
2020-02-06,308.64,312.09,308.64,312.09,34,2,17.0,34
2020-02-07,312.25,312.25,312.25,312.25,1,1,1.0,1
2020-02-10,310.99,310.99,308.53,308.53,7,4,1.75,0
2020-02-11,312.0,312.0,311.12,311.12,8,2,4.0,8
2020-02-12,313.13,313.13,313.13,313.13,1,1,1.0,1
2020-02-13,310.23,310.23,310.23,310.23,1,1,1.0,1
2020-02-14,310.0,310.0,310.0,310.0,269,2,134.5,269
2020-02-17,306.8,306.85,306.8,306.85,65000,8,8125.0,65000
2020-02-18,304.7,304.7,302.09,302.09,17,3,5.67,15
2020-02-19,306.4,306.4,306.4,306.4,9,1,9.0,9
2020-02-24,304.7,304.7,304.6,304.7,16,3,5.33,15
2020-02-25,305.57,305.57,305.57,305.57,3,1,3.0,3
2020-02-26,302.85,302.85,302.85,302.85,1,1,1.0,1
2020-02-27,300.7,300.7,300.09,300.09,2,2,1.0,0
2020-02-28,295.29,295.29,292.0,292.0,60,8,7.5,56
2020-03-02,292.49,292.49,292.49,292.49,1,1,1.0,1
2020-03-03,290.0,290.0,286.58,289.87,4,4,1.0,0
2020-03-04,287.7,287.7,284.02,284.7,3,3,1.0,2
2020-03-05,289.2,289.2,289.2,289.2,1,1,1.0,1
2020-03-06,310.0,315.0,310.0,315.0,2,2,1.0,2
2020-03-09,301.0,315.0,261.04,265.46,166,36,4.61,158
2020-03-11,310.0,314.99,251.9,264.8,155,29,5.34,93
2020-03-12,260.0,260.0,235.0,235.0,106,29,3.66,79
2020-03-13,213.9,280.0,213.9,250.34,245,14,17.5,222
2020-03-16,286.75,286.75,240.35,250.0,46,16,2.88,33
2020-03-17,251.7,251.7,239.0,244.39,42,22,1.91,25
2020-03-18,245.7,245.7,225.0,235.0,29,14,2.07,20
2020-03-19,236.0,249.9,210.0,210.28,90,24,3.75,73
2020-03-20,239.9,240.0,239.9,240.0,96,2,48.0,96
2020-03-24,170.0,240.71,165.85,197.51,63,20,3.15,22
2020-03-25,161.21,200.3,161.21,197.5,26,11,2.36,16
2020-03-26,185.0,199.0,185.0,199.0,135,2,67.5,135
2020-03-27,221.0,221.0,180.14,209.0,267,17,15.71,98
2020-03-30,209.0,233.96,209.0,233.96,9,4,2.25,8
2020-03-31,205.0,235.0,205.0,235.0,7,4,1.75,6
2020-04-01,210.0,224.0,210.0,223.62,104,6,17.33,102
2020-04-03,210.0,228.0,203.7,228.0,13,10,1.3,7
2020-04-07,215.0,215.0,215.0,215.0,5,1,5.0,5
2020-04-09,227.7,227.7,227.7,227.7,1,1,1.0,1
2020-04-15,227.6,232.6,215.0,216.0,16,10,1.6,8
2020-04-16,215.0,215.0,215.0,215.0,5,2,2.5,5
2020-04-17,215.0,215.0,215.0,215.0,33,1,33.0,33
2020-04-20,231.6,231.6,231.6,231.6,1,1,1.0,1
2020-04-21,246.6,246.6,215.1,246.0,302,15,20.13,102
2020-04-23,215.1,231.72,215.1,231.0,31,5,6.2,10
2020-04-27,231.0,231.0,231.0,231.0,5,3,1.67,5
2020-04-28,215.0,216.3,215.0,216.3,22,3,7.33,22
2020-04-30,216.3,233.85,216.3,230.0,46,3,15.33,41
2020-05-04,229.0,250.0,215.0,216.97,92,9,10.22,72
2020-05-05,251.51,251.51,194.0,198.2,73000,440,165.91,65000
2020-05-06,204.7,218.3,194.18,196.81,1800,137,13.14,1465
2020-05-07,209.3,209.3,185.0,188.41,1537,103,14.92,970
2020-05-08,190.0,194.94,182.0,185.08,1434,49,29.27,1265
2020-05-11,185.08,194.99,176.0,182.7,549,35,15.69,427
2020-05-12,182.7,188.96,176.09,188.96,281,11,25.55,187
2020-05-13,194.0,215.0,178.07,188.79,1311,36,36.42,1207
2020-05-14,188.79,188.79,180.0,180.31,1664,39,42.67,1280
2020-05-15,182.0,189.28,180.0,182.54,632,67,9.43,617
2020-05-18,180.5,184.55,171.1,172.73,415,48,8.65,368
2020-05-19,185.5,185.5,173.0,178.95,291,23,12.65,266
2020-05-21,171.14,180.0,169.5,170.03,5218,81,64.42,4849
2020-05-22,171.0,178.79,162.5,167.93,821,63,13.03,495
2020-05-26,167.94,171.5,164.0,165.64,460,31,14.84,347
2020-05-27,166.01,177.95,163.0,171.17,2122,52,40.81,1501
2020-05-28,178.0,180.0,172.04,178.39,1053,33,31.91,947
2020-05-29,176.66,182.0,176.66,176.71,383,17,22.53,383
2020-06-01,176.1,187.57,176.1,185.53,2654,77,34.47,2521
2020-06-02,183.01,194.18,183.01,191.07,3647,64,56.98,3507
2020-06-03,197.99,204.0,192.01,199.03,5087,118,43.11,4348
2020-06-04,204.99,205.0,198.6,201.0,692,24,28.83,620
2020-06-05,197.7,203.9,195.12,203.32,245,20,12.25,220
2020-06-08,205.0,205.0,200.12,205.0,3538,37,95.62,3335
2020-06-09,204.9,206.0,200.01,205.01,169,13,13.0,154
2020-06-10,205.01,205.01,199.02,200.0,26,8,3.25,18
2020-06-11,201.0,201.0,201.0,201.0,500,5,100.0,500
2020-06-12,200.0,202.88,191.51,202.88,146,22,6.64,106
2020-06-15,200.0,202.7,195.01,196.0,443,18,24.61,341
2020-06-16,205.9,205.9,196.05,199.55,300,26,11.54,58
2020-06-17,194.91,201.95,194.75,201.85,121,14,8.64,100
2020-06-18,195.0,205.0,195.0,203.0,162,12,13.5,160
2020-06-19,205.0,208.0,202.01,202.49,282,18,15.67,239
2020-06-22,210.91,223.95,209.85,218.06,457,44,10.39,442
2020-06-23,218.8,254.0,209.86,226.75,1169,57,20.51,902
2020-06-24,227.0,227.0,212.7,218.11,998,60,16.63,656
2020-06-25,218.11,218.11,215.65,215.7,100,8,12.5,99
2020-06-26,215.76,215.83,215.7,215.78,16,6,2.67,4
2020-06-29,213.82,229.9,205.94,215.0,219,25,8.76,181
2020-06-30,224.93,224.97,210.3,224.0,80,12,6.67,65
2020-07-01,215.0,229.99,214.85,220.7,72,28,2.57,58
2020-07-02,214.0,228.32,214.0,220.76,227,27,8.41,186
2020-07-03,216.15,227.19,216.15,224.0,90,10,9.0,25
2020-07-06,223.96,229.95,220.0,221.63,142,17,8.35,86
2020-07-07,221.0,223.1,218.0,220.06,217,24,9.04,201
2020-07-08,221.0,226.0,218.0,219.59,368,34,10.82,252
2020-07-09,225.99,226.0,218.37,222.0,70,16,4.38,57
2020-07-10,221.02,229.67,221.0,221.0,96,15,6.4,71
2020-07-13,229.71,229.71,220.1,222.99,277,18,15.39,261
2020-07-14,217.01,218.01,214.0,216.55,1124,86,13.07,1112
2020-07-15,224.99,224.99,217.05,217.05,1639,12,136.58,1635
2020-07-16,222.0,222.0,210.51,221.97,309,29,10.66,182
2020-07-17,225.0,225.0,208.5,216.95,3245,82,39.57,1500
2020-07-20,217.33,221.97,217.33,218.91,656,24,27.33,381
2020-07-21,223.75,223.75,215.34,221.26,260,28,9.29,219
2020-07-22,222.75,225.5,220.0,224.92,356,23,15.48,350
2020-07-23,220.1,227.05,220.1,221.15,47,8,5.88,47
2020-07-24,225.04,225.05,225.0,225.04,37,5,7.4,36
2020-07-27,226.04,226.04,216.0,219.0,423,32,13.22,354
2020-07-28,223.01,228.66,217.0,217.14,81,15,5.4,76
2020-07-29,228.49,228.49,214.01,217.91,538,21,25.62,281
2020-07-30,217.0,217.0,217.0,217.0,205,4,51.25,205
2020-07-31,212.7,213.01,212.0,213.01,18,6,3.0,13
2020-08-03,213.01,215.97,212.01,213.83,548,27,20.3,538
2020-08-04,220.0,228.5,212.21,225.59,80,7,11.43,50
2020-08-05,225.0,225.6,213.07,221.7,162,12,13.5,161
2020-08-06,216.0,221.66,213.26,220.02,382,21,18.19,305
2020-08-07,214.01,223.99,214.0,220.99,60,10,6.0,30
2020-08-10,225.72,227.95,219.0,224.92,66,22,3.0,58
2020-08-11,216.25,227.97,216.2,218.15,151,12,12.58,92
2020-08-12,226.34,226.34,218.15,218.44,44,13,3.38,18
2020-08-13,225.42,225.42,217.51,223.55,174,15,11.6,141
2020-08-14,216.2,225.97,214.01,215.68,354,29,12.21,209
2020-08-17,215.71,226.7,215.71,221.02,27,18,1.5,15
2020-08-18,216.02,224.64,214.0,224.42,76,9,8.44,70
2020-08-19,224.42,224.42,217.75,217.87,209,15,13.93,207
2020-08-20,225.69,225.7,212.73,216.41,934,126,7.41,395
2020-08-21,224.96,224.97,215.0,215.02,124,10,12.4,82
2020-08-24,225.02,228.99,216.0,226.81,182,17,10.71,173
2020-08-25,226.81,228.19,220.15,224.21,176,35,5.03,140
2020-08-26,230.0,270.0,215.26,238.61,3498,195,17.94,1103
2020-08-27,230.01,258.98,226.12,245.0,755,63,11.98,395
2020-08-28,251.0,251.0,235.0,249.88,567,53,10.7,470
2020-08-31,245.01,249.99,239.0,239.0,726,32,22.69,635
2020-09-01,235.0,243.95,229.2,229.97,681,30,22.7,136
2020-09-02,239.87,250.0,222.41,249.85,518,21,24.67,425
2020-09-03,249.8,249.8,225.0,239.55,579,37,15.65,266
2020-09-04,239.5,245.1,230.0,243.2,116,19,6.11,82
2020-09-07,230.01,239.0,230.01,231.82,613,10,61.3,608
2020-09-08,228.11,228.11,228.11,228.11,62,7,8.86,57
2020-09-09,238.64,238.64,218.71,230.99,190,32,5.94,154
2020-09-10,245.0,245.0,219.25,227.36,955,93,10.27,356
2020-09-14,220.0,233.1,219.9,221.07,1031,103,10.01,860
2020-09-15,228.9,228.9,221.7,227.55,86,13,6.62,40
2020-09-16,228.59,230.1,220.31,226.65,1167,32,36.47,411
2020-09-17,226.65,226.65,221.2,221.2,22,4,5.5,22
2020-09-18,221.7,228.1,216.0,227.21,444,27,16.44,419
2020-09-21,223.1,229.98,217.0,217.18,457,44,10.39,390
2020-09-22,216.0,228.89,213.0,213.07,547,34,16.09,389
2020-09-23,214.7,221.75,203.6,208.5,649,72,9.01,400
2020-09-24,219.0,225.0,196.33,199.77,875,61,14.34,633
2020-09-25,208.0,208.0,200.0,208.0,474,54,8.78,304
2020-09-28,211.1,218.98,211.1,216.01,713,73,9.77,418
2020-09-29,215.0,216.0,210.0,210.17,201,44,4.57,170
2020-09-30,210.17,215.5,210.1,213.25,73,27,2.7,60
2020-10-01,212.0,227.43,212.0,213.25,577,45,12.82,396
2020-10-05,212.02,223.99,212.0,214.09,943,49,19.24,294
2020-10-06,215.0,220.1,215.0,220.02,86,10,8.6,80
2020-10-07,220.02,225.0,215.06,223.5,419,20,20.95,341
2020-10-08,225.1,245.0,220.1,223.76,1901,66,28.8,603
2020-10-09,226.0,234.0,223.0,228.7,448,27,16.59,389
2020-10-12,233.1,233.1,228.0,232.18,109,20,5.45,102
2020-10-13,227.0,234.5,222.6,223.92,802,29,27.66,190
2020-10-14,226.0,232.0,222.53,230.69,1248,74,16.86,1085
2020-10-15,226.01,230.49,224.7,229.26,49,7,7.0,37
2020-10-16,223.45,228.53,222.72,222.85,372,13,28.62,200
2020-10-19,229.9,234.9,229.01,233.81,687,33,20.82,663
2020-10-20,244.0,244.89,224.64,233.99,229,18,12.72,155
2020-10-21,241.0,244.4,225.64,242.13,1980,115,17.22,1555
2020-10-22,242.0,247.73,235.56,243.13,262,25,10.48,182
2020-10-23,248.8,248.8,242.46,242.62,105,6,17.5,103
2020-10-26,242.62,244.57,237.48,239.32,3990,29,137.59,3861
2020-10-27,239.77,248.0,239.77,247.51,275,15,18.33,270
2020-10-28,193.9,250.0,193.9,242.11,466,27,17.26,414
2020-10-29,242.27,242.27,237.32,238.09,690,19,36.32,593
2020-10-30,240.0,249.87,233.41,236.87,97,24,4.04,45
2020-11-02,249.9,250.0,236.0,247.55,8332,322,25.88,7753
2020-11-03,260.0,263.3,243.46,256.19,175,35,5.0,95
2020-11-04,260.0,260.0,250.9,256.16,579,35,16.54,478
2020-11-05,256.5,269.0,251.7,261.73,360,48,7.5,178
2020-11-06,261.73,275.0,253.71,265.35,547,41,13.34,270
2020-11-09,265.16,285.9,265.16,284.08,911,38,23.97,742
2020-11-10,284.4,291.26,272.7,285.68,321,50,6.42,172
2020-11-11,293.3,297.98,281.7,286.38,1284,34,37.76,949
2020-11-12,283.38,283.98,278.64,281.1,5473,19,288.05,5205
2020-11-13,289.53,289.53,275.1,284.26,3804,73,52.11,2910
2020-11-14,286.18,286.37,282.54,283.79,243,5,48.6,16
2020-11-17,281.2,295.0,272.7,291.68,1572,79,19.9,879
2020-11-18,286.2,297.46,282.86,295.82,1154,59,19.56,418
2020-11-19,305.0,334.2,285.6,286.79,867,82,10.57,289
2020-11-20,296.3,303.91,282.0,286.99,2320,82,28.29,1896
2020-11-23,296.85,296.85,285.81,289.25,307,29,10.59,232
2020-11-24,294.3,296.55,292.2,296.28,341,22,15.5,192
2020-11-25,297.15,300.74,288.0,290.97,477,28,17.04,359
2020-11-26,290.0,295.0,290.0,294.55,15,7,2.14,8
2020-11-27,294.76,295.0,291.86,293.09,118,14,8.43,92
2020-12-01,288.2,297.0,285.6,296.2,897,20,44.85,858
2020-12-02,295.08,296.99,291.41,295.38,365,26,14.04,232
2020-12-03,290.2,299.9,288.31,292.05,374,18,20.78,201
2020-12-04,292.5,300.0,292.05,293.13,194,16,12.12,153
2020-12-07,293.0,303.07,293.0,301.37,94,37,2.54,83
2020-12-08,302.9,310.41,296.7,301.09,40,15,2.67,34
2020-12-09,310.0,310.0,297.51,304.72,396,39,10.15,161
2020-12-10,309.3,310.0,301.24,305.07,21,12,1.75,18
2020-12-11,306.15,306.6,302.25,303.26,75,19,3.95,54
2020-12-14,304.41,307.09,303.04,304.7,124,6,20.67,101
2020-12-15,300.0,306.6,293.6,304.09,404,31,13.03,201
2020-12-16,304.09,307.62,294.8,306.34,460,25,18.4,244
2020-12-17,306.9,307.09,305.15,306.11,113,9,12.56,106
2020-12-18,305.7,306.0,302.38,305.89,79,12,6.58,51
2020-12-21,304.88,304.88,287.68,294.77,130,20,6.5,103
2020-12-22,305.15,305.15,287.8,292.87,5174,40,129.35,5056
2020-12-23,293.7,297.02,293.63,295.42,12,9,1.33,6
2020-12-24,285.6,353.0,285.6,303.0,134,10,13.4,131
2020-12-28,303.0,307.77,299.7,305.28,106,18,5.89,69
2020-12-29,308.55,315.0,307.72,309.55,184,27,6.81,178
2020-12-30,308.17,310.0,308.17,310.0,6,3,2.0,6
2020-12-31,310.0,311.29,308.87,308.97,404,12,33.67,344
2021-01-01,305.7,319.62,305.7,312.28,119,20,5.95,91
2021-01-04,311.16,313.79,307.52,311.28,110,13,8.46,66
