Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2023-05-10,54.9,57.6,54.9,57.6,24659,412,59.85,24659
2023-05-11,60.45,60.45,60.45,60.45,16882,406,41.58,16882
2023-05-12,63.45,63.45,63.45,63.45,7414,188,39.44,7414
2023-05-15,66.6,66.6,66.6,66.6,4880,149,32.75,4880
2023-05-16,69.9,69.9,69.9,69.9,2973,100,29.73,2973
2023-05-17,73.35,73.35,73.35,73.35,1813,81,22.38,1813
2023-05-18,77.0,77.0,77.0,77.0,1233,92,13.4,1233
2023-05-19,80.85,80.85,80.85,80.85,2549,86,29.64,2549
2023-05-22,84.85,84.85,84.85,84.85,1324,78,16.97,1324
2023-05-23,89.05,89.05,89.05,89.05,1048,75,13.97,1048
2023-05-24,97.95,97.95,97.95,97.95,12181,152,80.14,11181
2023-05-25,107.7,107.7,107.7,107.7,3910,98,39.9,3910
2023-05-26,118.45,118.45,118.45,118.45,3487,111,31.41,3487
2023-05-29,124.35,124.35,124.35,124.35,8415,135,62.33,8415
2023-05-30,130.55,130.55,130.55,130.55,2371,89,26.64,2371
2023-05-31,137.05,137.05,137.05,137.05,2570,105,24.48,2570
2023-06-01,143.9,143.9,137.05,143.9,161212,2188,73.68,103252
2023-06-02,151.05,151.05,145.0,150.75,279319,2939,95.04,181322
2023-06-05,154.55,158.25,147.05,152.55,298848,5424,55.1,197045
2023-06-06,145.95,145.95,144.95,144.95,24857,445,55.86,23747
2023-06-07,137.7,137.7,137.7,137.7,50923,414,123.0,47888
2023-06-08,130.85,136.0,130.85,130.85,80975,1110,72.95,62001
2023-06-09,124.3,124.3,124.3,124.3,7151,189,37.84,7151
2023-06-12,118.1,118.1,118.1,118.1,10708,239,44.8,10708
2023-06-13,112.2,121.85,112.2,115.9,373618,5821,64.18,144788
2023-06-14,120.0,120.9,110.1,111.05,175492,2791,62.88,101871
2023-06-15,110.55,113.2,106.0,106.8,78290,1935,40.46,44790
2023-06-16,107.05,111.9,103.5,105.55,78179,1795,43.55,39752
2023-06-19,105.1,109.0,102.1,102.4,57413,1348,42.59,33701
2023-06-20,102.4,104.45,97.3,97.3,210844,1461,144.31,105941
2023-06-21,94.5,97.4,92.45,92.45,524696,2025,259.11,206907
2023-06-22,90.0,90.0,87.85,87.85,292222,1685,173.43,210126
2023-06-23,83.45,83.45,83.45,83.45,80381,307,261.83,80381
2023-06-26,79.3,87.6,79.3,85.5,531535,4820,110.28,182329
2023-06-27,82.2,89.75,81.3,88.7,227161,3566,63.7,109253
2023-06-28,90.5,91.15,85.05,86.8,90208,1814,49.73,53607
2023-06-30,87.0,88.15,85.45,85.7,53728,1222,43.97,36704
2023-07-03,87.2,89.0,86.4,88.1,72881,1551,46.99,55192
2023-07-04,89.0,89.0,86.7,87.55,25220,733,34.41,18233
2023-07-05,88.1,88.9,87.0,87.75,25324,714,35.47,18624
2023-07-06,86.05,88.3,85.0,86.7,22154,815,27.18,13816
