Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2000-06-05,20.45,20.45,15.1,15.65,15019,,,
2000-06-06,16.0,16.9,14.85,16.45,8433,,,
2000-06-07,16.85,16.85,15.3,15.55,5637,,,
2000-06-08,15.85,16.0,15.55,15.75,1820,,,
2000-06-09,16.0,16.0,15.55,15.75,1540,,,
2000-06-12,16.15,16.15,15.05,15.35,2460,,,
2000-06-13,15.2,15.45,14.55,14.75,2834,,,
2000-06-14,15.25,15.45,15.1,15.2,621,,,
2000-06-15,15.45,16.0,15.45,15.85,2559,,,
2000-06-16,16.8,16.95,16.45,16.65,2251,,,
2000-06-19,17.35,17.35,16.75,16.95,2292,,,
2000-06-20,17.25,17.75,16.95,17.65,3276,,,
2000-06-21,17.85,17.95,16.45,16.75,1675,,,
2000-06-22,16.9,16.9,16.65,16.65,360,,,
2000-06-23,16.45,16.7,16.25,16.25,825,,,
2000-06-26,16.3,16.3,15.85,16.25,1552,,,
2000-06-27,16.1,16.1,15.35,15.55,1540,,,
2000-06-28,15.3,15.55,15.05,15.3,1706,,,
2000-06-29,15.55,16.15,15.55,15.95,2531,,,
2000-06-30,15.8,15.85,15.55,15.55,1200,,,
2000-07-03,15.8,16.0,15.6,15.95,976,,,
2000-07-04,15.9,16.0,15.75,15.85,1063,,,
2000-07-05,16.0,16.0,14.65,15.5,1071,,,
2000-07-06,14.95,15.55,14.95,15.45,445,,,
2000-07-07,15.45,16.0,15.4,15.65,1674,,,
2000-07-10,16.0,16.35,15.45,15.75,920,,,
2000-07-11,15.45,16.0,15.45,15.7,1554,,,
2000-07-12,16.0,16.0,15.65,15.85,485,,,
2000-07-13,15.1,15.75,15.1,15.55,1208,,,
2000-07-14,15.65,15.65,15.35,15.35,460,,,
2000-07-17,15.35,15.45,15.1,15.35,1751,,,
2000-07-18,14.75,15.1,14.5,14.6,1126,,,
2000-07-19,15.05,15.45,14.6,14.6,451,,,
2000-07-20,14.7,14.7,14.55,14.65,1425,,,
2000-07-21,14.55,14.55,14.45,14.45,350,,,
2000-07-24,14.4,14.4,13.55,13.55,1284,,,
2000-07-25,12.65,14.55,12.65,14.55,1607,,,
2000-07-26,13.95,14.4,13.95,14.4,451,,,
2000-07-27,15.1,15.1,14.4,14.75,949,,,
2000-07-28,15.35,15.45,14.65,14.65,849,,,
2000-07-31,14.3,14.65,14.25,14.3,1035,,,
2000-08-01,14.15,14.3,13.45,13.45,1100,,,
2000-08-02,13.85,14.25,13.75,13.8,385,,,
2000-08-03,14.45,14.45,13.7,13.75,1269,,,
2000-08-04,13.9,14.05,13.6,13.85,495,,,
2000-08-07,13.95,13.95,13.35,13.45,646,,,
2000-08-08,13.95,13.95,13.05,13.35,800,,,
2000-08-09,13.65,13.7,13.1,13.55,400,,,
2000-08-10,13.5,13.5,12.65,12.7,1826,,,
2000-08-11,13.25,13.35,11.8,12.25,1415,,,
2000-08-14,11.8,12.45,11.55,12.3,843,,,
2000-08-16,11.85,12.35,11.55,11.6,559,,,
2000-08-17,11.9,11.9,10.95,11.0,1562,,,
2000-08-18,11.1,11.1,10.95,11.05,1688,,,
2000-08-21,11.1,11.1,10.3,10.35,738,,,
2000-08-22,10.3,10.3,9.95,10.05,2596,,,
2000-08-23,10.15,10.85,10.15,10.85,1531,,,
2000-08-24,10.75,11.75,10.75,11.45,3310,,,
