Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2020-08-18,119.5,119.55,118.4,119.2,6168,EQ,76.0,81.16,4008.0
2020-08-19,140.0,140.0,117.01,119.81,16621,EQ,128.0,129.85,9979.0
2020-08-20,118.1,119.8,118.1,118.87,1816,EQ,43.0,42.23,1508.0
2020-08-21,120.0,120.79,119.8,119.87,2434,EQ,33.0,73.76,1985.0
2020-08-24,119.88,120.64,119.5,120.21,1285,EQ,50.0,25.7,1256.0
2020-08-25,121.0,121.0,119.1,119.14,1857,EQ,39.0,47.62,1418.0
2020-08-26,119.0,119.6,119.0,119.55,387,EQ,18.0,21.5,317.0
2020-08-27,116.1,125.05,116.05,119.53,1818,EQ,43.0,42.28,1218.0
2020-08-28,119.1,119.98,119.06,119.21,4557,EQ,39.0,116.85,1842.0
2020-08-31,119.5,119.5,115.5,116.0,4793,EQ,159.0,30.14,2864.0
2020-09-01,117.0,117.0,116.0,116.05,302,EQ,12.0,25.17,168.0
2020-09-02,118.0,118.45,117.4,117.5,1851,EQ,36.0,51.42,1159.0
2020-09-03,117.5,119.0,117.5,118.62,2689,EQ,28.0,96.04,2667.0
2020-09-04,118.05,123.4,117.6,118.48,1852,EQ,60.0,30.87,966.0
2020-09-07,118.15,118.15,116.2,116.54,17326,EQ,53.0,326.91,17010.0
2020-09-08,117.1,118.08,117.0,117.0,6555,EQ,17.0,385.59,6292.0
2020-09-09,117.0,117.9,115.85,116.71,11219,EQ,61.0,183.92,5755.0
2020-09-10,120.0,121.0,116.2,118.0,1410,EQ,18.0,78.33,1003.0
2020-09-11,118.05,118.8,118.05,118.6,1694,EQ,21.0,80.67,1651.0
2020-09-14,119.15,120.0,119.13,119.5,4414,EQ,25.0,176.56,3967.0
2020-09-15,120.5,120.9,120.02,120.54,1165,EQ,50.0,23.3,902.0
2020-09-16,121.99,121.99,117.6,121.19,3530,EQ,40.0,88.25,2863.0
2020-09-17,130.0,130.0,118.04,121.6,2780,EQ,44.0,63.18,1298.0
2020-09-18,120.2,126.88,99.9,122.79,7105,EQ,116.0,61.25,4518.0
