Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-05-05,134.5,137.5,127.8,135.15,1041000,ST,376,2768.62,1018000
2026-05-06,136.0,136.0,130.5,131.5,38000,ST,30,1266.67,38000
2026-05-07,130.5,134.5,129.05,130.65,109000,ST,36,3027.78,108000
2026-05-08,129.5,134.0,129.0,131.3,141000,ST,42,3357.14,140000
2026-05-11,128.0,130.0,128.0,129.65,32000,ST,19,1684.21,32000
2026-05-12,128.05,132.0,128.0,129.5,47000,ST,24,1958.33,47000
2026-05-13,128.0,130.0,128.0,129.5,113000,ST,21,5380.95,113000
2026-05-14,129.5,129.5,125.1,125.1,60000,ST,19,3157.89,60000
2026-05-15,125.0,129.0,125.0,127.15,67000,ST,20,3350.0,66000
2026-05-18,126.4,129.5,122.0,128.5,73000,ST,37,1972.97,72000
2026-05-19,130.0,132.5,126.5,130.0,85000,SM,23,3695.65,82000
2026-05-20,126.05,129.0,118.2,123.05,35000,SM,32,1093.75,22000
2026-05-21,126.25,127.7,110.0,113.45,45000,SM,32,1406.25,40000
2026-05-22,113.45,119.0,100.0,107.9,101000,SM,77,1311.69,60000
2026-05-25,109.75,118.0,108.05,111.9,34000,SM,31,1096.77,18000
2026-05-26,113.0,113.0,102.0,105.4,65000,SM,55,1181.82,34000
2026-05-27,110.0,110.0,100.3,102.35,50000,SM,27,1851.85,38000
2026-05-29,104.9,106.8,90.0,98.05,136000,SM,97,1402.06,56000
2026-06-01,97.0,106.0,78.45,78.45,205000,SM,170,1205.88,141000
2026-06-02,70.65,70.65,70.65,70.65,10000,SM,9,1111.11,10000
2026-06-03,68.0,75.0,63.6,73.9,307000,SM,180,1705.56,226000
2026-06-04,79.0,81.25,77.25,81.25,69000,SM,59,1169.49,58000
2026-06-05,81.0,86.95,77.05,85.7,96000,SM,49,1959.18,68000
2026-06-08,85.7,88.0,83.9,84.75,24000,SM,19,1263.16,18000
2026-06-09,91.0,91.0,76.3,78.65,61000,SM,57,1070.18,38000
2026-06-10,79.0,81.95,75.25,78.75,23000,SM,19,1210.53,15000
2026-06-11,78.7,78.7,74.0,77.75,14000,SM,13,1076.92,9000
2026-06-12,84.0,84.0,75.0,75.65,42000,SM,37,1135.14,22000
2026-06-15,79.5,83.2,76.0,82.5,56000,SM,46,1217.39,40000
2026-06-16,86.0,86.0,82.7,84.6,44000,SM,39,1128.21,33000
2026-06-17,84.05,90.5,82.7,87.95,51000,SM,28,1821.43,25000
2026-06-18,89.0,90.6,86.0,87.5,28000,SM,25,1120.0,11000
2026-06-19,87.5,91.0,84.2,89.0,30000,SM,27,1111.11,19000
2026-06-22,89.0,93.15,86.9,91.2,67000,SM,45,1488.89,35000
2026-06-23,91.5,91.5,84.9,85.7,35000,SM,27,1296.3,24000
2026-06-24,88.15,88.15,83.0,83.6,19000,SM,18,1055.56,12000
2026-06-25,84.0,88.5,81.5,85.8,46000,SM,33,1393.94,38000
2026-06-29,84.1,90.05,81.75,81.9,100000,SM,47,2127.66,54000
2026-06-30,83.0,86.8,82.0,83.0,12000,SM,,,
2026-07-01,87.25,87.25,79.0,79.85,43000,SM,41,1048.78,34000
2026-07-02,84.25,84.25,78.0,78.05,35000,SM,33,1060.61,27000
2026-07-03,80.5,85.0,78.0,84.25,31000,SM,26,1192.31,23000
2026-07-06,82.6,85.7,82.6,85.0,29000,SM,5,5800.0,28000
2026-07-07,85.5,88.8,84.85,85.6,84000,SM,47,1787.23,52000
2026-07-08,90.0,90.0,84.0,84.0,16000,SM,14,1142.86,9000
2026-07-09,89.5,89.5,83.0,84.95,13000,SM,13,1000.0,4000
2026-07-10,86.5,86.5,84.0,85.0,5000,SM,4,1250.0,5000
2026-07-13,87.0,87.0,85.0,86.1,9000,SM,9,1000.0,5000
2026-07-14,84.3,92.9,84.3,89.75,78000,SM,54,1444.44,46000
2026-07-15,89.75,92.0,85.0,86.95,142000,SM,98,1448.98,102000
2026-07-16,86.6,88.8,85.0,85.15,43000,SM,19,2263.16,38000
2026-07-17,87.0,87.0,80.0,81.7,25000,SM,21,1190.48,20000
2026-07-20,83.0,83.0,81.05,81.35,38000,SM,16,2375.0,31000
2026-07-21,83.2,85.0,79.5,80.0,15000,SM,15,1000.0,12000
2026-07-22,79.5,81.0,79.5,79.5,23000,SM,16,1437.5,21000
2026-07-23,80.45,82.0,79.0,81.1,27000,SM,22,1227.27,23000
2026-07-24,81.1,86.0,79.7,79.9,48000,SM,39,1230.77,33000
2026-07-27,80.35,84.0,78.75,79.6,46000,SM,35,1314.29,37000
2026-07-28,80.0,81.0,78.6,78.6,26000,SM,15,1733.33,21000
2026-07-29,80.0,81.95,78.5,79.9,47000,SM,32,1468.75,42000
2026-07-30,80.0,87.85,80.0,87.85,66000,SM,42,1571.43,56000
2026-07-31,95.9,96.6,93.2,96.6,48000,SM,39,1230.77,40000
2026-08-03,101.0,106.25,94.5,106.25,37000,SM,37,1000.0,23000
2026-08-04,108.45,111.55,108.4,111.55,37000,SM,15,2466.67,35000
2026-08-05,116.9,117.0,106.0,106.45,80000,SM,66,1212.12,41000
2026-08-06,104.95,105.0,101.5,101.5,20000,SM,7,2857.14,19000
2026-08-07,101.0,106.45,101.0,103.3,81000,SM,16,5062.5,61000
2026-08-10,103.3,108.4,101.8,105.2,29000,SM,19,1526.32,14000
2026-08-11,107.5,108.0,104.0,104.1,109000,SM,17,6411.76,52000
2026-08-12,104.95,107.8,104.0,107.8,67000,SM,30,2233.33,60000
2026-08-13,109.5,109.5,103.5,105.8,8000,SM,6,1333.33,8000
2026-08-14,106.0,106.0,105.95,105.95,21000,SM,3,7000.0,21000
2026-08-17,106.9,106.9,105.0,105.45,23000,SM,3,7666.67,23000
2026-08-18,106.0,106.0,102.0,106.0,21000,SM,16,1312.5,17000
2026-08-19,109.5,109.5,106.0,106.0,6000,SM,5,1200.0,4000
2026-08-20,106.0,107.95,105.2,105.4,55000,SM,17,3235.29,42000
2026-08-21,107.5,110.25,106.1,107.95,75000,SM,24,3125.0,55000
