Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2023-11-10,163.35,163.35,157.0,160.0,8742,EQ,473.0,18.48,6277.0
2023-11-12,163.85,165.05,159.0,162.6,12350,EQ,320.0,38.59,9279.0
2023-11-13,162.6,163.2,153.65,157.0,7098,EQ,342.0,20.75,4611.0
2023-11-15,157.9,164.0,151.2,153.8,7065,EQ,490.0,14.42,4719.0
2023-11-16,153.25,158.75,153.25,156.1,9783,EQ,327.0,29.92,8951.0
2023-11-17,153.2,160.45,153.2,157.15,12403,EQ,333.0,37.25,8942.0
2023-11-20,157.7,160.95,155.1,156.35,6678,EQ,364.0,18.35,5090.0
2023-11-21,155.15,157.45,155.15,155.7,14336,EQ,301.0,47.63,13414.0
2023-11-22,157.0,159.05,155.1,155.8,10380,EQ,462.0,22.47,8318.0
2023-11-23,156.85,157.05,152.95,153.5,16893,EQ,243.0,69.52,14949.0
2023-11-24,155.8,156.45,149.0,151.2,10988,EQ,1023.0,10.74,5030.0
2023-11-28,158.8,161.0,154.1,158.8,16207,EQ,523.0,30.99,10647.0
2023-11-29,159.7,160.5,150.0,154.3,12583,EQ,273.0,46.09,9967.0
2023-11-30,154.05,158.3,150.3,154.55,13411,EQ,663.0,20.23,4986.0
2023-12-01,154.7,173.65,153.8,163.75,78860,EQ,2509.0,31.43,29019.0
2023-12-04,169.0,173.0,165.55,166.8,27070,EQ,1531.0,17.68,16467.0
2023-12-05,168.05,169.4,162.55,163.25,15008,EQ,1010.0,14.86,8356.0
2023-12-06,165.0,176.4,163.9,173.85,53963,EQ,2615.0,20.64,31097.0
2023-12-07,175.8,179.9,168.15,171.1,23621,EQ,2110.0,11.19,12958.0
2023-12-08,177.0,179.0,170.4,172.15,32272,EQ,2930.0,11.01,15938.0
2023-12-11,168.0,175.25,168.0,172.65,27916,EQ,3101.0,9.0,10653.0
2023-12-12,174.2,174.4,165.0,165.4,14818,EQ,1618.0,9.16,7723.0
2023-12-13,163.5,169.9,158.35,162.15,20002,EQ,1436.0,13.93,9013.0
2023-12-14,165.15,168.1,161.45,163.75,10644,EQ,978.0,10.88,5357.0
2023-12-15,164.9,168.35,162.15,164.1,11185,EQ,2033.0,5.5,3394.0
2023-12-18,179.9,179.9,161.0,163.75,15936,EQ,2115.0,7.53,6924.0
2023-12-19,160.55,167.1,160.55,163.2,7482,EQ,660.0,11.34,3912.0
2023-12-20,168.6,168.6,156.1,157.6,22428,EQ,1181.0,18.99,15612.0
2023-12-21,157.55,166.15,155.0,162.85,11938,EQ,474.0,25.19,8128.0
2023-12-22,162.85,166.95,156.65,158.75,6255,EQ,465.0,13.45,3298.0
2023-12-26,161.95,167.95,158.4,166.7,37788,EQ,1232.0,30.67,20968.0
2023-12-27,168.7,172.6,166.2,167.1,19442,EQ,937.0,20.75,11513.0
2023-12-28,170.0,170.45,165.15,167.9,41954,EQ,2129.0,19.71,21342.0
2023-12-29,168.2,169.35,164.15,167.4,15223,EQ,1214.0,12.54,8457.0
