Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2021-12-14,300.0,307.5,282.75,291.75,13930950,319364.0,43.62,5451106.0
2021-12-15,292.5,299.4,289.0,292.5,1337812,37584.0,35.6,506378.0
2021-12-16,293.0,297.25,283.05,285.45,664868,15551.0,42.75,317529.0
2021-12-17,285.4,289.5,282.5,284.4,664213,11469.0,57.91,324058.0
2021-12-20,277.5,280.3,271.3,275.75,790254,10998.0,71.85,447914.0
2021-12-21,276.0,289.2,276.0,287.3,571786,9561.0,59.8,305525.0
2021-12-22,285.0,294.5,285.0,290.25,302623,7393.0,40.93,121160.0
2021-12-23,290.25,293.5,285.0,288.05,205315,6376.0,32.2,93514.0
2021-12-24,287.05,288.65,282.8,285.7,148467,4229.0,35.11,50162.0
2021-12-27,281.55,286.5,281.55,285.7,218861,3483.0,62.84,148836.0
2021-12-28,286.0,289.0,283.5,286.0,235878,5050.0,46.71,72884.0
2021-12-29,285.05,301.0,284.1,291.55,373429,11440.0,32.64,117476.0
2021-12-30,290.05,302.5,290.05,292.9,637277,16879.0,37.76,244712.0
2021-12-31,294.0,303.0,292.5,294.25,383891,12529.0,30.64,161669.0
2022-01-03,297.5,321.25,296.0,316.4,1123074,33224.0,33.8,431239.0
2022-01-04,314.85,327.0,309.2,319.9,943975,29073.0,32.47,252404.0
2022-01-05,317.95,324.25,315.7,318.55,345322,12939.0,26.69,104128.0
2022-01-06,317.45,321.0,312.0,317.35,300674,9114.0,32.99,131482.0
2022-01-07,323.0,324.5,304.0,309.7,949045,33205.0,28.58,336518.0
2022-01-10,305.05,322.2,298.5,314.65,1185655,30177.0,39.29,501768.0
2022-01-11,314.85,320.4,309.5,313.0,378459,11154.0,33.93,174953.0
2022-01-12,315.35,317.45,305.05,309.2,161687,7537.0,21.45,85937.0
2022-01-13,311.7,313.95,306.9,309.95,353212,11854.0,29.8,272165.0
2022-01-14,311.95,314.5,308.25,311.5,166453,3666.0,45.4,61407.0
2022-01-17,314.25,319.0,308.05,309.5,269120,7555.0,35.62,105788.0
2022-01-18,313.0,315.0,305.0,306.75,154614,5050.0,30.62,72894.0
2022-01-19,306.5,310.5,299.85,305.4,145045,3406.0,42.59,82053.0
2022-01-20,302.55,313.2,301.4,302.5,309974,7430.0,41.72,186736.0
2022-01-21,298.0,310.45,298.0,301.55,212651,8485.0,25.06,80460.0
2022-01-24,302.45,304.15,285.5,290.0,317612,8922.0,35.6,209995.0
2022-01-25,290.0,300.4,287.1,296.2,150277,6665.0,22.55,58599.0
2022-01-27,295.0,299.5,291.4,296.85,49623,2862.0,17.34,21118.0
2022-01-28,298.45,305.5,295.0,297.1,98971,4865.0,20.34,46422.0
2022-01-31,299.8,302.0,290.5,292.25,200431,4672.0,42.9,156247.0
2022-02-01,294.5,299.0,290.0,294.55,140359,6229.0,22.53,53919.0
2022-02-02,295.55,300.5,294.55,296.7,67753,2930.0,23.12,23369.0
2022-02-03,294.6,298.0,293.2,293.5,40506,1676.0,24.17,20945.0
2022-02-04,294.0,295.0,287.0,293.75,66736,2719.0,24.54,31688.0
2022-02-07,293.5,294.8,290.0,291.7,37641,1740.0,21.63,14107.0
2022-02-08,291.5,295.0,285.05,291.55,102788,5348.0,19.22,53574.0
2022-02-09,293.0,295.5,285.0,290.9,134125,7625.0,17.59,67513.0
2022-02-10,291.5,303.9,291.05,302.85,193406,7104.0,27.22,92157.0
2022-02-11,306.5,306.9,275.0,295.9,186326,8177.0,22.79,87936.0
2022-02-14,287.7,293.0,277.25,284.35,231591,10011.0,23.13,124291.0
2022-02-15,283.0,296.2,278.6,293.05,294912,11496.0,25.65,136387.0
2022-02-16,292.5,295.75,285.05,285.9,63886,3111.0,20.54,28201.0
2022-02-17,286.5,289.0,281.0,286.4,134045,4306.0,31.13,69793.0
2022-02-18,283.55,286.65,280.1,283.1,110431,3578.0,30.86,54810.0
2022-02-21,279.9,284.05,278.0,281.6,81389,2470.0,32.95,35303.0
2022-02-22,275.05,282.0,273.05,280.2,141915,3151.0,45.04,89385.0
2022-02-23,278.55,286.2,278.2,280.45,21214,1449.0,14.64,6985.0
2022-02-24,275.4,278.3,271.0,275.7,159114,5794.0,27.46,93220.0
2022-02-25,277.5,282.45,277.5,279.9,128129,3343.0,38.33,93193.0
2022-02-28,279.9,280.7,277.0,279.5,27790,1387.0,20.04,11700.0
2022-03-02,277.05,282.5,276.05,277.85,39794,1631.0,24.4,9705.0
2022-03-03,277.5,283.45,277.5,281.15,37897,1759.0,21.54,15181.0
2022-03-04,277.0,282.3,277.0,278.45,30004,1409.0,21.29,14201.0
2022-03-07,277.5,280.6,276.0,279.55,35960,1858.0,19.35,19700.0
2022-03-08,278.05,300.9,278.05,291.8,221988,8310.0,26.71,102501.0
2022-03-09,295.25,295.25,286.2,292.25,108550,4840.0,22.43,44942.0
2022-03-10,294.9,295.0,285.0,289.05,78707,4994.0,15.76,28086.0
2022-03-11,290.0,292.0,285.4,286.4,137947,1863.0,74.05,115886.0
2022-03-14,284.5,288.7,280.4,284.2,75359,4527.0,16.65,38175.0
2022-03-15,285.0,286.7,281.5,282.1,20416,1524.0,13.4,11373.0
2022-03-16,288.4,288.4,284.6,286.9,23949,1467.0,16.33,9159.0
2022-03-17,289.9,290.25,283.75,285.0,43670,2866.0,15.24,16820.0
2022-03-21,286.0,289.25,283.05,288.1,44046,2049.0,21.5,20562.0
2022-03-22,290.35,294.6,289.0,293.35,74431,3144.0,23.67,48929.0
2022-03-23,295.0,298.0,291.0,294.2,77295,3376.0,22.9,23577.0
2022-03-24,292.5,296.2,292.5,295.75,29237,932.0,31.37,20186.0
2022-03-25,296.5,298.9,295.5,297.0,46448,1894.0,24.52,24409.0
2022-03-28,297.2,298.2,294.5,296.9,22276,1075.0,20.72,11555.0
2022-03-29,297.5,299.5,294.25,297.55,159873,2495.0,64.08,119671.0
2022-03-30,302.4,311.5,301.0,303.25,231414,9068.0,25.52,77862.0
2022-03-31,305.0,306.2,301.5,303.15,63685,2535.0,25.12,37877.0
2022-04-01,308.5,308.5,302.6,304.2,32767,2675.0,12.25,18134.0
2022-04-04,305.0,309.1,303.0,307.25,89938,3315.0,27.13,33424.0
2022-04-05,307.5,309.5,305.6,306.15,37100,1399.0,26.52,20866.0
2022-04-06,306.0,318.0,305.5,310.6,82435,3673.0,22.44,28806.0
2022-04-07,310.0,312.5,303.0,304.9,103797,2127.0,48.8,69200.0
2022-04-08,304.5,310.9,304.5,305.45,41255,1528.0,27.0,22343.0
2022-04-11,305.5,306.35,303.1,305.0,35653,1685.0,21.16,19757.0
2022-04-12,309.0,310.2,305.0,306.3,115193,4948.0,23.28,46447.0
2022-04-13,327.5,360.7,327.5,333.05,3460421,121705.0,28.43,701711.0
2022-04-18,331.0,353.5,325.5,349.6,1174141,51452.0,22.82,308225.0
2022-04-19,353.5,354.2,327.0,330.35,314092,15328.0,20.49,93101.0
2022-04-20,333.5,342.5,326.1,329.15,145719,7342.0,19.85,37062.0
2022-04-21,331.1,335.35,323.55,324.7,97134,4458.0,21.79,36871.0
2022-04-22,322.5,334.0,322.0,326.55,133643,6082.0,21.97,55858.0
2022-04-25,326.4,327.3,319.05,320.9,67225,3753.0,17.91,27563.0
2022-04-26,324.5,328.85,317.55,320.3,136807,4433.0,30.86,85971.0
2022-04-27,319.9,337.5,312.25,334.3,178633,7859.0,22.73,73624.0
2022-04-28,336.0,337.5,322.35,327.1,87992,4515.0,19.49,33391.0
2022-04-29,325.25,333.0,321.3,324.3,68410,2769.0,24.71,33185.0
2022-05-02,325.0,331.0,318.05,323.7,263643,8243.0,31.98,182368.0
2022-05-04,330.0,330.0,320.5,321.4,45061,2224.0,20.26,25166.0
2022-05-05,321.0,329.15,315.5,318.55,48545,2601.0,18.66,27093.0
2022-05-06,314.0,317.5,306.1,314.75,75958,4107.0,18.49,40322.0
2022-05-09,310.55,318.0,308.5,312.8,77212,4311.0,17.91,23060.0
2022-05-10,314.0,317.25,311.75,314.3,48902,2479.0,19.73,26348.0
2022-05-11,311.55,315.0,304.75,310.05,56515,3357.0,16.83,28153.0
2022-05-12,309.95,310.2,304.0,306.05,80801,2406.0,33.58,56240.0
2022-05-13,312.4,312.4,305.0,306.25,25676,1437.0,17.87,11923.0
2022-05-16,311.4,311.4,303.6,307.6,28677,1533.0,18.71,9982.0
2022-05-17,312.4,334.0,308.1,329.95,117143,6152.0,19.04,35508.0
