Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2021-06-04,38.0,38.25,36.2,37.55,46865,,,
2021-06-07,39.0,39.4,34.15,34.6,35221,,,
2021-06-08,35.6,35.6,33.8,34.7,12085,,,
2021-06-09,34.8,34.8,32.35,32.65,15273,,,
2021-06-10,34.0,34.0,31.2,31.5,12156,,,
2021-06-11,33.2,33.2,31.0,32.05,32624,,,
2021-06-14,33.4,33.4,31.7,32.0,25405,,,
2021-06-15,31.85,32.6,31.45,31.75,25535,,,
2021-06-16,32.4,32.4,31.0,31.45,21379,,,
2021-06-17,32.3,32.3,30.9,31.4,32595,,,
2021-06-18,30.95,31.4,30.0,31.05,20539,,,
2021-06-21,31.95,31.95,28.15,30.75,22787,,,
2021-06-22,31.0,31.05,29.45,30.2,27168,,,
2021-06-23,31.0,31.0,28.3,29.35,30498,,,
2021-06-24,29.4,30.2,27.6,28.25,26777,,,
2021-06-25,29.9,29.9,28.0,28.1,28104,,,
2021-06-28,28.0,29.7,27.2,29.05,26446,,,
2021-06-29,29.8,31.95,28.85,31.0,30667,,,
2021-06-30,33.2,33.2,30.05,30.6,28741,,,
2021-07-01,29.4,33.35,29.4,32.55,29070,,,
2021-07-02,33.05,33.05,30.05,31.1,27291,,,
2021-07-05,32.0,32.8,30.95,32.2,25248,,,
2021-07-06,32.3,32.4,31.25,31.8,22873,,,
2021-07-07,32.0,32.0,30.8,31.65,23276,,,
2021-07-08,31.7,31.8,30.8,31.75,23016,,,
2021-07-09,31.2,32.3,31.0,31.65,26633,,,
2021-07-12,32.4,32.85,31.95,32.4,30381,,,
2021-07-13,32.95,33.0,31.6,32.55,40969,,,
2021-07-14,32.65,32.85,32.05,32.4,24948,,,
2021-07-15,32.8,35.6,31.65,35.15,41802,,,
2021-07-16,35.0,35.25,33.2,34.35,34206,,,
2021-07-19,33.25,34.8,33.0,33.3,30840,,,
2021-07-20,33.25,35.0,33.0,34.3,25997,,,
2021-07-22,35.0,35.0,33.6,34.3,22791,,,
2021-07-23,35.4,36.2,33.5,33.9,27103,,,
2021-07-26,34.0,34.0,32.5,32.95,25931,,,
2021-07-27,33.6,35.15,31.8,33.25,22351,,,
2021-07-28,33.45,34.0,32.4,33.8,21959,,,
2021-07-29,33.8,33.8,32.45,32.95,27337,,,
2021-07-30,33.6,33.75,32.7,33.65,27127,,,
2021-08-02,33.9,33.9,33.4,33.5,25659,,,
2021-08-03,33.95,34.0,31.25,32.2,27760,,,
2021-08-04,32.95,33.8,31.0,32.85,21590,,,
2021-08-05,32.1,33.0,31.3,32.45,23001,,,
2021-08-06,33.15,33.15,29.85,30.85,28002,,,
2021-08-09,31.0,37.0,29.7,37.0,80913,,,
2021-08-10,40.0,43.0,37.05,38.45,220553,,,
2021-08-11,38.05,41.0,35.5,40.1,40800,,,
2021-08-12,41.0,41.95,39.0,39.95,25723,,,
2021-08-13,41.0,41.0,37.75,38.75,13996,,,
2021-08-16,38.4,39.4,36.65,38.7,34520,,,
2021-08-17,37.9,39.25,36.2,37.0,13628,,,
2021-08-18,37.4,39.6,36.4,37.2,4560,,,
2021-08-20,40.8,40.8,34.25,36.1,8918,,,
2021-08-23,36.0,38.0,33.2,33.8,10652,,,
2021-08-24,35.75,35.75,32.8,34.45,16518,,,
2021-08-25,33.4,35.0,33.0,34.05,16041,,,
2021-08-26,34.7,34.75,32.65,33.65,4002,,,
2021-08-27,35.6,40.35,35.3,38.45,223875,,,
2021-08-30,40.0,41.4,38.55,40.75,80423,,,
2021-08-31,41.8,43.5,40.7,41.1,76162,,,
