Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-09-10,10.2,10.35,10.0,10.3,16411953,EQ,1337,12275.21,16283659
2025-09-11,10.55,10.55,10.21,10.26,253093,EQ,519,487.66,239692
2025-09-12,10.45,10.55,10.25,10.27,429991,EQ,667,644.66,308372
2025-09-15,10.52,10.52,10.24,10.24,539202,EQ,911,591.88,476895
2025-09-16,10.49,10.5,10.25,10.38,402380,EQ,812,495.54,259795
2025-09-17,10.59,10.59,10.27,10.27,400483,EQ,928,431.55,285469
2025-09-18,10.52,10.52,10.23,10.36,194832,EQ,852,228.68,183229
2025-09-19,10.61,10.61,10.22,10.31,396602,EQ,868,456.91,285977
2025-09-22,10.56,10.56,10.35,10.48,363155,EQ,1083,335.32,285196
2025-09-23,10.74,10.74,10.53,10.7,507047,EQ,1281,395.82,467276
2025-09-24,10.96,10.96,10.65,10.7,577352,EQ,1641,351.83,489356
2025-09-25,10.96,10.96,10.4,10.59,443880,EQ,1086,408.73,347187
2025-09-26,10.69,10.69,10.59,10.63,349165,EQ,1155,302.31,304695
2025-09-29,10.89,10.89,10.68,10.82,877491,EQ,1440,609.37,813887
2025-09-30,10.87,11.09,10.8,10.83,774705,EQ,1813,427.31,708766
2025-10-01,11.1,11.1,10.88,11.04,873349,EQ,1446,603.98,599578
2025-10-03,11.31,11.31,10.9,10.96,864200,EQ,1745,495.24,771650
2025-10-06,11.23,11.23,11.01,11.2,1260927,EQ,1843,684.17,989113
2025-10-07,11.48,11.48,11.08,11.21,1225495,EQ,2196,558.06,981619
2025-10-08,11.26,11.52,11.26,11.47,1330489,EQ,2214,600.94,1227139
2025-10-09,11.58,11.66,11.45,11.5,1059314,EQ,2533,418.21,968602
2025-10-10,11.54,11.6,11.15,11.37,983900,EQ,2374,414.45,790467
