Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-12-04,138.7,145.6,138.7,145.6,1596800,841,1898.69,1596800
2024-12-05,138.35,138.35,138.35,138.35,158400,80,1980.0,158400
2024-12-06,131.45,131.45,131.45,131.45,17600,11,1600.0,17600
2024-12-09,124.9,124.9,124.9,124.9,12800,8,1600.0,12800
2024-12-10,118.65,131.1,118.65,130.9,958400,474,2021.94,907200
2024-12-11,124.35,124.35,124.35,124.35,78400,36,2177.78,78400
2024-12-12,118.15,130.55,118.15,130.55,590400,235,2512.34,552000
2024-12-13,131.5,137.05,125.2,137.0,259200,141,1838.3,233600
2024-12-16,137.0,139.4,130.2,133.55,172800,101,1710.89,155200
2024-12-17,133.55,137.0,131.0,133.85,137600,71,1938.03,108800
2024-12-18,135.0,138.8,126.2,130.9,214400,118,1816.95,113600
2024-12-19,128.0,131.7,125.0,125.9,134400,80,1680.0,88000
2024-12-20,126.2,136.75,126.0,129.6,408000,239,1707.11,222400
2024-12-23,132.0,136.0,127.0,128.05,108800,66,1648.48,75200
2024-12-24,126.5,131.3,126.35,129.4,46400,29,1600.0,27200
2024-12-26,129.0,129.0,124.1,127.5,75200,45,1671.11,59200
2024-12-27,124.35,125.95,120.5,121.85,182400,101,1805.94,123200
2024-12-30,122.0,125.7,120.0,124.8,83200,48,1733.33,70400
2024-12-31,123.5,124.9,121.0,123.0,104000,43,2418.6,89600
2025-01-01,123.0,128.0,123.0,126.35,144000,57,2526.32,110400
2025-01-02,126.35,151.6,126.0,149.2,524800,297,1767.0,345600
2025-01-03,155.0,158.8,142.35,144.6,292800,182,1608.79,212800
2025-01-06,142.5,143.9,135.0,136.7,198400,117,1695.73,155200
2025-01-07,142.5,145.0,138.0,141.75,118400,74,1600.0,81600
2025-01-08,143.0,155.0,132.0,146.9,332800,175,1901.71,180800
2025-01-09,146.5,157.75,142.4,153.6,356800,199,1792.96,188800
2025-01-10,152.0,154.1,142.55,152.0,201600,118,1708.47,102400
2025-01-13,145.5,162.0,145.5,146.3,211200,126,1676.19,81600
2025-01-14,152.0,156.9,146.35,152.05,67200,41,1639.02,36800
2025-01-15,153.0,169.0,150.1,159.15,184000,113,1628.32,100800
2025-01-16,165.0,166.95,157.0,158.3,177600,108,1644.44,99200
2025-01-17,157.5,159.6,142.1,147.65,224000,123,1821.14,108800
2025-01-20,149.55,154.0,144.5,150.05,110400,64,1725.0,60800
2025-01-21,146.15,151.0,140.3,146.7,126400,76,1663.16,54400
2025-01-22,149.0,149.0,134.5,138.9,136000,79,1721.52,96000
2025-01-23,136.5,141.7,134.1,136.1,86400,53,1630.19,43200
2025-01-24,135.0,135.0,128.55,129.25,68800,41,1678.05,46400
2025-01-27,124.05,140.0,120.05,133.95,214400,101,2122.77,147200
2025-01-28,140.0,145.0,128.0,131.2,132800,83,1600.0,70400
2025-01-29,130.8,141.0,130.8,138.2,60800,38,1600.0,35200
2025-01-30,143.5,143.5,136.2,137.65,65600,38,1726.32,27200
2025-01-31,139.0,141.95,138.0,139.4,25600,15,1706.67,14400
2025-02-01,140.05,143.0,136.0,139.35,97600,52,1876.92,67200
2025-02-03,135.0,140.0,133.05,137.95,115200,63,1828.57,68800
2025-02-04,138.8,145.6,137.0,144.7,76800,46,1669.57,43200
2025-02-05,144.95,145.0,141.7,143.9,25600,14,1828.57,22400
2025-02-06,145.0,145.0,139.05,140.45,41600,25,1664.0,25600
2025-02-07,138.65,140.35,138.65,140.35,3200,2,1600.0,1600
2025-02-10,138.05,138.05,130.25,132.6,32000,20,1600.0,22400
2025-02-11,130.05,130.5,122.1,123.65,68800,39,1764.1,48000
2025-02-12,123.0,130.2,118.5,128.75,28800,18,1600.0,20800
2025-02-13,128.75,134.4,127.0,132.4,25600,16,1600.0,12800
2025-02-14,133.0,133.75,123.8,124.6,75200,46,1634.78,48000
2025-02-17,122.0,122.05,119.0,121.2,56000,32,1750.0,49600
2025-02-18,122.5,122.5,112.2,114.9,48000,30,1600.0,28800
2025-02-19,112.0,121.5,111.95,118.5,32000,18,1777.78,19200
2025-02-20,121.0,121.0,115.25,116.2,24000,14,1714.29,12800
2025-02-21,118.0,119.0,112.0,115.15,41600,25,1664.0,25600
2025-02-24,114.0,114.95,111.25,113.5,20800,13,1600.0,11200
2025-02-25,112.6,115.1,111.2,111.6,17600,11,1600.0,11200
2025-02-27,112.8,112.95,110.0,110.0,17600,11,1600.0,12800
2025-02-28,108.0,111.0,106.05,111.0,17600,11,1600.0,16000
2025-03-03,106.65,113.25,104.0,105.2,105600,42,2514.29,83200
2025-03-04,104.0,108.0,102.0,103.85,142400,50,2848.0,118400
2025-03-05,104.0,109.0,98.0,104.45,355200,113,3143.36,254400
2025-03-06,106.0,108.0,102.1,103.85,120000,58,2068.97,70400
2025-03-07,104.7,106.8,101.6,103.0,112000,37,3027.03,86400
2025-03-10,103.0,104.0,98.95,98.95,44800,25,1792.0,33600
2025-03-11,97.5,97.5,93.2,94.4,51200,31,1651.61,40000
2025-03-12,95.0,95.0,85.0,86.65,65600,41,1600.0,41600
2025-03-13,89.0,89.0,79.5,80.55,112000,65,1723.08,70400
