Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,970.0,1100.0,900.0,907.55,706,EQ,64.0,11.03,537.0
2026-04-21,1049.95,1049.95,902.05,956.4,2831,EQ,391.0,7.24,2043.0
2026-04-22,956.0,960.05,910.0,947.9,4701,EQ,394.0,11.93,2980.0
2026-04-23,988.0,988.0,875.0,928.55,2464,EQ,232.0,10.62,1480.0
2026-04-24,939.95,950.0,900.0,939.05,869,EQ,101.0,8.6,630.0
2026-04-27,938.0,950.0,934.0,945.7,2083,EQ,120.0,17.36,1352.0
2026-04-28,911.4,949.8,880.4,924.2,2914,EQ,151.0,19.3,1168.0
2026-04-29,938.75,950.0,865.5,906.5,5235,EQ,245.0,21.37,2958.0
2026-04-30,904.0,940.0,877.8,910.7,1406,EQ,274.0,5.13,835.0
2026-05-04,987.0,987.0,888.0,916.4,2915,EQ,359.0,8.12,1365.0
2026-05-05,911.05,922.0,882.0,911.3,3508,EQ,142.0,24.7,2418.0
2026-05-06,911.3,930.0,861.4,904.6,1705,EQ,168.0,10.15,1188.0
2026-05-07,906.0,938.95,891.2,913.1,8613,EQ,263.0,32.75,6032.0
2026-05-08,900.1,914.95,893.0,909.3,980,EQ,76.0,12.89,602.0
2026-05-11,910.0,919.9,860.05,891.1,6267,EQ,439.0,14.28,4271.0
2026-05-12,915.0,920.0,872.1,892.8,4612,EQ,284.0,16.24,3527.0
2026-05-13,923.8,923.8,866.0,874.1,1995,EQ,236.0,8.45,1084.0
2026-05-14,890.2,890.5,815.5,841.4,1769,EQ,260.0,6.8,830.0
2026-05-15,844.6,884.9,830.0,858.85,3845,EQ,270.0,14.24,2986.0
2026-05-18,858.85,910.0,770.0,806.15,4211,EQ,1011.0,4.17,1720.0
2026-05-19,771.1,877.3,751.0,852.35,4086,EQ,579.0,7.06,1945.0
2026-05-20,910.0,940.0,825.0,865.9,2926,EQ,352.0,8.31,1434.0
2026-05-21,918.9,918.9,867.1,899.35,3189,EQ,237.0,13.46,2154.0
2026-05-22,900.35,901.8,801.4,865.3,7066,EQ,1016.0,6.95,3059.0
2026-05-25,895.6,919.0,806.4,851.65,3572,EQ,551.0,6.48,1851.0
2026-05-26,878.95,914.0,834.7,859.6,1436,EQ,204.0,7.04,1036.0
2026-05-27,889.7,896.95,830.05,893.2,1002,EQ,136.0,7.37,676.0
2026-05-29,853.25,919.95,853.25,893.85,2213,EQ,239.0,9.26,1614.0
2026-06-01,957.95,957.95,715.1,737.4,62638,EQ,3481.0,17.99,37149.0
2026-06-02,800.0,839.85,740.45,812.65,14131,EQ,1338.0,10.56,4667.0
2026-06-03,829.5,839.95,800.4,829.05,1834,EQ,264.0,6.95,1252.0
2026-06-04,824.95,839.75,765.0,824.0,4388,EQ,431.0,10.18,2024.0
2026-06-05,822.7,859.25,815.0,823.9,1437,EQ,146.0,9.84,763.0
2026-06-08,805.2,839.0,805.0,822.65,1306,EQ,117.0,11.16,797.0
2026-06-09,819.0,855.0,810.0,828.75,1406,EQ,115.0,12.23,946.0
2026-06-10,857.8,929.4,857.8,882.95,34423,EQ,2631.0,13.08,4643.0
2026-06-11,891.8,982.0,842.5,861.65,74064,EQ,5261.0,14.08,6354.0
2026-06-12,859.85,875.0,825.0,858.0,7248,EQ,973.0,7.45,2789.0
2026-06-15,846.0,875.0,846.0,873.55,1794,EQ,242.0,7.41,622.0
2026-06-16,900.0,902.0,858.0,882.55,4737,EQ,578.0,8.2,2034.0
2026-06-17,882.6,885.0,858.0,877.0,2661,EQ,298.0,8.93,1410.0
2026-06-18,863.85,864.8,858.0,861.85,2154,EQ,112.0,19.23,1608.0
2026-06-19,844.0,936.0,831.05,871.0,5079,EQ,377.0,13.47,2512.0
2026-06-22,896.8,896.8,858.0,863.55,3640,EQ,274.0,13.28,2182.0
2026-06-23,876.5,889.0,848.1,872.0,1079,EQ,173.0,6.24,562.0
2026-06-24,871.45,876.0,832.55,865.45,1924,EQ,243.0,7.92,1046.0
2026-06-25,865.75,865.75,835.0,844.05,1205,EQ,134.0,8.99,864.0
2026-06-29,844.55,870.0,844.05,850.85,712,EQ,95.0,7.49,486.0
2026-06-30,848.9,878.0,819.05,844.5,1967,EQ,348.0,5.65,1361.0
2026-07-01,874.1,956.0,762.6,782.25,68440,EQ,4411,15.52,16866
2026-07-02,765.0,807.55,765.0,788.9,7359,EQ,694,10.6,3586
2026-07-03,794.0,804.95,777.05,791.3,4654,EQ,535,8.7,2305
2026-07-06,805.0,820.0,783.1,789.65,4157,EQ,271,15.34,2867
2026-07-07,807.8,815.0,793.45,808.8,2668,EQ,243,10.98,2048
2026-07-08,808.9,811.2,775.0,789.1,6334,EQ,317,19.98,5241
2026-07-09,795.45,810.0,773.0,798.4,2892,EQ,283,10.22,1609
2026-07-10,809.45,831.0,768.1,808.65,2546,EQ,356,7.15,1601
2026-07-13,799.8,819.9,792.05,816.65,2814,EQ,245,11.49,2192
2026-07-14,809.85,819.0,789.5,808.45,5343,EQ,216,24.74,4409
2026-07-15,808.7,809.0,764.0,797.55,9748,EQ,910,10.71,5792
2026-07-16,780.2,804.0,770.1,793.1,23732,EQ,613,38.71,20458
2026-07-17,784.75,862.0,770.05,802.8,18609,EQ,987,18.85,12284
2026-07-20,819.15,872.0,794.55,860.7,9024,EQ,618,14.6,6298
2026-07-21,886.95,934.95,843.6,914.85,17074,EQ,1264,13.51,9372
2026-07-22,910.6,937.4,878.5,907.85,6562,EQ,502,13.07,4005
2026-07-23,910.6,1018.0,910.0,969.8,4778,EQ,450,10.62,2483
2026-07-24,930.1,1039.4,930.1,1021.7,5725,EQ,540,10.6,3171
2026-07-27,1022.0,1097.0,1022.0,1081.4,7647,EQ,657,11.64,4690
2026-07-28,1097.0,1097.0,1063.5,1088.4,1786,EQ,347,5.15,743
2026-07-29,1088.4,1225.0,1088.4,1144.9,46928,EQ,3225,14.55,13197
2026-07-30,1123.0,1139.6,1069.9,1087.0,4909,EQ,559,8.78,2500
2026-07-31,1087.05,1175.0,1087.05,1142.75,12691,EQ,866,14.65,7851
2026-08-03,1142.0,1142.0,1106.2,1137.9,1624,EQ,194,8.37,822
2026-08-04,1165.3,1175.0,1112.4,1149.6,3408,EQ,505,6.75,1489
2026-08-05,1180.0,1180.0,1110.0,1136.6,5414,EQ,449,12.06,1279
2026-08-06,1102.8,1147.0,1072.0,1130.4,1815,EQ,278,6.53,1223
2026-08-07,1129.5,1138.2,1088.3,1124.6,2527,EQ,230,10.99,1304
2026-08-10,1133.5,1133.9,1107.0,1124.3,773,EQ,118,6.55,514
2026-08-11,1126.3,1126.5,1105.1,1119.2,1019,EQ,168,6.07,635
2026-08-12,1108.4,1110.2,1080.2,1096.8,1252,EQ,180,6.96,874
2026-08-13,1071.0,1125.0,1025.1,1072.5,6175,EQ,452,13.66,3684
2026-08-14,1071.6,1100.0,982.0,1048.5,4716,EQ,703,6.71,2069
2026-08-17,1064.2,1080.0,1010.0,1031.6,3566,EQ,266,13.41,2734
2026-08-18,1030.0,1046.8,975.2,1021.5,3544,EQ,550,6.44,1953
2026-08-19,1021.1,1059.6,977.0,1029.5,2750,EQ,316,8.7,1128
2026-08-20,1044.9,1054.0,1010.2,1035.4,3381,EQ,468,7.22,1689
2026-08-21,1006.9,1058.1,990.0,1007.2,4525,EQ,268,16.88,3866
