Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-06-25,205.0,208.5,171.49,174.38,13200640,120928,109.16,4696622
2025-06-26,175.66,181.98,175.66,176.84,2413289,21921,110.09,959526
2025-06-27,179.0,180.98,176.12,177.15,863791,8104,106.59,504186
2025-06-30,178.79,179.49,172.0,173.29,562568,9563,58.83,251526
2025-07-01,173.22,174.68,163.11,163.72,1199086,19237,62.33,490492
2025-07-02,163.86,164.61,153.96,160.34,1908582,34797,54.85,611316
2025-07-03,161.1,163.26,158.5,160.08,618725,11026,56.12,282108
2025-07-04,162.04,179.11,160.4,172.58,3887536,46453,83.69,963430
2025-07-07,172.58,172.58,162.8,163.98,641406,16516,38.84,272522
2025-07-08,163.92,166.59,159.3,160.34,654349,16845,38.85,210941
2025-07-09,160.31,165.29,160.23,162.32,574448,13867,41.43,175130
2025-07-10,163.7,164.23,160.16,160.57,449930,11011,40.86,149353
2025-07-11,160.5,165.3,160.5,163.18,614416,13386,45.9,154330
2025-07-14,167.0,168.95,161.33,162.33,1104801,18530,59.62,225907
2025-07-15,163.0,164.9,162.5,163.02,243632,4111,59.26,94468
2025-07-16,164.3,166.9,161.6,162.47,524876,8377,62.66,152041
2025-07-17,162.7,163.8,158.0,158.9,363947,6852,53.12,173264
2025-07-18,159.0,160.7,155.2,155.7,488810,11879,41.15,150054
2025-07-21,156.46,157.2,152.16,152.59,384090,9107,42.18,128244
2025-07-22,158.0,160.0,150.92,152.99,1184263,15460,76.6,328565
2025-07-23,153.97,153.97,145.2,145.97,2768310,26203,105.65,1909338
2025-07-24,145.98,148.4,145.45,146.88,646172,10000,64.62,188461
2025-07-25,146.99,147.88,143.61,145.13,398772,6562,60.77,99347
2025-07-28,145.35,145.83,138.05,138.82,474347,11078,42.82,196662
2025-07-29,138.45,139.3,136.0,137.07,258123,9246,27.92,98046
2025-07-30,137.15,145.0,137.14,144.55,454903,7069,64.35,152696
2025-07-31,143.0,144.0,141.17,142.9,218629,3144,69.54,102516
2025-08-01,142.9,150.14,140.5,149.27,566979,8213,69.03,256419
