Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-08-17,125.0,125.0,122.87,122.87,263,EQ,8,32.88,263
2026-08-18,122.87,126.75,110.0,114.3,776,EQ,55,14.11,671
2026-08-19,111.5,133.9,111.5,121.3,12941,EQ,453,28.57,7973
2026-08-20,130.0,133.8,125.02,126.7,3439,EQ,92,37.38,1769
2026-08-21,125.0,128.99,125.0,126.82,1067,EQ,31,34.42,719
2026-08-24,124.28,126.82,122.0,126.4,1157,EQ,40,28.92,1047
2026-08-25,127.0,128.99,122.75,123.17,336,EQ,20,16.8,182
2026-08-26,122.0,126.98,122.0,124.01,2521,EQ,52,48.48,1651
2026-08-27,134.0,134.0,118.6,121.01,5096,EQ,181,28.15,3414
2026-08-28,120.01,125.0,119.99,123.28,1859,EQ,53,35.08,1300
2026-08-31,128.95,128.95,120.0,122.65,1232,EQ,33,37.33,909
