Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2023-05-12,194.45,194.45,180.0,194.35,52818,305,173.17,47404
2023-05-15,203.0,204.05,194.4,204.05,32743,195,167.91,29796
2023-05-16,214.25,214.25,214.25,214.25,29781,106,280.95,27971
2023-05-17,224.95,224.95,203.55,210.05,68472,1219,56.17,38416
2023-05-18,216.9,220.05,210.5,213.4,29055,373,77.9,6011
2023-05-19,218.7,224.05,215.0,216.55,33818,353,95.8,9940
2023-05-22,205.75,217.15,205.75,213.15,40408,283,142.78,17344
2023-05-23,222.5,223.8,218.75,223.8,11927,194,61.48,10339
2023-05-24,230.0,234.95,215.0,228.85,98924,997,99.22,68484
2023-05-25,236.9,236.9,220.0,227.2,23034,373,61.75,19005
2023-05-26,227.2,229.5,216.55,217.75,28805,538,53.54,21799
2023-05-29,223.75,228.6,212.3,220.05,39489,719,54.92,29936
2023-05-30,218.95,229.6,214.55,223.7,26672,341,78.22,3073
2023-05-31,229.9,229.9,220.05,225.5,34798,429,81.11,7457
2023-06-01,224.9,228.9,215.55,219.5,56588,904,62.6,30644
2023-06-02,224.2,224.2,216.35,220.9,30720,358,85.81,5409
2023-06-05,231.9,231.9,224.95,231.85,92260,695,132.75,80971
2023-06-06,235.95,238.0,222.5,225.0,67433,889,75.85,34227
2023-06-07,234.9,234.9,215.0,219.75,143705,1204,119.36,104836
2023-06-08,230.0,230.0,212.35,221.5,72135,727,99.22,42926
2023-06-09,221.65,226.0,219.05,224.7,50162,374,134.12,27499
2023-06-12,220.15,247.15,220.15,247.15,115694,857,135.0,78064
2023-06-13,254.95,271.85,249.05,271.2,156405,2371,65.97,74922
2023-06-14,268.0,283.95,260.0,268.95,85218,1967,43.32,36565
2023-06-15,275.8,275.8,258.0,271.2,44367,604,73.46,14144
2023-06-16,272.25,272.25,258.0,261.0,49237,880,55.95,18097
2023-06-19,270.8,270.8,259.0,260.1,32620,506,64.47,7839
2023-06-20,262.7,264.9,254.5,258.7,51873,403,128.72,29031
2023-06-21,268.9,278.2,258.5,272.9,61337,951,64.5,31185
2023-06-22,283.95,283.95,263.05,268.25,81464,909,89.62,39200
2023-06-23,263.7,270.0,260.1,267.45,32414,406,79.84,8951
2023-06-26,260.0,287.95,253.55,276.5,43670,682,64.03,12981
2023-06-27,279.95,281.9,266.0,269.1,43258,558,77.52,17262
2023-06-28,269.1,273.95,263.0,265.65,36275,472,76.85,12524
2023-06-30,264.95,270.0,253.95,261.1,67887,856,79.31,38430
2023-07-03,264.4,279.0,261.85,266.35,37585,684,54.95,18754
2023-07-04,270.0,280.1,267.05,267.9,20967,622,33.71,6617
2023-07-05,288.9,288.9,270.25,274.35,72567,1462,49.64,29219
2023-07-06,284.9,284.9,270.6,271.45,91293,2634,34.66,70581
2023-07-07,282.05,282.05,266.65,269.7,63483,1035,61.34,38490
2023-07-10,280.0,289.0,264.0,264.35,27544,1032,26.69,10612
2023-07-11,268.0,272.2,261.3,269.45,27887,391,71.32,13424
2023-07-12,275.95,275.95,264.2,265.45,23112,617,37.46,8329
2023-07-13,269.85,270.0,257.15,260.65,36803,1853,19.86,20026
2023-07-14,260.0,270.55,256.95,270.15,18464,490,37.68,3831
2023-07-17,275.9,275.9,265.0,266.0,19978,610,32.75,6505
2023-07-18,266.3,270.05,260.0,261.15,16747,366,45.76,3575
2023-07-19,269.0,269.0,257.55,263.75,21327,516,41.33,6184
2023-07-20,265.0,270.1,260.5,269.5,47653,3588,13.28,27000
2023-07-21,260.2,269.95,258.5,266.65,26513,1752,15.13,7751
2023-07-24,266.6,268.5,263.6,268.1,30882,581,53.15,15914
2023-07-25,269.55,271.45,265.5,267.9,25567,372,68.73,10837
2023-07-26,263.5,269.9,262.5,267.9,26184,556,47.09,10628
2023-07-27,273.7,283.0,266.2,269.7,93614,1434,65.28,61804
2023-07-28,272.1,281.6,268.95,271.3,79345,1538,51.59,54869
2023-07-31,277.0,277.0,264.2,267.2,30596,2278,13.43,10964
2023-08-01,267.95,274.8,260.55,270.45,53867,4091,13.17,17002
2023-08-02,270.65,274.0,259.9,269.75,68394,1186,57.67,51006
2023-08-03,263.95,274.0,263.55,270.25,25516,512,49.84,10955
2023-08-04,273.0,273.0,268.0,270.35,35120,879,39.95,20188
2023-08-07,275.0,275.0,260.5,263.8,34893,992,35.17,18043
2023-08-08,270.55,270.55,260.0,262.15,29336,2630,11.15,8501
2023-08-09,262.05,265.95,260.1,263.05,39971,4712,8.48,18075
2023-08-10,268.0,272.5,261.2,266.5,59385,3168,18.75,36427
2023-08-11,270.3,270.5,262.4,265.35,19286,2061,9.36,4863
2023-08-14,272.95,281.75,259.05,262.05,54325,2048,26.53,32030
2023-08-16,261.65,262.0,253.35,260.0,30981,3052,10.15,8317
2023-08-17,262.05,264.25,245.0,249.55,67351,11921,5.65,16908
2023-08-18,256.05,259.65,251.05,255.9,37400,3734,10.02,12123
