Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-11-06,440.0,449.95,430.0,443.25,46731,3800.0,12.3,29968.0
2024-11-07,441.0,451.0,435.0,439.75,35185,2853.0,12.33,23474.0
2024-11-08,433.0,442.85,414.9,424.5,72913,6083.0,11.99,37571.0
2024-11-11,416.15,443.7,412.65,416.3,46768,4818.0,9.71,23937.0
2024-11-12,422.55,470.0,415.05,430.25,162255,11823.0,13.72,77296.0
2024-11-13,422.1,469.5,422.1,461.3,371900,23851.0,15.59,194591.0
2024-11-14,462.0,464.0,447.75,457.45,203724,6976.0,29.2,169865.0
2024-11-18,450.1,458.9,431.55,452.8,79123,6037.0,13.11,49139.0
2024-11-19,459.95,488.0,459.95,472.9,189376,13958.0,13.57,99863.0
2024-11-21,472.0,487.2,451.05,468.25,103979,19685.0,5.28,47818.0
2024-11-22,463.5,485.0,461.3,482.35,69547,5793.0,12.01,43835.0
2024-11-25,490.0,504.0,486.1,495.95,273745,21033.0,13.02,162630.0
2024-11-26,495.95,498.6,474.35,476.6,69698,5745.0,12.13,40820.0
2024-11-27,479.95,480.05,460.0,461.65,62925,6203.0,10.14,32662.0
2024-11-28,473.0,496.0,470.3,484.6,231863,11976.0,19.36,112120.0
2024-11-29,494.6,494.6,472.35,475.45,48510,5292,9.17,21543
