Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2018-07-26,52.0,54.0,49.5,52.25,66000,,,
2018-07-27,52.0,54.0,52.0,54.0,8000,,,
2018-07-30,51.4,52.5,51.4,51.95,4000,,,
2018-07-31,51.5,52.0,49.5,51.65,10000,,,
2018-08-03,49.2,53.0,49.2,49.2,8000,,,
2018-08-08,49.2,51.5,49.2,51.5,4000,,,
2018-08-09,50.1,54.9,50.1,52.95,6000,,,
2018-08-10,54.0,54.75,50.1,53.95,10000,,,
2018-08-13,43.35,55.8,43.35,55.35,8000,,,
2018-08-14,53.85,55.9,53.85,55.9,4000,,,
2018-08-16,57.8,57.8,56.4,56.4,4000,,,
2018-08-17,54.2,60.5,53.5,59.65,10000,,,
2018-08-21,54.5,60.9,54.5,58.95,8000,,,
2018-08-23,55.6,55.6,55.6,55.6,2000,,,
2018-08-24,54.2,54.2,53.5,53.8,6000,,,
2018-08-27,53.3,53.3,53.3,53.3,2000,,,
2018-08-28,53.2,53.2,53.2,53.2,2000,,,
2018-08-29,53.95,53.95,53.95,53.95,2000,,,
2018-08-31,52.8,52.8,52.8,52.8,2000,,,
2018-09-03,54.8,54.8,54.8,54.8,2000,,,
2018-09-04,57.0,57.8,57.0,57.4,4000,,,
2018-09-05,55.1,58.0,54.4,54.4,6000,,,
2018-09-07,52.5,57.8,52.5,57.8,4000,,,
2018-09-10,56.0,57.8,55.8,57.6,8000,,,
2018-09-11,58.5,58.5,58.5,58.5,2000,,,
2018-09-14,56.4,60.5,56.4,60.5,6000,,,
2018-09-17,59.2,59.2,59.2,59.2,2000,,,
2018-09-18,60.1,60.8,60.1,60.45,4000,,,
2018-09-25,55.4,55.4,55.4,55.4,2000,,,
2018-09-28,53.8,53.8,53.8,53.8,4000,,,
2018-11-02,51.2,51.2,50.8,50.8,4000,,,
2018-11-15,53.4,53.4,53.4,53.4,2000,,,
2018-11-27,52.7,52.7,52.7,52.7,2000,,,
2018-11-28,51.4,55.0,51.4,55.0,4000,,,
2018-12-03,51.6,55.5,51.6,55.5,4000,,,
2018-12-06,53.5,53.5,53.5,53.5,2000,,,
2018-12-18,50.2,50.2,49.2,49.2,6000,,,
2018-12-21,49.0,49.0,46.6,46.6,4000,,,
2019-01-18,38.7,42.8,38.7,42.8,18000,,,
2019-01-21,41.8,42.4,41.8,42.4,6000,,,
2019-01-22,44.0,44.0,44.0,44.0,2000,,,
2019-02-05,44.8,44.8,43.4,43.4,4000,,,
2019-02-06,43.1,43.1,42.9,42.9,4000,,,
2019-02-14,40.8,40.8,40.8,40.8,2000,,,
2019-02-21,43.7,43.7,43.7,43.7,2000,,,
2019-03-08,45.3,45.3,45.3,45.3,2000,,,
2019-03-15,41.8,41.8,41.8,41.8,2000,,,
2019-03-19,45.5,47.9,45.5,47.9,6000,,,
2019-03-20,49.2,49.2,45.4,47.5,6000,,,
2019-03-25,52.0,52.0,52.0,52.0,2000,,,
2019-03-26,48.8,48.8,46.0,46.0,8000,,,
2019-04-10,43.7,43.7,43.6,43.6,4000,,,
2019-04-26,38.7,38.7,38.6,38.6,4000,,,
2019-05-20,38.9,38.9,38.9,38.9,4000,,,
2019-05-22,36.4,36.4,31.15,31.15,10000,,,
2019-05-23,29.1,29.1,29.1,29.1,2000,,,
2019-05-29,28.9,29.0,28.9,29.0,4000,,,
2019-05-30,28.1,28.1,25.7,25.8,10000,,,
2019-06-04,26.9,27.4,26.9,27.15,4000,,,
2019-06-06,27.9,31.9,27.9,31.9,14000,,,
2019-06-19,31.4,31.4,31.4,31.4,2000,,,
2019-06-27,31.8,32.0,31.8,32.0,4000,,,
2019-07-22,29.8,29.8,29.5,29.5,4000,,,
2019-07-30,30.9,32.5,30.9,32.5,6000,,,
2019-07-31,34.1,34.95,34.1,34.95,4000,,,
2019-08-02,36.9,36.9,36.9,36.9,2000,,,
2019-08-06,38.0,38.0,38.0,38.0,2000,,,
2019-08-09,38.0,39.4,38.0,39.4,4000,,,
2019-08-13,41.2,41.2,41.2,41.2,2000,,,
2019-08-19,41.5,41.5,41.5,41.5,2000,,,
2019-08-20,42.8,42.8,42.8,42.8,2000,,,
2019-08-23,44.6,45.8,44.6,45.2,4000,,,
2019-08-30,45.4,47.1,44.8,47.1,10000,,,
2019-09-20,48.0,48.0,48.0,48.0,2000,,,
2019-10-01,46.2,46.2,46.2,46.2,2000,1,2000.0,2000
2019-10-10,44.1,44.1,43.8,43.95,4000,2,2000.0,4000
2019-11-21,42.7,42.7,42.7,42.7,2000,1,2000.0,2000
2019-11-22,43.8,44.1,43.8,44.1,6000,3,2000.0,6000
2019-12-05,42.7,43.3,42.7,43.3,4000,2,2000.0,4000
2019-12-06,46.8,46.8,46.8,46.8,2000,1,2000.0,2000
2019-12-09,47.75,48.6,47.75,48.6,14000,4,3500.0,14000
2019-12-10,49.8,50.6,49.8,50.25,6000,3,2000.0,6000
2019-12-11,51.4,51.4,51.4,51.4,4000,2,2000.0,4000
