Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-06-24,51.63,51.7,50.12,51.35,993806,56,17746.54,993001
2024-06-25,51.35,52.43,51.35,52.42,510563,91,5610.58,507113
2024-06-26,53.36,53.36,51.97,52.61,4208,51,82.51,3739
2024-06-27,52.81,52.98,51.33,52.15,2709,61,44.41,1282
2024-06-28,53.08,53.08,52.29,52.62,6643,55,120.78,5919
2024-07-01,53.19,53.19,52.0,52.34,6445,87,74.08,3385
2024-07-02,53.28,53.5,51.76,52.17,2379,40,59.48,1832
2024-07-03,53.1,53.12,52.79,53.0,12006,26,461.77,11979
2024-07-04,54.6,54.6,52.58,53.16,3519,54,65.17,3051
2024-07-05,53.16,53.95,52.06,52.9,4932,57,86.53,4797
2024-07-08,52.61,52.64,52.21,52.52,3826,52,73.58,3418
2024-07-09,52.55,52.62,52.14,52.29,11716,42,278.95,11100
2024-07-10,52.29,52.9,51.84,52.02,3344,35,95.54,2392
2024-07-11,52.02,52.95,51.45,52.15,1811,36,50.31,1303
2024-07-12,52.38,52.5,52.0,52.13,1173,23,51.0,1092
2024-07-15,52.13,52.59,51.03,52.33,4659,35,133.11,4154
2024-07-16,53.27,53.27,52.09,52.5,3539,35,101.11,2394
2024-07-18,52.5,52.58,51.96,52.38,3388,27,125.48,2810
2024-07-19,52.47,52.47,51.96,51.96,177,19,9.32,101
2024-07-22,52.38,52.44,51.89,52.01,667,30,22.23,618
2024-07-23,52.94,52.94,51.4,51.8,9991,41,243.68,7440
