Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2021-03-04,12.7,14.8,12.6,12.85,831565,EQ,16496.0,50.41,380123.0
2021-03-05,12.95,13.25,12.0,12.2,111875,EQ,3216.0,34.79,58161.0
2021-03-08,12.05,12.1,11.4,11.7,75602,EQ,1711.0,44.19,48711.0
2021-03-09,12.2,12.5,11.5,11.8,75555,EQ,1804.0,41.88,41353.0
2021-03-10,12.3,12.3,11.45,12.0,41477,EQ,668.0,62.09,25159.0
2021-03-12,12.15,12.2,11.5,11.6,39530,EQ,1027.0,38.49,25810.0
2021-03-15,11.6,11.8,11.45,11.45,25765,EQ,815.0,31.61,15073.0
2021-03-16,11.7,11.75,11.3,11.3,27683,EQ,1335.0,20.74,12295.0
2021-03-17,11.1,11.5,10.7,10.85,40194,EQ,1037.0,38.76,23640.0
2021-03-18,10.7,11.05,10.2,10.35,57911,EQ,1672.0,34.64,35309.0
2021-03-19,10.05,10.35,9.8,10.05,63988,EQ,2573.0,24.87,31305.0
2021-03-22,10.2,11.8,10.05,11.4,122895,EQ,3287.0,37.39,40687.0
2021-03-23,11.5,12.0,11.2,11.4,49724,EQ,2121.0,23.44,18230.0
2021-03-24,11.4,11.4,10.75,10.9,22920,EQ,1289.0,17.78,10023.0
2021-03-25,11.05,11.05,10.3,10.45,46232,EQ,1170.0,39.51,25949.0
2021-03-26,10.95,10.95,10.25,10.4,21341,EQ,1126.0,18.95,11455.0
2021-03-30,10.9,11.3,10.45,10.65,30510,EQ,2248.0,13.57,12476.0
2021-03-31,10.85,10.9,10.55,10.7,19207,EQ,1441.0,13.33,10171.0
2021-04-01,10.6,10.95,10.6,10.65,38945,EQ,970.0,40.15,18189.0
2021-04-05,10.8,10.8,9.8,10.15,87290,EQ,1669.0,52.3,42266.0
2021-04-06,10.3,10.6,10.2,10.35,53768,EQ,1583.0,33.97,29301.0
2021-04-07,10.3,10.7,10.3,10.35,22040,EQ,489.0,45.07,15373.0
2021-04-08,10.3,11.95,10.3,11.7,144257,EQ,2279.0,63.3,56098.0
2021-04-09,12.15,12.75,11.45,12.5,435805,EQ,3112.0,140.04,229751.0
2021-04-12,12.3,12.55,10.8,10.95,306628,EQ,3615.0,84.82,157847.0
2021-04-13,11.0,12.25,10.95,11.85,397943,EQ,6133.0,64.89,147650.0
2021-04-15,12.0,13.0,11.7,12.65,988331,EQ,11163.0,88.54,386346.0
2021-04-16,12.9,13.45,12.65,13.1,902482,EQ,8987.0,100.42,417623.0
2021-04-19,12.6,12.65,11.7,12.3,138458,EQ,2540.0,54.51,75686.0
2021-04-20,12.35,12.7,12.0,12.05,123096,EQ,2359.0,52.18,78200.0
2021-04-22,12.1,12.45,11.6,12.2,136574,EQ,2136.0,63.94,84668.0
2021-04-23,12.3,12.4,12.0,12.05,69377,EQ,1295.0,53.57,44422.0
2021-04-26,12.4,12.4,11.95,12.0,68420,EQ,1205.0,56.78,46410.0
2021-04-27,12.1,12.4,12.05,12.25,57028,EQ,902.0,63.22,39937.0
2021-04-28,12.45,12.7,12.1,12.15,85306,EQ,1246.0,68.46,54232.0
2021-04-29,12.15,12.45,11.9,12.05,56741,EQ,815.0,69.62,41582.0
2021-04-30,12.05,12.6,11.85,12.15,173273,EQ,2170.0,79.85,112192.0
2021-05-03,12.15,12.9,12.0,12.55,175196,EQ,1986.0,88.22,125570.0
2021-05-04,12.5,13.0,12.2,12.25,165431,EQ,2640.0,62.66,111187.0
2021-05-05,12.45,12.5,12.15,12.2,50980,EQ,1094.0,46.6,30086.0
2021-05-06,12.35,12.8,12.0,12.6,133000,EQ,2284.0,58.23,70144.0
2021-05-07,12.8,13.15,12.35,12.5,237098,EQ,3447.0,68.78,101979.0
2021-05-10,12.6,14.5,12.5,14.1,694852,EQ,7584.0,91.62,309790.0
2021-05-11,14.3,15.55,13.8,14.65,706211,EQ,11344.0,62.25,305233.0
2021-05-12,14.85,15.15,14.1,14.4,254510,EQ,4197.0,60.64,149345.0
2021-05-14,14.7,14.8,13.15,13.65,226227,EQ,4235.0,53.42,112211.0
2021-05-17,13.8,14.2,13.8,14.1,76123,EQ,1634.0,46.59,36466.0
2021-05-18,14.1,15.1,14.0,14.65,139543,EQ,2846.0,49.03,74684.0
2021-05-19,14.8,15.05,14.2,14.3,68307,EQ,1806.0,37.82,35611.0
2021-05-20,14.45,14.55,13.9,14.0,88851,EQ,1495.0,59.43,65698.0
2021-05-21,13.8,15.9,13.8,15.55,639514,EQ,6041.0,105.86,278364.0
2021-05-24,16.0,16.4,15.6,16.0,588780,EQ,10057.0,58.54,308630.0
2021-05-25,16.1,16.4,15.65,15.9,140506,EQ,4529.0,31.02,83552.0
2021-05-26,15.95,15.95,15.3,15.45,79580,EQ,1754.0,45.37,53553.0
2021-05-27,15.55,15.6,14.95,15.05,104284,EQ,2003.0,52.06,74971.0
2021-05-28,15.05,15.35,14.7,14.75,57873,EQ,1204.0,48.07,41254.0
2021-05-31,15.05,17.1,15.05,16.55,793319,EQ,12849.0,61.74,316070.0
2021-06-01,16.8,17.25,15.75,16.9,347316,EQ,8296.0,41.87,173836.0
2021-06-02,17.1,17.25,16.55,16.75,111957,EQ,2840.0,39.42,65198.0
2021-06-03,17.1,18.5,17.0,18.1,737887,EQ,9709.0,76.0,317066.0
2021-06-04,18.3,18.4,17.7,17.95,138867,EQ,4340.0,32.0,73101.0
2021-06-07,18.7,18.7,17.9,18.05,191343,EQ,4751.0,40.27,110983.0
2021-06-08,18.2,18.65,17.45,18.25,250937,EQ,4586.0,54.72,133315.0
2021-06-09,18.6,20.1,18.4,19.05,993749,EQ,15418.0,64.45,434577.0
2021-06-10,19.2,21.0,19.2,19.8,585263,EQ,11602.0,50.45,279693.0
2021-06-11,20.0,20.65,19.6,19.75,235576,EQ,7903.0,29.81,117301.0
2021-06-14,19.85,19.85,18.5,19.45,159605,EQ,4668.0,34.19,77787.0
2021-06-15,19.5,19.6,18.5,18.75,189440,EQ,6528.0,29.02,111567.0
2021-06-16,18.9,19.25,18.35,18.7,131877,EQ,4420.0,29.84,78486.0
2021-06-17,18.6,22.4,18.5,21.85,1317979,EQ,20597.0,63.99,494910.0
2021-06-18,22.5,23.0,19.85,21.55,798457,EQ,16809.0,47.5,323647.0
2021-06-21,20.9,23.5,20.55,22.95,600822,EQ,17782.0,33.79,234305.0
2021-06-22,23.0,23.7,22.3,22.5,224960,EQ,8975.0,25.07,105652.0
2021-06-23,22.35,23.25,22.35,22.75,184942,EQ,7593.0,24.36,93843.0
2021-06-24,22.9,23.15,22.05,22.4,154698,EQ,9194.0,16.83,79162.0
2021-06-25,22.45,25.9,22.4,25.45,1131462,EQ,22927.0,49.35,315218.0
2021-06-28,25.9,27.2,25.5,25.9,525414,EQ,19521.0,26.92,214551.0
2021-06-29,25.9,27.0,25.9,26.45,191149,EQ,10291.0,18.57,69919.0
2021-06-30,26.65,27.65,26.5,26.9,258075,EQ,15351.0,16.81,103510.0
2021-07-01,27.0,27.9,26.6,27.6,197232,EQ,11583.0,17.03,89204.0
2021-07-02,27.9,28.95,27.3,28.0,324918,EQ,13442.0,24.17,113968.0
2021-07-05,28.4,28.6,25.0,26.5,225722,EQ,13783.0,16.38,107116.0
2021-07-06,27.0,27.0,25.05,25.3,312596,EQ,15297.0,20.44,154666.0
2021-07-07,25.5,25.9,24.3,25.3,407357,EQ,17042.0,23.9,109890.0
2021-07-08,25.7,27.9,25.65,27.3,620463,EQ,25057.0,24.76,215375.0
2021-07-09,28.0,28.1,26.3,26.75,229182,EQ,13704.0,16.72,74991.0
2021-07-12,27.0,27.4,26.0,26.15,156006,EQ,9535.0,16.36,80556.0
2021-07-13,26.6,26.8,26.0,26.1,96263,EQ,6469.0,14.88,50246.0
2021-07-14,26.45,26.45,25.65,25.9,88466,EQ,9061.0,9.76,36845.0
2021-07-15,26.2,27.45,25.9,26.9,276969,EQ,10295.0,26.9,80036.0
2021-07-16,27.05,27.1,26.2,26.35,100017,EQ,8533.0,11.72,44197.0
2021-07-19,25.7,27.0,25.65,26.1,147354,EQ,10181.0,14.47,54423.0
2021-07-20,26.2,26.5,24.4,25.05,157745,EQ,13521.0,11.67,74004.0
2021-07-22,25.9,25.9,25.05,25.25,96679,EQ,8967.0,10.78,35105.0
2021-07-23,25.6,25.6,24.7,24.9,72410,EQ,4992.0,14.51,31405.0
2021-07-26,25.6,25.6,24.5,24.8,64559,EQ,3187.0,20.26,27156.0
2021-07-27,24.9,27.0,24.75,26.55,261235,EQ,12920.0,20.22,110707.0
2021-07-28,27.0,27.2,25.5,26.2,196540,EQ,10678.0,18.41,79554.0
2021-07-29,26.5,26.9,25.5,25.7,125982,EQ,6408.0,19.66,63924.0
2021-07-30,26.0,26.45,25.8,26.3,96916,EQ,5361.0,18.08,44932.0
2021-08-02,26.6,26.6,25.8,26.05,82827,EQ,5393.0,15.36,36716.0
2021-08-03,26.2,26.25,25.0,25.5,97367,EQ,7429.0,13.11,51256.0
2021-08-04,25.65,26.5,25.55,25.65,184045,EQ,9687.0,19.0,82578.0
2021-08-05,25.9,25.9,24.4,24.85,125989,EQ,6634.0,18.99,66936.0
2021-08-06,25.1,25.55,24.55,24.95,128897,EQ,7680.0,16.78,47202.0
2021-08-09,25.0,27.65,25.0,27.25,687379,EQ,20168.0,34.08,259545.0
2021-08-10,27.4,28.55,25.3,25.6,923460,EQ,31995.0,28.86,271661.0
2021-08-11,25.55,25.55,22.4,24.05,616425,EQ,16333.0,37.74,269360.0
2021-08-12,24.05,25.0,24.05,24.8,172423,EQ,6183.0,27.89,91806.0
2021-08-13,24.95,26.0,23.95,24.4,160633,EQ,4131.0,38.88,67283.0
2021-08-16,24.55,25.0,24.05,24.2,132225,EQ,7233.0,18.28,62000.0
2021-08-17,24.2,24.75,23.25,23.7,129666,EQ,8513.0,15.23,63454.0
2021-08-18,23.7,24.05,22.5,22.75,137339,EQ,6551.0,20.96,85100.0
2021-08-20,22.5,23.1,21.6,22.1,207717,EQ,9123.0,22.77,95066.0
2021-08-23,22.3,22.7,19.25,20.15,245804,EQ,9851.0,24.95,117816.0
2021-08-24,20.5,21.85,20.2,21.4,135027,EQ,5894.0,22.91,67997.0
2021-08-25,21.65,23.85,21.5,22.65,221716,EQ,8621.0,25.72,116165.0
2021-08-26,22.6,23.2,22.55,22.8,109708,EQ,4864.0,22.56,54630.0
2021-08-27,23.0,23.25,22.8,23.05,44797,EQ,1729.0,25.91,21420.0
2021-08-30,23.15,23.45,23.05,23.1,49346,EQ,2637.0,18.71,24395.0
2021-08-31,23.3,23.3,21.9,22.1,85714,EQ,2827.0,30.32,57523.0
2021-09-01,22.35,22.55,22.1,22.2,52996,EQ,2561.0,20.69,26848.0
2021-09-02,22.15,22.9,22.15,22.55,60650,EQ,3076.0,19.72,27875.0
2021-09-03,22.8,22.8,21.35,22.4,86580,EQ,6674.0,12.97,37660.0
2021-09-06,22.4,23.25,22.35,23.0,99460,EQ,7831.0,12.7,40535.0
2021-09-07,22.65,23.1,22.6,22.85,38673,EQ,2405.0,16.08,18596.0
2021-09-08,23.05,23.85,22.35,23.2,69138,EQ,6688.0,10.34,28366.0
2021-09-09,23.4,24.8,23.3,24.3,171766,EQ,8974.0,19.14,80583.0
2021-09-13,24.2,24.7,23.7,24.0,88188,EQ,7767.0,11.35,37550.0
2021-09-14,24.15,24.75,23.9,24.0,83006,EQ,7276.0,11.41,36276.0
2021-09-15,24.2,24.45,24.0,24.2,69382,EQ,6925.0,10.02,30696.0
2021-09-16,24.5,24.6,23.8,24.0,64885,EQ,6033.0,10.76,23339.0
2021-09-17,24.15,24.4,23.2,23.75,77797,EQ,5401.0,14.4,45407.0
