Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2020-12-24,500.0,600.0,500.0,594.2,37066792.0,899495.0,41.21,10373253.0
2020-12-28,604.3,624.0,538.3,559.15,12523905.0,468061.0,26.76,2884135.0
2020-12-29,553.0,564.45,517.1,521.35,6256476.0,225537.0,27.74,1656611.0
2020-12-30,520.0,538.0,507.15,514.75,5803600.0,202685.0,28.63,935442.0
2020-12-31,517.8,524.95,510.0,514.35,2382600.0,71800.0,33.18,487236.0
2021-01-01,516.0,519.45,501.25,502.7,2117248.0,59916.0,35.34,720021.0
2021-01-04,503.2,505.4,467.5,470.15,3119301.0,113494.0,27.48,1103478.0
2021-01-05,460.0,489.9,450.1,475.85,4837879.0,156408.0,30.93,723681.0
2021-01-06,476.0,481.7,461.7,464.15,1166890.0,39177.0,29.79,363950.0
2021-01-07,461.1,468.05,455.1,455.85,713031.0,22944.0,31.08,247705.0
2021-01-08,457.0,467.9,453.7,456.8,955664.0,30584.0,31.25,289645.0
2021-01-11,465.0,465.0,451.0,453.5,789630.0,27927.0,28.27,324507.0
2021-01-12,451.0,451.0,435.0,436.7,1304843.0,53020.0,24.61,471682.0
2021-01-13,437.0,443.9,427.0,429.05,720330.0,28326.0,25.43,265226.0
2021-01-14,428.0,445.4,422.45,438.85,1253003.0,48722.0,25.72,332513.0
2021-01-15,438.0,459.9,438.0,449.05,1588383.0,57071.0,27.83,544461.0
2021-01-18,453.0,453.0,432.0,433.95,455523.0,22531.0,20.22,203102.0
2021-01-19,439.45,443.7,434.0,434.7,363002.0,15876.0,22.86,119115.0
2021-01-20,434.7,439.5,430.0,431.35,370929.0,16929.0,21.91,157064.0
2021-01-21,430.0,432.0,407.1,409.85,2927474.0,174580.0,16.77,1641505.0
2021-01-22,410.0,427.9,394.0,396.55,1827611.0,64585.0,28.3,798053.0
2021-01-25,397.25,400.6,377.0,392.45,1026018.0,40199.0,25.52,381233.0
2021-01-27,392.0,395.8,384.05,386.5,562871.0,26104.0,21.56,163474.0
2021-01-28,380.0,391.45,379.65,384.0,463043.0,26393.0,17.54,185195.0
2021-01-29,388.0,389.75,372.5,374.95,382485.0,19170.0,19.95,187494.0
2021-02-01,372.0,382.3,370.6,376.2,639305.0,17587.0,36.35,303036.0
2021-02-02,382.0,408.95,378.65,405.15,1499601.0,46396.0,32.32,486945.0
2021-02-03,410.0,419.15,402.6,411.3,1023770.0,30170.0,33.93,310315.0
2021-02-04,415.2,423.95,411.4,418.5,685406.0,23166.0,29.59,240969.0
2021-02-05,424.0,426.9,409.6,410.85,658799.0,22817.0,28.87,301004.0
2021-02-08,417.8,421.9,409.0,410.3,803027.0,23355.0,34.38,309926.0
2021-02-09,413.0,413.7,395.0,397.15,734358.0,25181.0,29.16,332280.0
2021-02-10,398.95,399.0,386.25,389.3,680537.0,18495.0,36.8,311497.0
2021-02-11,389.5,394.0,386.2,387.2,445939.0,14288.0,31.21,244472.0
2021-02-12,390.0,396.9,387.9,391.1,698854.0,14112.0,49.52,356642.0
2021-02-15,392.0,395.45,386.85,392.1,302556.0,8352.0,36.23,132543.0
2021-02-16,391.75,393.55,381.6,384.3,464991.0,11564.0,40.21,261667.0
2021-02-17,382.5,387.9,380.2,384.95,372380.0,7097.0,52.47,242336.0
2021-02-18,386.0,410.0,381.85,405.8,1136869.0,33091.0,34.36,442728.0
2021-02-19,406.65,418.85,400.0,403.5,808501.0,23639.0,34.2,240369.0
2021-02-22,406.65,406.65,393.6,395.25,300877.0,8850.0,34.0,154456.0
2021-02-23,395.0,415.95,394.75,405.3,876903.0,28160.0,31.14,211360.0
2021-02-24,408.4,412.45,402.5,406.35,234201.0,7314.0,32.02,96184.0
2021-02-25,407.6,411.5,403.0,408.25,316326.0,8213.0,38.52,144915.0
2021-02-26,402.0,407.85,396.35,400.15,470941.0,14144.0,33.3,167776.0
2021-03-01,405.0,405.0,390.2,392.25,648802.0,20807.0,31.18,250730.0
2021-03-02,395.0,400.45,393.05,395.3,407258.0,12416.0,32.8,168792.0
2021-03-03,397.0,407.0,394.0,394.9,617417.0,14487.0,42.62,262735.0
2021-03-04,394.05,400.0,393.0,395.9,354768.0,8607.0,41.22,151648.0
2021-03-05,395.9,400.5,393.0,393.8,360583.0,8643.0,41.72,144115.0
2021-03-08,394.1,396.8,390.0,390.4,253632.0,7350.0,34.51,94491.0
2021-03-09,391.5,397.45,385.05,386.95,367294.0,12589.0,29.18,103259.0
2021-03-10,389.95,391.7,385.75,386.25,206693.0,7620.0,27.13,73597.0
2021-03-12,390.75,390.75,380.05,381.0,301892.0,8568.0,35.23,122889.0
2021-03-15,381.0,382.35,370.65,375.1,322593.0,11289.0,28.58,140160.0
2021-03-16,375.0,381.85,373.65,375.25,331543.0,10121.0,32.76,99408.0
2021-03-17,376.95,376.95,362.0,362.95,282740.0,11537.0,24.51,150214.0
2021-03-18,370.85,370.85,349.05,352.4,421042.0,12971.0,32.46,160406.0
2021-03-19,352.0,352.4,337.5,345.85,411857.0,13167.0,31.28,133591.0
2021-03-22,344.4,356.0,342.05,347.5,480365.0,14253.0,33.7,183750.0
2021-03-23,350.0,355.95,343.0,345.4,340605.0,11287.0,30.18,124138.0
2021-03-24,343.25,351.0,340.15,347.6,332809.0,10835.0,30.72,180177.0
2021-03-25,346.0,349.35,333.5,337.85,407440.0,12823.0,31.77,165106.0
2021-03-26,340.65,343.0,330.0,331.4,331172.0,11564.0,28.64,156990.0
2021-03-30,334.9,350.75,328.4,340.3,503035.0,15457.0,32.54,209200.0
2021-03-31,341.65,344.2,333.1,336.6,393087.0,10048.0,39.12,163887.0
2021-04-01,340.5,346.5,337.7,345.4,286146.0,7113.0,40.23,108946.0
2021-04-05,343.5,346.95,338.3,341.05,317699.0,20679.0,15.36,171633.0
2021-04-06,341.15,370.85,339.0,367.65,769982.0,26350.0,29.22,283644.0
2021-04-07,365.5,374.45,360.0,365.15,535516.0,21503.0,24.9,138238.0
2021-04-08,368.95,371.0,363.45,366.9,297739.0,8661.0,34.38,85720.0
2021-04-09,365.95,367.5,358.0,359.8,265244.0,10432.0,25.43,75990.0
2021-04-12,341.0,352.25,338.05,347.05,415229.0,11473.0,36.19,218115.0
2021-04-13,342.3,350.6,340.8,346.7,167038.0,6000.0,27.84,61282.0
2021-04-15,344.0,348.0,341.0,344.05,208589.0,5719.0,36.47,94489.0
2021-04-16,350.0,365.0,347.0,360.15,302171.0,9331.0,32.38,117584.0
2021-04-19,353.0,353.0,344.0,351.15,254494.0,7299.0,34.87,95160.0
2021-04-20,352.0,366.0,352.0,361.05,301245.0,9126.0,33.01,160150.0
2021-04-22,355.0,366.0,354.6,356.75,168895.0,6318.0,26.73,66041.0
2021-04-23,356.0,369.9,354.65,366.75,316064.0,8787.0,35.97,115702.0
2021-04-26,366.75,370.8,362.0,363.6,124280.0,4591.0,27.07,42237.0
2021-04-27,365.0,366.7,362.5,365.3,102254.0,3162.0,32.34,45482.0
2021-04-28,365.3,369.25,361.6,362.25,116159.0,3973.0,29.24,56450.0
2021-04-29,364.9,365.9,355.8,358.65,218954.0,7416.0,29.52,103376.0
2021-04-30,356.95,362.0,354.05,355.55,141503.0,5129.0,27.59,60873.0
2021-05-03,354.85,360.0,351.0,354.95,142995.0,4555.0,31.39,58840.0
2021-05-04,355.2,361.0,354.0,355.6,209154.0,5682.0,36.81,111574.0
2021-05-05,355.0,359.5,353.95,356.1,108155.0,4191.0,25.81,55033.0
2021-05-06,356.1,394.65,355.1,387.95,1625892.0,36211.0,44.9,448899.0
2021-05-07,391.8,406.7,386.0,391.95,884009.0,22242.0,39.75,308581.0
2021-05-10,395.0,404.7,381.55,397.35,557256.0,15937.0,34.97,200287.0
2021-05-11,393.0,396.55,390.0,390.5,171602.0,5669.0,30.27,80152.0
2021-05-12,390.5,404.3,390.5,396.2,429704.0,11637.0,36.93,151475.0
2021-05-14,399.0,403.0,387.2,390.4,183249.0,6282.0,29.17,79768.0
