Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-02-06,305.0,366.0,303.1,366.0,49965562,359358,139.04,12458627
2024-02-07,397.95,423.7,357.05,363.95,15744091,211667,74.38,3854188
2024-02-08,350.0,359.0,322.45,339.4,6307054,130520,48.32,1570098
2024-02-09,342.5,355.45,335.25,344.35,1948328,61124,31.88,534113
2024-02-12,350.95,351.0,325.15,336.0,3931970,91912,42.78,884206
2024-02-13,330.95,330.95,302.0,309.3,2004515,63764,31.44,737619
2024-02-14,302.05,342.7,300.0,326.0,2674558,60826,43.97,614267
2024-02-15,327.8,333.9,316.8,319.85,1818042,33163,54.82,790887
2024-02-16,322.8,379.45,318.05,364.25,9069121,174739,51.9,2014066
2024-02-19,359.05,399.6,356.4,389.95,4905999,150331,32.63,1057610
2024-02-20,389.95,418.35,386.55,399.45,5680784,139175,40.82,1285322
2024-02-21,400.95,407.0,378.0,387.3,2467308,74258,33.23,633540
2024-02-22,391.9,397.0,374.2,390.85,1129674,34414,32.83,340495
2024-02-23,392.1,403.65,385.0,388.65,933565,22095,42.25,288210
2024-02-26,388.5,406.9,377.55,388.7,2363686,55636,42.48,470846
2024-02-27,390.0,404.45,386.0,387.4,2274839,37600,60.5,335114
2024-02-28,390.35,399.55,356.1,372.1,2731822,57827,47.24,440803
2024-02-29,373.2,380.95,366.05,369.55,442802,18539,23.88,139843
2024-03-01,374.8,388.6,373.25,379.95,2105364,51202,41.12,199873
2024-03-02,382.95,387.4,378.65,380.15,125188,3860,32.43,62492
2024-03-04,383.3,388.35,362.25,365.8,695383,30542,22.77,257299
2024-03-05,366.95,367.4,343.55,345.05,1924966,54617,35.24,529757
2024-03-06,345.1,348.95,320.0,328.1,6024863,115664,52.09,1635518
2024-03-07,334.95,336.7,318.15,321.35,999250,23763,42.05,521992
