Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1995-01-03,31.7,31.7,31.7,31.7,100,,,
1995-01-04,31.25,31.25,31.25,31.25,100,,,
1995-01-05,30.6,30.6,30.6,30.6,200,,,
1995-01-06,30.6,30.6,30.6,30.6,100,,,
1995-01-10,29.8,29.8,29.8,29.8,100,,,
1995-01-11,30.4,30.4,30.4,30.4,100,,,
1995-01-12,30.4,30.4,30.4,30.4,100,,,
1995-01-13,30.4,30.4,30.4,30.4,100,,,
1995-01-17,29.6,29.6,29.6,29.6,300,,,
1995-01-18,29.2,29.2,29.2,29.2,100,,,
1995-01-19,29.6,29.6,29.6,29.6,100,,,
1995-01-23,27.9,27.9,27.9,27.9,200,,,
1995-01-24,27.1,27.1,27.0,27.0,400,,,
1995-01-25,28.3,28.3,28.3,28.3,100,,,
1995-01-27,27.1,27.1,27.1,27.1,200,,,
1995-01-31,27.25,27.25,26.75,27.0,1200,,,
1995-02-01,26.75,26.75,26.7,26.7,400,,,
1995-02-02,26.7,26.7,26.7,26.7,300,,,
1995-02-03,26.6,26.7,26.6,26.7,300,,,
1995-02-06,25.8,25.8,25.8,25.8,100,,,
1995-02-07,25.7,25.7,25.7,25.7,100,,,
1995-02-08,25.4,25.8,25.4,25.8,200,,,
1995-02-09,25.8,25.8,25.4,25.4,700,,,
1995-02-10,25.8,25.8,25.2,25.8,400,,,
1995-02-13,25.05,25.05,25.05,25.05,300,,,
1995-02-14,25.0,25.0,24.55,24.55,400,,,
1995-02-15,24.2,24.2,24.2,24.2,300,,,
1995-02-16,24.2,24.2,24.05,24.2,300,,,
1995-02-17,24.2,24.2,24.0,24.0,300,,,
1995-02-20,24.2,24.2,23.75,23.75,1200,,,
1995-02-21,23.3,23.3,23.3,23.3,200,,,
1995-02-22,22.55,23.3,22.55,22.9,5500,,,
1995-02-24,24.55,25.0,23.3,23.3,1700,,,
1995-02-28,23.4,23.4,22.5,23.4,1000,,,
1995-03-01,23.75,23.75,23.2,23.3,3500,,,
1995-03-02,23.75,23.75,23.75,23.75,100,,,
1995-03-03,24.55,24.55,24.55,24.55,100,,,
1995-03-06,25.0,25.0,24.75,24.9,1000,,,
1995-03-07,25.0,25.0,24.55,24.7,1500,,,
1995-03-08,24.5,24.75,24.5,24.55,300,,,
1995-03-09,24.55,25.0,24.55,25.0,1400,,,
1995-03-10,24.9,25.6,24.9,25.4,800,,,
1995-03-13,24.2,24.2,24.2,24.2,400,,,
1995-03-14,25.0,25.8,25.0,25.8,5600,,,
1995-03-15,25.8,25.8,24.3,24.3,800,,,
1995-03-16,24.4,24.4,23.75,23.75,300,,,
1995-03-20,22.5,22.5,22.5,22.5,200,,,
1995-03-21,22.55,22.55,22.55,22.55,600,,,
1995-03-23,23.55,23.55,23.55,23.55,200,,,
1995-03-24,23.3,23.3,23.3,23.3,100,,,
1995-03-27,24.2,24.55,24.05,24.55,800,,,
1995-03-28,24.4,24.55,24.4,24.55,500,,,
1995-03-29,23.4,23.7,23.4,23.7,4200,,,
1995-03-30,23.7,23.7,23.3,23.3,1200,,,
1995-03-31,23.3,23.75,23.3,23.5,700,,,
1995-04-03,23.75,23.75,23.3,23.3,1700,,,
1995-04-04,23.3,23.75,23.3,23.3,2300,,,
1995-04-06,23.3,23.3,23.3,23.3,100,,,
1995-04-07,23.75,23.75,23.3,23.5,700,,,
1995-04-10,23.3,23.55,23.3,23.3,1100,,,
1995-04-11,23.25,23.25,23.1,23.1,200,,,
1995-04-12,23.05,23.05,22.9,23.0,300,,,
1995-04-18,23.3,23.3,22.9,22.9,400,,,
1995-04-19,22.9,23.05,22.9,23.05,2600,,,
1995-04-20,22.9,22.9,22.9,22.9,100,,,
