Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-08-06,130.0,136.5,130.0,136.5,840000,,,
2024-08-07,130.0,137.9,129.7,129.7,470400,,,
2024-08-08,125.25,132.0,123.25,128.0,117600,,,
2024-08-09,129.0,130.0,125.0,129.0,75600,,,
2024-08-12,124.25,128.0,123.6,127.25,118800,,,
2024-08-13,125.0,126.9,122.1,122.8,50400,,,
2024-08-14,122.8,122.8,116.7,116.75,56400,,,
2024-08-16,116.75,122.55,116.75,122.55,32400,,,
2024-08-19,128.65,128.65,128.65,128.65,52800,,,
2024-08-20,135.05,135.05,135.05,135.05,124800,,,
2024-08-21,137.75,144.65,130.0,130.7,199200,,,
2024-08-22,129.0,130.0,120.0,127.3,43200,,,
2024-08-23,128.55,128.55,125.0,126.3,13200,,,
2024-08-26,121.95,126.3,121.2,123.2,18000,,,
2024-08-27,120.0,133.0,119.4,128.5,139200,,,
2024-08-28,127.3,131.85,127.0,128.0,85200,,,
2024-08-29,124.1,129.0,124.0,126.2,67200,,,
2024-08-30,126.2,126.2,121.0,121.6,72000,,,
2024-09-02,117.05,121.9,117.0,119.95,72000,,,
2024-09-03,116.8,118.0,116.45,117.0,67200,,,
2024-09-04,114.5,114.5,111.8,113.0,34800,,,
2024-09-05,113.95,114.0,112.05,112.05,28800,,,
2024-09-06,112.05,112.05,108.0,110.15,46800,,,
2024-09-09,110.15,110.2,105.05,105.45,34800,28,1242.86,30000
