Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2020-10-05,1420.0,1489.0,1371.0,1401.4,638095,63974.0,9.97,277538.0
2020-10-06,1410.0,1441.85,1401.25,1419.4,542590,59552.0,9.11,262193.0
2020-10-07,1421.0,1423.65,1355.75,1381.45,283120,28409.0,9.97,117207.0
2020-10-08,1385.0,1389.95,1325.2,1334.9,287037,30152.0,9.52,162047.0
2020-10-09,1326.1,1371.2,1295.0,1336.8,617516,66354.0,9.31,285314.0
2020-10-12,1342.0,1347.5,1305.75,1311.0,406274,23670.0,17.16,322712.0
2020-10-13,1300.0,1328.0,1295.05,1309.2,177612,26291.0,6.76,90621.0
2020-10-14,1308.0,1354.45,1308.0,1345.4,231987,25432.0,9.12,118442.0
2020-10-15,1346.95,1360.55,1329.05,1332.25,152765,20112.0,7.6,93068.0
2020-10-16,1328.0,1349.0,1325.85,1341.45,74694,13734.0,5.44,41071.0
2020-10-19,1345.0,1350.0,1329.05,1340.6,73734,9671.0,7.62,49683.0
2020-10-20,1335.0,1345.05,1330.0,1335.8,51810,8332.0,6.22,34737.0
2020-10-21,1335.8,1354.0,1334.0,1337.4,76814,10625.0,7.23,37192.0
2020-10-22,1332.0,1346.3,1320.0,1327.15,158798,15898.0,9.99,105378.0
2020-10-23,1333.65,1373.7,1328.05,1352.45,143025,17332.0,8.25,58896.0
2020-10-26,1345.0,1352.7,1325.0,1343.7,47806,7416.0,6.45,26898.0
2020-10-27,1330.1,1344.95,1327.05,1335.45,224439,10550.0,21.27,194870.0
2020-10-28,1332.05,1340.8,1294.8,1318.0,177457,15944.0,11.13,143058.0
2020-10-29,1303.05,1314.9,1295.0,1299.6,286045,8969.0,31.89,251141.0
2020-10-30,1301.95,1320.0,1293.0,1296.85,38536,5347.0,7.21,17888.0
2020-11-02,1302.0,1320.0,1290.95,1299.1,194552,12297.0,15.82,162218.0
2020-11-03,1302.0,1308.85,1261.5,1265.65,279604,21228.0,13.17,216118.0
2020-11-04,1269.95,1288.3,1260.0,1267.45,159282,28586.0,5.57,100777.0
2020-11-05,1275.0,1295.0,1267.4,1290.25,51937,7402.0,7.02,31390.0
2020-11-06,1299.9,1299.9,1278.0,1280.0,201372,10624.0,18.95,174497.0
2020-11-09,1289.65,1297.95,1278.0,1293.6,107173,5556.0,19.29,86752.0
2020-11-10,1298.9,1298.95,1279.55,1291.7,225620,8204.0,27.5,193792.0
2020-11-11,1296.0,1298.7,1275.0,1285.2,138462,8899.0,15.56,86837.0
2020-11-12,1289.8,1319.0,1289.0,1305.35,245795,13705.0,17.93,195326.0
2020-11-13,1304.95,1314.1,1299.0,1300.9,127037,5825.0,21.81,107935.0
2020-11-17,1315.95,1370.0,1315.95,1360.3,514752,20424.0,25.2,397299.0
2020-11-18,1370.0,1376.9,1351.5,1357.0,159255,19753.0,8.06,96070.0
2020-11-19,1359.0,1384.9,1344.05,1376.0,216180,15307.0,14.12,144835.0
2020-11-20,1377.25,1399.5,1355.0,1388.85,244030,12195.0,20.01,187573.0
2020-11-23,1399.95,1460.0,1390.0,1449.1,466959,32067.0,14.56,317559.0
2020-11-24,1468.9,1471.4,1422.0,1438.45,155863,16990.0,9.17,80676.0
2020-11-25,1440.0,1498.7,1428.45,1479.45,640300,35167.0,18.21,417326.0
2020-11-26,1490.0,1490.0,1456.05,1479.55,153673,10073.0,15.26,108647.0
2020-11-27,1478.9,1478.9,1436.65,1445.15,64131,6969.0,9.2,35750.0
2020-12-01,1444.0,1471.0,1436.7,1450.35,110134,13387.0,8.23,74591.0
2020-12-02,1450.0,1468.9,1425.65,1457.8,102564,10126.0,10.13,78575.0
2020-12-03,1451.1,1467.95,1441.0,1445.6,48322,9892.0,4.88,31702.0
2020-12-04,1452.0,1470.0,1441.65,1463.05,77127,10288.0,7.5,54330.0
2020-12-07,1469.6,1480.0,1436.25,1455.2,201898,17451.0,11.57,151285.0
2020-12-08,1460.0,1479.0,1457.15,1463.8,82535,11980.0,6.89,53239.0
2020-12-09,1464.95,1485.0,1462.0,1470.35,313925,13034.0,24.09,217892.0
2020-12-10,1470.35,1524.65,1458.25,1504.75,605787,28371.0,21.35,357083.0
2020-12-11,1517.0,1524.0,1474.85,1499.1,146974,18318.0,8.02,85210.0
2020-12-14,1505.55,1533.0,1490.0,1509.75,240597,34477.0,6.98,156235.0
2020-12-15,1510.0,1518.0,1495.0,1509.4,152371,6967.0,21.87,118951.0
2020-12-16,1509.0,1538.0,1495.05,1509.35,102512,10238.0,10.01,42456.0
2020-12-17,1514.5,1532.6,1505.0,1509.5,68814,6555.0,10.5,34427.0
2020-12-18,1510.7,1624.0,1495.05,1601.1,741937,46956.0,15.8,347340.0
2020-12-21,1618.45,1752.0,1610.25,1687.85,1699343,78158.0,21.74,534166.0
2020-12-22,1740.0,1740.0,1550.0,1676.9,619219,42931.0,14.42,226691.0
2020-12-23,1694.0,1720.0,1654.0,1673.15,314154,20887.0,15.04,158110.0
2020-12-24,1688.0,1733.5,1676.0,1695.1,257655,20858.0,12.35,101465.0
2020-12-28,1704.0,1749.0,1680.05,1726.05,228668,23886.0,9.57,79339.0
2020-12-29,1737.95,1865.0,1723.65,1835.75,823821,52565.0,15.67,220382.0
2020-12-30,1888.0,1890.0,1752.45,1796.35,830410,36833.0,22.55,258557.0
2020-12-31,1782.85,1839.0,1770.1,1805.7,391078,25429.0,15.38,69077.0
2021-01-01,1791.0,1855.0,1752.0,1789.25,308193,21394.0,14.41,71552.0
2021-01-04,1796.5,1849.9,1760.0,1825.45,297889,15173.0,19.63,71853.0
2021-01-05,1810.0,1856.85,1790.0,1802.6,118804,11020.0,10.78,37284.0
2021-01-06,1811.95,1822.05,1761.1,1783.9,101368,13645.0,7.43,43892.0
2021-01-07,1800.1,1826.0,1768.0,1807.45,118012,13720.0,8.6,51114.0
2021-01-08,1822.5,1823.0,1776.95,1786.95,75264,9053.0,8.31,36463.0
2021-01-11,1794.65,1807.95,1781.0,1795.75,73679,8884.0,8.29,46382.0
2021-01-12,1804.0,1828.0,1787.1,1802.65,164883,7107.0,23.2,129074.0
2021-01-13,1817.95,1865.0,1796.05,1840.75,199541,18631.0,10.71,97704.0
2021-01-14,1850.0,1854.0,1803.0,1811.45,49784,5286.0,9.42,23464.0
2021-01-15,1815.0,1826.0,1800.0,1808.2,38152,4259.0,8.96,17577.0
2021-01-18,1805.0,1830.0,1755.0,1811.65,81468,11027.0,7.39,36565.0
2021-01-19,1820.0,1822.35,1801.0,1808.75,25430,3642.0,6.98,14101.0
2021-01-20,1809.0,1818.0,1790.0,1794.6,28155,4144.0,6.79,15360.0
2021-01-21,1809.75,1837.9,1779.15,1790.9,80497,10722.0,7.51,51545.0
2021-01-22,1789.95,1811.65,1767.25,1780.5,42799,10539.0,4.06,23214.0
2021-01-25,1795.0,1809.7,1764.05,1783.95,42983,8590.0,5.0,22523.0
2021-01-27,1780.1,1805.0,1780.1,1798.15,48426,8730.0,5.55,30246.0
2021-01-28,1785.1,1830.0,1785.0,1801.5,70587,7650.0,9.23,43456.0
2021-01-29,1810.4,1836.0,1758.0,1776.75,110295,13501.0,8.17,75289.0
2021-02-01,1780.0,1823.45,1770.1,1797.05,110133,8551.0,12.88,75365.0
2021-02-02,1801.0,1821.95,1800.0,1809.55,44588,8540.0,5.22,25436.0
2021-02-03,1815.0,1823.95,1803.7,1812.8,36467,4874.0,7.48,22250.0
2021-02-04,1813.0,1919.0,1810.0,1855.95,210401,12118.0,17.36,86252.0
2021-02-05,1864.95,1874.0,1811.15,1822.45,66705,8984.0,7.42,33563.0
2021-02-08,1834.75,1870.45,1826.0,1853.5,267384,10702.0,24.98,221961.0
2021-02-09,1866.5,1980.0,1855.0,1869.6,349201,25667.0,13.61,153365.0
2021-02-10,1886.0,1946.6,1855.0,1873.1,242790,25348.0,9.58,92634.0
2021-02-11,1879.95,2008.0,1879.95,1978.85,293161,24137.0,12.15,91904.0
2021-02-12,2005.0,2023.3,1910.0,1930.35,194527,15890.0,12.24,81147.0
2021-02-15,1952.75,1970.0,1900.0,1914.55,160252,19597.0,8.18,59875.0
2021-02-16,1929.85,1933.65,1889.95,1902.5,106453,13335.0,7.98,43598.0
