Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-04-09,175.0,183.75,167.1,176.25,3454400,1701,2030.81,3448000
2024-04-10,167.45,167.45,167.45,167.45,56000,32,1750.0,56000
2024-04-12,159.1,175.8,159.1,175.8,1113600,454,2452.86,883200
2024-04-15,170.0,184.55,169.95,184.55,1068800,385,2776.1,996800
2024-04-16,193.75,193.75,193.75,193.75,107200,44,2436.36,107200
2024-04-18,203.4,203.4,203.4,203.4,36800,13,2830.77,36800
2024-04-19,213.55,213.55,203.4,213.55,577600,205,2817.56,496000
2024-04-22,224.2,224.2,224.2,224.2,38400,17,2258.82,38400
2024-04-23,235.4,235.4,213.0,221.85,683200,245,2788.57,536000
2024-04-24,210.75,232.9,210.75,232.85,696000,273,2549.45,560000
2024-04-25,225.0,233.0,208.1,215.25,436800,226,1932.74,288000
2024-04-26,211.05,224.0,198.0,208.75,307200,181,1697.24,195200
2024-04-29,213.0,244.4,202.0,237.65,566400,339,1670.8,358400
2024-04-30,244.0,251.8,223.4,225.9,211200,124,1703.23,137600
2024-05-02,224.0,238.0,220.0,229.55,369600,216,1711.11,246400
2024-05-03,231.0,236.0,225.0,234.35,156800,96,1633.33,102400
2024-05-06,239.0,241.3,219.0,225.05,249600,150,1664.0,171200
2024-05-07,234.0,270.05,231.05,270.05,932800,536,1740.3,460800
2024-05-08,282.0,324.05,273.5,323.5,1483200,776,1911.34,470400
2024-05-09,322.0,331.7,291.15,291.15,374400,223,1678.92,204800
2024-05-10,281.0,284.0,262.05,272.7,852800,381,2238.32,462400
2024-05-13,278.0,278.0,245.45,248.8,428800,247,1736.03,220800
2024-05-14,244.95,261.2,240.0,261.0,420800,192,2191.67,224000
2024-05-15,261.95,264.0,247.95,247.95,328000,166,1975.9,185600
2024-05-16,248.95,248.95,235.55,235.55,294400,170,1731.76,152000
2024-05-17,234.4,247.3,228.0,247.3,217600,118,1844.07,137600
2024-05-18,251.0,255.95,245.0,253.3,80000,48,1666.67,52800
2024-05-21,253.5,253.85,244.0,249.45,92800,55,1687.27,67200
2024-05-22,251.1,254.95,243.25,244.1,104000,60,1733.33,56000
2024-05-23,245.0,249.5,231.9,235.75,147200,88,1672.73,86400
2024-05-24,230.05,238.0,225.7,227.2,152000,87,1747.13,92800
2024-05-27,215.85,215.85,215.85,215.85,30400,15,2026.67,30400
2024-05-28,205.05,205.05,205.05,205.05,14400,6,2400.0,14400
2024-05-29,194.8,205.05,194.8,194.8,809600,245,3304.49,526400
2024-05-30,193.0,197.2,185.1,185.1,137600,69,1994.2,118400
2024-05-31,175.85,186.9,175.85,175.95,308800,126,2450.79,248000
