Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2021-08-24,550.0,550.0,510.0,535.6,14253757,294719,48.36,9658756
2021-08-25,533.2,539.5,521.6,527.7,1755654,86692,20.25,1200364
2021-08-26,537.0,543.0,528.9,535.35,1246235,35360,35.24,675502
2021-08-27,530.25,545.0,530.25,543.1,2158412,36086,59.81,1663816
2021-08-30,541.0,580.9,535.45,569.0,3787288,82904,45.68,2197795
2021-08-31,564.0,616.85,564.0,576.15,2850914,70481,40.45,971619
2021-09-01,582.0,611.0,576.0,600.15,1671131,53723,31.11,650143
2021-09-02,604.5,621.45,599.0,614.8,2092554,48762,42.91,1013353
2021-09-03,617.7,618.5,590.0,606.95,810355,22621,35.82,347621
2021-09-06,603.25,609.95,581.5,584.4,380937,12766,29.84,181514
2021-09-07,583.3,603.85,556.25,582.55,1299310,31245,41.58,542831
2021-09-08,586.0,592.45,571.1,578.45,471547,14671,32.14,180625
2021-09-09,578.0,584.15,571.55,577.05,425608,11008,38.66,182880
2021-09-13,576.0,584.65,558.0,560.85,485625,11832,41.04,262396
2021-09-14,569.85,574.2,555.0,558.0,495418,13056,37.95,315117
2021-09-15,558.0,591.4,558.0,571.6,633790,19809,32.0,286069
2021-09-16,576.9,582.45,553.6,555.45,550244,16401,33.55,303048
2021-09-17,550.0,553.0,533.9,542.05,1866836,44835,41.64,1266211
2021-09-20,539.4,566.85,531.1,536.75,1066081,31684,33.65,708895
2021-09-21,540.0,553.0,532.05,546.4,887685,30552,29.05,495689
2021-09-22,548.0,564.4,544.0,552.15,1506950,19607,76.86,1237403
2021-09-23,559.65,621.4,555.35,602.2,3502031,100915,34.7,2153864
2021-09-24,596.1,611.85,585.1,607.9,1205300,31106,38.75,692909
2021-09-27,609.0,641.5,600.2,610.3,1997058,38061,52.47,1265092
2021-09-28,613.9,635.0,607.2,617.45,1003595,27525,36.46,464980
2021-09-29,609.0,616.0,597.6,610.25,666830,19836,33.62,373081
2021-09-30,610.25,626.9,606.0,612.45,773608,17673,43.77,527957
2021-10-01,610.4,619.0,596.75,601.0,829902,18526,44.8,571784
2021-10-04,605.0,684.35,605.0,675.15,2729456,80131,34.06,1109519
2021-10-05,678.0,732.8,676.0,698.2,3582316,107170,33.43,1286575
2021-10-06,718.0,743.15,705.05,716.75,3839813,160356,23.95,1883642
2021-10-07,730.0,749.8,716.75,743.7,1381841,36444,37.92,632908
2021-10-08,752.8,810.0,751.1,801.75,3103236,92102,33.69,1114990
2021-10-11,804.95,826.0,766.15,775.1,1212750,50787,23.88,487044
2021-10-12,770.9,798.2,755.0,771.1,568093,18669,30.43,338917
2021-10-13,765.0,795.0,746.0,764.55,899091,35598,25.26,558555
2021-10-14,788.0,794.0,749.0,763.55,719597,21144,34.03,499001
2021-10-18,765.5,810.0,765.2,802.5,952441,19991,47.64,681846
2021-10-19,811.0,817.25,756.6,777.9,479369,26086,18.38,306788
2021-10-20,775.0,775.0,656.6,689.8,1321018,55940,23.61,835121
2021-10-21,700.0,715.35,671.0,675.95,453398,27969,16.21,239039
2021-10-22,671.3,708.0,671.3,677.05,382729,21918,17.46,171767
2021-10-25,681.5,698.0,650.1,661.4,357113,23713,15.06,147716
2021-10-26,660.15,704.45,660.15,683.65,926345,28741,32.23,680873
2021-10-27,690.0,722.05,686.0,688.5,830764,39037,21.28,387115
2021-10-28,688.3,703.0,661.7,667.1,345885,19966,17.32,191515
2021-10-29,657.6,667.65,630.5,650.6,501489,27427,18.28,277710
2021-11-01,715.0,715.0,642.0,651.75,998332,47449,21.04,461147
2021-11-02,664.0,674.95,655.5,661.6,440474,23005,19.15,213498
2021-11-03,666.0,668.15,657.8,660.75,308097,9901,31.12,209954
2021-11-04,666.7,674.0,657.05,671.25,122758,9901,12.4,209954
2021-11-08,670.0,670.0,653.0,656.55,391016,11439,34.18,266853
2021-11-09,660.0,662.5,600.9,622.1,571610,20885,27.37,330920
2021-11-10,619.55,636.95,612.8,624.9,632294,20204,31.3,421694
2021-11-11,624.9,649.6,624.9,642.5,417271,10012,41.68,268020
2021-11-12,648.3,657.8,643.3,653.85,339502,13507,25.14,209079
2021-11-15,660.1,672.5,636.4,663.0,396343,15238,26.01,200787
2021-11-16,664.9,672.5,648.25,653.0,1080626,19351,55.84,808312
2021-11-17,652.0,657.9,638.0,640.7,300727,12552,23.96,183945
2021-11-18,640.75,649.4,605.2,609.6,429497,23333,18.41,256833
2021-11-22,612.0,613.4,574.0,579.95,869487,18461,47.1,700451
2021-11-23,577.95,597.95,574.0,594.3,617461,22041,28.01,421200
2021-11-24,596.0,606.65,585.0,599.2,478261,18458,25.91,344761
2021-11-25,603.0,643.95,602.0,619.8,525375,26727,19.66,299105
2021-11-26,610.05,618.9,597.1,614.65,403100,22785,17.69,238153
2021-11-29,612.9,612.9,562.1,568.45,206962,15195,13.62,99500
2021-11-30,569.8,594.0,563.1,572.6,1001223,29225,34.26,839903
2021-12-01,573.9,583.95,565.0,570.3,197644,23535,8.4,119429
2021-12-02,567.5,593.4,567.5,586.85,225886,10800,20.92,130227
2021-12-03,586.85,591.4,578.1,583.9,362919,24023,15.11,227487
2021-12-06,583.05,597.85,577.4,583.0,384199,22651,16.96,242530
2021-12-07,583.25,608.15,571.5,600.55,289252,28551,10.13,140329
2021-12-08,602.05,615.5,596.3,599.55,411570,21209,19.41,269516
2021-12-09,597.1,602.45,588.0,589.95,252766,17677,14.3,157984
2021-12-10,592.5,603.45,581.0,587.5,193043,9417,20.5,99743
2021-12-13,589.95,595.5,577.85,579.6,395458,11582,34.14,270109
2021-12-14,579.7,585.55,564.0,569.15,184755,13436,13.75,93532
2021-12-15,572.0,572.75,554.0,561.65,342749,8255,41.52,228952
2021-12-16,564.5,570.75,556.95,558.95,195831,5174,37.85,123017
2021-12-17,558.95,562.75,534.0,538.4,356931,17116,20.85,203650
2021-12-20,538.25,538.4,510.0,519.3,464351,11278,41.17,322976
2021-12-21,522.5,542.95,522.5,537.55,120234,5941,20.24,57663
2021-12-22,540.0,565.95,539.6,562.8,169964,9096,18.69,79488
2021-12-23,562.8,568.0,545.0,550.7,624072,13614,45.84,106768
2021-12-24,550.7,558.05,541.55,549.3,106631,5147,20.72,43668
2021-12-27,538.2,549.25,523.0,531.65,370905,15830,23.43,232304
2021-12-28,539.4,561.4,536.0,558.05,227869,8426,27.04,111423
2021-12-29,558.0,582.7,553.0,578.3,198967,11410,17.44,99002
2021-12-30,588.0,588.0,552.1,560.05,312950,12262,25.52,204585
2021-12-31,558.25,565.9,550.05,552.5,82364,6913,11.91,41253
2022-01-03,543.1,582.25,543.1,575.05,233520,18250,12.8,103284
2022-01-04,584.8,605.95,575.1,578.8,506593,26345,19.23,272080
2022-01-05,582.0,600.0,577.1,587.55,910987,18811,48.43,694736
2022-01-06,581.5,618.0,581.5,608.15,1123155,27192,41.3,788732
2022-01-07,607.9,609.75,589.0,593.35,384451,13301,28.9,227443
2022-01-10,594.0,601.95,586.0,598.65,217729,11483,18.96,114415
2022-01-11,599.9,601.85,584.0,588.5,175041,10705,16.35,93449
2022-01-12,584.0,617.9,584.0,603.65,671738,23971,28.02,425312
2022-01-13,610.7,624.05,596.0,599.9,433174,13119,33.02,262106
2022-01-14,601.0,616.05,600.0,609.4,316531,13105,24.15,174580
2022-01-17,614.2,623.0,604.1,605.45,369075,9448,39.06,262959
2022-01-18,605.0,629.0,603.95,614.5,611536,22880,26.73,353846
2022-01-19,618.95,625.25,611.0,619.8,319020,11526,27.68,189988
2022-01-20,623.8,624.0,607.1,614.6,237191,11297,21.0,166701
2022-01-21,610.0,617.05,599.1,604.45,255530,11924,21.43,155374
2022-01-24,600.0,604.25,539.0,544.15,462739,23362,19.81,274276
2022-01-25,543.0,565.0,524.3,549.3,141228,11115,12.71,67880
2022-01-27,548.0,558.2,514.0,521.05,541419,27140,19.95,402164
2022-01-28,524.6,544.05,499.2,505.25,654054,29706,22.02,372544
2022-01-31,564.75,593.0,546.5,554.1,2021706,66869,30.23,622745
2022-02-01,560.0,570.2,549.0,567.4,398719,18183,21.93,161342
2022-02-02,569.9,582.65,560.25,565.35,408079,20886,19.54,235612
2022-02-03,567.0,567.45,552.95,560.55,240642,11766,20.45,118059
2022-02-04,554.5,570.0,554.2,558.6,242011,11363,21.3,122968
2022-02-07,557.0,559.35,547.8,550.7,150462,7931,18.97,80477
2022-02-08,553.9,560.0,541.3,547.6,217316,10173,21.36,121901
2022-02-09,550.0,559.9,548.35,551.05,169028,13297,12.71,91572
2022-02-10,555.4,558.0,535.25,542.0,238722,22600,10.56,142026
2022-02-11,541.0,545.65,533.25,539.85,142442,9345,15.24,81086
2022-02-14,525.0,529.05,492.0,497.55,406949,28305,14.38,274172
2022-02-15,499.0,522.0,499.0,509.4,453972,13456,33.74,251870
2022-02-16,522.0,531.95,513.05,516.4,353798,13623,25.97,236895
2022-02-17,525.9,525.9,511.85,517.05,189784,10724,17.7,86994
2022-02-18,514.45,526.7,512.05,523.15,110651,6998,15.81,43914
2022-02-21,518.0,520.5,495.05,500.25,537362,20705,25.95,317906
2022-02-22,496.0,496.0,470.5,477.05,691282,19971,34.61,487458
2022-02-23,482.0,488.45,463.15,470.9,570742,22815,25.02,323206
2022-02-24,455.0,462.0,444.25,448.95,414630,19015,21.81,224022
2022-02-25,454.85,484.2,454.85,481.2,229591,8878,25.86,143623
2022-02-28,476.2,479.0,465.1,472.05,208194,5683,36.63,135513
2022-03-02,472.95,523.1,472.95,510.55,798382,31949,24.99,415841
2022-03-03,522.9,558.0,522.9,540.35,830770,32813,25.32,370919
2022-03-04,537.5,551.95,530.0,532.6,324573,16321,19.89,141785
2022-03-07,524.0,545.0,521.4,542.65,263380,14606,18.03,129588
2022-03-08,536.2,547.0,527.45,532.55,235380,23528,10.0,140800
2022-03-09,542.5,550.95,529.2,538.2,253342,18291,13.85,145450
2022-03-10,546.0,552.05,528.05,531.75,387112,20384,18.99,210717
2022-03-11,531.75,545.0,524.75,534.1,272913,21974,12.42,137584
2022-03-14,550.0,573.0,545.05,567.15,1456086,32619,44.64,1001302
2022-03-15,571.0,577.6,556.55,562.55,385108,16663,23.11,213776
2022-03-16,566.0,596.9,565.1,592.65,854074,25202,33.89,635484
2022-03-17,598.0,618.7,565.55,589.9,2304392,24751,93.1,1828555
2022-03-21,615.0,615.0,587.0,595.45,316464,16533,19.14,151145
2022-03-22,598.0,624.9,587.4,620.1,495672,22062,22.47,233001
2022-03-23,625.95,627.9,610.0,615.7,232943,10884,21.4,148333
2022-03-24,611.0,634.0,611.0,622.2,304457,13476,22.59,150892
2022-03-25,624.9,634.0,622.45,629.0,346440,6969,49.71,273940
2022-03-28,633.0,636.85,615.0,618.1,137632,7292,18.87,71207
2022-03-29,623.5,641.9,613.95,636.7,327926,11240,29.17,227371
2022-03-30,638.0,675.0,635.55,669.15,522021,20432,25.55,289402
2022-03-31,669.15,685.0,661.0,665.15,396662,13811,28.72,254120
2022-04-01,666.0,677.85,645.25,650.45,219759,12555,17.5,107301
2022-04-04,656.8,669.85,635.3,639.2,217087,11527,18.83,106176
2022-04-05,643.2,645.5,625.0,635.55,297591,23057,12.91,170553
2022-04-06,636.0,654.6,631.9,636.6,344925,12190,28.3,236908
2022-04-07,639.0,644.8,629.0,633.2,128692,6981,18.43,65607
2022-04-08,625.1,645.9,625.1,631.55,80361,4618,17.4,31786
2022-04-11,640.0,640.0,618.0,621.25,102906,5278,19.5,58598
2022-04-12,618.0,630.0,609.0,615.8,94114,5706,16.49,41140
2022-04-13,615.8,646.45,615.8,640.8,627624,12455,50.39,462367
2022-04-18,640.8,651.85,632.0,637.45,125451,4713,26.62,61871
2022-04-19,635.0,644.4,588.1,603.1,152952,6540,23.39,80698
2022-04-20,608.0,629.0,605.0,616.35,323787,13053,24.81,140359
2022-04-21,621.8,626.05,615.0,617.1,67825,3188,21.28,38374
2022-04-22,619.0,639.0,617.1,631.45,177630,5701,31.16,83399
2022-04-25,624.2,624.95,607.5,610.25,82864,3813,21.73,46326
2022-04-26,615.05,638.0,615.05,617.85,372830,9516,39.18,254770
2022-04-27,617.0,617.25,599.9,611.25,79163,5082,15.58,41722
2022-04-28,601.55,623.5,601.25,605.4,80979,5201,15.57,33835
2022-04-29,606.0,608.85,591.1,594.4,141859,5961,23.8,91847
2022-05-02,587.0,591.5,561.0,573.95,147901,8607,17.18,60698
2022-05-04,575.25,595.4,550.0,553.65,139840,6942,20.14,55550
2022-05-05,560.0,568.65,553.0,556.65,65597,3196,20.52,30948
2022-05-06,549.0,559.7,534.85,552.95,100688,5711,17.63,50474
2022-05-09,560.0,569.05,536.9,557.1,105798,6614,16.0,48623
2022-05-10,552.0,560.0,514.15,518.65,182016,11408,15.96,97588
2022-05-11,510.0,541.0,490.55,508.85,238508,13307,17.92,70913
2022-05-12,495.0,501.2,475.85,483.65,172793,8172,21.14,89302
2022-05-13,499.0,533.45,492.9,515.5,308592,24283,12.71,147888
2022-05-16,516.0,533.4,500.75,522.55,247684,25092,9.87,111305
2022-05-17,535.5,538.1,523.65,528.8,163270,16770,9.74,94967
2022-05-18,538.8,538.8,518.0,523.1,109770,13647,8.04,56353
2022-05-19,512.0,512.6,488.0,493.05,192326,12090,15.91,121827
2022-05-20,503.8,503.8,478.9,482.85,222425,11497,19.35,113922
2022-05-23,492.0,506.4,480.95,497.85,185401,18112,10.24,76472
2022-05-24,497.85,508.85,492.2,496.4,105364,10293,10.24,58016
2022-05-25,501.0,506.0,481.4,489.9,101619,10331,9.84,50533
2022-05-26,502.0,502.0,478.0,489.65,170974,19340,8.84,90315
2022-05-27,499.0,499.0,484.05,488.5,104702,12341,8.48,46444
2022-05-30,497.5,514.75,490.75,494.95,254885,10281,24.79,218612
2022-05-31,500.0,500.3,473.1,482.3,494297,15483,31.93,393968
2022-06-01,483.5,489.3,481.0,481.85,89954,9268,9.71,49512
2022-06-02,485.0,485.7,473.25,479.9,80048,7589,10.55,40001
2022-06-03,489.0,490.65,470.0,473.9,82569,8857,9.32,42893
2022-06-06,472.05,484.85,470.05,480.65,94629,7280,13.0,38521
