Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2022-04-08,75.25,78.2,74.25,75.3,349517,4784.0,73.06,85343.0
2022-04-11,76.95,79.75,75.25,76.45,170231,2753.0,61.83,52433.0
2022-04-12,76.7,77.2,75.25,76.15,87302,3237.0,26.97,11097.0
2022-04-13,77.45,79.45,76.3,76.9,99169,1438.0,68.96,26179.0
2022-04-18,76.7,77.45,76.1,76.95,76385,906.0,84.31,13733.0
2022-04-19,77.5,77.5,75.5,75.7,121602,762.0,159.58,37141.0
2022-04-20,76.0,76.35,75.4,75.8,78221,738.0,105.99,10312.0
2022-04-21,77.25,77.25,75.4,75.8,67636,1011.0,66.9,4920.0
2022-04-22,75.75,76.75,75.1,75.35,72092,880.0,81.92,10932.0
2022-04-25,75.35,76.25,74.3,75.1,87570,1423.0,61.54,29397.0
2022-04-26,75.4,76.3,75.0,75.65,95157,1076.0,88.44,28825.0
2022-04-27,75.7,77.45,75.2,76.25,87058,1286.0,67.7,16311.0
2022-04-28,76.9,79.9,76.25,77.95,83378,1615.0,51.63,13172.0
2022-04-29,77.95,79.7,77.5,78.5,56067,873.0,64.22,8753.0
2022-05-02,80.25,80.3,78.25,78.7,50831,784.0,64.84,7847.0
2022-05-04,80.45,80.45,78.65,79.0,46141,1051.0,43.9,11224.0
2022-05-05,79.65,82.9,79.2,81.1,77314,2169.0,35.64,20969.0
2022-05-06,80.0,81.25,75.45,80.25,57186,1120.0,51.06,13909.0
2022-05-09,80.95,80.95,79.0,79.8,32735,462.0,70.85,4459.0
2022-05-10,79.75,81.75,78.8,80.45,48054,1236.0,38.88,14692.0
2022-05-11,80.5,80.9,76.7,77.5,62322,2070.0,30.11,26615.0
2022-05-12,77.25,78.5,76.2,76.45,53386,960.0,55.61,17514.0
2022-05-13,77.5,78.75,77.25,78.1,38634,1030.0,37.51,6528.0
2022-05-16,78.1,79.5,78.0,78.55,44949,1236.0,36.37,14710.0
2022-05-17,78.7,79.5,78.0,79.1,35291,1576.0,22.39,4097.0
2022-05-18,80.0,80.6,78.75,79.95,49911,1173.0,42.55,13905.0
