Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2007-12-17,217.5,220.0,192.5,194.05,355781,,,
2007-12-18,205.0,205.0,193.15,195.1,100918,,,
2007-12-19,204.5,204.5,193.5,194.9,331542,,,
2007-12-20,197.4,197.4,191.25,194.3,681903,,,
2007-12-24,194.3,196.5,194.3,196.2,44752,,,
2007-12-26,196.2,202.5,196.2,201.25,237112,,,
2007-12-27,202.2,203.0,200.0,201.35,80943,,,
2007-12-28,197.5,202.5,197.5,200.7,68086,,,
2007-12-31,201.5,204.95,200.5,203.2,122694,,,
2008-01-01,203.75,207.0,203.5,206.0,91509,,,
2008-01-02,207.5,210.5,202.1,209.5,146084,,,
2008-01-03,207.5,223.5,204.3,219.95,351569,,,
2008-01-04,220.0,232.5,220.0,228.9,243134,,,
2008-01-07,230.0,262.45,228.0,243.4,574470,,,
2008-01-08,245.0,248.9,235.5,237.3,129687,,,
2008-01-09,237.0,240.0,230.0,232.05,62218,,,
2008-01-10,232.05,240.3,228.5,231.1,178077,,,
2008-01-11,231.5,231.5,217.5,228.5,203367,,,
2008-01-14,229.0,237.5,223.0,235.0,104588,,,
2008-01-15,235.0,239.0,232.5,232.8,39444,,,
2008-01-16,227.8,234.5,225.05,227.75,120861,,,
2008-01-17,228.9,246.0,225.0,240.55,118971,,,
2008-01-18,241.0,241.0,226.7,229.8,185443,,,
2008-01-21,232.5,232.5,200.05,221.6,126810,,,
2008-01-22,202.55,226.0,187.5,202.75,101719,,,
2008-01-23,205.0,229.5,199.5,206.55,110691,,,
2008-01-24,210.0,214.65,201.0,203.7,80468,,,
2008-01-25,204.0,209.5,198.0,200.1,164440,,,
2008-01-28,200.1,200.7,192.0,194.05,53654,,,
2008-01-29,197.45,203.0,191.0,194.0,215955,,,
2008-01-30,195.05,204.9,192.5,202.85,250123,,,
2008-01-31,201.0,217.5,198.0,209.75,202143,,,
2008-02-01,207.5,212.0,206.0,210.3,59488,,,
2008-02-04,211.0,214.65,207.5,211.9,89287,,,
2008-02-05,202.5,214.5,202.5,207.55,44204,,,
2008-02-06,207.5,207.5,198.0,198.8,43293,,,
2008-02-07,200.9,204.45,194.5,197.05,25811,,,
2008-02-08,197.05,197.3,191.0,192.5,280246,,,
2008-02-11,202.5,215.0,185.75,188.4,32764,,,
2008-02-12,189.95,193.95,185.0,185.35,14528,,,
2008-02-13,188.4,190.5,180.0,182.9,17175,,,
2008-02-14,185.0,190.0,183.5,185.0,141753,,,
2008-02-15,185.0,189.8,183.5,189.0,152987,,,
2008-02-18,190.8,195.0,190.75,192.95,45979,,,
2008-02-19,190.55,196.45,190.55,192.6,31531,,,
2008-02-20,190.5,193.95,186.5,187.4,13179,,,
2008-02-21,191.65,192.3,187.0,188.05,36952,,,
2008-02-22,186.2,189.0,186.2,188.5,18928,,,
2008-02-25,192.4,195.0,186.75,194.2,25678,,,
2008-02-26,194.7,194.9,189.0,189.6,72734,,,
2008-02-27,191.45,195.0,190.0,190.65,37846,,,
2008-02-28,191.0,191.5,186.0,187.45,59293,,,
2008-02-29,187.7,189.35,185.05,186.25,34199,,,
2008-03-03,185.5,196.2,182.5,194.2,157389,,,
2008-03-04,195.05,207.5,194.25,203.2,172466,,,
2008-03-05,204.0,210.0,200.0,202.0,166095,,,
2008-03-07,202.5,202.5,187.5,190.8,73642,,,
2008-03-10,187.5,198.5,183.0,197.45,58551,,,
2008-03-11,195.0,205.5,190.0,204.55,58010,,,
2008-03-12,207.4,210.0,194.05,197.35,41871,,,
2008-03-13,193.4,196.0,190.5,192.6,22010,,,
2008-03-14,192.5,204.95,192.0,200.7,66512,,,
2008-03-17,196.25,199.45,192.5,193.75,36839,,,
2008-03-18,197.0,198.45,193.05,195.3,26147,,,
2008-03-19,200.0,206.55,197.75,202.85,103665,,,
2008-03-24,205.0,206.0,193.75,196.95,88982,,,
2008-03-25,200.5,202.5,197.5,198.75,47397,,,
2008-03-26,198.5,200.0,190.65,195.75,145354,,,
2008-03-27,195.0,198.0,192.5,194.1,69107,,,
2008-03-28,197.45,197.45,193.05,193.75,125389,,,
2008-03-31,193.5,194.0,189.05,191.3,113239,,,
2008-04-01,191.5,197.5,190.0,195.9,79289,,,
2008-04-02,197.75,199.5,194.55,196.6,364941,,,
2008-04-03,197.75,205.0,195.5,203.7,109566,,,
2008-04-04,203.25,206.5,201.4,205.2,130377,,,
2008-04-07,206.9,215.1,194.0,214.4,231144,,,
2008-04-08,215.0,218.5,213.0,213.8,110575,,,
2008-04-09,214.0,217.5,210.05,211.3,51139,,,
2008-04-10,215.5,215.5,209.05,211.4,22026,,,
2008-04-11,212.5,212.5,209.75,210.2,10888,,,
2008-04-15,209.3,214.45,205.05,213.05,27159,,,
2008-04-16,210.9,215.95,210.65,213.0,42860,,,
2008-04-17,215.5,215.5,209.15,209.9,42363,,,
2008-04-21,212.0,212.0,210.0,211.1,11839,,,
2008-04-22,211.5,215.0,207.75,208.35,105558,,,
2008-04-23,213.6,214.5,204.5,205.3,55017,,,
2008-04-24,206.95,207.0,199.25,200.5,229525,,,
2008-04-25,201.5,209.75,200.6,208.8,220653,,,
2008-04-28,210.0,210.0,200.9,201.6,77601,,,
2008-04-29,203.0,205.45,200.5,201.9,50133,,,
