Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2022-12-21,61.0,71.98,59.15,60.29,19018,,,
2022-12-22,60.2,71.99,58.61,58.76,1255,,,
2022-12-23,58.9,59.89,58.0,58.25,249,,,
2022-12-26,58.6,59.8,57.8,58.15,107817,,,
2022-12-27,58.59,59.39,58.59,59.18,1278,,,
2022-12-28,59.2,59.49,59.2,59.39,104,,,
2022-12-29,59.2,59.34,58.49,58.51,898,,,
2022-12-30,58.9,59.9,58.9,59.61,10860,,,
2023-01-02,59.79,60.33,59.71,60.32,6124,,,
2023-01-03,60.28,60.28,59.4,59.76,3237,,,
2023-01-04,60.1,60.98,59.25,59.25,7775,,,
2023-01-05,59.5,59.79,59.21,59.5,1040,,,
2023-01-06,59.8,60.8,58.6,59.56,354,,,
2023-01-10,59.8,60.4,59.01,59.43,5229,,,
2023-01-11,59.41,59.79,59.41,59.56,86,,,
2023-01-12,59.46,59.46,59.45,59.45,202,,,
2023-01-13,59.63,59.75,59.56,59.57,1637,,,
2023-01-16,59.8,59.94,59.57,59.57,857,,,
2023-01-17,59.8,60.35,59.8,60.35,482,,,
2023-01-18,60.35,60.67,60.3,60.5,6808,,,
2023-01-19,60.68,60.68,60.08,60.5,4668,,,
2023-01-20,60.5,60.5,60.02,60.09,896,,,
2023-01-23,60.0,60.1,59.2,59.53,328,,,
2023-01-24,60.98,60.98,58.8,58.94,1038,,,
2023-01-25,59.01,59.01,58.06,58.22,1228,,,
2023-01-27,58.01,58.01,56.09,56.98,23455,,,
2023-01-30,57.1,57.97,56.0,56.14,2955,,,
2023-01-31,56.3,57.2,56.3,57.19,927,,,
2023-02-01,57.25,57.6,55.7,56.5,37798,,,
2023-02-02,56.4,56.4,56.0,56.19,10860,,,
2023-02-03,56.2,56.79,55.21,55.98,16088,,,
2023-02-06,56.98,56.98,55.79,55.99,8652,,,
2023-02-07,56.0,56.0,55.0,55.18,2426,,,
2023-02-08,55.75,56.01,55.0,56.01,4363,,,
2023-02-09,56.01,56.02,55.46,55.5,2699,,,
2023-02-10,55.5,55.5,55.35,55.35,230,,,
2023-02-13,55.35,55.35,54.95,55.07,1455,,,
2023-02-14,55.0,55.41,55.0,55.23,2771,,,
2023-02-15,55.15,55.5,55.15,55.3,950,,,
2023-02-16,55.46,56.21,55.46,56.21,228,,,
2023-02-17,56.4,56.5,56.28,56.4,1596,,,
2023-02-20,56.3,56.56,56.1,56.35,744,,,
2023-02-21,56.31,56.35,56.25,56.25,373,,,
2023-02-22,56.2,56.2,55.1,55.2,5165,,,
2023-02-23,55.25,55.35,55.05,55.09,158,,,
2023-02-24,55.05,55.05,54.74,54.79,1461,,,
2023-02-27,54.6,54.6,53.81,54.07,841,,,
2023-02-28,53.99,54.05,53.75,53.83,448,,,
2023-03-01,54.95,54.99,54.34,54.64,2873,,,
2023-03-02,54.7,54.79,54.64,54.74,765,,,
2023-03-03,54.87,55.2,54.87,55.12,4815,,,
2023-03-06,55.3,55.74,55.3,55.49,2005,,,
2023-03-08,55.4,55.59,55.21,55.59,177,,,
2023-03-09,55.81,56.05,55.68,55.68,702,,,
2023-03-10,55.4,55.43,55.1,55.13,1145,,,
2023-03-13,55.3,55.6,54.5,54.88,5725,,,
2023-03-14,54.6,55.05,54.21,54.32,2529,,,
2023-03-15,54.8,55.14,54.7,54.92,1462,,,
2023-03-16,54.7,54.86,54.08,54.34,1095,,,
2023-03-17,54.9,55.45,54.7,55.23,2123,,,
2023-03-20,55.23,55.23,54.21,54.59,8442,,,
2023-03-21,54.99,55.04,54.91,54.99,982,,,
2023-03-22,55.3,55.59,55.15,55.36,241,,,
2023-03-23,56.5,56.5,55.03,55.09,1423,,,
2023-03-24,56.2,56.2,54.5,54.55,3564,,,
2023-03-27,55.98,55.98,54.36,54.79,60741,,,
2023-03-28,54.41,54.64,54.22,54.4,2470,,,
2023-03-29,54.4,54.89,54.2,54.87,646,,,
2023-03-31,55.2,55.79,55.2,55.58,495,,,
2023-04-03,55.59,55.9,55.54,55.54,1905,,,
2023-04-05,55.54,55.64,55.17,55.63,875,,,
2023-04-06,55.64,55.97,55.55,55.88,1322,,,
2023-04-10,56.2,56.4,56.04,56.37,1539,,,
2023-04-11,56.41,56.89,56.33,56.82,1907,,,
2023-04-12,56.88,56.88,56.88,56.88,691,,,
2023-04-13,56.9,57.2,56.65,56.88,1258,,,
2023-04-17,58.3,58.3,56.4,57.01,1022,,,
2023-04-18,57.01,57.2,56.65,56.79,21990,,,
2023-04-19,57.09,57.17,56.63,56.83,1221,,,
2023-04-20,56.83,56.84,56.7,56.72,34,,,
2023-04-21,56.8,56.8,56.15,56.24,30969,,,
2023-04-24,56.39,56.65,56.21,56.65,9730,,,
2023-04-25,56.86,56.86,56.65,56.68,2814,,,
2023-04-26,56.6,56.8,56.46,56.58,154,,,
2023-04-27,57.58,57.58,56.78,57.05,5532,,,
2023-04-28,57.98,57.98,57.1,57.76,7077,,,
2023-05-02,58.0,58.49,57.92,58.44,8670,,,
2023-05-03,59.48,59.48,58.0,58.3,10516,,,
2023-05-04,58.39,58.6,58.21,58.53,2542,,,
2023-05-05,59.58,59.58,58.05,58.27,5865,,,
2023-05-08,59.28,59.28,57.33,58.73,3496,,,
2023-05-09,58.76,58.99,58.55,58.65,6239,,,
2023-05-10,59.66,59.66,58.46,58.6,3936,,,
2023-05-11,58.61,58.81,58.57,58.76,3775,,,
2023-05-12,59.66,59.66,58.0,58.06,8899,,,
2023-05-15,58.98,58.98,57.85,58.02,3560,,,
2023-05-16,58.16,58.44,58.14,58.15,1015,,,
2023-05-17,58.15,58.15,57.67,57.85,6173,,,
2023-05-18,56.1,58.16,56.1,57.24,3678,,,
2023-05-19,57.36,57.58,56.81,57.54,43115,,,
2023-05-22,57.61,58.03,57.61,57.98,45515,,,
2023-05-23,58.98,60.0,58.16,58.21,34360,,,
2023-05-24,58.21,58.34,58.0,58.13,18155,,,
2023-05-25,58.0,58.07,57.73,58.06,9013,,,
2023-05-26,58.07,58.64,58.06,58.5,15483,,,
2023-05-29,58.69,58.95,58.56,58.82,14966,,,
2023-05-30,59.78,59.78,58.79,59.0,22867,,,
2023-05-31,59.97,59.97,58.32,58.44,19427,,,
2023-06-01,58.58,58.58,58.2,58.31,13241,,,
2023-06-02,59.28,59.28,58.01,58.48,13919,,,
2023-06-05,58.48,58.86,58.44,58.75,25881,,,
2023-06-06,58.89,59.21,58.76,59.14,26804,,,
2023-06-07,59.21,59.77,59.2,59.72,20548,,,
2023-06-08,59.12,60.4,59.12,59.65,63408,,,
2023-06-09,59.66,59.77,59.2,59.3,22855,,,
2023-06-12,59.31,59.55,59.3,59.54,4600,,,
2023-06-13,60.08,60.5,59.61,59.99,17420,,,
2023-06-14,60.25,60.8,59.0,60.56,29765,,,
2023-06-15,60.58,60.75,60.51,60.59,15523,,,
2023-06-16,60.78,61.02,60.68,60.85,13920,,,
2023-06-19,61.2,61.2,60.52,60.59,15484,,,
2023-06-20,60.56,60.79,60.4,60.56,17714,,,
2023-06-21,60.66,60.79,60.57,60.71,1567,,,
2023-06-22,60.72,60.79,60.07,60.34,9005,,,
2023-06-23,59.88,59.89,59.36,59.45,6893,,,
2023-06-26,60.44,60.44,58.92,59.64,6499,,,
2023-06-27,59.73,59.89,59.55,59.78,4853,,,
2023-06-28,59.01,60.19,59.01,60.1,4278,,,
2023-06-30,61.08,61.08,60.13,60.34,7519,,,
2023-07-03,61.19,61.19,60.46,61.04,22429,,,
2023-07-04,61.3,61.97,60.75,60.98,43824,,,
2023-07-05,61.98,61.98,60.82,61.03,27155,,,
2023-07-06,61.35,61.63,61.03,61.58,20208,,,
2023-07-07,61.64,61.69,60.91,61.01,46556,,,
2023-07-10,61.98,61.98,61.01,61.33,7839,,,
2023-07-11,61.31,61.38,61.2,61.3,6881,,,
2023-07-12,61.35,61.35,61.18,61.2,9145,,,
2023-07-13,61.49,61.77,60.69,60.87,22385,,,
2023-07-14,60.89,61.41,60.89,61.1,13446,,,
2023-07-17,61.97,62.05,61.17,61.67,41320,,,
2023-07-18,61.66,61.75,61.35,61.45,13166,,,
2023-07-19,61.52,61.79,61.46,61.61,9312,,,
2023-07-20,61.64,61.8,61.24,61.76,21567,,,
2023-07-21,61.7,61.71,61.15,61.59,18664,,,
2023-07-24,61.76,62.49,61.25,61.36,10850,,,
2023-07-25,61.41,62.25,61.36,62.14,19061,,,
2023-07-26,62.15,62.68,61.99,62.62,21422,,,
2023-07-27,63.58,63.58,62.12,62.32,14767,,,
2023-07-28,62.61,62.7,62.1,62.64,7519,,,
2023-07-31,63.0,63.64,63.0,63.58,61096,,,
2023-08-01,64.12,64.21,63.01,63.95,24290,,,
2023-08-02,63.91,63.99,62.73,63.15,52224,,,
2023-08-03,63.15,63.15,62.27,62.57,87930,,,
2023-08-04,62.56,63.12,62.56,62.72,16214,,,
2023-08-07,62.72,63.0,62.63,62.94,12818,,,
2023-08-08,62.96,62.96,62.4,62.71,7848,,,
2023-08-09,62.95,63.28,62.31,63.16,22686,,,
2023-08-10,63.16,63.36,62.98,62.99,10367,,,
2023-08-11,63.0,63.08,62.66,62.9,19068,,,
2023-08-14,62.67,62.67,61.95,62.33,6012,,,
2023-08-16,63.28,63.28,61.87,62.52,7678,,,
2023-08-17,62.52,62.52,61.95,62.09,9245,,,
2023-08-18,63.32,63.32,61.7,62.02,12945,,,
2023-08-21,62.49,62.59,62.02,62.4,3059,,,
2023-08-22,62.8,62.85,62.51,62.81,3458,,,
2023-08-23,63.32,63.32,62.71,62.79,2715,,,
2023-08-24,62.92,63.09,62.54,62.57,11511,,,
2023-08-25,62.6,62.6,61.93,61.97,6714,,,
2023-08-28,62.97,63.09,62.01,62.2,19133,,,
2023-08-29,62.21,62.98,62.21,62.84,4746,,,
2023-08-30,62.91,63.15,62.84,62.95,12351,,,
2023-08-31,63.51,63.54,62.5,62.56,12356,,,
2023-09-01,63.09,63.66,63.09,63.63,20701,,,
2023-09-04,63.67,65.32,63.67,64.81,57208,,,
2023-09-05,64.82,65.19,64.8,65.02,36907,,,
2023-09-06,65.98,65.98,64.05,64.95,26409,,,
2023-09-07,65.01,65.5,64.91,65.43,33746,,,
2023-09-08,65.44,66.0,65.44,65.9,37140,,,
2023-09-11,66.88,67.25,66.14,66.46,43178,,,
2023-09-12,67.24,67.24,65.14,65.31,46951,,,
2023-09-13,65.6,65.97,65.17,65.75,26447,,,
2023-09-14,66.0,66.53,66.0,66.39,31156,,,
2023-09-15,66.6,66.79,66.21,66.29,23235,,,
2023-09-18,68.3,68.3,65.4,66.19,14009,,,
2023-09-20,66.18,67.5,65.12,65.38,64347,,,
2023-09-21,65.39,65.99,64.86,65.01,8203,,,
2023-09-22,65.01,65.19,64.42,64.66,29985,,,
2023-09-25,64.71,64.79,64.54,64.64,5110,,,
2023-09-26,64.8,65.26,64.72,64.92,10993,,,
2023-09-27,65.88,66.0,64.23,64.94,9673,,,
