Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-08-05,1015.0,1104.0,1015.0,1082.65,19682593,417163,47.18,9836204
2025-08-06,1070.0,1091.15,1026.0,1065.9,2928924,93629,31.28,881087
2025-08-07,1060.0,1167.8,1042.5,1134.3,1673531,58120,28.79,512143
2025-08-08,1150.0,1224.0,1071.05,1090.85,3019630,129116,23.39,647543
2025-08-11,1094.0,1122.5,1047.85,1063.55,1064058,60769,17.51,282517
2025-08-12,1063.0,1078.95,1045.55,1061.55,381708,20423,18.69,115441
2025-08-13,1065.0,1085.0,1051.1,1066.6,346148,18489,18.72,73685
2025-08-14,1071.0,1080.0,1046.65,1057.05,342055,15526,22.03,197915
2025-08-18,1069.9,1098.95,1059.0,1090.55,420901,21753,19.35,196083
2025-08-19,1095.9,1159.2,1093.6,1112.5,774435,38299,20.22,215292
2025-08-20,1124.95,1223.75,1086.15,1223.75,1604181,59094,27.15,593586
2025-08-21,1275.0,1320.0,1187.0,1288.95,4279584,170180,25.15,932289
2025-08-22,1293.35,1385.0,1267.2,1360.45,1717335,69605,24.67,326385
2025-08-25,1354.0,1354.0,1292.45,1319.75,727098,31247,23.27,196423
2025-08-26,1316.85,1325.95,1261.1,1283.0,438144,21444,20.43,228378
2025-08-28,1283.0,1285.65,1232.0,1250.3,316022,17001,18.59,145260
2025-08-29,1250.3,1303.0,1244.9,1264.0,395742,20074,19.71,141661
