Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-10-28,200.0,200.0,160.51,161.95,7640370,97082,78.7,3051600
2024-10-29,161.0,169.9,155.0,157.25,2052812,45277,45.34,633956
2024-10-30,158.99,164.0,158.6,161.35,672612,11177,60.18,279676
2024-10-31,163.7,165.29,160.21,160.79,328820,7555,43.52,138487
2024-11-01,161.7,162.39,160.1,160.97,124267,2589,48.0,75843
2024-11-04,162.95,162.95,152.7,154.25,553939,15482,35.78,321544
2024-11-05,155.99,156.35,153.0,154.32,372935,9647,38.66,154719
2024-11-06,155.8,162.3,154.55,159.01,631348,14867,42.47,255999
2024-11-07,160.0,165.22,157.95,158.74,513600,15472,33.2,176284
2024-11-08,158.99,159.4,154.64,155.7,211588,5272,40.13,100215
