Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-02-17,49.5,52.21,49.5,52.21,77108,BE,238.0,323.98,77108.0
2026-02-18,54.82,54.82,54.82,54.82,9111,BE,107.0,85.15,9111.0
2026-02-19,57.56,57.56,57.56,57.56,12336,BE,111.0,111.14,12336.0
2026-02-20,60.43,60.43,60.43,60.43,17178,BE,111.0,154.76,17178.0
2026-02-23,63.45,63.45,57.41,63.45,291987,BE,785.0,371.96,291987.0
2026-02-24,63.45,66.45,60.28,60.28,123755,BE,676.0,183.07,123755.0
2026-02-25,58.15,59.9,57.27,57.76,135934,BE,481.0,282.61,135934.0
2026-02-26,56.59,60.64,55.21,60.64,115502,BE,405.0,285.19,115502.0
2026-02-27,63.67,63.67,63.67,63.67,56646,BE,172.0,329.34,56646.0
2026-03-02,66.7,66.85,61.99,66.85,126094,BE,529.0,238.36,126094.0
2026-03-04,65.0,77.84,65.0,67.88,443113,EQ,3505.0,126.42,216113.0
2026-03-05,68.69,68.69,63.24,64.52,100654,EQ,1316.0,76.48,58549.0
2026-03-06,64.52,66.08,60.5,61.27,139127,EQ,1460.0,95.29,78497.0
2026-03-09,56.0,59.99,52.0,52.98,186016,EQ,1723.0,107.96,110770.0
2026-03-10,53.01,62.6,53.01,61.02,157565,EQ,1987.0,79.3,89347.0
2026-03-11,61.94,64.8,60.87,63.31,144763,EQ,2143.0,67.55,66110.0
2026-03-12,63.46,75.97,60.42,68.83,753191,EQ,8590.0,87.68,173135.0
2026-03-13,67.71,71.39,60.0,62.9,198334,EQ,1978.0,100.27,107309.0
2026-03-16,63.84,72.81,62.02,70.2,643576,EQ,5841.0,110.18,149391.0
2026-03-17,71.25,84.24,71.01,84.24,1761352,EQ,14971.0,117.65,364431.0
2026-03-18,89.0,101.08,82.2,100.4,2779303,EQ,16710.0,166.33,490728.0
2026-03-19,95.11,105.27,90.5,92.92,1011605,EQ,14721.0,68.72,207335.0
2026-03-20,91.0,93.6,88.28,88.3,89150,BE,584.0,152.65,89150.0
2026-03-23,83.89,83.89,83.89,83.89,7381,BE,100.0,73.81,7381.0
2026-03-24,80.1,82.45,79.7,79.7,44185,BE,185.0,238.84,44185.0
2026-03-25,75.72,77.0,75.72,75.72,42575,BE,242.0,175.93,42575.0
2026-03-27,71.94,71.94,71.94,71.94,22121,BE,106.0,208.69,22121.0
2026-03-30,68.35,68.35,68.35,68.35,21161,BE,106.0,199.63,21161.0
2026-04-01,68.9,71.76,65.99,66.43,117652,BE,546.0,215.48,117652.0
2026-04-02,64.0,64.99,63.11,64.16,59556,BE,350.0,170.16,59556.0
2026-04-06,63.83,63.85,60.96,63.53,69212,BE,511.0,135.44,69212.0
2026-04-07,62.98,63.53,61.41,62.39,14789,BE,191.0,77.43,14789.0
2026-04-08,63.98,65.5,63.05,65.5,25953,BE,107.0,242.55,25953.0
2026-04-09,68.75,68.77,65.6,68.77,59858,BE,351.0,170.54,59858.0
2026-04-10,71.8,72.2,69.21,71.22,80581,BE,444.0,181.49,80581.0
2026-04-13,68.05,70.0,67.66,69.2,31033,BE,303.0,102.42,31033.0
2026-04-15,69.75,70.7,67.0,67.75,70522,BE,432.0,163.25,70522.0
2026-04-16,69.0,70.95,67.5,68.49,45018,BE,263.0,171.17,45018.0
2026-04-17,69.45,70.98,67.7,68.84,38673,BE,334.0,115.79,38673.0
2026-04-20,69.14,70.0,67.1,69.64,102702,BE,424.0,242.22,102702.0
2026-04-21,69.89,69.89,66.21,66.51,101075,BE,415.0,243.55,101075.0
2026-04-22,65.6,66.1,64.0,65.19,56509,BE,368.0,153.56,56509.0
2026-04-23,64.57,64.57,62.1,63.38,53888,BE,282.0,191.09,53888.0
2026-04-24,62.99,63.98,61.2,62.41,38733,BE,272.0,142.4,38733.0
2026-04-27,62.96,63.5,61.52,62.54,39518,BE,222.0,178.01,39518.0
2026-04-28,62.84,62.84,61.0,62.16,32603,BE,225.0,144.9,32603.0
2026-04-29,62.16,64.0,61.11,62.43,64012,BE,322.0,198.8,64012.0
2026-04-30,62.25,65.55,62.25,65.55,43865,BE,261.0,168.07,43865.0
2026-05-04,68.3,68.82,68.0,68.81,58141,BE,211.0,275.55,58141.0
2026-05-05,68.5,72.25,68.49,72.01,190131,BE,677.0,280.84,190131.0
2026-05-06,73.89,75.61,72.9,74.19,141380,BE,655.0,215.85,141380.0
2026-05-07,74.75,77.89,73.0,73.8,112365,BE,584.0,192.41,112365.0
2026-05-08,73.01,74.5,70.16,71.26,63620,BE,351.0,181.25,63620.0
2026-05-11,71.26,71.26,68.0,69.12,51286,BE,222.0,231.02,51286.0
2026-05-12,67.1,68.78,65.67,66.06,56483,BE,371.0,152.25,56483.0
2026-05-13,64.6,66.48,63.5,64.61,40271,BE,323.0,124.68,40271.0
2026-05-14,64.65,65.67,62.0,62.63,58062,BE,326.0,178.1,58062.0
2026-05-15,62.63,63.49,61.1,62.33,30497,BE,172.0,177.31,30497.0
2026-05-18,62.33,62.33,59.82,59.97,54785,BE,250.0,219.14,54785.0
2026-05-19,59.7,62.96,58.02,62.83,70244,BE,225.0,312.2,70244.0
2026-05-20,62.5,62.5,59.72,60.45,85644,BE,465.0,184.18,85644.0
2026-05-21,60.47,63.47,59.0,62.28,81092,BE,379.0,213.96,81092.0
2026-05-22,60.0,62.64,59.17,61.69,80711,BE,451.0,178.96,80711.0
2026-05-25,61.28,61.9,59.3,60.08,65650,BE,319.0,205.8,65650.0
2026-05-26,60.33,60.85,59.0,60.01,66797,BE,246.0,271.53,66797.0
2026-05-27,59.71,61.2,59.01,60.37,212937,BE,330.0,645.26,212937.0
2026-05-29,60.49,60.5,58.02,60.21,98649,BE,285.0,346.14,98649.0
2026-06-01,59.0,61.6,59.0,60.1,54723,BE,248.0,220.66,54723.0
2026-06-02,59.87,60.57,58.0,59.49,68011,BE,259.0,262.59,68011.0
2026-06-03,59.4,60.9,59.15,59.27,34994,BE,149.0,234.86,34994.0
2026-06-04,59.9,62.23,59.9,62.23,94412,BE,324.0,291.4,94412.0
2026-06-05,63.79,65.34,62.6,65.34,50404,BE,202.0,249.52,50404.0
2026-06-08,68.6,68.6,65.91,68.6,131360,BE,299.0,439.33,131360.0
2026-06-09,67.9,69.39,66.26,68.83,88902,BE,365.0,243.57,88902.0
2026-06-10,67.46,67.46,67.46,67.46,8691,BE,40.0,217.28,8691.0
2026-06-11,66.12,66.12,66.12,66.12,1295,BE,16.0,80.94,1295.0
2026-06-12,65.0,65.0,64.8,64.8,8316,BE,47.0,176.94,8316.0
2026-06-15,63.51,65.9,63.51,65.9,39495,BE,103.0,383.45,39495.0
2026-06-16,65.0,65.05,64.6,64.6,21867,BE,83.0,263.46,21867.0
2026-06-17,64.6,64.6,63.61,63.61,12606,BE,63.0,200.1,12606.0
2026-06-18,64.88,64.88,64.88,64.88,9227,BE,40.0,230.68,9227.0
2026-06-19,66.17,66.17,66.17,66.17,2747,BE,18.0,152.61,2747.0
2026-06-22,67.49,67.49,67.49,67.49,5677,BE,19.0,298.79,5677.0
2026-06-23,68.7,68.83,68.7,68.83,9462,BE,21.0,450.57,9462.0
2026-06-24,70.2,70.2,70.2,70.2,43613,BE,91.0,479.26,43613.0
2026-06-25,71.6,71.6,71.6,71.6,9026,BE,31.0,291.16,9026.0
2026-06-29,73.03,73.03,73.03,73.03,18157,BE,55.0,330.13,18157.0
2026-06-30,71.57,74.48,71.57,73.98,52469,BE,126.0,416.42,52469.0
2026-07-01,73.12,73.12,72.51,72.51,17867,BE,67,266.67,17867
2026-07-02,71.06,71.06,71.06,71.06,5547,BE,44,126.07,5547
2026-07-03,69.9,70.0,69.9,70.0,8947,BE,65,137.65,8947
2026-07-06,70.99,70.99,70.99,70.99,60891,BE,100,608.91,60891
2026-07-07,72.4,72.4,72.4,72.4,26477,BE,31,854.1,26477
2026-07-08,73.84,73.84,73.84,73.84,17519,BE,31,565.13,17519
2026-07-09,75.31,75.31,75.31,75.31,15906,BE,26,611.77,15906
2026-07-10,76.81,76.81,76.81,76.81,32099,BE,87,368.95,32099
2026-07-13,78.34,78.34,78.34,78.34,10873,BE,31,350.74,10873
2026-07-14,79.9,79.9,79.9,79.9,6829,BE,24,284.54,6829
2026-07-15,81.49,81.49,81.49,81.49,35802,BE,37,967.62,35802
2026-07-16,83.11,83.11,83.11,83.11,21977,BE,22,998.95,21977
2026-07-17,84.77,84.77,84.77,84.77,30304,BE,38,797.47,30304
2026-07-20,86.46,86.46,86.46,86.46,5585,BE,31,180.16,5585
2026-07-21,84.74,84.74,84.74,84.74,136875,BE,237,577.53,136875
2026-07-22,83.05,83.05,83.05,83.05,25250,BE,76,332.24,25250
2026-07-23,81.39,81.39,81.39,81.39,27019,BE,82,329.5,27019
2026-07-24,79.77,79.77,79.77,79.77,13232,BE,59,224.27,13232
2026-07-27,78.6,78.6,78.6,78.6,60190,BE,138,436.16,60190
2026-07-28,77.03,77.03,77.03,77.03,15666,BE,57,274.84,15666
2026-07-29,76.0,76.99,75.5,76.38,17028,BE,79,215.54,17028
2026-07-30,76.5,76.5,74.86,74.86,28102,BE,96,292.73,28102
2026-07-31,73.37,73.37,73.37,73.37,31757,BE,73,435.03,31757
2026-08-03,70.74,76.49,70.74,75.68,108852,BE,556,195.78,108852
2026-08-04,74.01,78.8,73.15,78.16,41823,BE,303,138.03,41823
2026-08-05,77.4,82.06,77.4,81.83,72730,BE,379,191.9,72730
2026-08-06,83.87,85.92,83.87,85.92,85831,BE,272,315.56,85831
2026-08-07,86.0,87.5,81.63,82.93,102271,BE,518,197.43,102271
2026-08-10,83.39,85.0,79.23,82.95,40334,BE,230,175.37,40334
2026-08-11,81.5,83.0,80.12,82.06,35063,BE,160,219.14,35063
2026-08-12,82.06,82.06,79.0,81.38,31656,BE,204,155.18,31656
2026-08-13,83.49,85.25,77.71,83.17,86930,BE,361,240.8,86930
2026-08-14,84.0,84.49,80.01,82.36,37414,BE,168,222.7,37414
2026-08-17,81.85,82.0,74.13,74.26,202685,EQ,1789,113.3,120332
2026-08-18,74.0,75.49,67.16,68.94,208275,EQ,1519,137.11,142240
2026-08-19,70.0,75.11,68.02,74.58,144562,EQ,1329,108.78,87201
2026-08-20,76.9,78.49,75.1,76.1,84590,EQ,710,119.14,57167
2026-08-21,76.1,79.5,72.99,77.79,118286,EQ,1481,79.87,79352
