Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-08-08,30.0,30.4,28.5,28.5,872400,ST,514.0,1697.28,871200.0
2024-08-09,27.1,27.8,27.1,27.25,780000,ST,385.0,2025.97,667200.0
2024-08-12,27.0,28.6,25.9,27.6,345600,ST,179.0,1930.73,328800.0
2024-08-13,27.6,28.1,27.25,27.5,64800,ST,50.0,1296.0,62400.0
2024-08-14,26.85,28.35,26.85,27.8,52800,ST,43.0,1227.91,46800.0
2024-08-16,27.8,27.8,26.9,27.25,45600,ST,30.0,1520.0,40800.0
2024-08-19,27.75,28.65,27.15,28.65,84000,ST,48.0,1750.0,81600.0
2024-08-20,29.6,30.05,29.0,30.0,152400,ST,90.0,1693.33,110400.0
2024-08-21,30.8,31.45,29.05,31.45,193200,ST,107.0,1805.61,175200.0
2024-08-22,33.05,33.05,30.9,33.05,127200,ST,85.0,1496.47,108000.0
2024-08-23,33.8,34.0,29.6,31.55,522000,SM,373.0,1399.46,283200.0
2024-08-26,32.0,32.9,30.6,31.4,129600,SM,71.0,1825.35,84000.0
2024-08-27,31.4,31.6,30.5,30.7,72000,SM,43.0,1674.42,61200.0
2024-08-28,31.0,31.75,29.8,29.9,144000,SM,104.0,1384.62,88800.0
2024-08-29,30.95,30.95,29.0,29.45,32400,SM,26.0,1246.15,27600.0
2024-08-30,29.8,29.8,29.55,29.55,10800,SM,9.0,1200.0,7200.0
2024-09-02,31.0,31.0,29.0,29.4,40800,SM,32.0,1275.0,31200.0
2024-09-03,29.05,29.15,28.65,28.85,20400,SM,17.0,1200.0,12000.0
2024-09-04,28.4,28.8,27.7,27.95,42000,SM,29.0,1448.28,30000.0
2024-09-05,27.65,31.4,27.65,28.65,93600,SM,60.0,1560.0,69600.0
2024-09-06,28.8,29.0,28.4,29.0,40800,SM,22.0,1854.55,32400.0
2024-09-09,29.0,29.7,28.25,28.4,68400,SM,22.0,3109.09,63600.0
2024-09-10,28.3,30.6,28.3,29.95,181200,SM,47.0,3855.32,169200.0
2024-09-11,30.6,31.2,28.2,29.55,97200,SM,31.0,3135.48,88800.0
2024-09-12,29.05,29.6,28.7,29.45,61200,SM,42.0,1457.14,51600.0
2024-09-13,29.4,30.8,29.3,30.4,75600,SM,33.0,2290.91,68400.0
2024-09-16,30.0,30.0,29.6,29.8,115200,SM,42.0,2742.86,114000.0
2024-09-17,29.2,29.6,29.0,29.55,10800,SM,9.0,1200.0,8400.0
2024-09-18,29.2,29.55,28.6,28.6,26400,SM,21.0,1257.14,20400.0
2024-09-19,29.2,29.6,28.5,28.85,70800,SM,41.0,1726.83,62400.0
2024-09-20,28.2,28.6,28.0,28.3,22800,SM,19.0,1200.0,20400.0
2024-09-23,28.4,29.0,28.4,28.6,16800,SM,14.0,1200.0,13200.0
2024-09-24,29.0,30.4,28.8,30.15,27600,SM,21.0,1314.29,26400.0
2024-09-25,30.4,31.2,30.4,30.85,43200,SM,32.0,1350.0,36000.0
2024-09-26,31.0,31.5,31.0,31.1,34800,SM,28.0,1242.86,30000.0
2024-09-27,31.6,31.6,31.0,31.0,38400,SM,27.0,1422.22,37200.0
2024-09-30,31.55,31.55,30.5,30.6,20400,SM,14.0,1457.14,16800.0
2024-10-01,30.8,30.8,30.6,30.65,7200,SM,6.0,1200.0,4800.0
2024-10-03,30.8,31.8,30.6,31.0,61200,SM,40.0,1530.0,39600.0
2024-10-04,31.0,31.0,30.65,30.65,15600,SM,10.0,1560.0,14400.0
2024-10-07,30.5,31.3,30.4,30.4,57600,SM,37.0,1556.76,52800.0
2024-10-08,30.8,30.8,30.8,30.8,1200,SM,1.0,1200.0,1200.0
2024-10-09,30.05,30.9,30.0,30.9,16800,SM,11.0,1527.27,13200.0
2024-10-10,30.3,30.3,30.3,30.3,1200,SM,1.0,1200.0,1200.0
2024-10-11,30.2,31.15,30.0,31.15,18000,SM,5.0,3600.0,18000.0
2024-10-14,32.0,32.0,30.0,30.0,33600,SM,15.0,2240.0,32400.0
2024-10-15,30.0,30.95,29.6,29.75,100800,SM,19.0,5305.26,93600.0
2024-10-16,30.0,30.2,29.5,30.2,7200,SM,6.0,1200.0,7200.0
2024-10-17,30.4,30.4,30.4,30.4,1200,SM,1.0,1200.0,1200.0
2024-10-18,30.0,30.0,30.0,30.0,3600,SM,3.0,1200.0,3600.0
2024-10-22,28.4,28.4,26.85,27.8,9600,SM,8.0,1200.0,7200.0
2024-10-23,27.0,29.4,27.0,29.4,7200,SM,6.0,1200.0,6000.0
2024-10-24,29.2,29.2,28.6,28.6,8400,SM,7.0,1200.0,6000.0
2024-10-25,28.6,28.8,28.0,28.8,14400,SM,12.0,1200.0,10800.0
2024-10-28,29.0,29.4,29.0,29.35,13200,SM,11.0,1200.0,8400.0
2024-10-29,29.4,29.4,28.5,28.8,6000,SM,5.0,1200.0,6000.0
2024-10-31,29.4,29.6,29.05,29.2,6000,SM,5.0,1200.0,4800.0
2024-11-01,29.2,29.2,29.2,29.2,1200,SM,1.0,1200.0,1200.0
2024-11-04,28.6,28.6,27.7,27.7,2400,SM,2.0,1200.0,2400.0
2024-11-05,28.45,29.4,28.45,29.4,2400,SM,2.0,1200.0,2400.0
2024-11-06,29.3,29.4,29.3,29.4,2400,SM,2.0,1200.0,2400.0
2024-11-07,29.3,29.3,27.0,28.45,99600,SM,25.0,3984.0,87600.0
2024-11-08,28.0,28.4,26.8,27.15,96000,SM,29.0,3310.34,90000.0
2024-11-11,27.15,27.2,26.4,27.0,84000,SM,24.0,3500.0,78000.0
2024-11-12,28.0,28.0,26.4,27.0,34800,SM,19.0,1831.58,31200.0
2024-11-13,26.4,27.0,25.6,26.15,57600,SM,17.0,3388.24,54000.0
2024-11-14,25.3,26.2,25.3,26.2,4800,SM,4.0,1200.0,3600.0
2024-11-18,25.85,26.0,25.2,25.2,8400,SM,7.0,1200.0,7200.0
2024-11-19,25.8,26.4,25.0,25.2,8400,SM,7.0,1200.0,6000.0
2024-11-21,25.0,25.0,25.0,25.0,3600,SM,3.0,1200.0,3600.0
2024-11-22,25.0,25.4,25.0,25.4,3600,SM,3.0,1200.0,3600.0
2024-11-25,25.8,25.8,24.6,24.6,6000,SM,5.0,1200.0,4800.0
2024-11-27,24.6,24.6,24.6,24.6,3600,SM,3.0,1200.0,3600.0
