Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-02-02,190.25,199.75,180.75,180.75,585600,338,1732.54,585600
2024-02-05,171.75,171.75,171.75,171.75,6400,4,1600.0,6400
2024-02-06,163.2,163.2,163.2,163.2,4800,2,2400.0,4800
2024-02-07,155.05,155.05,155.05,155.05,12800,6,2133.33,12800
2024-02-08,147.3,162.8,147.3,162.3,275200,164,1678.05,262400
2024-02-09,156.95,157.0,154.2,154.2,38400,23,1669.57,38400
2024-02-12,152.6,152.6,146.5,146.5,48000,28,1714.29,43200
2024-02-13,139.4,139.4,139.2,139.2,27200,16,1700.0,22400
2024-02-14,143.8,146.15,140.0,146.15,56000,33,1696.97,56000
2024-02-15,153.45,153.45,153.45,153.45,3200,2,1600.0,3200
2024-02-16,184.1,184.1,178.25,184.1,206400,119,1734.45,123200
