Date,Open,High,Low,Close,Volume
2023-09-18,22.2,23.3,22.2,23.3,1601
2023-09-20,24.45,24.45,24.45,24.45,343
2023-09-21,25.65,25.65,25.65,25.65,389
2023-09-22,26.9,26.9,26.9,26.9,359
2023-09-25,28.2,28.2,28.2,28.2,171
2023-09-26,29.6,29.6,29.6,29.6,122
2023-09-27,31.05,31.05,31.05,31.05,57
2023-09-28,32.6,32.6,32.6,32.6,306
2023-09-29,34.2,34.2,34.2,34.2,250
2023-10-03,35.9,35.9,35.9,35.9,47
2023-10-04,39.45,39.45,39.45,39.45,86
2023-10-05,43.35,43.35,43.35,43.35,47
2023-10-06,45.5,45.5,45.5,45.5,85
2023-10-09,47.75,47.75,47.75,47.75,97
2023-10-10,50.1,50.1,50.1,50.1,346
2023-10-11,52.6,52.6,52.6,52.6,11
2023-10-12,55.2,55.2,55.2,55.2,15
2023-10-13,57.95,57.95,57.95,57.95,115
