Date,Open,High,Low,Close,Volume
2022-05-10,44.9,43.1,43.45,43.43,150048.42
2022-05-12,43.95,41.97,43.43,43.59,497453.06
2022-05-13,43.99,42.03,42.31,42.36,504524.19
2022-05-16,45.0,42.01,42.39,42.15,137872.31
2022-05-17,43.76,41.8,43.67,43.76,65347.54
2022-05-18,43.99,43.43,43.58,43.59,112979.48
2022-05-19,44.45,40.1,42.6,42.64,264404.08
2022-05-20,43.29,50.3,42.65,43.27,22133
2022-05-23,45.95,45.95,42.81,43.18,16344
2022-05-24,44.19,44.19,42.45,42.49,9340
2022-05-25,43.29,43.29,41.4,41.73,3066
2022-05-26,42.48,42.48,41.02,42.33,3501
2022-05-27,41.5,43.12,41.5,42.65,3542
2022-05-30,43.65,44.2,41.37,43.57,17381
2022-05-31,44.99,44.99,42.66,43.73,4616
2022-06-01,44.75,45.3,43.01,43.47,2128
2022-06-02,44.49,45.3,43.02,43.79,10873
2022-06-03,44.39,45.9,43.0,43.74,41928
2022-06-06,45.5,45.5,42.21,43.72,2467
2022-06-07,43.98,43.98,42.82,43.25,15188
2022-06-08,43.01,43.99,42.47,43.11,2886
2022-06-09,43.79,43.79,43.0,43.11,4664
2022-06-10,43.49,43.49,42.6,42.93,2322
2022-06-13,43.19,43.39,41.5,41.84,9421
2022-06-14,42.7,42.77,41.67,41.71,2647
2022-06-15,42.78,43.4,41.57,41.68,9889
2022-06-16,45.3,45.3,40.6,40.73,26173
2022-06-17,41.99,41.99,40.0,40.13,2858
2022-06-20,43.7,43.7,39.28,40.08,29698
2022-06-21,41.0,41.47,39.16,40.99,2214
2022-06-22,41.77,41.98,40.2,40.45,14147
2022-06-23,40.0,41.32,40.0,40.9,1491
2022-06-24,41.95,41.95,40.8,41.06,3453
2022-06-27,41.81,42.29,41.06,41.74,7438
2022-06-28,42.74,42.74,41.01,41.73,3999
2022-06-29,40.26,42.48,40.26,41.7,2246
2022-06-30,42.68,42.68,41.15,41.75,1142
2022-07-01,42.88,42.88,40.95,41.73,3817
2022-07-04,41.99,42.08,40.8,42.07,7350
2022-07-05,45.3,45.3,41.8,41.92,2248
2022-07-06,42.98,42.98,41.0,42.11,4884
2022-07-07,41.16,43.11,41.16,42.75,3807
2022-07-08,43.79,43.79,42.01,43.08,2364
2022-07-11,47.75,47.75,42.2,42.78,7627
2022-07-12,43.78,43.78,42.12,42.26,2643
2022-07-13,41.51,43.37,41.51,42.13,4732
2022-07-14,43.29,43.29,41.8,42.13,933
2022-07-15,43.29,43.29,41.2,42.46,1079
2022-07-18,43.46,43.46,42.01,42.88,8321
2022-07-19,43.9,43.9,42.46,42.92,2679
2022-07-20,42.92,43.97,42.36,43.72,4654
2022-07-21,44.69,44.69,42.72,44.16,4754
2022-07-22,44.43,44.46,43.92,44.2,7184
2022-07-25,45.3,45.3,43.2,44.19,7672
2022-07-26,45.1,45.1,43.26,43.4,2672
2022-07-27,44.96,44.96,43.3,44.05,975
2022-07-28,44.6,44.6,43.76,44.55,5706
2022-07-29,45.19,45.77,44.15,45.19,11264
2022-08-01,49.99,49.99,44.29,45.34,13326
2022-08-02,47.75,47.75,44.41,45.23,7830
2022-08-03,46.89,46.89,44.62,45.34,5118
2022-08-04,45.34,45.73,44.55,45.48,4190
2022-08-05,46.5,46.5,44.88,45.61,20695
2022-08-08,47.75,47.75,45.01,45.92,10794
2022-08-10,46.98,46.98,45.01,45.87,5342
2022-08-11,47.3,47.3,45.42,45.98,13575
2022-08-12,45.75,46.6,45.75,46.0,2469
2022-08-16,49.99,49.99,45.75,46.31,10361
2022-08-17,49.99,49.99,45.89,46.61,4032
2022-08-18,49.91,49.91,46.1,46.57,2351
2022-08-19,49.99,49.99,46.04,46.47,14793
2022-08-22,47.98,47.98,45.6,45.94,8792
2022-08-23,45.2,46.78,45.2,45.98,2128
2022-08-24,46.89,46.89,45.5,45.69,2520
2022-08-25,46.89,46.89,45.3,45.64,5031
2022-08-26,49.0,49.0,45.75,45.97,1313
2022-08-29,44.52,46.48,44.52,45.33,6132
2022-08-30,46.68,46.68,45.0,46.16,4203
2022-09-01,44.15,46.78,44.15,45.78,5234
2022-09-02,47.69,47.69,45.2,45.52,6171
2022-09-05,46.98,46.98,45.72,45.98,6270
2022-09-06,48.65,48.65,45.48,45.93,2228
2022-09-07,45.93,54.99,45.75,45.95,15326
2022-09-08,48.65,48.65,45.2,46.13,14961
2022-09-09,54.99,54.99,45.36,46.36,6086
2022-09-12,48.65,48.65,45.6,46.79,10497
2022-09-13,54.99,54.99,46.16,47.02,4174
2022-09-14,46.94,46.99,42.35,46.43,10213
2022-09-15,54.99,54.99,46.21,46.32,5291
2022-09-16,48.65,48.65,45.22,45.29,9772
2022-09-19,47.89,47.89,45.01,45.35,3027
2022-09-20,47.7,47.7,45.06,45.6,6790
