Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2022-12-05,63.25,65.0,60.35,62.3,10482,401.0,26.14,6932.0
2022-12-06,63.35,63.35,60.0,60.65,4358,199.0,21.9,2675.0
2022-12-07,61.65,63.35,58.65,61.05,66102,739.0,89.45,31159.0
2022-12-08,61.9,61.9,58.0,58.0,35183,300.0,117.28,8121.0
2022-12-09,58.35,58.35,55.1,55.1,13704,285.0,48.08,10571.0
2022-12-12,55.4,55.4,52.35,52.35,2302,55.0,41.85,1656.0
2022-12-13,51.65,51.65,49.75,49.75,15169,168.0,90.29,12442.0
2022-12-14,47.25,52.25,47.25,52.25,8304,222.0,37.41,5201.0
2022-12-15,54.85,54.85,54.85,54.85,4177,14.0,298.36,4177.0
2022-12-16,57.15,57.55,55.0,57.55,9167,189.0,48.5,7042.0
2022-12-19,60.35,60.35,56.65,58.35,11164,407.0,27.43,6383.0
2022-12-20,58.8,60.3,58.4,59.55,2622,131.0,20.02,1828.0
2022-12-21,59.9,59.9,56.55,56.55,8545,260.0,32.87,6831.0
2022-12-22,58.0,58.0,53.85,54.1,13315,364.0,36.58,8484.0
2022-12-23,51.5,52.0,51.4,51.4,2932,31.0,94.58,2898.0
2022-12-26,53.15,53.95,48.85,48.95,6022,253.0,23.8,3621.0
2022-12-27,49.5,51.0,48.0,49.9,3133,120.0,26.11,2062.0
2022-12-28,49.3,51.3,49.3,51.0,2656,101.0,26.3,1798.0
2022-12-29,52.0,52.0,49.5,49.95,1295,78.0,16.6,605.0
2022-12-30,51.7,51.7,49.35,51.0,2520,129.0,19.53,1795.0
2023-01-02,51.25,51.25,48.45,48.45,6589,155.0,42.51,5876.0
2023-01-03,47.35,50.9,47.35,50.9,8189,314.0,26.08,3534.0
2023-01-04,52.35,52.35,48.35,48.6,8720,332.0,26.27,4353.0
2023-01-05,48.3,50.8,47.9,50.05,3106,93.0,33.4,2012.0
2023-01-06,48.7,51.6,48.3,50.8,7061,160.0,44.13,5012.0
2023-01-09,50.7,51.3,49.35,50.25,2891,153.0,18.9,978.0
2023-01-10,50.95,51.3,49.75,50.9,901,67.0,13.45,385.0
2023-01-11,50.9,50.9,48.4,49.1,2907,148.0,19.64,1951.0
2023-01-12,49.1,51.0,47.35,50.25,4181,223.0,18.75,2628.0
2023-01-13,50.55,52.6,48.8,51.95,7198,201.0,35.81,6485.0
2023-01-16,52.1,52.75,51.7,52.4,2969,175.0,16.97,1367.0
2023-01-17,52.75,53.65,50.65,51.75,2741,278.0,9.86,1024.0
2023-01-18,52.35,53.15,50.85,52.6,1602,159.0,10.08,1110.0
2023-01-19,52.3,52.95,50.5,51.95,7449,334.0,22.3,2297.0
2023-01-20,52.35,53.15,51.65,51.75,2062,103.0,20.02,1435.0
2023-01-23,52.5,52.6,50.65,51.35,1889,156.0,12.11,1062.0
2023-01-24,51.75,51.75,50.05,51.25,2924,111.0,26.34,1892.0
2023-01-25,51.7,52.0,50.0,50.2,5683,101.0,56.27,5217.0
2023-01-27,51.35,52.15,48.5,48.65,1958,94.0,20.83,1289.0
2023-01-30,48.9,50.85,46.2,46.75,9787,223.0,43.89,6831.0
2023-01-31,48.5,49.05,47.1,48.8,3553,201.0,17.68,2728.0
2023-02-01,50.35,50.65,47.05,47.8,9645,517.0,18.66,2062.0
2023-02-02,49.0,49.45,47.65,48.0,1133,53.0,21.38,547.0
2023-02-03,49.0,49.0,46.85,47.3,2036,70.0,29.09,1674.0
2023-02-06,45.0,49.25,45.0,47.2,3688,199.0,18.53,1354.0
2023-02-07,48.15,48.75,46.05,46.1,3508,126.0,27.84,2640.0
2023-02-08,50.0,50.7,45.65,50.65,58019,1228.0,47.25,43066.0
2023-02-09,51.35,51.35,47.0,48.4,8553,283.0,30.22,6553.0
2023-02-10,48.5,48.5,47.2,47.75,4486,94.0,47.72,4110.0
2023-02-13,48.35,48.65,47.05,48.4,2669,121.0,22.06,2205.0
2023-02-14,47.0,49.45,45.4,47.2,3840,155.0,24.77,2847.0
2023-02-15,49.45,49.9,47.85,49.25,3464,113.0,30.65,2889.0
2023-02-16,48.55,49.35,46.7,47.6,935,29.0,32.24,842.0
2023-02-17,47.35,48.9,47.0,47.45,1884,94.0,20.04,1719.0
2023-02-20,47.85,48.65,47.0,47.6,1987,152.0,13.07,1471.0
2023-02-21,47.3,47.9,46.0,47.25,7103,121.0,58.7,5217.0
2023-02-22,45.65,47.95,44.65,45.2,2351,189.0,12.44,937.0
2023-02-23,47.35,47.35,41.95,45.15,8737,251.0,34.81,6762.0
2023-02-24,48.4,48.4,42.2,44.0,35347,613.0,57.66,24154.0
2023-02-27,44.0,46.65,40.05,44.95,49686,857.0,57.98,37710.0
2023-02-28,44.7,46.45,42.15,45.55,5585,320.0,17.45,3336.0
2023-03-01,45.4,47.45,45.0,46.75,7075,447.0,15.83,5086.0
2023-03-02,44.7,49.9,44.7,48.4,8664,944.0,9.18,3092.0
2023-03-03,48.1,49.0,45.55,46.85,6090,748.0,8.14,960.0
2023-03-06,48.15,48.35,45.8,47.9,9397,1466.0,6.41,2801.0
2023-03-08,47.65,48.35,47.05,48.25,2610,163.0,16.01,1596.0
2023-03-09,48.25,48.35,46.9,48.35,2111,211.0,10.0,1845.0
2023-03-10,47.7,48.3,46.0,48.0,1593,331.0,4.81,408.0
2023-03-13,47.4,48.95,45.95,47.0,7939,694.0,11.44,2770.0
2023-03-14,48.15,48.15,46.2,46.2,317,39.0,8.13,181.0
2023-03-15,47.95,48.3,45.05,45.65,2871,661.0,4.34,1550.0
2023-03-16,46.75,47.15,43.75,44.65,2289,282.0,8.12,1340.0
2023-03-17,44.7,45.65,43.0,44.35,2115,111.0,19.05,1837.0
2023-03-20,43.0,45.95,41.65,43.45,3938,135.0,29.17,3274.0
2023-03-21,43.85,45.2,42.0,43.2,5128,1006.0,5.1,2068.0
2023-03-22,43.3,45.35,43.05,44.4,3694,418.0,8.84,1965.0
2023-03-23,45.0,47.35,42.5,46.3,5420,923.0,5.87,3171.0
2023-03-24,46.0,47.2,45.15,46.85,2303,364.0,6.33,1466.0
2023-03-27,45.35,46.1,43.0,43.3,4938,286.0,17.27,4615.0
2023-03-28,43.35,45.95,42.8,45.4,5120,218.0,23.49,3434.0
2023-03-29,44.45,45.25,43.05,44.0,4126,130.0,31.74,3565.0
2023-03-31,43.35,46.65,43.35,45.2,3790,461.0,8.22,1779.0
2023-04-03,45.7,46.65,44.3,45.45,4340,403.0,10.77,1740.0
2023-04-05,47.0,50.0,44.35,49.8,8138,438.0,18.58,6579.0
2023-04-06,49.35,52.95,49.15,49.35,13890,886.0,15.68,7834.0
2023-04-10,49.2,50.7,49.05,49.9,3681,425.0,8.66,1641.0
2023-04-11,49.35,50.3,47.35,49.1,3982,186.0,21.41,3166.0
2023-04-12,48.7,49.65,47.35,48.25,1263,227.0,5.56,638.0
2023-04-13,48.4,49.65,47.65,48.5,2398,177.0,13.55,1234.0
2023-04-17,48.3,49.3,47.35,48.7,2380,233.0,10.21,2056.0
2023-04-18,47.75,48.8,47.7,47.8,2563,68.0,37.69,1995.0
2023-04-19,48.4,48.95,47.6,47.75,1149,89.0,12.91,646.0
2023-04-20,48.35,49.3,47.35,47.95,2230,108.0,20.65,1911.0
2023-04-21,48.5,49.6,46.7,47.85,6260,420.0,14.9,3516.0
2023-04-24,47.7,49.5,45.45,47.85,4644,359.0,12.94,3127.0
2023-04-25,47.65,49.0,47.35,48.0,3178,175.0,18.16,2173.0
2023-04-26,47.75,49.1,47.4,49.0,1024,73.0,14.03,658.0
2023-04-27,49.3,49.3,47.55,47.6,1564,102.0,15.33,1052.0
2023-04-28,48.7,48.85,47.0,47.9,2073,319.0,6.5,1025.0
2023-05-02,48.3,48.65,44.8,45.9,8577,550.0,15.59,5084.0
2023-05-03,46.4,47.6,45.7,46.85,5330,358.0,14.89,3329.0
2023-05-04,46.2,46.95,43.4,44.85,7382,508.0,14.53,5091.0
2023-05-05,45.95,46.6,44.7,46.1,2355,76.0,30.99,1752.0
2023-05-08,46.25,47.65,44.8,46.75,2751,313.0,8.79,1540.0
2023-05-09,46.45,46.55,44.65,45.7,3107,324.0,9.59,1680.0
2023-05-10,46.55,49.15,46.05,47.25,17886,584.0,30.63,13761.0
2023-05-11,48.2,49.65,47.2,48.15,14588,288.0,50.65,12096.0
2023-05-12,48.7,51.15,48.35,49.05,30728,408.0,75.31,27365.0
2023-05-15,49.05,58.85,49.05,58.7,48396,1797.0,26.93,20629.0
2023-05-16,65.0,69.65,61.8,63.05,236325,7609.0,31.06,53983.0
2023-05-17,61.65,61.65,55.5,56.8,33067,1633.0,20.25,13837.0
2023-05-18,57.35,59.75,57.35,58.45,13816,629.0,21.97,6682.0
2023-05-19,58.85,59.9,55.65,57.8,21201,722.0,29.36,12923.0
2023-05-22,59.15,59.15,53.3,55.2,22910,823.0,27.84,14673.0
2023-05-23,55.2,58.35,55.2,57.75,6831,284.0,24.05,4152.0
2023-05-24,57.75,59.15,56.65,59.05,8727,347.0,25.15,5678.0
2023-05-25,58.35,61.3,58.15,59.05,9846,797.0,12.35,3986.0
2023-05-26,60.0,64.8,57.75,58.25,6889,812.0,8.48,2760.0
2023-05-29,59.15,59.15,56.0,56.45,4457,505.0,8.83,2106.0
2023-05-30,56.7,58.35,55.7,58.15,6828,287.0,23.79,3653.0
2023-05-31,57.35,58.5,55.65,56.9,17078,384.0,44.47,12830.0
2023-06-01,56.7,58.2,55.05,55.95,9204,390.0,23.6,5823.0
2023-06-02,57.35,57.45,55.85,56.15,3695,233.0,15.86,1733.0
2023-06-05,57.65,57.65,55.65,56.0,1738,102.0,17.04,824.0
2023-06-06,56.0,57.0,55.35,55.55,4228,168.0,25.17,2395.0
2023-06-07,55.95,57.65,55.0,56.95,10593,519.0,20.41,5472.0
2023-06-08,56.95,57.9,55.05,55.35,12688,426.0,29.78,9509.0
2023-06-09,56.65,57.3,55.65,56.4,7583,293.0,25.88,2646.0
2023-06-12,57.15,57.75,55.15,56.0,7011,168.0,41.73,4625.0
2023-06-13,55.55,56.65,55.35,56.1,1155,93.0,12.42,666.0
2023-06-14,56.65,56.65,54.0,55.3,10879,198.0,54.94,8903.0
2023-06-15,54.95,55.8,54.2,55.15,4107,325.0,12.64,830.0
2023-06-16,55.55,55.8,54.1,54.2,1787,58.0,30.81,1456.0
2023-06-19,55.0,55.1,53.35,54.5,2595,177.0,14.66,1561.0
2023-06-20,54.95,54.95,52.0,52.65,10981,299.0,36.73,6850.0
2023-06-21,53.3,53.3,47.8,51.9,38523,889.0,43.33,24002.0
2023-06-22,50.6,52.5,50.55,51.6,6258,254.0,24.64,3564.0
2023-06-23,51.65,51.85,49.35,49.95,6151,225.0,27.34,4722.0
2023-06-26,49.7,50.15,48.15,48.65,2903,118.0,24.6,1345.0
2023-06-27,48.65,49.15,47.55,47.95,3189,147.0,21.69,2046.0
2023-06-28,56.35,57.55,49.65,51.35,137521,2462.0,55.86,34280.0
2023-06-30,50.9,52.05,49.35,51.55,11674,545.0,21.42,6853.0
2023-07-03,50.05,54.0,50.05,52.85,5670,280.0,20.25,3315.0
2023-07-04,52.6,52.95,49.8,51.05,25370,666.0,38.09,14976.0
2023-07-05,52.5,52.5,48.85,49.5,10628,502.0,21.17,6403.0
2023-07-06,50.0,51.05,48.65,49.1,10097,474.0,21.3,6780.0
2023-07-07,49.55,50.8,48.0,49.0,12217,834.0,14.65,6398.0
2023-07-10,49.65,49.75,48.7,49.15,3943,199.0,19.81,1622.0
2023-07-11,50.0,50.2,48.7,49.7,2618,243.0,10.77,1239.0
2023-07-12,49.95,50.15,48.7,48.95,3214,167.0,19.25,1324.0
2023-07-13,49.65,50.0,48.75,49.1,2674,96.0,27.85,1922.0
2023-07-14,49.15,50.0,48.4,48.8,4370,148.0,29.53,1948.0
2023-07-17,48.7,50.0,48.05,48.7,3233,166.0,19.48,2031.0
2023-07-18,48.8,49.95,48.4,49.1,2062,127.0,16.24,596.0
2023-07-19,49.95,49.95,49.1,49.3,1055,136.0,7.76,815.0
2023-07-20,49.85,49.85,48.45,48.55,1043,72.0,14.49,708.0
2023-07-21,48.75,49.95,47.5,48.55,6222,279.0,22.3,3780.0
2023-07-24,47.75,50.65,47.75,50.35,7780,229.0,33.97,5261.0
2023-07-25,50.85,51.6,49.7,51.1,7960,217.0,36.68,4454.0
2023-07-26,50.0,51.65,49.65,50.55,9751,197.0,49.5,8077.0
2023-07-27,50.75,52.25,50.35,51.7,4857,120.0,40.48,3077.0
2023-07-28,51.6,52.8,51.45,52.05,4266,123.0,34.68,3248.0
2023-07-31,52.35,53.95,51.85,52.85,8740,320.0,27.31,7488.0
2023-08-01,52.7,54.15,52.65,54.0,3032,129.0,23.5,2563.0
2023-08-02,55.0,55.0,53.3,54.45,9732,227.0,42.87,8676.0
2023-08-03,54.85,55.85,52.65,54.75,28908,691.0,41.84,19652.0
2023-08-04,56.35,56.35,52.65,53.6,46067,927.0,49.69,30819.0
2023-08-07,54.6,55.3,52.7,54.85,13038,464.0,28.1,9449.0
2023-08-08,54.35,55.0,53.35,53.6,11557,307.0,37.64,7724.0
2023-08-09,54.35,54.55,53.05,53.4,24742,387.0,63.93,18352.0
2023-08-10,53.0,54.4,51.7,53.5,13063,799.0,16.35,7463.0
2023-08-11,54.0,54.0,52.4,53.4,5766,220.0,26.21,3475.0
2023-08-14,52.25,53.4,50.45,51.2,12967,339.0,38.25,8286.0
2023-08-16,51.2,51.45,50.15,51.2,3567,216.0,16.51,694.0
2023-08-17,50.7,50.85,49.35,49.95,18248,208.0,87.73,17534.0
2023-08-18,49.6,50.5,48.45,49.1,3032,185.0,16.39,1472.0
2023-08-21,50.9,55.65,49.55,50.65,46021,1707.0,26.96,19871.0
2023-08-22,51.0,53.0,50.75,52.6,6974,262.0,26.62,4320.0
2023-08-23,52.7,53.75,52.35,52.95,3397,213.0,15.95,1273.0
2023-08-24,52.75,52.95,51.5,52.6,2837,131.0,21.66,1595.0
2023-08-25,52.65,52.75,50.7,50.95,1414,163.0,8.67,859.0
2023-08-28,51.05,53.35,50.95,52.0,3499,268.0,13.06,2392.0
2023-08-29,51.7,52.2,50.1,52.05,1815,169.0,10.74,1043.0
2023-08-30,52.4,52.5,50.0,50.65,1839,310.0,5.93,1227.0
2023-08-31,50.85,52.0,50.3,51.2,34251,236.0,145.13,33834.0
2023-09-01,51.2,52.65,50.05,51.3,53017,383.0,138.43,49537.0
2023-09-04,52.65,52.65,49.35,50.2,14455,417.0,34.66,10824.0
2023-09-05,50.5,51.95,50.2,51.4,6260,367.0,17.06,2891.0
2023-09-06,51.2,52.05,51.05,51.45,2023,111.0,18.23,1675.0
2023-09-07,52.5,52.5,51.55,52.1,1594,158.0,10.09,1110.0
2023-09-08,52.2,52.4,50.85,51.25,3951,167.0,23.66,3270.0
2023-09-11,51.8,54.25,50.1,51.3,27783,835.0,33.27,16395.0
2023-09-12,51.55,51.85,48.25,48.6,9609,538.0,17.86,4631.0
2023-09-13,48.25,49.95,48.15,49.3,2649,191.0,13.87,1471.0
2023-09-14,51.55,51.55,49.5,50.45,1569,120.0,13.08,1033.0
2023-09-15,50.15,51.35,50.0,50.1,1367,92.0,14.86,1053.0
