Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2016-10-18,43.0,43.0,38.8,41.25,186000,,,
2016-10-19,41.85,41.9,41.85,41.9,6000,,,
2016-10-20,41.0,41.7,41.0,41.6,18000,,,
2016-10-21,42.0,42.0,41.0,41.0,9000,,,
2016-10-24,41.0,41.0,41.0,41.0,3000,,,
2016-10-26,40.25,40.5,40.25,40.5,6000,,,
2016-10-27,40.5,40.5,40.5,40.5,6000,,,
2016-10-28,40.5,40.5,40.5,40.5,15000,,,
2016-10-30,40.5,40.5,40.5,40.5,3000,,,
2016-11-01,40.25,40.25,40.0,40.0,15000,,,
2016-11-02,40.0,40.0,40.0,40.0,9000,,,
2016-11-04,39.0,40.35,39.0,40.35,6000,,,
2016-11-08,39.05,39.05,39.05,39.05,3000,,,
2016-11-09,36.5,37.0,36.5,37.0,6000,,,
2016-11-10,37.0,37.0,37.0,37.0,3000,,,
2016-11-11,37.0,37.0,37.0,37.0,3000,,,
2016-11-15,36.75,36.75,36.75,36.75,3000,,,
2016-11-18,36.9,42.0,36.9,42.0,24000,,,
2016-11-29,40.2,40.2,40.2,40.2,3000,,,
2016-11-30,39.2,39.2,39.2,39.2,3000,,,
2016-12-02,38.0,40.2,38.0,40.2,6000,,,
2016-12-05,40.0,40.0,40.0,40.0,36000,,,
2016-12-06,40.0,40.0,40.0,40.0,39000,,,
2016-12-13,40.0,40.0,40.0,40.0,3000,,,
2016-12-29,37.5,37.5,37.5,37.5,6000,,,
2017-01-04,37.5,37.5,37.5,37.5,3000,,,
2017-01-19,38.45,42.25,38.45,40.35,33000,,,
2017-01-20,40.25,41.4,40.0,40.0,15000,,,
2017-01-23,40.0,40.0,40.0,40.0,6000,,,
2017-01-24,42.85,42.9,40.15,40.9,15000,,,
2017-01-27,43.25,43.25,43.25,43.25,3000,,,
2017-01-30,40.5,40.5,40.5,40.5,3000,,,
2017-02-07,40.0,40.0,40.0,40.0,3000,,,
2017-02-10,40.0,40.0,40.0,40.0,3000,,,
2017-02-17,40.5,40.5,40.5,40.5,69000,,,
2017-02-20,41.0,41.8,41.0,41.8,6000,,,
2017-02-21,42.0,42.0,42.0,42.0,6000,,,
2017-02-27,40.9,40.9,40.9,40.9,3000,,,
2017-03-07,39.0,39.0,39.0,39.0,3000,,,
2017-03-10,39.0,39.0,39.0,39.0,3000,,,
2017-03-22,37.0,37.0,36.0,36.0,6000,,,
2017-03-29,35.0,35.0,33.0,33.0,6000,,,
2017-03-31,38.0,38.0,38.0,38.0,3000,,,
2017-04-10,39.0,40.8,39.0,40.5,9000,,,
2017-04-11,40.0,40.0,40.0,40.0,3000,,,
2017-04-17,39.0,39.05,39.0,39.0,9000,,,
2017-04-21,37.0,37.0,37.0,37.0,3000,,,
2017-04-24,35.0,35.0,35.0,35.0,3000,,,
2017-04-26,35.0,35.0,35.0,35.0,3000,,,
2017-05-09,37.0,37.0,37.0,37.0,15000,,,
2017-05-11,37.0,37.0,37.0,37.0,12000,,,
2017-05-12,37.0,37.0,37.0,37.0,9000,,,
2017-05-15,35.0,35.0,35.0,35.0,3000,,,
2017-05-18,33.0,33.0,33.0,33.0,3000,,,
2017-06-05,33.0,33.0,33.0,33.0,3000,,,
2017-06-12,36.0,36.0,36.0,36.0,6000,,,
2017-06-15,34.1,34.1,34.1,34.1,9000,,,
2017-06-19,36.0,36.0,36.0,36.0,27000,,,
2017-06-20,36.0,40.0,36.0,40.0,51000,,,
2017-06-21,38.0,38.0,38.0,38.0,33000,,,
2017-06-22,40.0,40.0,37.0,39.0,18000,,,
2017-06-28,39.9,39.9,39.9,39.9,3000,,,
2017-06-29,39.95,39.95,39.95,39.95,6000,,,
2017-07-13,36.5,36.5,36.5,36.5,3000,,,
2017-08-29,33.5,33.5,33.5,33.5,3000,,,
2017-08-30,33.25,33.25,33.25,33.25,3000,,,
2017-09-08,30.5,30.5,30.5,30.5,3000,,,
2017-09-11,30.9,30.9,30.9,30.9,3000,,,
2017-09-20,30.0,30.0,30.0,30.0,3000,,,
2017-09-25,28.25,28.25,28.25,28.25,3000,,,
2017-10-13,27.0,27.0,27.0,27.0,3000,,,
2017-10-16,28.5,32.0,28.5,32.0,12000,,,
2017-10-17,33.0,36.0,33.0,33.0,18000,,,
2017-10-18,34.5,36.0,34.5,36.0,18000,,,
2017-10-19,36.5,36.5,36.5,36.5,3000,,,
2017-10-25,37.0,40.0,37.0,40.0,57000,,,
2017-11-02,38.0,38.0,38.0,38.0,3000,,,
2017-11-08,36.5,36.5,36.5,36.5,3000,,,
2017-11-27,34.0,37.0,34.0,37.0,9000,,,
2017-11-28,39.5,42.0,39.5,42.0,48000,,,
2017-11-29,42.0,42.0,40.0,40.0,6000,,,
2017-12-04,40.75,44.0,40.75,43.0,24000,,,
2017-12-05,43.0,43.0,43.0,43.0,3000,,,
2017-12-08,43.0,43.0,40.0,41.0,12000,,,
2017-12-13,42.9,42.9,42.9,42.9,3000,,,
2017-12-20,40.0,40.0,40.0,40.0,3000,,,
2017-12-21,40.0,40.0,40.0,40.0,3000,,,
2017-12-22,40.25,40.25,40.25,40.25,3000,,,
2017-12-26,41.0,41.0,41.0,41.0,3000,,,
2017-12-27,39.0,39.0,39.0,39.0,3000,,,
2018-01-03,40.1,40.1,40.1,40.1,3000,,,
2018-01-04,40.1,40.1,38.0,38.0,9000,,,
2018-01-08,40.5,41.25,40.5,41.25,24000,,,
2018-01-10,20.5,24.75,20.5,24.75,48000,,,
2018-01-11,24.0,25.0,24.0,25.0,36000,,,
2018-01-12,25.9,26.0,25.9,26.0,12000,,,
2018-01-15,25.25,25.25,25.25,25.25,6000,,,
2018-01-16,25.0,25.0,25.0,25.0,6000,,,
2018-01-19,22.75,22.75,20.5,21.0,36000,,,
2018-01-25,20.8,20.8,20.75,20.75,12000,,,
2018-02-06,19.0,19.0,19.0,19.0,6000,,,
2018-02-07,18.75,18.75,18.75,18.75,6000,,,
2018-02-20,17.25,17.25,17.25,17.25,6000,,,
2018-02-21,17.25,17.25,17.25,17.25,6000,,,
