Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1995-01-02,55.45,55.45,55.45,55.45,200,,,
1995-01-04,56.0,56.0,55.35,55.35,150,,,
1995-01-05,54.65,54.9,54.65,54.9,700,,,
1995-01-10,53.95,54.65,53.95,54.65,450,,,
1995-01-12,52.0,53.05,52.0,53.05,400,,,
1995-01-16,53.35,54.15,53.35,54.15,5050,,,
1995-01-17,53.35,54.0,50.0,50.0,150,,,
1995-01-18,53.85,53.85,53.85,53.85,50,,,
1995-01-20,52.65,52.65,52.65,52.65,100,,,
1995-01-23,50.95,51.15,50.95,51.15,100,,,
1995-01-24,51.85,51.85,51.75,51.75,10000,,,
1995-01-25,46.55,49.35,46.55,49.35,4100,,,
1995-01-27,50.65,52.4,50.65,52.4,5200,,,
1995-01-30,52.0,52.65,52.0,52.65,200,,,
1995-01-31,51.35,52.65,50.65,52.4,850,,,
1995-02-01,47.45,52.4,47.45,52.0,300,,,
1995-02-03,53.2,53.35,53.2,53.35,250,,,
1995-02-06,53.65,53.85,53.65,53.85,5500,,,
1995-02-07,51.35,51.35,51.35,51.35,50,,,
1995-02-09,53.35,53.45,52.65,53.15,15050,,,
1995-02-10,52.95,53.05,52.95,53.05,1250,,,
1995-02-14,52.0,52.35,52.0,52.35,150,,,
1995-02-15,50.0,52.65,50.0,52.55,150,,,
1995-02-21,50.95,50.95,50.95,50.95,500,,,
1995-02-22,50.0,50.0,50.0,50.0,100,,,
1995-02-23,49.35,50.65,49.35,50.65,350,,,
1995-02-24,49.65,49.65,49.65,49.65,100,,,
1995-03-02,51.4,51.4,50.65,50.65,1200,,,
1995-03-03,52.0,52.0,52.0,52.0,350,,,
1995-03-06,50.65,51.0,50.65,51.0,200,,,
1995-03-07,50.65,50.65,50.65,50.65,100,,,
1995-03-08,52.15,52.35,52.15,52.25,500,,,
1995-03-09,52.0,53.2,52.0,53.2,400,,,
1995-03-10,53.35,54.15,53.35,54.1,450,,,
1995-03-13,51.85,52.0,51.85,51.95,100,,,
1995-03-14,51.85,51.85,51.35,51.35,400,,,
1995-03-15,52.95,54.0,52.8,52.8,1500,,,
1995-03-21,50.0,50.4,50.0,50.4,1550,,,
1995-03-22,50.55,50.55,50.0,50.0,150,,,
1995-03-23,51.05,51.35,51.05,51.35,100,,,
1995-03-24,50.95,50.95,50.95,50.95,50,,,
1995-03-27,50.65,50.65,50.65,50.65,350,,,
1995-03-28,52.0,52.0,52.0,52.0,800,,,
1995-03-29,51.45,52.55,51.45,52.55,200,,,
1995-03-30,52.0,52.65,52.0,52.65,300,,,
1995-03-31,52.65,52.65,52.65,52.65,100,,,
1995-04-03,52.65,52.65,52.65,52.65,150,,,
1995-04-04,53.35,54.0,52.4,52.85,650,,,
1995-04-05,54.65,56.65,54.65,56.6,1900,,,
1995-04-06,56.0,58.65,56.0,58.35,1850,,,
