Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2022-04-12,800.0,800.0,750.0,770.0,2267,EQ,343,6.61,1146
2022-04-13,794.9,798.85,752.0,764.2,1598,EQ,217,7.36,697
2022-04-18,764.2,789.8,751.0,763.55,733,EQ,95,7.72,475
2022-04-19,789.9,789.9,755.6,763.4,550,EQ,165,3.33,222
2022-04-20,755.95,774.25,733.0,747.45,1120,EQ,148,7.57,770
2022-04-21,765.75,769.95,720.0,733.7,3522,EQ,498,7.07,2451
2022-04-22,736.15,742.95,722.0,737.65,1900,EQ,297,6.4,1135
2022-04-25,736.0,736.0,701.0,717.2,2017,EQ,313,6.44,1137
2022-04-26,727.3,746.35,712.0,724.4,1112,EQ,230,4.83,531
2022-04-27,720.5,757.35,714.4,725.9,1963,EQ,277,7.09,1069
2022-04-28,725.0,750.1,716.15,731.85,1021,EQ,202,5.05,655
2022-04-29,718.6,736.9,713.0,717.4,965,EQ,189,5.11,624
2022-05-02,744.0,744.0,695.0,700.25,1148,EQ,271,4.24,772
2022-05-04,700.25,729.95,680.0,697.05,1526,EQ,227,6.72,1067
2022-05-05,711.9,724.95,679.95,689.45,1448,EQ,234,6.19,822
2022-05-06,671.0,682.95,620.0,656.7,6575,EQ,940,6.99,4109
2022-05-09,656.7,675.2,645.0,664.65,1721,EQ,234,7.35,1188
2022-05-10,658.95,680.5,655.0,668.7,1166,EQ,137,8.51,828
2022-05-12,649.4,674.0,630.4,649.5,1012,EQ,290,3.49,447
2022-05-13,694.9,694.9,636.2,649.1,1180,EQ,178,6.63,756
2022-05-16,694.0,694.0,634.15,647.5,672,EQ,123,5.46,416
2022-05-17,660.05,679.95,649.95,656.7,1192,EQ,154,7.74,743
2022-05-18,661.05,665.35,624.95,639.55,1262,EQ,221,5.71,700
2022-05-19,634.0,642.45,623.75,631.3,599,EQ,107,5.6,288
2022-05-20,637.0,652.15,615.05,629.7,1333,EQ,215,6.2,908
2022-05-23,634.3,634.3,595.4,601.25,2684,EQ,378,7.1,1692
2022-05-24,601.0,620.05,590.95,597.55,1657,EQ,250,6.63,1250
2022-05-25,604.4,610.0,591.95,599.85,2056,EQ,247,8.32,1475
2022-05-26,606.0,613.85,501.6,559.05,7070,EQ,644,10.98,3625
2022-05-27,593.9,593.9,541.0,557.7,3097,EQ,373,8.3,2097
2022-05-30,589.0,598.95,566.35,574.3,2600,EQ,248,10.48,1516
2022-05-31,595.05,595.05,552.2,563.1,2194,EQ,278,7.89,1185
2022-06-01,575.0,575.0,555.65,566.8,516,EQ,120,4.3,188
2022-06-02,584.05,584.05,560.0,564.15,1176,EQ,160,7.35,656
2022-06-03,594.3,594.3,560.05,563.95,511,EQ,108,4.73,316
2022-06-06,570.9,578.3,544.6,558.35,905,EQ,113,8.01,608
2022-06-07,568.5,599.95,557.75,581.25,861,EQ,95,9.06,675
2022-06-08,581.0,608.0,544.0,572.05,2135,EQ,277,7.71,540
2022-06-09,593.0,593.0,564.8,576.45,568,EQ,76,7.47,317
2022-06-10,576.05,590.25,566.35,579.5,1516,EQ,135,11.23,1300
2022-06-13,566.0,695.4,526.1,650.4,3892,EQ,440,8.85,2181
2022-06-14,625.0,625.9,595.05,609.2,2549,EQ,354,7.2,1091
2022-06-15,640.3,640.3,582.0,590.95,1031,EQ,112,9.21,533
2022-06-16,635.05,635.05,561.0,568.55,2230,EQ,246,9.07,1404
2022-06-17,568.55,568.55,520.0,555.2,1408,EQ,170,8.28,768
2022-06-20,555.2,595.05,530.0,540.95,958,EQ,99,9.68,802
2022-06-21,540.95,580.05,525.0,547.5,1130,EQ,138,8.19,662
2022-06-22,564.05,564.05,535.35,552.35,614,EQ,97,6.33,285
2022-06-23,554.05,595.05,554.0,566.1,383,EQ,67,5.72,135
2022-06-24,584.05,585.05,556.95,568.3,451,EQ,57,7.91,259
2022-06-27,584.05,585.05,523.85,550.75,1935,EQ,198,9.77,1023
2022-06-28,568.9,568.9,538.3,552.85,1862,EQ,195,9.55,1061
2022-06-29,541.6,559.9,531.95,551.1,524,EQ,83,6.31,314
2022-06-30,543.15,553.55,537.05,545.7,590,EQ,108,5.46,254
2022-07-01,555.05,565.55,535.05,541.3,602,EQ,175,3.44,259
2022-07-04,556.35,556.35,537.65,549.45,378,EQ,57,6.63,203
2022-07-05,560.05,560.05,535.0,538.75,1379,EQ,183,7.54,1054
2022-07-06,557.05,595.0,533.8,545.4,8845,EQ,527,16.78,5097
2022-07-07,546.95,576.1,544.1,563.35,2383,EQ,155,15.37,1698
2022-07-08,578.0,578.0,553.55,559.1,254,EQ,52,4.88,108
2022-07-11,569.1,569.1,553.7,563.45,1788,EQ,96,18.62,1512
2022-07-12,567.05,567.05,541.35,549.95,1309,EQ,131,9.99,812
2022-07-13,557.05,561.0,543.95,548.85,613,EQ,88,6.97,336
