Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2022-10-17,90.0,91.0,83.1,84.5,88025637,,,
2022-10-18,86.05,92.95,84.5,92.95,20753358,,,
2022-10-19,102.2,102.2,102.2,102.2,1766673,,,
2022-10-20,100.95,103.65,92.05,93.8,46568289,,,
2022-10-21,96.05,98.0,86.5,87.5,12293211,,,
2022-10-24,89.4,89.4,84.45,85.75,3580759,,,
2022-10-25,86.4,91.25,83.55,88.7,10314141,,,
2022-10-27,89.75,93.9,89.35,91.2,6389929,,,
2022-10-28,91.8,93.75,90.15,91.85,5198999,,,
2022-10-31,92.9,93.0,88.6,89.95,3284592,,,
2022-11-01,89.45,91.4,88.5,88.6,3467171,,,
2022-11-02,88.5,97.45,88.5,96.45,13728813,,,
2022-11-03,93.85,98.4,93.6,94.55,8029435,,,
2022-11-04,95.3,97.5,94.15,96.45,4362854,,,
2022-11-07,97.0,98.5,94.85,96.35,5027714,,,
2022-11-09,96.8,101.2,95.25,98.75,9603298,,,
2022-11-10,98.0,100.15,95.5,96.5,3091224,,,
2022-11-11,97.9,97.9,86.85,88.4,7035866,,,
2022-11-14,85.1,89.5,84.9,86.95,3775747,,,
2022-11-15,87.35,87.7,85.75,86.15,1878638,,,
2022-11-16,85.75,86.85,83.5,85.25,2253857,,,
2022-11-17,85.25,90.3,84.0,87.1,4064842,,,
2022-11-18,87.6,88.9,85.1,86.4,2787333,,,
2022-11-21,87.0,87.95,83.5,84.4,1616407,,,
2022-11-22,84.8,85.2,80.0,81.3,1796376,,,
2022-11-23,82.2,83.55,78.25,80.25,2733998,,,
2022-11-24,80.95,86.8,78.7,85.75,4411449,,,
2022-11-25,86.0,86.85,83.75,85.7,2243553,,,
2022-11-28,85.3,86.7,85.05,86.05,1360398,,,
2022-11-29,85.95,86.5,84.0,84.3,945551,,,
2022-11-30,84.35,87.25,84.35,85.95,1469988,,,
2022-12-01,86.4,86.9,85.2,85.7,833264,,,
2022-12-02,85.5,86.45,84.35,85.5,725396,,,
2022-12-05,85.95,87.1,84.55,84.9,894904,,,
2022-12-06,84.7,85.3,84.0,84.15,539607,,,
2022-12-07,84.15,86.3,83.4,85.0,1470547,,,
2022-12-08,85.3,86.6,84.75,85.05,1097220,,,
2022-12-09,85.4,86.6,83.5,86.15,1896428,,,
2022-12-12,85.95,91.3,84.0,90.55,4754039,,,
2022-12-13,90.85,92.3,89.35,90.25,2532217,,,
2022-12-14,90.45,91.8,88.4,90.2,1683095,,,
2022-12-15,89.85,90.4,85.0,85.75,1898429,,,
2022-12-16,86.0,87.1,85.0,86.15,993015,,,
2022-12-19,86.15,90.2,85.5,88.45,1258350,,,
2022-12-20,88.0,88.9,86.15,88.15,1097795,,,
2022-12-21,88.05,88.4,84.5,86.05,1665225,,,
2022-12-22,86.35,86.6,81.95,83.95,1413397,,,
2022-12-23,83.8,83.8,81.0,82.45,1116505,,,
2022-12-26,82.3,87.5,81.15,86.2,1704634,,,
2022-12-27,86.65,87.4,85.2,85.85,553555,,,
2022-12-28,85.5,87.5,85.25,85.8,462548,,,
2022-12-29,85.6,86.3,85.0,85.4,277068,,,
2022-12-30,85.8,89.3,85.55,86.15,1000912,,,
2023-01-02,86.5,88.1,86.0,87.65,684237,,,
2023-01-03,88.0,88.1,85.9,86.05,569179,,,
2023-01-04,86.0,86.55,82.6,83.0,1134008,,,
2023-01-05,83.35,84.15,81.95,82.75,1534057,,,
2023-01-06,83.0,83.15,81.45,82.5,1165232,,,
2023-01-09,82.9,83.25,81.55,82.05,677367,,,
2023-01-10,82.1,82.6,80.25,80.65,915226,,,
2023-01-11,80.6,82.7,80.6,82.05,1797557,,,
2023-01-12,82.4,82.7,81.3,81.55,345119,,,
2023-01-13,81.85,86.25,80.95,84.15,2413324,,,
2023-01-16,84.4,85.4,83.45,84.75,557934,,,
2023-01-17,84.1,84.55,81.5,83.0,230931,,,
2023-01-18,83.0,83.75,81.7,81.85,402560,,,
2023-01-19,81.2,82.8,81.2,81.7,237367,,,
2023-01-20,82.15,82.4,81.35,81.7,247602,,,
2023-01-23,81.85,82.2,81.0,81.1,196990,,,
2023-01-24,81.45,82.5,80.5,80.95,1106831,,,
2023-01-25,81.3,81.4,79.2,79.8,449674,,,
2023-01-27,80.0,81.7,74.45,78.25,1086586,,,
2023-01-30,78.25,79.3,74.7,76.35,522133,,,
2023-01-31,78.0,80.7,77.25,80.15,591582,,,
2023-02-01,80.85,81.95,77.4,79.85,1061741,,,
2023-02-02,80.0,80.55,77.5,77.8,318610,,,
2023-02-03,78.1,78.5,75.5,76.65,287807,,,
2023-02-06,76.6,81.4,76.5,80.95,761713,,,
2023-02-07,81.0,81.45,77.4,77.8,337850,,,
2023-02-08,78.2,78.7,77.05,77.3,455735,,,
2023-02-09,77.45,79.4,77.15,77.75,327611,,,
2023-02-10,77.5,78.4,72.0,76.1,2509653,,,
2023-02-13,74.15,75.9,73.5,74.2,405379,,,
2023-02-14,74.6,76.1,73.1,75.7,649272,,,
2023-02-15,76.0,76.75,73.5,74.3,332001,,,
2023-02-16,74.3,75.6,74.25,74.75,142945,,,
2023-02-17,74.75,75.2,73.4,73.75,161859,,,
2023-02-20,74.15,74.3,72.15,72.5,207625,,,
2023-02-21,72.55,73.8,72.0,72.05,478300,,,
2023-02-22,72.1,72.4,71.15,72.1,288651,,,
2023-02-23,72.5,73.0,70.75,71.0,246359,,,
2023-02-24,71.15,71.85,67.5,67.8,722217,,,
2023-02-27,67.8,68.9,64.7,66.55,666290,,,
2023-02-28,66.9,70.7,65.25,70.2,767767,,,
2023-03-01,70.6,70.7,68.05,68.5,361221,,,
2023-03-02,68.0,71.4,67.9,68.5,493589,,,
2023-03-03,68.85,70.4,68.7,69.15,405755,,,
2023-03-06,69.15,70.1,68.1,69.25,254335,,,
2023-03-08,69.0,69.25,67.7,67.9,238898,,,
2023-03-09,68.25,69.0,67.0,67.65,165071,,,
2023-03-10,67.5,70.5,66.75,69.6,561703,,,
2023-03-13,69.7,69.85,67.05,67.9,305417,,,
2023-03-14,68.1,68.1,66.2,66.85,360691,,,
2023-03-15,67.5,68.15,65.8,66.4,203772,,,
2023-03-16,66.0,66.7,64.65,66.5,336359,,,
2023-03-17,66.8,67.95,66.05,67.5,238322,,,
2023-03-20,68.85,68.9,65.3,66.1,220411,,,
2023-03-21,66.25,66.95,65.7,65.95,252646,,,
2023-03-22,66.15,68.95,66.15,66.55,304400,,,
2023-03-23,66.9,67.75,65.5,65.9,324740,,,
2023-03-24,66.1,66.7,64.4,64.65,340078,,,
2023-03-27,65.0,65.0,61.7,63.15,528734,,,
2023-03-28,63.0,65.0,61.6,64.35,599107,,,
2023-03-29,64.5,68.1,64.45,67.05,697499,,,
2023-03-31,67.2,68.0,65.55,66.25,301576,,,
2023-04-03,66.8,69.0,66.5,68.35,311172,,,
2023-04-05,68.7,71.65,67.8,70.9,661812,,,
2023-04-06,70.0,71.75,70.0,71.05,234386,,,
2023-04-10,71.95,72.4,70.95,71.7,215520,,,
2023-04-11,72.1,72.4,71.25,71.7,219227,,,
2023-04-12,72.15,72.85,71.65,72.15,237457,,,
2023-04-13,72.0,74.1,71.7,73.05,357236,,,
2023-04-17,72.95,75.25,71.85,74.8,453516,,,
2023-04-18,75.25,75.3,74.5,74.8,198185,,,
2023-04-19,74.65,76.5,74.5,75.55,251592,,,
2023-04-20,76.95,76.95,75.7,76.2,188573,,,
2023-04-21,76.7,76.75,76.0,76.35,188179,,,
2023-04-24,76.0,76.85,75.7,76.15,168448,,,
2023-04-25,76.95,76.95,71.4,74.6,171299,,,
2023-04-26,73.95,76.2,73.5,75.7,257279,,,
2023-04-27,76.0,76.8,75.1,75.9,199535,,,
2023-04-28,76.05,77.0,75.9,76.7,198223,,,
