Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2011-11-15,40.0,40.0,29.0,29.1,153264.0,,,
2011-11-16,28.75,30.5,27.65,27.65,24590.0,,,
2011-11-17,27.75,27.75,26.3,26.3,18875.0,,,
2011-11-18,26.4,26.4,25.0,25.0,10982.0,,,
2011-11-21,23.75,25.75,23.75,24.35,11397.0,,,
2011-11-22,23.5,25.0,23.15,23.15,5195.0,,,
2011-11-23,24.35,24.35,22.0,22.0,3191.0,,,
2011-11-24,22.0,22.0,20.9,21.2,6590.0,,,
2011-11-25,21.4,22.3,20.3,22.3,23828.0,,,
2011-11-28,23.45,23.45,22.3,23.45,7488.0,,,
2011-11-29,24.25,27.4,24.25,26.15,96839.0,,,
2011-11-30,26.4,27.7,26.0,26.2,41309.0,,,
2011-12-01,27.0,27.0,24.55,24.9,9870.0,,,
2011-12-02,24.05,26.4,24.05,25.45,59038.0,,,
2011-12-05,25.0,27.55,24.15,26.4,34840.0,,,
2011-12-07,21.85,26.0,21.85,25.4,45965.0,,,
2011-12-08,24.55,25.45,23.8,24.0,8795.0,,,
2011-12-09,24.1,24.5,23.7,24.2,14004.0,,,
2011-12-12,23.7,24.8,21.65,21.95,20849.0,,,
2011-12-13,21.95,22.7,20.2,22.0,26667.0,,,
2011-12-14,21.65,22.7,20.0,20.45,6940.0,,,
2011-12-15,20.05,21.95,18.6,19.65,9973.0,,,
2011-12-16,20.0,20.75,17.05,18.6,48453.0,,,
2011-12-19,18.0,19.0,16.5,17.4,15864.0,,,
2011-12-20,16.75,18.05,16.7,17.65,56203.0,,,
2011-12-21,14.25,19.55,14.25,18.55,5645.0,,,
2011-12-22,18.0,21.0,17.5,19.0,21794.0,,,
2011-12-23,18.0,19.5,18.0,18.75,8260.0,,,
2011-12-26,18.4,18.9,16.4,17.8,22315.0,,,
2011-12-27,17.5,18.5,17.0,17.7,33868.0,,,
2011-12-28,17.7,18.45,16.8,18.25,9640.0,,,
2011-12-29,17.0,19.0,16.25,18.1,6700.0,,,
2011-12-30,17.5,18.8,17.5,18.7,10339.0,,,
2012-01-02,18.0,20.5,18.0,19.4,6657.0,,,
2012-01-03,19.0,20.55,18.75,19.75,13988.0,,,
2012-01-04,20.8,20.8,19.4,19.7,4738.0,,,
2012-01-05,19.95,23.0,19.0,22.15,24885.0,,,
2012-01-06,25.95,25.95,23.25,24.05,53375.0,,,
2012-01-07,24.0,24.5,23.5,24.3,2030.0,,,
2012-01-09,23.55,23.75,23.0,23.25,8621.0,,,
2012-01-10,23.2,24.5,23.2,23.9,13816.0,,,
2012-01-11,23.15,24.45,23.0,24.3,11344.0,,,
2012-01-12,24.35,25.5,23.1,23.55,12690.0,,,
2012-01-13,23.55,24.1,23.1,23.8,12207.0,,,
2012-01-16,23.3,24.5,23.3,24.15,4379.0,,,
2012-01-17,24.75,28.95,23.8,27.3,111931.0,,,
2012-01-18,29.0,31.9,26.8,27.25,134685.0,,,
2012-01-19,27.55,28.5,27.5,27.85,25639.0,,,
2012-01-20,29.3,29.3,26.5,26.95,7928.0,,,
2012-01-23,26.85,27.9,25.1,25.95,18565.0,,,
2012-01-24,25.8,30.8,25.1,29.45,209603.0,,,
2012-01-25,30.9,31.6,29.05,29.3,177539.0,,,
2012-01-27,29.6,29.8,28.0,28.4,27408.0,,,
2012-01-30,27.95,31.5,26.45,29.25,91318.0,,,
2012-01-31,29.5,31.9,29.5,30.55,130939.0,,,
2012-02-01,31.0,31.25,29.65,29.95,50830.0,,,
2012-02-02,30.0,30.5,29.5,29.7,22183.0,,,
2012-02-03,29.05,30.35,29.05,29.65,43125.0,,,
2012-02-06,29.0,31.0,29.0,30.0,43928.0,,,
2012-02-07,29.5,30.45,28.4,29.15,32388.0,,,
2012-02-08,30.25,33.3,30.25,31.3,218331.0,,,
2012-02-09,32.4,35.4,32.15,33.3,672673.0,,,
2012-02-10,33.9,35.4,33.6,33.9,245999.0,,,
2012-02-13,34.3,34.65,32.75,33.1,52983.0,,,
2012-02-14,33.0,33.45,30.6,31.25,109060.0,,,
2012-02-15,31.4,32.9,31.4,31.85,68335.0,,,
2012-02-16,31.65,35.25,31.0,33.75,267014.0,,,
2012-02-17,34.85,36.0,33.1,33.45,149003.0,,,
2012-02-21,34.45,35.7,33.0,34.45,107061.0,,,
2012-02-22,34.4,35.2,32.5,33.0,68596.0,,,
2012-02-23,33.5,33.95,31.35,32.4,36231.0,,,
2012-02-24,32.0,33.4,30.9,31.35,56392.0,,,
2012-02-27,30.85,31.0,29.5,29.9,54395.0,,,
2012-02-28,30.9,33.0,29.25,29.95,22387.0,,,
2012-02-29,30.15,31.9,30.15,30.6,36699.0,,,
2012-03-01,30.0,31.5,29.75,30.0,13772.0,,,
2012-03-02,30.5,30.85,29.5,29.95,17604.0,,,
2012-03-03,31.0,31.4,29.6,30.75,7726.0,,,
2012-03-05,31.0,31.7,29.7,30.5,33559.0,,,
2012-03-06,30.95,31.0,29.6,30.2,9809.0,,,
2012-03-07,30.25,30.25,28.55,29.45,14613.0,,,
2012-03-09,30.0,30.5,29.05,29.55,19510.0,,,
2012-03-12,30.0,30.1,28.75,29.65,10943.0,,,
2012-03-13,29.75,30.5,29.05,29.2,9032.0,,,
2012-03-14,29.4,30.3,27.45,28.95,15050.0,,,
2012-03-15,28.95,31.75,26.3,28.0,38116.0,,,
2012-03-16,27.8,28.05,26.0,26.25,35801.0,,,
2012-03-19,27.9,27.9,25.55,26.6,14244.0,,,
2012-03-20,26.3,27.55,26.3,27.3,7855.0,,,
2012-03-21,27.0,29.55,26.5,28.8,19713.0,,,
2012-03-22,28.0,29.8,26.75,27.2,17468.0,,,
2012-03-23,29.45,31.6,28.1,29.0,207915.0,,,
2012-03-26,29.95,29.95,27.35,27.65,18535.0,,,
2012-03-27,27.75,28.5,22.65,26.85,25817.0,,,
2012-03-28,26.35,27.5,25.4,25.6,67777.0,,,
2012-03-29,25.0,28.85,24.55,26.25,18376.0,,,
2012-03-30,27.0,27.7,26.25,26.65,14963.0,,,
2012-04-02,27.3,27.5,26.2,27.15,12532.0,,,
2012-04-03,27.0,28.7,27.0,28.15,24019.0,,,
2012-04-04,28.15,30.7,28.05,28.6,40384.0,,,
2012-04-09,28.7,28.8,27.5,27.95,7213.0,,,
2012-04-10,27.95,28.95,27.5,27.9,8313.0,,,
2012-04-11,28.75,28.75,26.2,27.3,10880.0,,,
2012-04-12,27.95,27.95,26.65,27.5,7772.0,,,
2012-04-13,27.9,28.4,26.65,26.8,14972.0,,,
2012-04-16,27.5,27.9,26.75,27.1,4755.0,,,
2012-04-17,28.0,28.0,26.55,26.95,13782.0,,,
2012-04-18,27.95,27.95,27.0,27.1,14077.0,,,
2012-04-19,26.8,30.8,26.15,30.2,349847.0,,,
2012-04-20,30.75,32.0,30.3,30.65,187179.0,,,
2012-04-23,30.8,31.0,29.1,29.75,34562.0,,,
2012-04-24,29.1,29.4,27.5,28.25,13235.0,,,
2012-04-25,29.5,29.7,28.25,29.05,17878.0,,,
2012-04-26,31.8,32.35,29.7,30.05,160360.0,,,
2012-04-27,28.15,30.5,24.1,28.9,23029.0,,,
2012-04-28,29.9,30.75,29.35,30.55,5402.0,,,
2012-04-30,30.4,31.0,29.1,30.7,24477.0,,,
2012-05-02,30.4,31.5,30.0,31.15,20725.0,,,
2012-05-03,31.75,32.2,29.5,30.1,35647.0,,,
2012-05-04,30.1,30.1,28.45,28.85,16086.0,,,
2012-05-07,28.0,32.0,27.25,30.45,34458.0,,,
2012-05-08,31.9,36.5,30.1,31.0,26012.0,,,
2012-05-09,30.35,31.75,29.55,29.7,15688.0,,,
2012-05-10,29.05,30.35,27.55,28.25,26367.0,,,
2012-05-11,28.25,28.5,26.9,27.6,34632.0,,,
2012-05-14,27.75,28.45,27.2,27.8,9813.0,,,
2012-05-15,28.4,28.5,27.35,28.05,8346.0,,,
2012-05-16,28.5,33.6,28.5,29.4,84711.0,,,
2012-05-17,30.4,33.85,29.1,31.2,959488.0,,,
2012-05-18,30.5,31.0,28.6,29.05,156800.0,,,
2012-05-21,29.4,29.75,28.3,28.9,50380.0,,,
2012-05-22,29.95,29.95,27.5,27.7,29288.0,,,
2012-05-23,27.55,28.2,27.5,27.75,19491.0,,,
2012-05-24,27.2,27.95,27.15,27.35,15605.0,,,
2012-05-25,27.9,27.9,27.0,27.45,22936.0,,,
2012-05-28,27.1,28.3,27.1,27.35,6531.0,,,
2012-05-29,28.55,28.55,27.3,27.45,10192.0,,,
2012-05-30,27.2,28.2,27.0,27.05,16462.0,,,
2012-05-31,27.05,28.0,26.5,27.65,10951.0,,,
2012-06-01,28.4,29.2,27.05,27.6,38224.0,,,
2012-06-04,27.0,28.0,26.2,27.25,8059.0,,,
2012-06-05,27.25,28.5,26.25,26.75,5814.0,,,
2012-06-06,27.5,29.0,27.25,28.6,29109.0,,,
2012-06-07,28.05,28.45,27.35,27.85,7384.0,,,
2012-06-08,27.15,28.0,27.15,27.8,6979.0,,,
2012-06-11,27.75,28.9,26.75,27.5,35561.0,,,
2012-06-12,27.5,28.75,27.25,27.9,19277.0,,,
2012-06-13,28.1,28.8,27.6,28.6,21721.0,,,
2012-06-14,28.0,29.0,27.5,28.35,11962.0,,,
2012-06-15,27.9,28.5,27.5,27.8,5475.0,,,
2012-06-18,28.5,28.5,27.5,27.5,5593.0,,,
2012-06-19,27.25,28.45,26.7,27.95,4544.0,,,
2012-06-20,27.35,28.5,27.0,28.05,7216.0,,,
2012-06-21,27.5,28.1,27.4,27.95,12561.0,,,
2012-06-22,27.4,29.7,27.15,27.95,12973.0,,,
2012-06-25,28.4,28.5,27.7,27.9,11857.0,,,
2012-06-26,27.35,28.15,27.15,27.3,21530.0,,,
2012-06-27,22.5,28.4,22.5,28.2,10614.0,,,
2012-06-28,28.7,31.0,28.0,28.85,100606.0,,,
2012-06-29,30.8,30.8,28.4,28.8,37381.0,,,
2012-07-02,28.95,29.5,28.5,29.2,10838.0,,,
2012-07-03,29.0,32.25,28.8,31.0,133927.0,,,
