Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-03-05,265.0,274.5,219.0,224.95,35267228,327312,107.75,13560378
2024-03-06,231.15,248.75,229.3,246.45,12718290,134628,94.47,2865208
2024-03-07,250.0,257.65,235.25,238.2,5254269,64475,81.49,1482988
2024-03-11,238.0,240.6,215.0,216.75,3905751,66746,58.52,1197568
2024-03-12,216.7,216.7,196.15,199.25,4688051,64563,72.61,1205156
2024-03-13,204.95,205.75,169.4,177.05,4597737,76448,60.14,1574841
2024-03-14,177.05,212.45,177.05,212.45,5017347,58730,85.43,1311119
2024-03-15,214.0,239.9,213.05,227.75,7630330,111559,68.4,1552956
2024-03-18,230.7,235.95,218.4,224.35,1958442,32626,60.03,526675
2024-03-19,221.9,223.6,211.05,214.15,920810,21491,42.85,389410
2024-03-20,216.4,232.95,216.4,229.15,2460207,44543,55.23,528392
2024-03-21,239.15,239.4,219.15,224.75,3318094,56815,58.4,1108222
2024-03-22,220.75,222.45,212.55,214.55,1153097,15501,74.39,624843
2024-03-26,214.55,220.95,202.3,204.2,1008718,14178,71.15,524227
2024-03-27,205.95,213.0,201.35,205.3,1090306,10663,102.25,615510
2024-03-28,205.8,209.5,195.5,197.35,802683,12310,65.21,504844
2024-04-01,200.25,205.0,197.5,201.7,616438,9438,65.31,339373
2024-04-02,204.55,211.45,202.3,208.85,574328,8711,65.93,317441
2024-04-03,208.0,211.45,201.5,203.8,1185902,27735,42.76,572043
2024-04-04,206.8,209.9,204.3,207.9,809598,17665,45.83,330286
2024-04-05,207.9,227.65,206.1,224.2,2849350,50979,55.89,940620
2024-04-08,226.2,232.7,221.3,230.65,1411488,27813,50.75,648903
2024-04-09,231.9,231.9,218.5,219.9,942104,22079,42.67,383742
2024-04-10,220.8,225.0,218.05,219.85,524608,13355,39.28,182754
2024-04-12,218.45,250.85,215.95,241.9,5977945,85836,69.64,1923705
2024-04-15,234.0,253.55,226.1,238.25,4461851,65139,68.5,892677
2024-04-16,236.8,266.4,235.05,258.9,5324662,77843,68.4,1348779
2024-04-18,266.15,308.65,265.1,294.9,16151712,182510,88.5,2756254
2024-04-19,286.7,303.95,284.05,291.8,7772647,99700,77.96,1364718
2024-04-22,289.05,290.0,262.75,278.7,3804127,42693,89.1,1120671
2024-04-23,281.95,304.0,280.0,288.3,3820316,37830,100.99,1232294
2024-04-24,291.75,294.4,282.0,283.8,1095176,15341,71.39,558203
2024-04-25,282.95,288.0,275.4,278.0,808406,12609,64.11,387316
2024-04-26,278.0,292.15,275.1,278.85,1370415,17886,76.62,661006
2024-04-29,282.95,314.0,282.3,303.7,5517035,64308,85.79,1755747
2024-04-30,306.95,313.0,296.05,299.45,2195158,46237,47.48,795859
2024-05-02,300.5,301.85,291.0,291.85,971758,13109,74.13,483132
2024-05-03,294.7,299.0,286.0,291.65,888397,12081,73.54,409191
2024-05-06,293.0,294.9,275.2,278.6,1102551,20243,54.47,532574
2024-05-07,280.0,280.15,265.0,268.25,1087575,19829,54.85,542607
2024-05-08,269.0,286.15,266.55,277.65,1028557,13134,78.31,433636
2024-05-09,278.7,280.0,257.8,260.7,1299966,19219,67.64,675188
2024-05-10,263.0,267.0,252.35,260.65,808537,10379,77.9,326372
2024-05-13,261.0,263.9,248.9,254.75,632508,11511,54.95,309208
2024-05-14,258.85,280.5,257.05,277.55,1559667,19066,81.8,563637
2024-05-15,284.4,288.0,273.2,281.6,820624,12200,67.26,392773
2024-05-16,283.4,283.95,275.0,277.9,394655,6484,60.87,199868
2024-05-17,279.45,289.5,278.8,284.55,980168,11144,87.95,473575
2024-05-18,286.6,288.0,283.2,284.55,183758,3249,56.56,121564
2024-05-21,285.9,286.0,269.15,274.55,816046,10543,77.4,457199
2024-05-22,276.05,282.8,269.6,273.5,479802,7610,63.05,223752
2024-05-23,274.0,279.0,271.0,273.15,330576,5320,62.14,178259
2024-05-24,273.6,275.95,264.0,266.55,655882,17627,37.21,338130
2024-05-27,267.95,273.0,255.05,259.5,1024287,29252,35.02,473484
2024-05-28,261.0,264.25,253.45,256.4,597573,17815,33.54,256141
2024-05-29,265.8,284.0,265.15,269.5,3676800,60303,60.97,808308
2024-05-30,272.2,322.0,271.8,315.1,15632379,195917,79.79,3252940
2024-05-31,317.4,346.7,308.35,313.3,12424724,158666,78.31,1900044
2024-06-03,336.2,337.95,301.25,303.15,3234941,55319,58.48,1332309
2024-06-04,299.0,301.95,252.05,276.3,3557605,78958,45.06,1072557
2024-06-05,280.0,303.0,268.0,297.9,2554935,53591,47.67,813321
2024-06-06,300.8,317.35,297.2,303.4,2761500,64007,43.14,910122
2024-06-07,303.4,310.6,301.55,304.1,2162736,38379,56.35,510576
