Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2015-01-15,2.4,2.5,2.3,2.45,63143,EQ,,,
2015-01-16,2.45,2.45,2.25,2.35,4194,EQ,,,
2015-01-19,2.4,2.5,2.4,2.5,33143,EQ,,,
2015-01-20,2.5,2.5,2.45,2.45,120,EQ,,,
2015-01-21,2.4,2.45,2.4,2.45,95,EQ,,,
2015-01-22,2.45,2.5,2.2,2.2,142,EQ,,,
2015-01-23,2.4,2.4,2.4,2.4,535,EQ,,,
2015-01-27,2.65,2.65,2.3,2.45,4518,EQ,,,
2015-01-28,2.45,2.5,2.35,2.4,1052,EQ,,,
2015-01-29,2.35,2.6,2.15,2.6,4254,EQ,,,
2015-01-30,2.65,2.65,2.5,2.6,99309,EQ,,,
2015-02-02,2.6,2.6,2.5,2.6,42898,EQ,,,
2015-02-03,2.65,2.65,2.55,2.6,2332,EQ,,,
2015-02-04,2.6,2.7,2.5,2.65,1582,EQ,,,
2015-02-05,2.65,2.65,2.5,2.55,1845,EQ,,,
2015-02-06,2.55,2.65,2.5,2.6,8033,EQ,,,
2015-02-09,2.65,2.7,2.5,2.55,15419,EQ,,,
2015-02-10,2.55,2.55,2.15,2.45,36514,EQ,,,
2015-02-11,2.5,2.75,2.35,2.7,33785,EQ,,,
2015-02-12,3.0,3.0,2.35,2.5,27006,EQ,,,
2015-02-13,2.7,2.7,2.4,2.5,3682,EQ,,,
2015-02-16,2.5,2.65,2.4,2.45,2904,EQ,,,
2015-02-18,2.35,2.75,2.3,2.55,3398,EQ,,,
2015-02-19,2.6,2.7,2.55,2.55,5111,EQ,,,
2015-02-20,2.45,2.75,2.15,2.7,395643,EQ,,,
2015-02-23,2.75,2.8,2.6,2.65,52840,EQ,,,
2015-02-24,2.75,2.75,2.5,2.55,48431,EQ,,,
2015-02-25,2.55,2.9,2.55,2.7,92129,EQ,,,
2015-02-26,2.7,3.0,2.6,2.6,57512,EQ,,,
2015-02-27,2.8,2.85,2.5,2.5,141997,EQ,,,
2015-02-28,2.6,2.9,2.55,2.6,171857,EQ,,,
2015-03-02,2.7,2.75,2.55,2.6,158068,EQ,,,
2015-03-03,2.65,2.7,2.55,2.55,40951,EQ,,,
2015-03-04,2.6,2.8,2.55,2.6,275287,EQ,,,
2015-03-05,2.6,2.7,2.5,2.6,331264,EQ,,,
2015-03-09,2.55,2.65,2.5,2.5,316607,EQ,,,
2015-03-10,2.6,2.6,2.4,2.45,17448,EQ,,,
2015-03-11,2.6,2.6,2.4,2.5,45825,EQ,,,
2015-03-12,2.55,2.6,2.4,2.45,77824,EQ,,,
2015-03-13,2.45,2.5,2.4,2.4,48003,EQ,,,
2015-03-16,2.5,2.5,2.35,2.45,42588,EQ,,,
2015-03-17,2.5,2.5,2.35,2.4,11528,EQ,,,
2015-03-18,2.4,2.4,2.2,2.25,10373,EQ,,,
2015-03-19,2.25,2.3,2.15,2.2,19727,EQ,,,
2015-03-20,2.2,2.3,2.2,2.2,8434,EQ,,,
2015-03-23,2.2,2.25,2.15,2.2,6018,EQ,,,
2015-03-24,2.2,2.25,2.05,2.1,61630,EQ,,,
2015-03-25,2.15,2.15,1.9,2.0,56472,EQ,,,
2015-03-26,1.95,2.05,1.9,1.95,5695,EQ,,,
2015-03-27,1.9,2.15,1.9,2.0,182533,EQ,,,
2015-03-30,2.0,2.4,1.95,2.2,65011,EQ,,,
2015-03-31,2.2,2.35,2.15,2.2,94013,EQ,,,
2015-04-01,2.35,2.4,2.2,2.35,68690,EQ,,,
2015-04-06,2.35,2.4,2.3,2.35,15760,EQ,,,
2015-04-07,2.35,2.4,2.25,2.3,6147,EQ,,,
2015-04-08,2.4,2.6,2.3,2.4,24539,EQ,,,
2015-04-09,2.45,2.55,2.35,2.5,194498,EQ,,,
2015-04-10,2.55,2.6,2.45,2.55,96917,EQ,,,
2015-04-13,2.55,2.7,2.5,2.6,195544,EQ,,,
2015-04-15,2.65,2.65,2.5,2.5,54032,EQ,,,
2015-04-16,2.55,2.55,2.45,2.5,70151,EQ,,,
2015-04-17,2.55,2.8,2.4,2.7,258515,EQ,,,
2015-04-20,2.65,2.65,2.55,2.55,22248,EQ,,,
2015-04-21,2.55,2.6,2.5,2.5,8567,EQ,,,
2015-04-22,2.6,2.9,2.5,2.8,186703,EQ,,,
2015-04-23,2.85,2.95,2.7,2.8,165451,EQ,,,
2015-04-24,2.8,2.95,2.6,2.65,20421,EQ,,,
2015-04-27,2.7,2.75,2.5,2.6,45982,EQ,,,
2015-04-28,2.5,2.6,2.5,2.55,24341,EQ,,,
2015-04-29,2.5,2.7,2.5,2.5,13979,EQ,,,
2015-04-30,2.55,2.6,2.45,2.45,9212,EQ,,,
2015-05-04,2.55,2.55,2.45,2.45,24079,EQ,,,
2015-05-05,2.5,2.6,2.4,2.55,77858,EQ,,,
2015-05-06,2.5,2.5,2.4,2.45,7480,EQ,,,
2015-05-07,2.45,2.5,2.3,2.35,3586,EQ,,,
2015-05-08,2.4,2.45,2.35,2.4,39191,EQ,,,
2015-05-11,2.45,2.5,2.3,2.4,1527,EQ,,,
2015-05-12,2.3,2.45,2.3,2.35,2391,EQ,,,
2015-05-13,2.45,2.6,2.35,2.6,61906,EQ,,,
2015-05-14,2.55,2.7,2.45,2.7,107423,EQ,,,
2015-05-15,2.65,2.7,2.6,2.65,3009,EQ,,,
2015-05-18,2.55,2.75,2.55,2.75,103856,EQ,,,
2015-05-19,2.7,2.9,2.65,2.85,111976,EQ,,,
2015-05-20,2.85,3.05,2.85,3.0,104786,EQ,,,
2015-05-21,3.05,3.1,2.8,2.85,56817,EQ,,,
2015-05-22,2.9,3.1,2.9,3.0,25694,EQ,,,
2015-05-25,3.0,3.15,3.0,3.1,128800,EQ,,,
2015-05-26,3.0,3.3,3.0,3.25,131002,EQ,,,
2015-05-27,3.3,3.6,3.3,3.4,143337,EQ,,,
2015-05-28,3.45,3.6,3.3,3.4,18414,EQ,,,
2015-05-29,3.3,3.5,3.3,3.35,20728,EQ,,,
2015-06-01,3.45,3.5,3.4,3.45,12613,EQ,,,
2015-06-02,3.4,3.5,3.4,3.4,14515,EQ,,,
2015-06-03,3.5,3.5,3.0,3.15,21670,EQ,,,
2015-06-04,3.2,3.3,3.15,3.2,2508,EQ,,,
2015-06-05,3.25,3.85,3.15,3.75,202871,EQ,,,
2015-06-08,3.9,3.9,3.5,3.5,41265,EQ,,,
2015-06-09,3.55,3.55,3.2,3.3,84147,EQ,,,
2015-06-10,3.25,3.65,3.25,3.55,43416,EQ,,,
2015-06-11,3.65,3.65,3.35,3.4,491376,EQ,,,
2015-06-12,3.35,3.4,3.2,3.3,360818,EQ,,,
2015-06-15,3.5,3.8,3.3,3.55,1117635,EQ,,,
2015-06-16,3.75,3.9,3.45,3.45,805315,EQ,,,
2015-06-17,3.5,3.65,3.4,3.4,776330,EQ,,,
2015-06-18,3.4,3.65,3.25,3.35,470670,EQ,,,
2015-06-19,3.4,3.55,3.25,3.3,478859,EQ,,,
2015-06-22,3.4,3.45,3.3,3.35,185479,EQ,,,
2015-06-23,3.4,3.45,3.25,3.35,433482,EQ,,,
2015-06-24,3.3,3.45,3.25,3.3,152873,EQ,,,
2015-06-25,3.3,3.8,3.3,3.6,614451,EQ,,,
2015-06-26,3.7,3.85,3.55,3.6,413385,EQ,,,
2015-06-29,3.55,3.6,3.4,3.5,474290,EQ,,,
2015-06-30,3.5,4.2,3.5,3.9,573047,EQ,,,
2015-07-01,4.1,4.3,3.75,3.8,1594696,EQ,,,
2015-07-02,3.85,4.05,3.7,3.7,502378,EQ,,,
2015-07-03,3.7,4.1,3.7,4.0,1534782,EQ,,,
2015-07-06,3.9,4.45,3.9,4.2,709366,EQ,,,
2015-07-07,4.25,4.65,3.95,3.95,2376436,EQ,,,
2015-07-08,3.95,4.1,3.85,3.9,760044,EQ,,,
2015-07-09,4.0,4.2,3.9,3.9,1375436,EQ,,,
2015-07-10,4.0,4.05,3.85,3.9,754837,EQ,,,
2015-07-13,3.85,4.0,3.7,3.95,751645,EQ,,,
2015-07-14,3.9,4.1,3.7,3.75,532249,EQ,,,
2015-07-15,3.8,3.8,3.6,3.7,1310086,EQ,,,
2015-07-16,3.75,3.85,3.6,3.65,331008,EQ,,,
2015-07-17,3.65,3.8,3.5,3.65,315234,EQ,,,
2015-07-20,3.65,3.8,3.55,3.7,300427,EQ,,,
