Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-08-13,651.0,707.7,640.0,679.1,61142512,615046,99.41,40815546
2024-08-14,669.9,677.7,633.3,641.95,6852935,223397,30.68,3384284
2024-08-16,640.0,688.0,636.1,669.9,8853277,164714,53.75,5412346
2024-08-19,674.0,704.0,658.65,671.65,3466502,94959,36.51,1105457
2024-08-20,675.95,684.95,628.3,632.1,3365425,123729,27.2,1731748
2024-08-21,633.15,644.65,621.9,627.3,1507649,84349,17.87,607260
2024-08-22,629.45,662.4,628.95,642.0,1875742,102472,18.3,617337
2024-08-23,645.0,657.0,635.0,638.65,1199216,62618,19.15,588098
2024-08-26,639.95,643.6,621.0,625.95,831690,53187,15.64,373284
2024-08-27,626.5,641.0,622.8,628.35,1029636,63665,16.17,419999
2024-08-28,631.95,640.95,621.45,623.4,954516,63563,15.02,414261
2024-08-29,625.0,636.0,623.05,628.3,1268583,22799,55.64,1005141
2024-08-30,632.45,650.5,627.3,640.55,1613201,56759,28.42,876468
2024-09-02,639.05,650.0,624.1,632.2,1355319,23708,57.17,1013163
2024-09-03,635.0,637.2,621.6,625.15,894678,52840,16.93,497276
2024-09-04,621.0,626.75,605.0,612.85,637472,46816,13.62,298912
2024-09-05,615.0,619.55,610.0,614.05,382162,22477,17.0,165153
2024-09-06,616.4,635.0,611.0,622.8,891796,36152,24.67,453670
2024-09-09,623.0,625.0,587.6,601.7,1780571,109480,16.26,1088734
2024-09-10,604.25,617.35,599.0,606.85,694207,39760,17.46,368651
