Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-09-16,42.0,43.0,39.9,39.9,1008000,ST,310,3251.61,1008000
2024-09-17,37.9,37.9,37.9,37.9,24000,ST,8,3000.0,24000
2024-09-18,36.0,36.0,36.0,36.0,21000,ST,7,3000.0,21000
2024-09-19,34.2,34.2,34.2,34.2,30000,ST,10,3000.0,30000
2024-09-20,32.5,32.5,32.5,32.5,45000,ST,15,3000.0,45000
2024-09-23,30.9,30.9,30.9,30.9,21000,ST,6,3500.0,21000
2024-09-24,29.35,30.3,29.35,29.35,672000,ST,211,3184.83,666000
2024-09-25,27.9,27.9,27.9,27.9,30000,ST,10,3000.0,30000
2024-09-26,26.5,26.5,26.5,26.5,24000,ST,8,3000.0,24000
2024-09-27,25.2,27.8,25.2,27.8,567000,ST,160,3543.75,534000
2024-09-30,32.7,33.0,27.3,28.9,516000,SM,151,3417.22,348000
2024-10-01,29.0,30.45,26.75,27.2,210000,SM,66,3181.82,168000
2024-10-03,27.2,27.5,25.7,25.95,192000,SM,62,3096.77,138000
2024-10-04,25.8,26.7,25.0,25.9,75000,SM,23,3260.87,57000
2024-10-07,26.0,26.0,22.05,23.6,111000,SM,37,3000.0,84000
2024-10-08,20.55,24.65,20.55,24.5,60000,SM,20,3000.0,30000
2024-10-09,25.0,27.3,23.0,23.2,273000,SM,81,3370.37,144000
2024-10-10,24.45,24.45,23.35,23.85,39000,SM,13,3000.0,36000
2024-10-11,24.35,24.35,22.95,23.0,102000,ST,32,3187.5,90000
2024-10-14,22.7,23.95,21.85,22.0,84000,ST,28,3000.0,78000
2024-10-15,22.0,22.75,21.25,22.65,207000,ST,29,7137.93,195000
2024-10-16,22.95,22.95,22.1,22.9,45000,ST,15,3000.0,30000
2024-10-17,22.9,22.9,22.0,22.2,30000,ST,10,3000.0,27000
2024-10-18,22.65,22.65,22.0,22.35,30000,ST,10,3000.0,30000
2024-10-21,22.0,22.55,22.0,22.0,30000,ST,10,3000.0,27000
2024-10-22,22.05,22.05,21.1,21.3,30000,ST,10,3000.0,30000
2024-10-23,20.25,21.35,20.25,21.25,39000,ST,13,3000.0,33000
2024-10-24,21.3,21.3,21.0,21.2,12000,ST,4,3000.0,9000
2024-10-25,20.2,21.0,20.15,20.15,39000,ST,13,3000.0,30000
2024-10-28,19.15,20.0,19.15,19.4,27000,ST,9,3000.0,24000
2024-10-29,19.3,19.3,18.7,18.8,42000,ST,14,3000.0,42000
2024-10-30,18.2,18.8,18.2,18.8,27000,ST,9,3000.0,24000
2024-10-31,18.9,18.9,18.8,18.8,9000,ST,3,3000.0,9000
2024-11-01,18.5,19.7,18.5,19.6,24000,ST,8,3000.0,21000
2024-11-04,20.55,20.55,20.0,20.0,24000,ST,8,3000.0,24000
2024-11-05,20.15,20.2,20.0,20.0,15000,ST,5,3000.0,15000
2024-11-06,20.5,21.0,20.5,21.0,24000,ST,8,3000.0,24000
2024-11-07,22.05,22.05,22.0,22.05,30000,ST,10,3000.0,30000
2024-11-08,23.15,23.15,23.15,23.15,33000,ST,10,3300.0,33000
2024-11-11,23.6,23.6,23.6,23.6,72000,ST,22,3272.73,72000
2024-11-12,23.15,23.15,23.15,23.15,6000,ST,2,3000.0,6000
2024-11-18,22.7,22.7,22.7,22.7,3000,ST,1,3000.0,3000
2024-11-22,22.25,22.25,22.25,22.25,9000,ST,2,4500.0,9000
2024-11-25,21.8,21.8,21.8,21.8,3000,ST,1,3000.0,3000
2024-12-04,21.4,21.4,21.4,21.4,18000,ST,6,3000.0,18000
2024-12-05,21.0,21.0,21.0,21.0,3000,ST,1,3000.0,3000
2024-12-09,20.6,20.6,20.6,20.6,9000,ST,3,3000.0,9000
2024-12-10,20.2,20.2,20.2,20.2,3000,ST,1,3000.0,3000
2024-12-11,19.8,19.8,19.8,19.8,12000,ST,4,3000.0,12000
2024-12-12,19.4,19.4,19.4,19.4,6000,ST,2,3000.0,6000
2024-12-16,18.45,20.0,18.45,19.8,129000,ST,41,3146.34,123000
2024-12-17,19.8,19.85,18.85,19.05,60000,ST,20,3000.0,57000
2024-12-18,19.0,19.85,18.25,19.55,54000,ST,17,3176.47,45000
2024-12-19,18.6,19.85,18.6,19.35,33000,ST,11,3000.0,27000
2024-12-20,19.3,19.3,19.25,19.25,6000,ST,2,3000.0,6000
2024-12-23,19.2,19.2,18.45,18.5,9000,ST,3,3000.0,9000
2024-12-24,18.25,18.75,18.25,18.75,21000,ST,7,3000.0,21000
2024-12-26,18.4,19.6,18.4,19.0,12000,ST,4,3000.0,9000
2024-12-27,18.5,18.65,18.5,18.65,9000,ST,3,3000.0,9000
2024-12-30,18.65,18.65,18.1,18.15,12000,ST,4,3000.0,12000
2024-12-31,17.35,18.85,17.35,18.85,15000,ST,5,3000.0,15000
2025-01-01,18.7,19.75,18.7,19.75,33000,ST,11,3000.0,30000
2025-01-02,19.7,19.7,18.8,18.8,36000,ST,11,3272.73,33000
2025-01-03,18.15,19.35,18.0,19.0,15000,ST,5,3000.0,15000
2025-01-06,18.15,19.0,18.15,18.3,30000,ST,8,3750.0,24000
2025-01-07,18.55,18.55,18.55,18.55,3000,ST,1,3000.0,3000
2025-01-08,17.85,18.7,17.85,18.7,12000,ST,4,3000.0,9000
2025-01-09,18.0,18.6,18.0,18.0,12000,ST,4,3000.0,9000
2025-01-10,18.65,18.65,18.05,18.05,12000,ST,4,3000.0,9000
2025-01-13,18.0,18.0,17.4,17.8,12000,ST,4,3000.0,12000
2025-01-14,18.45,18.45,17.45,17.45,6000,ST,2,3000.0,6000
2025-01-15,17.45,18.3,17.4,17.55,36000,ST,12,3000.0,33000
2025-01-16,17.7,17.95,17.7,17.95,12000,ST,4,3000.0,12000
2025-01-17,17.5,17.5,17.3,17.3,15000,ST,5,3000.0,15000
