Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-09-29,296.05,308.7,291.65,294.3,5493770,EQ,48852,112.46,2603216
2025-09-30,290.0,299.7,280.35,285.1,934074,EQ,16671,56.03,312020
2025-10-01,283.0,290.4,280.7,282.3,319891,EQ,8695,36.79,133132
2025-10-03,282.0,298.9,280.1,290.05,655196,EQ,11232,58.33,290390
2025-10-06,290.05,309.95,286.45,305.55,957172,EQ,18451,51.88,377327
2025-10-07,305.0,306.9,288.8,292.3,411916,EQ,9387,43.88,135950
2025-10-08,290.4,298.95,286.85,295.15,344257,EQ,8815,39.05,107045
2025-10-09,294.0,302.85,290.2,293.75,297458,EQ,6753,44.05,128521
2025-10-10,292.95,307.4,292.25,302.6,449091,EQ,10721,41.89,186762
2025-10-13,302.25,303.1,290.25,294.15,320519,EQ,7414,43.23,131667
2025-10-14,294.15,296.0,281.15,283.0,224915,EQ,7187,31.29,113746
2025-10-15,285.0,288.7,281.4,286.75,169874,EQ,4474,37.97,66147
2025-10-16,287.7,294.4,283.5,285.45,470786,EQ,12453,37.81,116248
2025-10-17,286.0,295.0,285.0,288.35,386008,EQ,9479,40.72,188558
2025-10-20,288.9,289.95,282.85,284.55,610397,EQ,18205,33.53,134180
2025-10-21,289.85,292.0,280.0,281.3,273717,EQ,5315,51.5,194877
2025-10-23,282.7,287.0,282.0,282.9,238593,EQ,4594,51.94,147600
2025-10-24,283.0,284.95,279.15,283.85,464899,EQ,4118,112.89,370517
2025-10-27,283.0,286.2,277.5,278.75,293345,EQ,4417,66.41,213619
2025-10-28,280.0,284.2,278.1,283.4,83704,EQ,2532,33.06,46177
2025-10-29,281.05,285.5,280.0,282.4,119130,EQ,3826,31.14,74347
2025-10-30,282.3,294.3,281.95,291.8,405683,EQ,9151,44.33,218938
2025-10-31,291.8,293.95,281.8,284.5,196006,EQ,5381,36.43,94648
2025-11-03,284.5,287.45,281.1,282.3,114354,EQ,3770,30.33,73473
2025-11-04,282.3,283.5,271.15,274.4,149568,EQ,4573,32.71,87512
2025-11-06,274.4,276.5,261.0,262.9,141948,EQ,6898,20.58,87486
2025-11-07,263.05,280.8,250.1,276.85,686373,EQ,15312,44.83,291101
2025-11-10,276.4,292.45,274.4,288.6,384678,EQ,7808,49.27,188015
2025-11-11,285.6,287.9,279.95,282.05,113717,EQ,2834,40.13,66080
2025-11-12,285.0,285.95,281.05,284.4,79133,EQ,1974,40.09,42926
2025-11-13,287.8,295.65,283.15,293.3,187110,EQ,4936,37.91,93730
2025-11-14,290.0,291.7,286.6,288.95,66312,EQ,2117,31.32,36954
2025-11-17,287.5,290.95,280.2,283.6,77268,EQ,2453,31.5,39305
2025-11-18,283.5,285.55,275.3,276.45,81854,EQ,2698,30.34,52667
2025-11-19,277.1,278.8,272.05,272.7,65425,EQ,1772,36.92,47055
2025-11-20,272.7,278.0,270.1,271.5,49142,EQ,1447,33.96,27879
2025-11-21,270.8,274.95,269.05,272.4,35546,EQ,1466,24.25,19031
2025-11-24,272.0,273.55,252.4,256.25,149136,EQ,6546,22.78,87595
2025-11-25,259.0,274.75,256.35,269.45,250749,EQ,6720,37.31,113350
2025-11-26,269.7,272.9,265.9,270.05,69447,EQ,1342,51.75,53209
2025-11-27,271.35,280.15,264.5,274.9,113684,EQ,3080,36.91,71054
2025-11-28,270.85,279.5,270.8,273.35,81947,EQ,2241,36.57,48561
2025-12-01,272.0,274.5,265.85,267.8,33060,EQ,1207,27.39,19397
2025-12-02,269.95,269.95,253.6,257.15,74482,EQ,2658,28.02,35954
2025-12-03,257.9,260.0,250.1,250.85,50445,EQ,4218,11.96,34608
2025-12-04,250.95,251.45,239.7,243.45,210342,EQ,23914,8.8,123165
2025-12-05,241.0,243.0,238.5,240.65,51518,EQ,2537,20.31,30015
2025-12-08,240.65,250.75,228.4,247.2,185318,EQ,5931,31.25,106141
2025-12-09,247.2,247.2,237.2,240.85,93029,EQ,4664,19.95,61822
