Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-09-04,280.0,324.7,280.0,317.3,448071,EQ,5757,77.83,147867
2025-09-05,325.1,333.3,300.0,300.6,76132,EQ,1607,47.38,44598
2025-09-08,306.6,307.05,284.0,296.6,9010,EQ,355,25.38,3180
2025-09-09,302.55,308.3,280.0,280.95,9026,EQ,577,15.64,5317
2025-09-10,280.0,289.0,275.0,278.7,7394,EQ,729,10.14,2641
2025-09-11,275.5,292.85,275.5,285.1,87595,EQ,2148,40.78,71438
2025-09-12,284.7,288.7,280.0,280.4,54282,EQ,252,215.4,53746
2025-09-15,283.65,297.2,280.15,285.6,34405,EQ,816,42.16,22711
2025-09-16,289.9,295.95,280.45,289.95,15040,EQ,665,22.62,12331
2025-09-17,287.85,299.9,284.0,287.35,59682,EQ,1076,55.47,34301
2025-09-18,290.2,293.1,273.1,274.25,46615,EQ,726,64.21,20462
2025-09-19,276.9,279.0,260.1,260.65,43922,EQ,1203,36.51,23563
2025-09-22,252.95,265.7,252.95,261.9,45388,EQ,1668,27.21,40846
2025-09-23,262.9,299.0,255.2,263.25,2999,EQ,410,7.31,650
2025-09-24,264.6,275.25,260.05,263.0,6365,EQ,488,13.04,2681
2025-09-25,266.2,279.8,259.0,264.85,4648,EQ,185,25.12,2030
2025-09-26,264.55,279.8,256.0,259.0,72398,EQ,1268,57.1,70461
2025-09-29,255.0,265.25,247.25,249.35,39922,EQ,1217,32.8,29488
2025-09-30,251.95,254.1,248.05,250.1,10263,EQ,657,15.62,6489
2025-10-01,252.0,253.25,247.3,250.35,7066,EQ,497,14.22,2224
2025-10-03,252.85,268.0,240.0,247.05,5538,EQ,510,10.86,1747
2025-10-06,249.75,265.0,240.0,243.95,28942,EQ,716,40.42,26614
2025-10-07,247.6,250.0,230.0,233.9,9393,EQ,668,14.06,4057
2025-10-08,238.15,242.5,232.95,239.9,7163,EQ,602,11.9,3042
2025-10-09,242.4,246.4,237.2,238.55,3651,EQ,176,20.74,2716
2025-10-10,229.0,235.0,229.0,230.85,3176,EQ,227,13.99,1211
2025-10-13,232.0,277.0,232.0,267.3,1302504,EQ,19023,68.47,56129
2025-10-14,267.25,267.25,215.35,222.45,538177,EQ,9980,53.93,119601
2025-10-15,225.8,239.8,223.3,228.15,88318,EQ,2941,30.03,11103
2025-10-16,230.0,230.95,220.25,222.75,16215,EQ,784,20.68,4826
2025-10-17,225.7,226.0,216.5,220.5,47272,EQ,912,51.83,32345
2025-10-20,223.0,230.5,213.15,227.1,57306,EQ,943,60.77,34638
2025-10-21,227.1,227.1,217.1,223.1,22981,EQ,78,294.63,21012
2025-10-23,228.9,229.9,221.05,223.05,28499,EQ,338,84.32,23266
2025-10-24,225.0,230.5,217.05,226.75,127627,EQ,1193,106.98,109769
2025-10-27,231.0,244.85,222.1,229.55,181927,EQ,1990,91.42,91903
2025-10-28,234.0,262.7,227.0,248.55,556498,EQ,9043,61.54,72450
2025-10-29,250.0,258.9,225.0,228.3,494100,EQ,6541,75.54,162125
2025-10-30,228.0,236.0,223.55,229.25,289548,EQ,3360,86.18,173018
2025-10-31,226.05,254.8,226.05,243.05,334356,EQ,4656,71.81,139876
2025-11-03,243.05,246.59,231.23,235.4,34461,EQ,2277,15.13,11608
2025-11-04,235.0,251.97,226.5,242.96,219350,EQ,4802,45.68,111312
2025-11-06,246.6,253.0,240.32,248.88,23862,EQ,904,26.4,14400
2025-11-07,246.4,259.85,242.76,257.6,88978,EQ,1271,70.01,75131
2025-11-10,257.6,279.7,251.52,275.04,89034,EQ,2661,33.46,49473
2025-11-11,279.15,330.0,275.0,316.65,862393,EQ,14263,60.46,181043
2025-11-12,309.7,330.01,302.2,316.02,262293,EQ,6461,40.6,78127
2025-11-13,311.3,379.19,311.3,354.28,1284636,EQ,21301,60.31,319969
2025-11-14,350.51,387.7,335.05,371.67,365448,EQ,7584,48.19,75655
2025-11-17,370.11,377.6,361.01,369.11,249234,EQ,2827,88.16,187092
2025-11-18,374.1,376.49,360.0,360.45,145110,BE,171,848.6,145110
2025-11-19,360.01,378.47,354.0,375.32,29384,BE,134,219.28,29384
2025-11-20,383.99,389.4,371.0,381.29,82874,BE,320,258.98,82874
2025-11-21,372.0,389.0,366.01,369.45,17279,BE,141,122.55,17279
2025-11-24,369.45,380.0,360.1,361.24,12611,BE,163,77.37,12611
2025-11-25,361.24,377.0,361.24,366.02,1991,BE,39,51.05,1991
2025-11-26,366.0,377.0,360.0,365.59,4918,BE,66,74.52,4918
2025-11-27,364.0,377.0,364.0,364.97,1100,BE,24,45.83,1100
2025-11-28,364.99,377.0,362.55,362.97,11590,BE,43,269.53,11590
