Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-10-30,308.0,354.45,308.0,343.2,8038663,102886,78.13,2423196
2024-10-31,360.0,360.0,345.5,351.9,2101742,49141,42.77,802137
2024-11-01,355.0,360.25,352.9,355.95,451367,14343,31.47,255781
2024-11-04,353.05,354.0,338.1,348.65,455784,19560,23.3,206891
2024-11-05,346.0,353.95,344.35,348.1,320489,10697,29.96,159226
2024-11-06,350.0,351.5,335.1,338.2,395598,11507,34.38,229320
2024-11-07,337.9,373.0,327.55,356.7,937722,15385,60.95,508748
2024-11-08,364.95,371.95,342.8,352.0,1195359,41372,28.89,599921
2024-11-11,349.65,349.65,327.3,331.2,371927,11525,32.27,184208
2024-11-12,325.0,332.55,310.0,312.65,442904,14002,31.63,222813
2024-11-13,314.65,323.3,309.0,316.3,361841,11547,31.34,176703
2024-11-14,319.0,322.85,310.35,313.05,150480,5003,30.08,74872
2024-11-18,312.95,315.65,303.75,307.35,178971,9788,18.28,70576
2024-11-19,304.3,312.0,288.3,299.45,945090,28413,33.26,350511
2024-11-21,297.65,297.65,290.5,294.55,171506,6663,25.74,65852
2024-11-22,295.1,299.2,274.1,277.8,325080,13153,24.72,170421
2024-11-25,280.0,290.95,280.0,280.9,129681,5847,22.18,63357
2024-11-26,279.0,337.05,279.0,331.9,1374254,32414,42.4,343223
2024-11-27,344.05,351.7,329.2,343.85,1107554,38914,28.46,285788
2024-11-28,349.9,360.85,334.7,352.0,757085,27322,27.71,201019
2024-11-29,352.0,364.7,348.05,353.7,440702,16246,27.13,178517
2024-12-02,353.0,360.0,341.5,345.9,391673,14229,27.53,190817
2024-12-03,351.75,368.0,341.8,349.15,1252310,21205,59.06,536420
2024-12-04,356.95,374.5,350.05,366.4,612198,11160,54.86,295626
2024-12-05,375.0,396.0,363.0,391.85,1994300,37228,53.57,745291
2024-12-06,390.75,394.0,376.05,390.2,481084,10612,45.33,206457
2024-12-09,390.0,408.6,385.55,393.25,803572,17238,46.62,442412
2024-12-10,393.0,393.85,380.0,384.75,369198,7736,47.72,167018
2024-12-11,385.2,388.0,367.35,369.85,361077,12952,27.88,176574
2024-12-12,370.0,372.2,357.6,362.4,243138,9855,24.67,103887
2024-12-13,360.0,364.45,351.1,355.95,258293,11300,22.86,108307
2024-12-16,361.2,369.5,355.5,358.75,362382,9912,36.56,148437
2024-12-17,360.65,361.0,348.35,351.65,215031,6254,34.38,106613
2024-12-18,354.65,354.65,333.55,336.0,310436,9812,31.64,134046
2024-12-19,330.15,345.0,326.05,336.65,314280,7995,39.31,125620
2024-12-20,335.0,339.55,321.05,324.55,445004,13903,32.01,220034
2024-12-23,326.8,330.15,317.7,323.7,145297,5956,24.4,45913
2024-12-24,325.6,326.05,318.4,319.8,82070,3025,27.13,40979
2024-12-26,321.4,328.85,310.25,316.85,142393,5036,28.28,69112
2024-12-27,317.6,323.5,317.1,319.6,85272,3472,24.56,27577
2024-12-30,317.0,322.75,305.25,307.5,205073,7986,25.68,109766
2024-12-31,309.6,316.9,305.55,314.9,116224,5516,21.07,42501
2025-01-01,313.05,319.65,313.05,317.45,65769,2359,27.88,25741
2025-01-02,320.85,320.85,305.55,310.05,126059,3733,33.77,58037
2025-01-03,309.8,316.5,302.0,306.45,214761,4879,44.02,108839
2025-01-06,304.5,313.3,290.0,293.4,190856,6121,31.18,88444
2025-01-07,296.15,305.0,292.6,300.55,106619,4380,24.34,41772
2025-01-08,302.0,302.9,292.95,295.25,69363,3452,20.09,25529
2025-01-09,298.2,298.95,287.05,288.3,93708,2571,36.45,62481
2025-01-10,287.95,289.7,277.55,282.0,235059,5865,40.08,165833
2025-01-13,278.4,286.25,276.05,278.7,185167,7314,25.32,96987
2025-01-14,277.05,284.8,274.5,279.35,117604,3747,31.39,68474
2025-01-15,284.0,289.9,277.8,279.45,101069,4742,21.31,46931
2025-01-16,284.95,298.0,279.95,288.05,173111,3951,43.81,83526
2025-01-17,289.9,290.4,270.05,275.4,361804,7891,45.85,214641
2025-01-20,282.4,289.9,276.55,288.4,122088,3536,34.53,41273
2025-01-21,286.0,289.2,274.95,276.3,68087,3249,20.96,27968
2025-01-22,278.0,279.0,267.0,275.6,102474,3387,30.26,41038
2025-01-23,278.65,278.65,272.4,276.15,71068,3074,23.12,31859
2025-01-24,276.1,280.7,260.2,261.75,76818,3461,22.2,45275
2025-01-27,259.9,259.9,222.75,228.05,550659,21892,25.15,307160
2025-01-28,228.95,243.5,217.0,237.3,185962,7873,23.62,58475
2025-01-29,233.75,240.95,228.0,236.95,220528,7556,29.19,102498
2025-01-30,241.7,253.4,238.05,240.95,150203,6205,24.21,57998
2025-01-31,241.0,247.5,241.0,245.8,55263,3097,17.84,22556
2025-02-01,248.0,256.5,236.1,239.67,90648,3782,23.97,31014
2025-02-03,240.01,242.38,230.03,235.02,137628,3647,37.74,96288
2025-02-04,239.4,243.9,236.11,238.34,24138,1426,16.93,13810
2025-02-05,244.94,248.53,241.64,244.77,56154,3048,18.42,28015
2025-02-06,248.45,252.13,244.37,247.07,55746,3184,17.51,17801
2025-02-07,243.36,249.4,242.01,248.29,96696,3088,31.31,64379
2025-02-10,236.0,239.02,220.0,223.96,177308,5645,31.41,93461
2025-02-11,225.94,225.94,216.57,219.3,123669,5024,24.62,83020
2025-02-12,213.0,216.81,200.0,201.99,348961,12475,27.97,221591
2025-02-13,204.7,205.57,196.5,198.01,107910,6363,16.96,52340
2025-02-14,201.95,201.95,190.0,191.93,168425,11046,15.25,86138
2025-02-17,192.9,192.9,181.55,184.79,128683,7408,17.37,57802
2025-02-18,188.0,188.0,176.02,182.25,80507,5066,15.89,51357
2025-02-19,182.5,189.0,173.13,175.29,59801,1412,42.35,59801
2025-02-20,176.4,176.4,166.52,171.9,106642,1719,62.04,106642
2025-02-21,172.99,176.4,166.1,167.76,84723,1817,46.63,84723
2025-02-24,167.3,167.3,159.4,161.79,41824,1506,27.77,41824
2025-02-25,161.0,169.0,155.95,159.71,57328,1772,32.35,57328
2025-02-27,161.9,165.0,158.0,159.81,39066,1353,28.87,39066
2025-02-28,161.88,163.0,152.3,160.5,69549,1549,44.9,69549
2025-03-03,160.5,164.0,152.47,153.02,43234,1653,26.15,43234
2025-03-04,145.56,158.4,145.56,151.86,136332,3023,45.1,136332
2025-03-05,151.86,157.7,150.0,151.89,105507,2154,48.98,105507
2025-03-06,153.7,159.48,151.5,159.48,134333,3878,34.64,134333
2025-03-07,166.5,167.45,163.0,167.45,69823,523,133.5,69823
2025-03-10,175.82,175.82,173.0,174.86,106525,1032,103.22,106525
2025-03-11,167.1,178.8,166.11,166.11,89580,1452,61.69,89580
2025-03-12,168.89,169.7,157.8,157.8,85831,1029,83.41,85831
2025-03-13,155.3,162.0,149.91,156.08,119458,1617,73.88,119458
2025-03-17,157.9,163.0,151.0,151.74,50328,791,63.63,50328
2025-03-18,151.1,159.1,150.0,158.26,54069,689,78.47,54069
2025-03-19,158.6,165.99,154.0,163.32,74965,965,77.68,74965
2025-03-20,167.5,167.5,155.65,159.94,46329,698,66.37,46329
2025-03-21,159.0,164.7,158.0,162.06,55601,745,74.63,55601
2025-03-24,164.7,169.8,163.25,168.57,113851,794,143.39,113851
2025-03-25,170.0,170.1,160.14,161.57,68477,1030,66.48,68477
2025-03-26,161.99,161.99,153.6,154.06,70635,1063,66.45,70635
2025-03-27,154.99,155.0,147.5,149.12,157635,1424,110.7,157635
2025-03-28,151.7,153.85,145.0,147.36,77148,1138,67.79,77148
2025-04-01,146.0,154.72,146.0,154.72,23597,318,74.2,23597
2025-04-02,158.95,162.45,152.0,162.45,46680,525,88.91,46680
2025-04-03,165.0,170.57,160.01,170.57,54141,558,97.03,54141
2025-04-04,176.97,179.09,168.01,170.95,85248,1083,78.71,85248
2025-04-07,162.4,162.4,162.4,162.4,22887,359,63.75,22887
2025-04-08,159.15,160.0,159.15,159.9,13924,188,74.06,13924
2025-04-09,158.49,158.49,156.7,156.7,4136,115,35.97,4136
2025-04-11,155.0,157.5,155.0,157.0,9383,127,73.88,9383
2025-04-15,160.0,160.14,160.0,160.14,2972,96,30.96,2972
2025-04-16,163.34,163.34,163.34,163.34,1103,21,52.52,1103
2025-04-17,166.6,166.6,166.6,166.6,2612,32,81.62,2612
