Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-03-17,87.0,87.7,86.5,87.5,96533,EQ,42,2298.4,81927
2025-03-18,87.8,88.1,87.1,87.7,11233,EQ,40,280.82,10804
2025-03-19,89.9,89.9,87.65,87.65,2498,EQ,40,62.45,2115
2025-03-20,88.65,88.7,88.2,88.2,2041,EQ,39,52.33,1385
2025-03-21,88.2,88.2,87.0,87.25,1487,EQ,20,74.35,1377
2025-03-24,87.25,87.55,87.05,87.55,1020,EQ,59,17.29,964
2025-03-25,90.2,90.2,86.45,87.0,548,EQ,29,18.9,342
2025-03-26,86.55,88.0,86.3,87.5,4261,EQ,30,142.03,3243
2025-03-27,87.5,88.0,86.8,88.0,15252,EQ,25,610.08,15080
2025-03-28,88.0,88.75,88.0,88.45,8588,EQ,32,268.38,8574
2025-04-01,90.25,90.75,90.25,90.25,1696,EQ,37,45.84,1533
2025-04-02,90.25,92.8,87.4,89.05,201,EQ,28,7.18,149
2025-04-03,89.45,91.0,89.45,90.8,811,EQ,41,19.78,490
2025-04-04,93.0,93.0,88.7,90.2,9191,EQ,63,145.89,3049
2025-04-07,90.2,90.2,86.5,87.95,3224,EQ,46,70.09,3078
2025-04-08,87.95,87.95,86.75,87.65,1144,EQ,36,31.78,826
2025-04-09,87.7,89.75,87.7,89.75,2715,EQ,24,113.12,2219
2025-04-11,90.1,92.75,90.1,91.95,5245,EQ,52,100.87,4342
2025-04-15,92.0,93.05,92.0,92.9,1550,EQ,55,28.18,1493
2025-04-16,92.9,93.9,92.9,93.8,1694,EQ,65,26.06,1434
2025-04-17,93.95,94.9,93.95,94.65,2070,EQ,48,43.12,1856
2025-04-21,97.0,105.25,95.0,96.0,4670,EQ,138,33.84,2215
2025-04-22,98.5,98.5,97.6,97.9,1512,EQ,52,29.08,1500
2025-04-23,99.9,99.9,94.7,95.5,3531,EQ,106,33.31,1513
2025-04-24,98.35,98.35,95.1,95.35,3738,EQ,86,43.47,830
2025-04-25,93.45,95.5,93.45,95.0,701,EQ,43,16.3,378
2025-04-28,95.45,95.45,93.9,93.95,2040,EQ,59,34.58,1668
2025-04-29,93.95,95.2,93.95,94.9,1462,EQ,64,22.84,1111
2025-04-30,95.15,95.15,93.0,94.2,3177,EQ,107,29.69,2620
2025-05-02,96.1,96.1,92.0,93.3,1669,EQ,78,21.4,1300
2025-05-05,95.0,95.0,92.85,94.25,3113,EQ,70,44.47,2698
2025-05-06,95.7,96.8,95.7,96.5,2859,EQ,67,42.67,2083
2025-05-07,96.5,97.05,96.0,96.65,2264,EQ,39,58.05,1808
2025-05-08,97.1,97.15,94.55,95.9,3707,EQ,60,61.78,2612
2025-05-09,95.0,97.0,95.0,95.15,1867,EQ,44,42.43,1002
2025-05-12,95.15,97.55,92.5,92.55,6706,EQ,118,56.83,5560
2025-05-13,92.55,93.7,90.2,93.7,2199,EQ,63,34.9,1565
2025-05-14,93.7,93.7,92.5,93.25,1697,EQ,45,37.71,1623
2025-05-15,93.05,93.05,90.8,91.45,26471,EQ,143,185.11,25562
2025-05-16,91.5,93.45,91.5,92.7,1171,EQ,58,20.19,910
2025-05-19,92.75,93.0,92.0,93.0,1804,EQ,70,25.77,1538
2025-05-20,93.05,93.05,92.1,92.15,1654,EQ,41,40.34,1550
2025-05-21,94.3,95.0,94.05,94.7,2074,EQ,71,29.21,1176
2025-05-22,97.1,97.1,94.65,94.9,2152,EQ,45,47.82,1331
2025-05-23,94.9,94.95,94.45,94.55,626,EQ,26,24.08,543
2025-05-26,96.85,96.85,94.3,94.6,2771,EQ,55,50.38,1909
2025-05-27,94.8,94.95,94.0,94.45,173,EQ,29,5.97,119
2025-05-28,94.6,95.0,94.25,95.0,311,EQ,20,15.55,276
2025-05-29,95.0,95.0,93.6,93.95,2584,EQ,44,58.73,2545
2025-05-30,94.05,94.5,93.9,94.25,2810,EQ,49,57.35,2105
2025-06-02,94.25,96.5,90.0,95.6,6913,EQ,180,38.41,3191
2025-06-03,113.1,113.1,95.1,96.05,6785,EQ,108,62.82,4908
2025-06-04,98.45,98.45,96.05,96.3,6613,EQ,111,59.58,2115
2025-06-05,96.8,97.05,96.2,96.8,3395,EQ,157,21.62,2691
2025-06-06,96.8,96.9,95.7,96.55,3454,EQ,97,35.61,2641
2025-06-09,96.55,96.55,94.9,95.5,2757,EQ,92,29.97,1785
2025-06-10,95.5,95.8,94.95,95.45,3095,EQ,227,13.63,1957
2025-06-11,96.15,96.15,95.5,95.7,815,EQ,56,14.55,746
2025-06-12,95.75,97.35,95.75,96.25,4046,EQ,102,39.67,3342
2025-06-13,97.35,99.0,97.35,98.6,86253,EQ,137,629.58,84047
2025-06-16,98.6,100.0,98.05,98.55,29675,EQ,108,274.77,27293
2025-06-17,102.95,102.95,96.3,97.85,2376,EQ,82,28.98,1663
2025-06-18,98.0,98.45,98.0,98.4,1203,EQ,41,29.34,920
2025-06-19,100.85,100.85,78.2,97.75,2174,EQ,136,15.99,846
2025-06-20,97.75,98.0,97.05,98.0,1582,EQ,66,23.97,1532
2025-06-23,98.45,99.7,97.3,98.0,646,EQ,51,12.67,571
2025-06-24,98.0,98.05,95.3,96.7,4429,EQ,70,63.27,2885
2025-06-25,96.75,96.75,95.95,96.0,1742,EQ,49,35.55,1726
2025-06-26,96.0,96.5,96.0,96.0,1670,EQ,51,32.75,1264
2025-06-27,96.0,98.7,94.2,94.8,4512,EQ,69,65.39,3392
2025-06-30,94.8,96.0,94.0,94.65,3823,EQ,108,35.4,2514
2025-07-01,97.0,97.0,94.65,95.95,1114,EQ,38,29.32,861
2025-07-02,96.05,97.0,96.0,96.2,1221,EQ,52,23.48,1099
2025-07-03,96.2,96.7,96.0,96.2,3571,EQ,77,46.38,2595
2025-07-04,96.0,96.15,95.8,96.15,1310,EQ,49,26.73,1300
2025-07-07,95.6,95.8,95.35,95.8,861,EQ,41,21.0,854
2025-07-08,93.4,96.3,93.4,96.0,1436,EQ,43,33.4,1097
2025-07-09,96.0,96.0,94.9,95.0,3267,EQ,59,55.37,3233
2025-07-10,96.5,96.5,95.6,96.0,63464,EQ,45,1410.31,63301
2025-07-11,96.4,96.4,96.2,96.3,5808,EQ,26,223.38,4306
2025-07-14,97.25,97.5,96.85,97.1,3325,EQ,66,50.38,2787
2025-07-15,97.55,97.55,96.7,96.75,707,EQ,23,30.74,698
2025-07-16,96.65,96.65,96.25,96.25,1478,EQ,28,52.79,1045
2025-07-17,96.25,96.75,96.25,96.45,1445,EQ,36,40.14,1302
2025-07-18,96.45,97.0,96.2,96.7,2802,EQ,50,56.04,1975
2025-07-21,97.0,97.6,97.0,97.5,3188,EQ,48,66.42,1989
2025-07-22,96.3,98.4,96.3,98.1,5619,EQ,73,76.97,3975
2025-07-23,98.1,100.9,98.1,99.3,6445,EQ,103,62.57,5883
2025-07-24,99.75,100.5,96.3,97.75,3513,EQ,83,42.33,3015
2025-07-25,99.9,99.9,97.05,97.4,5760,EQ,118,48.81,3977
2025-07-28,97.4,97.4,96.75,96.85,1695,EQ,47,36.06,1490
2025-07-29,96.85,97.25,96.45,97.0,4262,EQ,66,64.58,3980
2025-07-30,97.25,97.8,97.25,97.8,39617,EQ,66,600.26,30408
2025-07-31,97.8,97.8,96.5,97.35,2176,EQ,58,37.52,1401
2025-08-01,97.35,97.35,96.0,96.75,1112,EQ,55,20.22,1004
2025-08-04,99.5,99.5,96.6,98.7,6791,EQ,85,79.89,4905
2025-08-05,98.7,99.45,98.7,99.3,2089,EQ,71,29.42,1140
2025-08-06,99.75,101.0,98.9,99.0,2306,EQ,56,41.18,2296
2025-08-07,99.45,101.0,98.05,99.5,18189,EQ,110,165.35,12842
2025-08-08,99.0,100.05,99.0,100.05,5911,EQ,56,105.55,4901
2025-08-11,100.05,100.05,97.9,99.0,5474,EQ,114,48.02,4512
2025-08-12,98.15,99.9,97.9,98.1,1227,EQ,57,21.53,1144
2025-08-13,98.1,98.8,98.1,98.8,2483,EQ,54,45.98,2426
2025-08-14,99.2,99.2,98.15,98.7,2247,EQ,52,43.21,2197
2025-08-18,98.7,99.2,97.45,98.0,1060,EQ,83,12.77,1036
2025-08-19,98.0,98.8,97.4,98.5,3002,EQ,59,50.88,1745
2025-08-20,100.5,100.5,96.95,97.45,3843,EQ,85,45.21,3104
2025-08-21,97.45,98.0,97.45,97.9,1336562,EQ,246,5433.18,1336309
2025-08-22,98.35,98.35,97.5,98.0,353,EQ,35,10.09,352
2025-08-25,98.1,99.9,98.0,99.0,4766,EQ,72,66.19,3924
2025-08-26,99.0,99.7,98.9,99.65,3259,EQ,56,58.2,2734
2025-08-28,99.65,100.45,98.25,100.1,117854,EQ,180,654.74,115443
2025-08-29,100.45,101.45,100.1,101.15,6746,EQ,108,62.46,6114
2025-09-01,101.8,104.8,101.8,102.85,8677,EQ,137,63.34,6767
2025-09-02,104.8,104.8,102.85,103.4,6674,EQ,111,60.13,6293
2025-09-03,103.6,105.0,102.55,104.3,10607,EQ,106,100.07,6923
2025-09-04,104.8,104.8,102.25,104.6,6400,EQ,122,52.46,4149
2025-09-05,104.6,105.3,103.55,105.15,4307,EQ,112,38.46,3933
2025-09-08,108.7,108.7,105.95,106.4,20064,EQ,145,138.37,19091
2025-09-09,108.5,119.95,107.1,112.15,252291,EQ,311,811.23,244851
2025-09-10,111.7,112.9,105.35,107.55,37752,EQ,457,82.61,30026
2025-09-11,109.8,109.8,105.55,107.4,6953,EQ,140,49.66,6258
2025-09-12,104.75,111.8,87.85,107.9,23275,EQ,170,136.91,21798
2025-09-15,107.95,108.8,106.35,107.45,8235,EQ,168,49.02,7062
2025-09-16,107.35,109.85,107.15,109.3,30169,EQ,214,140.98,18214
2025-09-17,109.3,111.5,108.0,108.2,17139,EQ,142,120.7,15374
2025-09-18,108.5,111.0,107.5,108.75,386591,EQ,162,2386.36,200705
2025-09-19,108.75,108.75,107.65,108.05,2830,EQ,98,28.88,2771
2025-09-22,108.55,110.05,106.25,109.7,40261,EQ,209,192.64,26833
2025-09-23,109.05,112.9,109.05,112.0,18003,EQ,244,73.78,10985
2025-09-24,114.25,115.0,109.8,112.3,97854,EQ,479,204.29,78889
2025-09-25,113.5,113.5,110.35,111.7,33239,EQ,214,155.32,27930
2025-09-26,112.25,112.75,110.85,111.35,7825,EQ,140,55.89,6273
2025-09-29,113.6,115.0,110.55,113.5,28623,EQ,348,82.25,15154
2025-09-30,115.45,115.95,113.0,113.9,267711,EQ,439,609.82,255800
2025-10-01,113.9,116.75,113.35,115.85,45188,EQ,294,153.7,25899
2025-10-03,115.85,125.0,112.0,119.95,26378,EQ,294,89.72,23762
2025-10-06,120.7,129.0,119.0,121.35,112763,EQ,1052,107.19,74155
2025-10-07,123.15,137.25,116.55,118.9,483586,EQ,4202,115.08,195814
2025-10-08,119.9,137.0,119.9,131.95,368288,EQ,3991,92.28,161589
2025-10-09,133.5,139.9,121.4,122.75,1267219,EQ,6381,198.59,741866
2025-10-10,123.0,125.0,117.5,119.95,197824,EQ,2486,79.58,93114
2025-10-13,122.0,124.9,117.25,121.0,211334,EQ,1732,122.02,132750
2025-10-14,122.2,124.35,120.15,122.6,184611,EQ,1269,145.48,98982
2025-10-15,123.8,124.8,121.25,124.1,352639,EQ,969,363.92,246077
2025-10-16,124.7,124.9,121.95,123.25,96842,EQ,851,113.8,59197
2025-10-17,124.0,128.0,123.15,127.35,203159,EQ,1269,160.09,153889
2025-10-20,124.0,128.05,122.5,124.8,116808,EQ,773,151.11,94166
2025-10-21,127.9,127.9,122.0,123.65,15607,EQ,357,43.72,12509
2025-10-23,120.55,123.2,111.55,120.95,209313,EQ,1661,126.02,87305
2025-10-24,122.1,122.1,118.05,118.75,201916,EQ,598,337.65,192314
2025-10-27,118.75,121.9,117.6,119.4,30881,EQ,357,86.5,23505
2025-10-28,119.95,119.95,111.15,114.25,125803,EQ,1384,90.9,85023
2025-10-29,116.0,118.8,113.95,118.05,26069,EQ,427,61.05,17725
2025-10-30,117.5,119.7,114.35,117.6,59229,EQ,755,78.45,12880
2025-10-31,117.6,118.5,116.8,117.9,11049,EQ,265,41.69,5484
2025-11-03,118.85,118.95,117.55,118.55,12156,EQ,301,40.39,8088
2025-11-04,117.9,118.5,115.95,117.55,20497,EQ,294,69.72,11898
2025-11-06,117.55,119.4,117.2,118.1,11234,EQ,232,48.42,5410
2025-11-07,118.1,118.5,117.5,117.8,155162,EQ,191,812.37,153076
2025-11-10,118.15,121.0,117.8,119.6,219421,EQ,406,540.45,214002
2025-11-11,116.65,126.45,116.65,122.95,47802,EQ,577,82.85,26147
2025-11-12,122.45,123.4,120.6,121.95,265159,EQ,759,349.35,244138
2025-11-13,122.45,126.2,122.45,123.9,81616,EQ,830,98.33,50724
2025-11-14,123.85,123.85,122.2,122.75,339714,EQ,326,1042.07,336810
2025-11-17,121.8,121.8,119.2,120.2,29130,EQ,578,50.4,15294
2025-11-18,120.2,121.0,117.5,118.8,19420,EQ,363,53.5,14782
2025-11-19,119.5,121.1,119.0,120.4,18129,EQ,312,58.11,9342
2025-11-20,120.0,121.1,119.0,120.0,9763,EQ,244,40.01,5654
2025-11-21,119.25,120.5,118.35,119.45,21065,EQ,355,59.34,10220
2025-11-24,119.85,121.05,117.2,120.75,22262,EQ,272,81.85,15058
2025-11-25,121.5,122.85,120.8,122.25,54189,EQ,257,210.85,46201
2025-11-26,123.85,123.85,122.45,122.95,22633,EQ,230,98.4,15096
