Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2023-02-24,55.05,56.95,55.05,56.1,67861,49,1384.92,67685
2023-02-27,56.85,56.85,54.6,55.3,22301,128,174.23,19982
2023-02-28,55.85,55.85,55.15,55.35,218,23,9.48,77
2023-03-01,55.3,56.05,55.3,55.65,20399,31,658.03,315
2023-03-02,55.55,55.95,55.55,55.6,669,23,29.09,490
2023-03-03,55.45,55.9,55.25,55.5,543,17,31.94,292
2023-03-06,55.5,56.0,55.45,55.95,357,22,16.23,224
2023-03-08,55.85,55.85,54.45,55.0,1267,50,25.34,1213
2023-03-09,55.0,55.0,54.4,54.45,1531,44,34.8,814
2023-03-10,54.5,56.75,54.45,56.0,863,62,13.92,546
2023-03-13,57.4,57.4,53.3,55.15,4172,66,63.21,4082
2023-03-14,56.6,57.7,55.95,57.65,5018,93,53.96,4195
2023-03-15,59.1,59.1,56.2,58.45,4553,79,57.63,2266
2023-03-16,59.95,59.95,57.55,58.0,1507,29,51.97,1480
2023-03-17,56.55,58.15,56.55,57.8,3211,21,152.9,3183
2023-03-20,57.8,62.4,57.8,60.0,8433,166,50.8,5150
2023-03-21,61.5,61.5,58.4,59.05,7776,73,106.52,3453
2023-03-22,59.1,59.1,58.0,58.95,1532,52,29.46,1294
2023-03-23,59.55,59.55,59.05,59.15,209,13,16.08,196
2023-03-24,59.05,59.35,59.05,59.35,1138,12,94.83,1118
2023-03-27,61.0,61.0,59.0,59.1,1513,27,56.04,1498
2023-03-28,59.05,59.05,58.4,58.5,442,40,11.05,198
2023-03-29,59.0,59.1,58.85,58.9,910,13,70.0,896
2023-03-31,57.4,59.6,57.4,59.55,3181,23,138.3,2768
2023-04-03,59.45,59.45,58.8,59.3,1674,40,41.85,1042
2023-04-05,59.3,61.2,59.3,60.95,585,45,13.0,341
2023-04-06,62.5,62.5,60.1,60.15,207,46,4.5,149
2023-04-10,60.05,60.1,59.4,59.6,807,50,16.14,540
2023-04-11,59.85,60.75,59.85,60.3,430,49,8.78,367
2023-04-12,60.35,61.8,60.35,60.9,1356,64,21.19,1021
2023-04-13,60.8,60.95,60.4,60.45,285,31,9.19,141
2023-04-17,60.55,60.6,59.95,60.35,2239,41,54.61,1134
2023-04-18,60.4,60.5,60.2,60.5,1242,25,49.68,1004
2023-04-19,60.6,61.15,59.8,59.85,3032,80,37.9,964
2023-04-20,60.15,60.7,60.15,60.45,51,17,3.0,26
2023-04-21,60.45,61.2,59.8,60.05,3919,89,44.03,1754
2023-04-24,61.55,61.55,59.9,60.2,2357,62,38.02,2244
2023-04-25,60.45,61.4,59.65,59.85,7890,96,82.19,6108
2023-04-26,60.15,60.6,60.15,60.5,6668,46,144.96,6282
2023-04-27,62.3,62.3,60.15,60.5,7190,55,130.73,7125
2023-04-28,62.05,62.05,59.6,60.15,7353,57,129.0,6615
2023-05-02,60.1,60.15,59.85,60.15,435,36,12.08,420
2023-05-03,60.15,61.4,60.15,61.35,2169,70,30.99,1371
2023-05-04,61.35,62.35,61.3,61.6,3033,63,48.14,2916
2023-05-05,62.4,62.4,61.5,61.75,764,63,12.13,626
2023-05-08,61.65,61.65,60.4,60.95,1081,61,17.72,803
2023-05-09,61.05,61.3,60.95,61.25,2339,21,111.38,1421
2023-05-10,62.35,62.35,61.2,61.6,5349,47,113.81,4785
2023-05-11,62.4,62.4,61.25,61.65,801,51,15.71,636
2023-05-12,61.4,61.4,60.85,60.9,32861,55,597.47,32801
2023-05-15,60.8,61.3,60.8,61.3,1812,41,44.2,898
2023-05-16,61.05,61.3,61.0,61.15,677,44,15.39,472
2023-05-17,60.85,60.85,60.5,60.65,7034,30,234.47,6972
2023-05-18,62.45,62.45,60.05,60.3,438,30,14.6,164
2023-05-19,60.3,60.3,59.0,59.6,8066,43,187.58,5090
2023-05-22,59.95,61.4,59.95,60.95,6647,76,87.46,5790
2023-05-23,62.5,62.5,60.1,60.15,480,26,18.46,333
2023-05-24,60.35,61.2,60.35,60.7,699,46,15.2,391
2023-05-25,60.65,61.0,59.4,59.95,683,70,9.76,444
2023-05-26,61.0,61.0,59.45,60.7,233,33,7.06,121
2023-05-29,60.7,60.75,59.2,59.65,3207,73,43.93,1288
2023-05-30,59.65,59.95,59.45,59.9,1692,20,84.6,1673
2023-05-31,59.95,60.2,59.9,60.2,127,19,6.68,97
2023-06-01,60.05,60.5,59.65,59.8,618,48,12.88,511
2023-06-02,59.8,60.5,59.8,60.0,577,24,24.04,544
2023-06-05,59.9,60.1,59.3,59.7,1693,69,24.54,1635
2023-06-06,61.5,61.5,59.3,59.75,726,54,13.44,686
2023-06-07,59.8,60.1,59.2,59.3,1525,68,22.43,1251
2023-06-08,59.5,59.85,59.3,59.6,8910,62,143.71,8843
2023-06-09,59.65,60.05,59.0,59.4,1975,78,25.32,966
2023-06-12,59.45,60.0,58.85,59.55,1446,93,15.55,696
2023-06-13,59.8,62.2,59.55,60.25,362,50,7.24,322
2023-06-14,60.0,60.0,59.15,59.15,13518,60,225.3,13490
2023-06-15,59.15,59.15,58.45,58.75,2194,62,35.39,2118
2023-06-16,59.25,59.5,58.4,59.25,1076,73,14.74,713
2023-06-19,59.35,59.35,59.1,59.2,180,22,8.18,112
2023-06-20,59.15,59.25,59.15,59.25,227,13,17.46,223
2023-06-21,59.75,59.75,58.5,58.8,1230,68,18.09,1050
2023-06-22,58.8,59.0,58.3,58.35,1725,54,31.94,1615
2023-06-23,58.15,58.4,57.7,58.4,3773,110,34.3,2676
2023-06-26,58.85,58.85,57.4,58.2,17489,111,157.56,9001
2023-06-27,58.6,58.6,58.05,58.25,497,34,14.62,305
2023-06-28,58.25,58.35,47.6,56.7,1762,69,25.54,1512
2023-06-30,57.15,58.8,57.15,58.05,31390,180,174.39,21414
2023-07-03,58.15,58.15,57.55,57.6,2307,44,52.43,1816
2023-07-04,57.95,58.4,57.95,58.4,481,42,11.45,376
2023-07-05,59.9,59.9,58.0,58.2,856,31,27.61,573
2023-07-06,69.8,69.8,57.3,58.6,1406,38,37.0,1388
2023-07-07,58.5,58.6,58.3,58.6,702,19,36.95,605
2023-07-10,57.1,58.8,57.1,58.35,267,52,5.13,201
2023-07-11,59.8,59.8,57.8,59.0,1682,42,40.05,461
2023-07-12,58.85,59.05,58.5,58.5,1471,34,43.26,1070
2023-07-13,58.0,59.45,58.0,59.35,2525,41,61.59,2478
2023-07-14,59.45,59.45,48.25,56.75,331,59,5.61,184
2023-07-17,58.2,60.0,58.2,59.3,2670,57,46.84,2481
2023-07-18,59.35,59.4,59.2,59.4,159,20,7.95,150
2023-07-19,59.4,59.95,59.4,59.8,3932,77,51.06,3799
2023-07-20,59.65,60.15,59.65,59.7,948,90,10.53,809
2023-07-21,59.65,59.75,59.2,59.2,1521,37,41.11,1346
2023-07-24,60.0,60.0,59.1,59.2,825,58,14.22,771
2023-07-25,60.7,60.7,59.2,59.35,435,32,13.59,414
2023-07-26,60.85,60.85,59.1,59.6,13502,51,264.75,13346
2023-07-27,61.4,61.4,59.3,59.5,425,27,15.74,361
2023-07-28,59.5,59.55,59.1,59.35,1228,19,64.63,1011
2023-07-31,60.85,60.85,58.8,59.1,1603,47,34.11,1071
2023-08-01,59.5,59.8,59.35,59.7,97,24,4.04,24
2023-08-02,59.35,59.5,59.2,59.5,1154,35,32.97,776
2023-08-03,59.25,59.4,59.2,59.4,201,27,7.44,193
2023-08-04,59.3,59.35,59.05,59.05,284,12,23.67,206
2023-08-07,59.4,59.8,59.15,59.35,2334,39,59.85,1918
2023-08-08,60.0,60.0,58.6,58.95,2273,52,43.71,1503
2023-08-09,59.05,59.25,58.95,59.25,485,26,18.65,355
2023-08-10,57.75,59.2,57.75,59.0,8381,24,349.21,8379
2023-08-11,59.0,59.0,58.6,58.85,376,30,12.53,317
2023-08-14,58.5,59.1,58.5,58.75,732,37,19.78,704
2023-08-16,58.85,58.85,58.5,58.55,770,30,25.67,490
2023-08-17,60.05,60.05,58.1,58.2,3727,67,55.63,1833
2023-08-18,58.15,58.8,57.95,58.2,1807,59,30.63,1440
2023-08-21,59.4,59.4,58.05,58.1,759,33,23.0,698
2023-08-22,58.4,58.5,58.2,58.4,1869,29,64.45,1813
2023-08-23,58.55,58.55,58.0,58.25,1120,31,36.13,609
2023-08-24,58.3,58.8,57.8,58.8,7765,39,199.1,5228
2023-08-25,58.65,58.7,58.4,58.65,344,40,8.6,277
2023-08-28,61.3,61.3,58.45,58.65,3879,48,80.81,3489
2023-08-29,59.85,61.35,58.65,59.0,118213,60,1970.22,118033
2023-08-30,60.5,60.5,58.4,59.1,1821,53,34.36,1036
2023-08-31,59.0,59.75,58.95,59.45,593,32,18.53,531
2023-09-01,59.4,60.0,58.8,59.2,5544,67,82.75,2602
2023-09-04,58.05,59.6,58.05,59.45,3786,88,43.02,3657
2023-09-05,61.0,61.0,58.8,59.25,1720,112,15.36,817
2023-09-06,61.95,61.95,58.9,59.3,5234,97,53.96,4275
2023-09-07,60.5,60.55,58.5,58.95,4850,99,48.99,4517
2023-09-08,59.4,59.8,59.1,59.25,3663,66,55.5,3596
2023-09-11,59.3,60.8,58.8,59.3,9338,121,77.17,7906
2023-09-12,61.1,61.35,58.5,59.4,12339,161,76.64,9431
2023-09-13,59.35,59.75,58.1,58.45,12010,196,61.28,6913
2023-09-14,59.95,59.95,58.35,58.7,7514,142,52.92,6877
2023-09-15,59.2,59.3,58.7,58.9,4955,99,50.05,4784
2023-09-18,59.1,59.55,58.6,59.3,9943,166,59.9,7083
2023-09-20,62.0,62.0,58.95,59.4,9462,128,73.92,8899
2023-09-21,59.85,60.7,59.05,59.15,7553,110,68.66,7135
2023-09-22,59.2,59.3,58.75,59.25,20352,140,145.37,19212
2023-09-25,60.75,60.75,59.0,59.1,5091,84,60.61,4840
2023-09-26,59.1,59.15,58.8,58.85,4877,102,47.81,4664
2023-09-27,58.85,58.85,58.45,58.55,15115,156,96.89,14548
2023-09-28,58.6,58.75,57.85,57.95,20746,219,94.73,20353
2023-09-29,58.4,58.4,57.65,57.8,24220,193,125.49,23593
2023-10-03,58.0,58.75,56.95,57.2,48096,557,86.35,38505
2023-10-04,56.1,58.15,56.1,56.65,40347,517,78.04,35923
2023-10-05,57.0,57.6,56.5,56.8,32082,463,69.29,25263
2023-10-06,58.0,58.2,56.3,56.9,57690,442,130.52,46056
