Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2023-10-11,130.0,136.5,123.5,136.1,2757000,770.0,3580.52,2751000.0
2023-10-12,129.3,140.0,129.3,137.3,432000,115.0,3756.52,384000.0
2023-10-13,135.0,139.95,130.5,138.1,369000,106.0,3481.13,351000.0
2023-10-16,141.0,145.0,136.1,145.0,234000,68.0,3441.18,207000.0
2023-10-17,151.9,152.25,151.85,152.25,63000,20.0,3150.0,39000.0
2023-10-18,159.85,159.85,159.85,159.85,15000,5.0,3000.0,15000.0
2023-10-19,167.8,167.8,152.1,167.6,390000,117.0,3333.33,366000.0
2023-10-20,167.6,175.95,167.55,175.95,102000,33.0,3090.91,102000.0
2023-10-23,183.85,184.7,175.95,180.85,279000,92.0,3032.61,264000.0
2023-10-25,184.5,189.85,173.0,180.0,153000,51.0,3000.0,144000.0
2023-10-26,180.0,180.0,161.0,169.6,159000,53.0,3000.0,102000.0
2023-10-27,171.0,174.8,164.95,168.5,72000,24.0,3000.0,48000.0
2023-10-30,170.0,173.7,168.3,170.15,51000,17.0,3000.0,33000.0
2023-10-31,169.4,176.0,169.4,170.9,72000,24.0,3000.0,54000.0
2023-11-01,173.0,178.8,167.75,170.05,120000,38.0,3157.89,57000.0
2023-11-02,168.0,170.0,165.0,165.8,27000,9.0,3000.0,24000.0
2023-11-03,162.0,166.85,162.0,164.95,24000,8.0,3000.0,18000.0
2023-11-06,164.35,166.8,155.55,159.1,81000,27.0,3000.0,60000.0
2023-11-07,163.0,163.0,150.0,152.35,108000,36.0,3000.0,90000.0
2023-11-08,152.0,165.0,151.0,164.35,111000,37.0,3000.0,90000.0
2023-11-09,164.0,173.0,164.0,170.75,135000,45.0,3000.0,105000.0
2023-11-10,175.0,175.0,168.0,169.05,78000,26.0,3000.0,57000.0
2023-11-12,161.0,169.3,161.0,167.4,18000,6.0,3000.0,12000.0
2023-11-13,171.0,171.0,167.6,170.4,15000,5.0,3000.0,12000.0
2023-11-15,171.0,172.25,167.0,170.0,138000,20.0,6900.0,135000.0
2023-11-16,170.0,170.2,167.0,167.85,45000,15.0,3000.0,45000.0
2023-11-17,170.0,170.0,164.0,168.5,33000,11.0,3000.0,33000.0
2023-11-20,168.1,169.95,168.0,168.0,36000,12.0,3000.0,33000.0
2023-11-21,169.5,170.0,167.1,167.55,63000,21.0,3000.0,57000.0
2023-11-22,169.85,169.85,165.0,165.0,33000,10.0,3300.0,30000.0
2023-11-23,165.5,168.4,165.0,165.05,36000,12.0,3000.0,27000.0
2023-11-24,165.0,165.0,165.0,165.0,3000,1.0,3000.0,3000.0
2023-11-28,165.0,165.0,161.05,161.05,39000,5.0,7800.0,39000.0
2023-11-29,162.0,165.0,162.0,164.5,15000,5.0,3000.0,12000.0
2023-11-30,161.0,165.0,160.0,160.0,21000,7.0,3000.0,18000.0
2023-12-01,162.0,162.0,159.0,159.0,15000,5.0,3000.0,15000.0
2023-12-04,163.0,163.0,158.0,161.9,27000,9.0,3000.0,18000.0
2023-12-05,160.0,160.0,155.0,155.0,24000,8.0,3000.0,18000.0
2023-12-06,145.0,157.0,145.0,157.0,78000,7.0,11142.86,78000.0
2023-12-07,160.0,160.0,157.2,159.95,156000,18.0,8666.67,153000.0
2023-12-08,161.0,165.5,159.0,159.45,123000,28.0,4392.86,123000.0
2023-12-11,160.05,160.05,156.45,157.0,162000,26.0,6230.77,150000.0
2023-12-12,159.0,159.0,155.0,155.65,69000,13.0,5307.69,66000.0
2023-12-13,155.0,155.0,153.2,153.2,6000,2.0,3000.0,6000.0
2023-12-14,152.1,155.0,152.1,153.2,36000,10.0,3600.0,33000.0
2023-12-15,154.5,154.5,154.5,154.5,3000,1.0,3000.0,3000.0
2023-12-18,147.15,153.0,147.15,151.0,45000,15.0,3000.0,42000.0
2023-12-19,150.0,153.0,150.0,151.85,27000,9.0,3000.0,27000.0
2023-12-20,152.5,152.5,150.0,150.5,24000,8.0,3000.0,24000.0
2023-12-21,150.0,150.0,148.0,149.0,24000,8.0,3000.0,21000.0
2023-12-22,157.55,157.55,152.0,153.0,30000,10.0,3000.0,24000.0
2023-12-26,152.9,153.0,149.0,150.0,24000,8.0,3000.0,24000.0
2023-12-27,148.2,150.1,148.2,149.5,15000,5.0,3000.0,15000.0
