Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-08-12,33.0,33.05,32.1,32.84,4041324,33902,119.21,3708839
2024-08-13,33.5,36.0,32.18,32.34,2375858,19801,119.99,1861466
2024-08-14,33.26,33.47,32.07,32.42,999035,11112,89.91,733420
2024-08-16,32.89,33.3,32.1,33.08,1290227,12377,104.24,839266
2024-08-19,33.08,34.0,33.0,33.05,2478938,16899,146.69,1722813
2024-08-20,33.4,33.6,32.39,33.2,1226305,12035,101.89,839187
2024-08-21,33.59,33.68,33.06,33.3,1141137,11098,102.82,860894
2024-08-22,33.4,33.8,33.31,33.39,1262180,10702,117.94,978743
2024-08-23,33.75,33.75,32.51,33.66,1788284,14768,121.09,1488966
2024-08-26,33.99,34.35,33.66,33.85,2113178,14910,141.73,1603478
2024-08-27,34.34,35.0,33.5,34.15,2097055,14122,148.5,1723816
2024-08-28,34.47,34.6,33.84,33.93,2547663,16098,158.26,1985246
2024-08-29,34.19,34.28,33.5,33.92,1386666,12276,112.96,1032821
2024-08-30,34.24,34.35,33.9,34.01,1165812,10133,115.05,877455
2024-09-02,34.35,34.49,33.65,33.91,1947298,13133,148.28,1603032
2024-09-03,34.24,34.27,33.72,33.91,1328372,8913,149.04,1083466
2024-09-04,34.17,34.17,33.5,33.73,1067601,10507,101.61,840389
2024-09-05,34.05,34.08,33.51,33.78,957169,8054,118.84,708602
2024-09-06,33.77,34.06,33.2,33.38,1297344,12902,100.55,1015443
2024-09-09,33.68,33.68,32.73,33.27,1577272,11523,136.88,1023582
2024-09-10,33.56,33.57,33.11,33.43,750536,6921,108.44,547812
