Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2004-10-19,30.65,32.25,29.0,29.6,9200,EQ,,,
2004-10-20,30.8,33.25,30.5,31.4,30381,EQ,,,
2004-10-21,32.1,32.5,31.25,31.65,7679,EQ,,,
2004-10-25,30.0,31.0,30.0,31.0,500,EQ,,,
2004-10-26,31.3,31.3,30.25,30.25,100,EQ,,,
2004-10-27,31.45,31.45,30.25,30.35,2672,EQ,,,
2004-10-28,31.75,31.75,30.15,30.2,1300,EQ,,,
2004-10-29,30.0,32.5,29.9,31.1,2170,EQ,,,
2004-11-01,31.95,37.35,31.95,37.35,51170,EQ,,,
2004-11-02,44.0,44.7,38.1,38.6,309773,EQ,,,
2004-11-03,39.9,46.35,39.5,42.3,432492,EQ,,,
2004-11-04,44.9,44.9,41.1,41.8,186129,EQ,,,
2004-11-05,42.4,42.4,39.65,40.15,100204,EQ,,,
2004-11-08,40.3,41.0,39.15,39.45,52473,EQ,,,
2004-11-09,39.9,40.45,37.75,38.05,20950,EQ,,,
2004-11-10,38.8,43.85,38.2,40.2,236647,EQ,,,
2004-11-11,40.5,40.7,39.1,39.35,58747,EQ,,,
2004-11-12,40.0,40.55,39.2,39.4,27443,EQ,,,
2004-11-16,39.8,39.8,38.15,38.55,21738,EQ,,,
2004-11-17,39.5,40.4,37.0,37.6,28896,EQ,,,
2004-11-18,39.0,39.9,37.15,37.6,27017,EQ,,,
2004-11-19,39.0,39.0,35.6,36.05,24186,EQ,,,
2004-11-22,37.7,38.8,35.75,37.65,47592,EQ,,,
2004-11-23,38.9,38.9,36.1,37.1,28505,EQ,,,
2004-11-24,38.3,38.3,36.45,36.9,19497,EQ,,,
2004-11-25,37.6,38.5,36.55,36.95,41994,EQ,,,
2004-11-29,37.5,40.0,37.1,37.7,35462,EQ,,,
2004-11-30,38.8,38.8,35.55,36.2,16591,EQ,,,
2004-12-01,41.0,41.0,34.55,35.55,35646,EQ,,,
