Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-02-25,269.85,269.85,240.14,243.46,33559,1179,28.46,15564
2025-02-27,243.46,255.0,231.12,233.63,24659,1916,12.87,15538
2025-02-28,238.98,238.98,212.93,218.91,163276,6112,26.71,109630
2025-03-03,228.73,245.0,208.0,238.59,109454,4126,26.53,65073
2025-03-04,235.0,264.1,229.99,262.7,568219,7683,73.96,393203
2025-03-05,258.75,274.9,252.01,272.63,140229,6316,22.2,54577
2025-03-06,272.63,281.69,260.2,262.33,39230,3250,12.07,19541
2025-03-07,260.5,269.7,252.5,255.46,69388,4210,16.48,48501
2025-03-10,259.3,259.75,246.61,248.6,20377,2207,9.23,9717
2025-03-11,248.6,251.69,236.71,247.57,58517,3885,15.06,36710
2025-03-12,251.03,251.03,233.41,244.03,234856,26660,8.81,131713
2025-03-13,240.35,263.0,236.78,248.14,107057,4248,25.2,53041
2025-03-17,242.12,273.4,242.12,258.18,144268,9072,15.9,61782
2025-03-18,267.0,273.0,251.75,255.16,100603,6048,16.63,33722
2025-03-19,259.0,269.0,250.0,254.6,80524,5014,16.06,42179
2025-03-20,252.01,259.48,251.63,253.51,326626,22789,14.33,166955
2025-03-21,255.25,257.18,252.1,254.34,33668,3543,9.5,17503
2025-03-24,258.4,298.7,256.41,289.75,718925,21698,33.13,346046
2025-03-25,289.5,295.0,268.37,285.29,614103,19513,31.47,434437
2025-03-26,285.5,288.99,280.62,286.14,162916,4519,36.05,89607
2025-03-27,285.0,300.62,273.42,296.3,387109,18089,21.4,155469
2025-03-28,291.85,298.0,277.0,281.91,79717,5127,15.55,41091
2025-04-01,277.7,285.85,268.1,272.0,93390,6604,14.14,29353
2025-04-02,274.9,274.95,268.85,272.85,185378,3045,60.88,162796
2025-04-03,272.0,289.9,268.1,282.2,243128,7807,31.14,104637
2025-04-04,284.45,284.45,260.5,262.45,80958,5523,14.66,39387
2025-04-07,235.5,252.05,222.05,248.4,211863,11838,17.9,82611
2025-04-08,252.15,269.8,250.0,253.1,61178,4582,13.35,23409
2025-04-09,250.2,254.95,243.9,246.05,33562,2528,13.28,15775
2025-04-11,256.0,272.0,251.25,264.6,137563,8271,16.63,51770
2025-04-15,271.05,287.15,271.0,278.5,221950,11599,19.14,148652
2025-04-16,279.75,295.0,272.25,290.15,113207,8232,13.75,51475
2025-04-17,288.25,330.45,282.05,315.95,1537996,53005,29.02,722883
2025-04-21,310.0,322.0,303.15,315.55,202332,12958,15.61,94684
2025-04-22,313.55,317.7,303.0,304.55,93426,7323,12.76,44583
2025-04-23,310.0,314.4,300.85,306.0,51857,4554,11.39,19349
2025-04-24,305.0,308.15,295.0,296.6,65629,5064,12.96,33971
2025-04-25,296.55,305.1,280.0,283.2,144170,8667,16.63,69722
2025-04-28,283.7,291.9,280.0,282.15,63965,5053,12.66,25754
2025-04-29,284.45,287.15,279.0,284.7,76697,4732,16.21,43398
2025-04-30,285.15,288.8,273.1,276.05,74970,5914,12.68,31949
