Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2022-10-17,19.2,19.3,18.7,18.8,2624,35,74.97,1722
2022-10-18,18.8,19.2,18.8,19.2,3685,33,111.67,3391
2022-10-19,18.8,19.3,18.8,18.95,3743,47,79.64,3405
2022-10-20,19.0,19.4,18.8,19.3,1556,33,47.15,1206
2022-10-21,19.25,19.4,19.0,19.0,1632,39,41.85,1068
2022-10-24,19.5,19.8,19.1,19.35,488,27,18.07,281
2022-10-25,19.1,19.3,18.8,18.8,2715,60,45.25,1131
2022-10-27,19.3,19.4,19.0,19.3,4074,45,90.53,3658
2022-10-28,19.2,19.6,18.9,19.3,2960,90,32.89,1880
2022-10-31,19.4,19.4,19.05,19.1,1769,87,20.33,1306
2022-11-01,19.2,20.5,19.2,20.1,18949,112,169.19,18179
2022-11-02,20.1,20.3,19.65,19.85,1255,65,19.31,787
2022-11-03,19.8,20.5,19.8,20.25,642,31,20.71,499
2022-11-04,20.3,20.5,20.0,20.4,342,45,7.6,213
2022-11-07,20.3,20.55,20.25,20.5,1289,30,42.97,1282
2022-11-09,20.5,20.5,20.2,20.3,377,35,10.77,201
2022-11-10,20.2,20.45,19.8,20.0,129,45,2.87,94
2022-11-11,20.0,20.5,19.8,19.95,593,45,13.18,536
2022-11-14,19.95,20.8,19.95,20.3,594,54,11.0,528
2022-11-15,20.1,20.3,19.8,20.0,393,54,7.28,528
2022-11-16,20.0,20.1,19.8,19.8,235,32,7.34,164
2022-11-17,20.0,20.1,19.8,20.0,92,14,6.57,60
2022-11-18,19.95,19.95,19.4,19.45,571,60,9.52,422
2022-11-21,20.0,20.0,19.5,19.55,134,31,4.32,95
2022-11-22,19.5,20.1,19.4,20.05,715,32,22.34,621
2022-11-23,20.0,20.0,19.8,19.9,118,15,7.87,99
2022-11-24,20.5,20.5,19.6,20.05,564,50,11.28,381
2022-11-25,20.1,21.1,19.8,20.75,419,82,5.11,364
2022-11-28,20.1,20.7,20.0,20.2,257,30,8.57,229
2022-11-29,20.1,20.2,19.9,20.05,364,32,11.38,347
2022-11-30,19.5,20.5,19.5,20.1,220,32,6.88,183
2022-12-01,20.05,20.4,19.95,20.25,368,22,16.73,227
2022-12-02,20.2,20.4,19.95,20.3,135,32,4.22,76
2022-12-05,20.2,20.4,20.05,20.15,19,13,1.46,13
2022-12-06,20.05,20.3,20.05,20.3,615,33,18.64,600
2022-12-07,20.3,20.3,20.05,20.2,269,23,11.7,258
2022-12-08,20.2,20.3,20.0,20.3,177,21,8.43,169
2022-12-09,20.2,20.3,20.05,20.25,474,30,15.8,448
2022-12-12,20.2,20.35,20.0,20.0,437,71,6.15,422
2022-12-13,20.0,20.3,20.0,20.3,160,15,10.67,154
2022-12-14,20.3,20.3,20.1,20.1,1006,17,59.18,996
2022-12-15,20.1,20.25,19.85,20.0,729,47,15.51,496
2022-12-16,20.0,20.0,19.8,19.85,312,29,10.76,303
2022-12-19,20.1,20.1,19.65,19.75,1044,42,24.86,597
2022-12-20,19.75,19.9,19.65,19.65,1470,44,33.41,996
2022-12-21,19.8,20.0,19.35,19.55,552,45,12.27,158
2022-12-22,19.75,20.0,19.3,19.35,355,37,9.59,250
2022-12-23,19.35,19.35,18.65,18.7,1483,40,37.08,876
2022-12-26,18.85,19.3,18.85,19.1,3370,38,88.68,3043
2022-12-27,19.15,19.3,19.15,19.25,477,25,19.08,131
2022-12-28,19.25,19.6,19.25,19.55,130,24,5.42,65
2022-12-29,19.55,19.55,19.25,19.5,140,11,12.73,82
2022-12-30,19.55,19.7,19.3,19.5,88,17,5.18,52
2023-01-02,19.6,19.6,19.25,19.6,641,25,25.64,586
2023-01-03,19.6,19.7,19.2,19.5,494,30,16.47,372
2023-01-04,19.4,19.45,19.25,19.25,400,18,22.22,392
