Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-02-07,115.57,132.0,115.0,117.46,9358,EQ,46.0,203.43,5261.0
2024-02-08,120.39,120.99,117.11,117.62,4869,EQ,115.0,42.34,1790.0
2024-02-09,120.56,120.56,117.0,117.21,1633,EQ,62.0,26.34,739.0
2024-02-12,120.14,120.14,119.0,119.99,2494,EQ,67.0,37.22,1723.0
2024-02-13,122.98,122.98,120.0,120.42,3942,EQ,48.0,82.12,2403.0
2024-02-14,119.89,119.98,118.67,119.89,3460,EQ,35.0,98.86,2981.0
2024-02-15,121.0,121.0,118.65,119.41,2253,EQ,40.0,56.32,1354.0
2024-02-16,119.84,128.61,119.7,125.36,3300,EQ,45.0,73.33,3188.0
2024-02-19,124.97,124.97,120.74,121.41,9017,EQ,220.0,40.99,7992.0
2024-02-20,121.66,122.5,120.0,120.83,3771,EQ,85.0,44.36,1598.0
2024-02-21,120.0,123.72,120.0,120.75,504,EQ,24.0,21.0,363.0
2024-02-22,120.5,121.51,120.11,121.51,486,EQ,17.0,28.59,481.0
2024-02-23,121.51,122.14,121.49,121.66,752,EQ,33.0,22.79,576.0
2024-02-26,121.5,121.74,120.2,120.92,1337,EQ,45.0,29.71,1244.0
2024-02-27,123.72,123.72,120.5,121.51,2008,EQ,31.0,64.77,1780.0
2024-02-28,121.44,121.6,119.9,120.15,694,EQ,59.0,11.76,420.0
2024-02-29,119.7,119.7,118.5,119.65,824,EQ,25.0,32.96,822.0
2024-03-01,119.13,119.83,118.0,118.25,1242,EQ,67.0,18.54,859.0
2024-03-02,119.95,119.95,118.27,119.09,94,EQ,11.0,8.55,93.0
2024-03-04,119.09,119.94,118.71,119.02,1034,EQ,35.0,29.54,803.0
2024-03-05,118.8,118.86,118.05,118.51,1723,EQ,32.0,53.84,1658.0
2024-03-06,118.34,120.0,117.82,119.62,885,EQ,44.0,20.11,681.0
2024-03-07,119.62,123.0,119.62,120.14,190,EQ,28.0,6.79,167.0
2024-03-11,120.66,121.41,120.46,120.97,1071,EQ,23.0,46.57,1057.0
2024-03-12,121.31,121.31,118.92,118.97,1381,EQ,36.0,38.36,974.0
2024-03-13,118.97,118.97,116.36,117.45,1119,EQ,44.0,25.43,865.0
2024-03-14,116.4,118.52,116.4,118.52,336,EQ,10.0,33.6,224.0
2024-03-15,117.91,117.91,116.3,117.12,277,EQ,20.0,13.85,170.0
2024-03-18,117.5,119.3,116.72,119.3,580,EQ,19.0,30.53,554.0
2024-03-19,117.0,117.0,115.81,116.01,818,EQ,55.0,14.87,805.0
2024-03-20,115.9,116.32,114.9,116.31,628,EQ,32.0,19.62,553.0
2024-03-21,116.24,117.37,116.24,117.37,265,EQ,15.0,17.67,244.0
2024-03-22,117.78,119.19,117.22,119.19,826,EQ,26.0,31.77,751.0
2024-03-26,118.6,119.19,118.49,119.19,4070,EQ,15.0,271.33,4047.0
2024-03-27,119.19,119.74,118.71,119.34,551,EQ,16.0,34.44,496.0
2024-03-28,120.0,121.31,119.54,120.47,999,EQ,17.0,58.76,986.0
2024-04-01,121.26,122.28,121.17,121.86,732,EQ,22.0,33.27,663.0
2024-04-02,122.53,122.53,121.07,121.69,2512,EQ,26.0,96.62,2209.0
2024-04-03,121.5,122.0,121.25,121.54,166,EQ,13.0,12.77,122.0
2024-04-04,121.01,121.99,119.94,121.19,1913,EQ,48.0,39.85,1566.0
2024-04-05,121.51,122.52,120.96,121.07,2423,EQ,32.0,75.72,1807.0
2024-04-08,121.31,122.18,121.3,121.48,1616,EQ,20.0,80.8,1528.0
2024-04-09,121.48,122.48,119.53,120.91,1702,EQ,21.0,81.05,895.0
2024-04-10,121.71,121.71,121.42,121.42,2,EQ,2.0,1.0,1.0
2024-04-12,121.89,122.0,120.11,120.62,520,EQ,39.0,13.33,501.0
2024-04-15,120.0,120.0,118.54,118.81,171,EQ,20.0,8.55,169.0
2024-04-16,118.81,118.81,118.81,118.81,44,EQ,4.0,11.0,44.0
2024-04-18,118.81,119.09,116.48,116.48,542,EQ,28.0,19.36,406.0
2024-04-19,116.33,116.83,115.77,116.49,1462,EQ,21.0,69.62,1403.0
2024-04-22,117.7,117.7,117.7,117.7,11,EQ,2.0,5.5,11.0
2024-04-23,117.7,117.7,116.21,116.21,261,EQ,30.0,8.7,162.0
2024-04-24,117.43,118.44,117.43,118.29,561,EQ,15.0,37.4,352.0
2024-04-25,118.3,119.83,117.8,119.83,232,EQ,18.0,12.89,178.0
2024-04-26,119.55,120.68,119.55,120.36,837,EQ,16.0,52.31,612.0
2024-04-29,120.0,121.0,119.16,120.44,576,EQ,29.0,19.86,353.0
2024-04-30,120.5,121.11,120.0,120.18,8051,EQ,23.0,350.04,5937.0
2024-05-02,120.0,120.85,119.68,120.34,343,EQ,26.0,13.19,177.0
2024-05-03,121.03,121.39,119.93,120.18,5017,EQ,21.0,238.9,3678.0
2024-05-06,121.0,121.54,120.81,120.84,215,EQ,15.0,14.33,155.0
2024-05-07,120.1,120.1,118.48,118.5,306,EQ,19.0,16.11,271.0
2024-05-08,118.0,119.13,118.0,119.13,278,EQ,15.0,18.53,119.0
2024-05-09,118.5,118.61,116.49,118.27,714,EQ,30.0,23.8,456.0
2024-05-10,117.45,117.89,116.94,117.46,9,EQ,6.0,1.5,2.0
2024-05-13,117.85,119.57,117.66,119.25,1137,EQ,32.0,35.53,733.0
2024-05-14,119.0,119.58,119.0,119.51,21,EQ,8.0,2.62,9.0
2024-05-15,119.51,119.51,119.51,119.51,2,EQ,2.0,1.0,2.0
2024-05-16,119.5,119.5,118.79,118.79,448,EQ,8.0,56.0,447.0
2024-05-17,120.11,120.78,119.78,120.67,1079,EQ,21.0,51.38,710.0
2024-05-18,125.7,125.7,121.42,121.42,16,EQ,5.0,3.2,15.0
2024-05-21,121.01,121.87,120.88,121.75,581,EQ,32.0,18.16,497.0
2024-05-22,121.41,122.64,120.93,121.9,2309,EQ,37.0,62.41,2050.0
2024-05-23,121.5,121.74,120.6,121.01,1356,EQ,48.0,28.25,1065.0
2024-05-24,121.0,121.0,120.57,120.87,120,EQ,7.0,17.14,95.0
2024-05-27,120.58,121.35,120.22,120.79,1894,EQ,40.0,47.35,1401.0
2024-05-28,120.91,121.86,120.11,121.3,2452,EQ,38.0,64.53,1943.0
2024-05-29,120.71,121.8,120.71,121.22,98,EQ,7.0,14.0,49.0
2024-05-30,120.0,120.31,119.01,119.79,788,EQ,24.0,32.83,494.0
2024-05-31,122.78,122.78,117.55,117.76,4359,EQ,62.0,70.31,2483.0
2024-06-03,118.9,119.99,118.2,119.26,562,EQ,37.0,15.19,518.0
2024-06-04,118.0,119.21,115.0,116.61,76,EQ,19.0,4.0,60.0
2024-06-05,118.29,121.95,118.08,121.48,2445,EQ,64.0,38.2,1727.0
2024-06-06,120.89,122.29,120.25,121.44,673,EQ,35.0,19.23,435.0
2024-06-07,121.91,123.0,121.91,122.82,1829,EQ,49.0,37.33,1623.0
2024-06-10,124.04,124.76,123.02,124.67,4135,EQ,161.0,25.68,2872.0
2024-06-11,123.99,124.6,122.21,123.91,1117,EQ,101.0,11.06,690.0
2024-06-12,123.91,126.33,123.79,124.62,24568,EQ,150.0,163.79,23258.0
2024-06-13,125.13,125.34,124.84,125.21,7908,EQ,31.0,255.1,7651.0
2024-06-14,125.99,127.07,125.99,126.56,2817,EQ,105.0,26.83,2560.0
2024-06-18,125.74,125.95,124.75,125.87,4296,EQ,113.0,38.02,3517.0
2024-06-19,125.81,125.92,124.55,125.62,589,EQ,21.0,28.05,577.0
2024-06-20,124.59,124.59,123.32,124.45,4469,EQ,107.0,41.77,3187.0
2024-06-21,124.46,125.97,123.83,123.83,1178,EQ,49.0,24.04,822.0
2024-06-24,124.92,124.96,123.65,124.33,69,EQ,10.0,6.9,68.0
2024-06-25,123.79,124.68,123.57,124.47,652,EQ,20.0,32.6,344.0
2024-06-26,123.95,126.1,123.5,123.64,631,EQ,22.0,28.68,400.0
2024-06-27,124.24,125.06,123.54,124.66,237,EQ,17.0,13.94,142.0
2024-06-28,125.34,125.75,125.12,125.39,1260,EQ,44.0,28.64,1181.0
2024-07-01,126.0,126.0,125.26,125.68,1544,EQ,26.0,59.38,1342.0
2024-07-02,125.65,125.67,123.33,124.97,824,EQ,24.0,34.33,654.0
2024-07-03,126.79,126.8,126.1,126.38,2315,EQ,24.0,96.46,2303.0
2024-07-04,126.38,128.7,126.38,128.01,2347,EQ,39.0,60.18,2063.0
2024-07-05,128.78,129.76,128.66,129.7,2203,EQ,37.0,59.54,1693.0
2024-07-08,129.69,129.87,128.85,129.6,2687,EQ,71.0,37.85,2475.0
2024-07-09,129.6,130.91,129.6,130.73,341,EQ,32.0,10.66,242.0
2024-07-10,130.89,131.0,129.3,130.98,1929,EQ,34.0,56.74,1520.0
2024-07-11,130.47,130.65,130.31,130.5,2372,EQ,10.0,237.2,2369.0
2024-07-12,130.0,131.05,129.76,131.05,639,EQ,16.0,39.94,596.0
2024-07-15,130.81,132.68,130.75,132.6,264,EQ,20.0,13.2,221.0
2024-07-16,131.96,132.47,131.81,131.85,2200,EQ,44.0,50.0,1641.0
2024-07-18,131.6,132.3,130.43,131.89,1966,EQ,35.0,56.17,1649.0
2024-07-19,131.29,132.9,129.46,130.45,5148,EQ,27.0,190.67,3962.0
2024-07-22,130.05,131.94,130.05,131.11,1713,EQ,23.0,74.48,1341.0
2024-07-23,131.0,131.79,131.0,131.79,234,EQ,6.0,39.0,207.0
2024-07-24,131.79,133.33,131.79,132.55,1634,EQ,21.0,77.81,1594.0
2024-07-25,132.16,134.0,132.0,133.88,457,EQ,24.0,19.04,370.0
2024-07-26,133.99,140.0,133.99,137.21,2304,EQ,57.0,40.42,1834.0
2024-07-29,139.67,139.67,136.3,137.29,4215,EQ,53.0,79.53,3643.0
2024-07-30,136.65,137.48,136.53,136.77,786,EQ,28.0,28.07,471.0
2024-07-31,136.73,138.01,136.73,137.59,143,EQ,23.0,6.22,77.0
2024-08-01,137.75,138.72,137.69,138.25,536,EQ,14.0,38.29,286.0
2024-08-02,137.42,139.18,137.42,139.09,2564,EQ,23.0,111.48,2522.0
2024-08-05,137.76,138.89,136.04,136.19,2468,EQ,75.0,32.91,1712.0
