Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1995-01-02,19.0,19.2,19.0,19.2,300,,,
1995-01-03,19.0,19.6,19.0,19.6,350,,,
1995-01-04,19.7,20.0,19.7,20.0,600,,,
1995-01-05,19.5,19.5,19.5,19.5,150,,,
1995-01-06,19.7,19.7,19.7,19.7,200,,,
1995-01-09,20.6,20.6,20.6,20.6,100,,,
1995-01-11,15.4,16.4,15.4,16.4,300,,,
1995-01-13,15.0,16.0,15.0,16.0,500,,,
1995-01-16,17.8,17.8,17.4,17.4,200,,,
1995-01-17,17.5,17.5,17.5,17.5,50,,,
1995-01-19,17.4,17.4,17.4,17.4,50,,,
1995-01-23,17.0,17.0,17.0,17.0,200,,,
1995-01-24,17.2,17.2,17.0,17.0,250,,,
1995-01-25,17.0,17.0,17.0,17.0,300,,,
1995-01-30,17.0,17.0,17.0,17.0,100,,,
1995-01-31,16.4,17.0,16.4,17.0,150,,,
1995-02-02,16.6,16.6,16.6,16.6,100,,,
1995-02-03,16.6,16.6,16.4,16.4,150,,,
1995-02-07,16.0,16.0,16.0,16.0,250,,,
1995-02-08,16.0,16.0,16.0,16.0,50,,,
1995-02-09,16.0,16.0,16.0,16.0,50,,,
1995-02-15,17.0,17.0,17.0,17.0,50,,,
1995-02-21,15.0,15.0,14.7,14.9,150,,,
1995-02-28,15.6,15.6,15.6,15.6,50,,,
1995-03-02,16.0,16.0,16.0,16.0,100,,,
1995-03-06,15.9,16.0,15.9,15.95,700,,,
1995-03-09,14.0,14.0,14.0,14.0,50,,,
1995-03-10,14.2,14.2,14.0,14.0,550,,,
1995-03-21,13.8,13.8,13.8,13.8,400,,,
1995-03-22,13.3,13.8,13.25,13.8,750,,,
1995-03-23,13.6,13.6,13.6,13.6,50,,,
1995-03-24,13.8,13.8,13.8,13.8,500,,,
1995-03-27,14.4,14.4,14.4,14.4,200,,,
1995-03-28,14.2,14.2,14.1,14.1,350,,,
1995-03-29,14.0,14.0,13.4,13.55,650,,,
1995-03-30,13.5,13.7,13.5,13.7,200,,,
1995-03-31,13.4,13.8,13.4,13.75,2350,,,
