Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-08-12,115.0,120.75,115.0,120.75,5236750,18294,286.26,5236750
2025-08-13,122.99,126.78,122.0,126.78,3127048,14272,219.1,3127048
2025-08-14,131.4,131.4,120.44,120.44,2636454,20080,131.3,2636454
2025-08-18,114.41,114.41,114.41,114.41,208614,3207,65.05,208614
2025-08-19,108.68,108.68,108.68,108.68,140426,2732,51.4,140426
2025-08-20,106.0,106.51,103.24,103.24,2686691,13700,196.11,2686691
2025-08-21,98.07,107.18,98.07,104.37,3254196,22664,143.58,3254196
2025-08-22,101.26,102.99,99.15,99.15,960058,8475,113.28,960058
2025-08-25,96.8,98.66,94.19,95.16,1615445,9889,163.36,1615445
2025-08-26,94.9,94.98,91.1,91.95,574682,5623,102.2,574682
2025-08-28,91.99,96.8,88.01,94.1,1874584,18690,100.3,834028
2025-08-29,95.4,96.65,94.2,95.09,1005359,9816,102.42,507094
