Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2006-04-04,148.3,152.3,148.3,150.95,402,,,
2006-04-05,145.0,153.05,145.0,152.2,3366,,,
2006-04-07,147.2,155.0,147.2,149.8,4283,,,
2006-04-10,149.1,149.1,146.1,146.7,2505,,,
2006-04-12,147.0,152.75,145.55,147.15,1746,,,
2006-04-13,144.4,145.0,142.2,145.0,431,,,
2006-04-17,144.85,147.95,144.25,144.4,493,,,
2006-04-18,145.0,147.0,143.55,144.15,1281,,,
2006-04-19,143.75,145.95,142.5,143.9,3098,,,
2006-04-20,146.0,147.95,145.0,147.0,1863,,,
2006-04-21,147.0,147.75,145.0,146.55,3330,,,
2006-04-24,147.0,149.9,146.0,146.1,2119,,,
2006-04-25,145.65,145.65,143.0,143.55,1050,,,
2006-04-26,149.0,155.0,143.8,151.4,8144,,,
2006-04-27,153.0,156.0,150.25,150.55,5111,,,
2006-04-28,147.15,147.15,143.0,144.2,2146,,,
2006-04-29,145.0,151.0,121.0,144.4,799,,,
2006-05-02,148.0,148.75,144.1,147.4,1336,,,
2006-05-03,147.75,150.25,145.25,145.45,1007,,,
2006-05-04,147.0,149.25,145.2,146.9,3599,,,
2006-05-05,147.7,148.8,145.0,145.4,1646,,,
2006-05-08,149.9,150.0,148.0,148.4,4125,,,
2006-05-09,150.0,155.8,145.55,153.75,11976,,,
2006-05-10,156.5,167.8,156.5,161.0,53636,,,
2006-05-11,162.9,165.0,159.75,160.65,6847,,,
2006-05-12,163.0,163.0,155.35,157.65,4827,,,
2006-05-15,157.0,168.9,157.0,160.8,17361,,,
2006-05-16,164.0,164.0,146.1,152.7,3088,,,
2006-05-17,156.5,174.9,153.15,162.45,35764,,,
2006-05-18,163.0,163.0,150.0,151.25,8849,,,
2006-05-19,153.2,154.0,146.1,147.1,8859,,,
2006-05-22,145.0,145.0,135.0,136.2,5052,,,
2006-05-23,158.0,158.0,130.0,144.95,3337,,,
2006-05-24,141.0,148.0,138.2,140.6,1889,,,
2006-05-25,137.0,146.25,137.0,140.4,754,,,
2006-05-26,140.0,150.5,140.0,144.6,13501,,,
2006-05-29,145.2,147.5,140.15,141.65,1787,,,
2006-05-30,144.0,144.9,140.7,140.9,2052,,,
2006-05-31,134.0,141.0,134.0,138.9,1279,,,
2006-06-01,144.0,144.0,134.0,135.2,1929,,,
2006-06-02,126.0,141.5,126.0,129.75,1971,,,
2006-06-05,128.05,133.0,128.05,131.85,3929,,,
2006-06-06,134.0,148.75,127.0,127.45,3033,,,
2006-06-07,123.0,130.0,114.8,117.0,12763,,,
2006-06-08,103.5,110.8,103.15,106.6,1110,,,
2006-06-09,103.1,123.75,103.1,115.55,2248,,,
2006-06-12,111.0,119.8,108.0,114.85,3141,,,
2006-06-13,109.0,112.8,102.05,106.15,1790,,,
2006-06-14,111.0,116.0,105.25,106.7,2658,,,
2006-06-15,109.0,116.85,109.0,115.85,2367,,,
2006-06-16,119.0,119.9,110.25,116.15,2337,,,
2006-06-19,112.0,118.0,111.25,113.25,1143,,,
2006-06-20,114.0,117.9,114.0,117.85,441,,,
2006-06-21,111.0,129.0,111.0,125.0,1506,,,
2006-06-22,132.0,132.0,124.25,128.75,966,,,
2006-06-23,126.0,126.0,120.0,120.7,2572,,,
2006-06-26,120.1,122.3,118.3,118.3,603,,,
