Date,Open,High,Low,Close,Volume
2019-07-19,304.25,297.26,297.69,297.26,639475.31
2019-07-22,295.53,292.55,293.61,293.66,414369.71
2019-07-23,294.54,291.68,292.15,292.26,431758.5
2019-07-24,293.4,288.05,288.14,288.05,947531.66
2019-07-25,291.85,290.09,290.28,290.45,191521.41
2019-07-26,293.61,289.86,293.22,293.22,190889.54
2019-07-29,294.54,291.53,291.54,291.53,198573.92
2019-07-30,295.41,287.34,287.77,287.34,853522.26
2019-07-31,289.0,284.33,289.0,289.0,465848.85
2019-08-01,288.14,280.4,283.21,283.25,2620208.28
2019-08-02,285.54,279.11,282.24,282.24,2669130.59
2019-08-05,278.12,274.53,277.11,276.5,997046.04
2019-08-06,281.25,278.0,280.12,280.12,507192.63
2019-08-07,281.56,276.41,276.77,277.1,6584286.75
2019-08-08,282.0,276.0,282.0,282.0,934045.29
2019-08-09,286.08,283.41,284.14,284.14,1032135.46
2019-08-13,284.14,277.0,277.24,277.55,1438059.81
2019-08-14,281.18,279.43,279.99,279.74,794759.44
2019-08-16,282.89,277.39,282.65,282.89,2267386.89
2019-08-19,285.03,281.83,281.83,281.83,83856.51
2019-08-20,285.0,278.87,279.1,279.1,312405.02
2019-08-21,281.7,277.07,278.0,278.0,115826.15
2019-08-22,277.0,270.0,270.8,270.72,5611818.95
2019-08-23,272.0,265.7,270.71,270.93,13856949.22
2019-08-26,307.75,270.0,279.36,279.34,2164468.74
2019-08-27,283.23,278.88,282.67,282.67,243536.37
2019-08-28,281.0,277.0,278.99,278.99,127441.93
2019-08-29,277.35,273.5,274.33,274.33,123275.36
2019-08-30,276.85,272.11,274.11,274.11,124964.9
2019-09-03,307.75,267.8,268.8,268.94,368626.57
2019-09-04,273.4,267.97,270.88,270.87,267500.14
2019-09-05,273.0,269.0,270.1,269.1,34380.93
2019-09-06,279.5,265.01,273.21,272.26,906127.51
2019-09-09,306.8,260.0,276.2,276.22,148282.49
2019-09-11,306.1,274.7,279.04,279.12,223694.73
2019-09-12,281.48,277.85,277.85,277.85,441021.87
2019-09-13,305.0,270.0,281.03,280.95,293721.62
2019-09-16,280.58,279.5,279.75,279.75,24089.46
2019-09-17,279.48,270.87,271.24,271.34,539114.62
2019-09-18,275.08,271.31,271.54,271.31,147429.43
2019-09-19,282.92,267.4,268.52,267.4,264727.7
2019-09-20,292.32,269.04,290.81,289.39,4841588.25
2019-09-23,308.0,289.39,305.11,299.0,7109400.41
2019-09-24,305.05,299.0,302.6,301.64,617125.53
2019-09-25,307.0,292.7,295.68,295.38,327927.87
2019-09-26,306.72,280.4,301.05,302.0,486176.05
2019-09-27,302.24,297.85,300.49,299.05,442215205.04
2019-09-30,309.0,290.05,292.36,292.39,24539266.27
2019-10-01,298.99,283.15,288.97,289.31,370226.96
2019-10-03,309.0,281.0,285.53,285.54,117554176.57
2019-10-04,287.35,278.0,278.75,278.57,400922.53
2019-10-07,282.86,277.44,278.16,277.44,7891852.78
2019-10-09,289.88,276.88,289.28,288.0,754297.15
2019-10-10,286.7,280.46,281.8,282.36,154559.77
2019-10-11,285.89,279.11,280.43,280.4,834398.0
2019-10-14,285.7,276.0,282.98,283.19,1320529.24
2019-10-15,287.0,282.1,286.0,286.0,382917.54
2019-10-16,288.4,284.6,286.38,286.38,611170.27
2019-10-17,291.96,285.07,291.49,291.74,30447821.0
2019-10-18,292.94,290.82,292.45,292.45,27583678.96
2019-10-22,298.95,292.32,295.58,295.6,1818492.37
