Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2022-12-21,61.0,71.98,59.15,60.29,19018.0,269,70.7,9509
2022-12-22,60.2,71.99,58.61,58.76,1255.0,28,44.82,623
2022-12-23,58.9,59.89,58.0,58.25,249.0,16,15.56,166
2022-12-26,58.6,59.8,57.8,58.15,107817.0,62,1738.98,93332
2022-12-27,58.59,59.39,58.59,59.18,1278.0,26,49.15,201
2022-12-28,59.2,59.49,59.2,59.39,104.0,8,13.0,102
2022-12-29,59.2,59.34,58.49,58.51,898.0,19,47.26,401
2022-12-30,58.9,59.9,58.9,59.61,10860.0,75,144.8,4613
2023-01-02,59.79,60.33,59.71,60.32,6124.0,30,204.13,217
2023-01-03,60.28,60.28,59.4,59.76,3237.0,43,75.28,2078
2023-01-04,60.1,60.98,59.25,59.25,7775.0,25,311.0,7685
2023-01-05,59.5,59.79,59.21,59.5,1040.0,23,45.22,606
2023-01-06,59.8,60.8,58.6,59.56,354.0,47,7.53,282
2023-01-10,59.8,60.4,59.01,59.43,5229.0,27,193.67,5005
2023-01-11,59.41,59.79,59.41,59.56,86.0,6,14.33,43
2023-01-12,59.46,59.46,59.45,59.45,202.0,2,101.0,202
2023-01-13,59.63,59.75,59.56,59.57,1637.0,9,181.89,1516
2023-01-16,59.8,59.94,59.57,59.57,857.0,15,57.13,856
2023-01-17,59.8,60.35,59.8,60.35,482.0,19,25.37,461
2023-01-18,60.35,60.67,60.3,60.5,6808.0,15,453.87,5999
2023-01-19,60.68,60.68,60.08,60.5,4668.0,26,179.54,3632
2023-01-20,60.5,60.5,60.02,60.09,896.0,11,81.45,450
2023-01-23,60.0,60.1,59.2,59.53,328.0,28,11.71,296
2023-01-24,60.98,60.98,58.8,58.94,1038.0,34,30.53,603
2023-01-25,59.01,59.01,58.06,58.22,1228.0,35,35.09,703
2023-01-27,58.01,58.01,56.09,56.98,23455.0,81,289.57,15782
2023-01-30,57.1,57.97,56.0,56.14,2955.0,63,46.9,1404
2023-01-31,56.3,57.2,56.3,57.19,927.0,19,48.79,915
2023-02-01,57.25,57.6,55.7,56.5,37798.0,54,699.96,13135
2023-02-02,56.4,56.4,56.0,56.19,10860.0,22,493.64,10296
2023-02-03,56.2,56.79,55.21,55.98,16088.0,71,226.59,10165
2023-02-06,56.98,56.98,55.79,55.99,8652.0,41,211.02,7281
2023-02-07,56.0,56.0,55.0,55.18,2426.0,62,39.13,898
2023-02-08,55.75,56.01,55.0,56.01,4363.0,28,155.82,2711
2023-02-09,56.01,56.02,55.46,55.5,2699.0,40,67.47,942
2023-02-10,55.5,55.5,55.35,55.35,230.0,16,14.38,215
2023-02-13,55.35,55.35,54.95,55.07,1455.0,40,36.38,898
2023-02-14,55.0,55.41,55.0,55.23,2771.0,31,89.39,755
2023-02-15,55.15,55.5,55.15,55.3,950.0,18,52.78,803
2023-02-16,55.46,56.21,55.46,56.21,228.0,20,11.4,217
2023-02-17,56.4,56.5,56.28,56.4,1596.0,12,133.0,1391
2023-02-20,56.3,56.56,56.1,56.35,744.0,24,31.0,634
2023-02-21,56.31,56.35,56.25,56.25,373.0,8,46.62,364
2023-02-22,56.2,56.2,55.1,55.2,5165.0,96,53.8,3908
2023-02-23,55.25,55.35,55.05,55.09,158.0,18,8.78,83
2023-02-24,55.05,55.05,54.74,54.79,1461.0,48,30.44,1372
2023-02-27,54.6,54.6,53.81,54.07,841.0,52,16.17,588
2023-02-28,53.99,54.05,53.75,53.83,448.0,28,16.0,390
2023-03-01,54.95,54.99,54.34,54.64,2873.0,41,70.07,2130
2023-03-02,54.7,54.79,54.64,54.74,765.0,17,45.0,741
2023-03-03,54.87,55.2,54.87,55.12,4815.0,34,141.62,2752
2023-03-06,55.3,55.74,55.3,55.49,2005.0,28,71.61,1231
2023-03-08,55.4,55.59,55.21,55.59,177.0,11,16.09,126
2023-03-09,55.81,56.05,55.68,55.68,702.0,27,26.0,539
