Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2022-12-27,14.1,14.8,14.1,14.8,109456,280.0,390.91,109456.0
2022-12-28,15.5,15.5,15.2,15.5,384762,539.0,713.84,384762.0
2022-12-29,16.25,16.25,16.0,16.2,839889,1014.0,828.29,839889.0
2022-12-30,16.5,16.6,15.4,15.4,959769,715.0,1342.33,959769.0
2023-01-02,14.65,16.15,14.65,14.95,650377,819.0,794.11,650377.0
2023-01-03,14.3,14.65,14.25,14.25,189050,496.0,381.15,189050.0
2023-01-04,13.65,13.95,13.55,13.7,350785,769.0,456.16,350785.0
2023-01-05,13.3,14.35,13.15,14.35,140208,355.0,394.95,140208.0
2023-01-06,15.05,15.05,14.75,15.05,311470,413.0,754.16,311470.0
2023-01-09,14.9,15.5,14.55,15.3,286214,600.0,477.02,286214.0
2023-01-10,15.7,18.35,15.0,18.35,3872673,4832.0,801.46,1887078.0
2023-01-11,19.35,22.0,19.35,21.95,6763977,10293.0,657.14,2908171.0
2023-01-12,23.0,23.8,21.1,22.25,3264693,9061.0,360.3,1241450.0
2023-01-13,22.6,22.6,20.2,20.4,1238376,3850.0,321.66,632273.0
2023-01-16,20.5,22.4,19.25,22.4,2219664,4169.0,532.42,1450011.0
2023-01-17,22.9,24.6,22.8,24.6,2573856,3614.0,712.19,1377433.0
2023-01-18,25.8,27.05,22.6,23.5,5525508,11784.0,468.9,2557990.0
2023-01-19,24.35,24.6,22.15,22.7,1545861,5140.0,300.75,860986.0
2023-01-20,23.15,23.75,21.25,21.4,1542211,4020.0,383.63,870116.0
2023-01-23,21.85,22.95,19.75,20.6,3008882,6253.0,481.19,1590754.0
2023-01-24,20.6,21.2,18.55,18.8,1625095,4308.0,377.23,751374.0
2023-01-25,19.0,19.5,17.9,17.9,1408842,2805.0,502.26,727770.0
2023-01-27,17.7,17.9,17.0,17.0,638192,1006.0,634.39,332005.0
2023-01-30,16.5,16.5,16.15,16.15,433410,664.0,652.73,244548.0
2023-01-31,15.35,15.35,15.35,15.35,183534,555.0,330.69,181572.0
2023-02-01,15.25,16.1,14.6,14.6,1855272,3117.0,595.21,1189168.0
2023-02-02,14.05,14.5,13.9,13.9,1942461,1504.0,1291.53,1259205.0
2023-02-03,13.3,13.6,13.2,13.3,800849,1059.0,756.23,512848.0
2023-02-06,13.7,13.95,12.7,12.85,1147968,2761.0,415.78,498840.0
2023-02-07,12.85,13.45,12.5,13.45,564395,1517.0,372.05,300030.0
2023-02-08,13.75,14.1,13.25,14.1,865936,1393.0,621.63,601209.0
2023-02-09,14.6,14.8,14.45,14.8,699991,822.0,851.57,474823.0
2023-02-10,15.35,15.5,15.25,15.5,763764,1118.0,683.15,440476.0
2023-02-13,16.2,16.25,14.75,14.75,712153,1807.0,394.11,383102.0
2023-02-14,14.75,14.8,14.05,14.05,250533,480.0,521.94,199414.0
2023-02-15,13.8,14.75,13.35,13.8,713727,1804.0,395.64,275882.0
2023-02-16,14.1,14.1,13.15,13.3,809726,1438.0,563.09,423254.0
2023-02-17,13.4,13.5,12.65,12.65,2046234,1679.0,1218.72,1037385.0
2023-02-20,12.25,12.4,12.05,12.05,857580,623.0,1376.53,526103.0
2023-02-21,11.45,11.85,11.45,11.45,1107473,682.0,1623.86,725079.0
2023-02-22,10.95,11.1,10.9,10.9,353517,474.0,745.82,231215.0
2023-02-23,10.55,10.65,10.35,10.35,318249,344.0,925.14,227586.0
2023-02-24,9.9,10.85,9.85,9.85,3099408,3288.0,942.64,1150044.0
2023-02-27,9.85,9.9,9.35,9.35,1285247,1168.0,1100.38,793743.0
2023-02-28,9.0,9.8,8.9,9.1,1925405,2169.0,887.69,947068.0
2023-03-01,9.2,9.4,8.65,8.65,3001704,2462.0,1219.21,1469101.0
2023-03-02,8.45,8.65,8.25,8.25,939756,894.0,1051.18,587782.0
2023-03-03,7.95,8.45,7.85,7.95,2572241,2847.0,903.49,1028691.0
2023-03-06,8.0,8.3,7.8,8.3,1265195,1702.0,743.36,505271.0
